pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,max_air_temp_snc_last_reset,rel_hum,max_wnd_spd_10m_pst1hr,avg_wnd_spd_10m_pst10mts,dwpt_temp,air_temp,min_air_temp_snc_last_reset,DEW_POINT,pcpn_amt_pst1hr,avg_wnd_dir_10m_pst10mts,snwfl_amt_pst1hr,time,snw_dpth,HEIGHT_OF_SNOW,stn_pres,week_of_year
None,11.01,71.6, None, None, None, None, None, None, None, 6.0, None, None, None,2019-05-07 00:00:00, None, -0.542, None,19
None,10.53,73.1, None, None, None, None, None, None, None, 6.0, None, None, None,2019-05-07 01:00:00, None, -0.647, None,19
None,10.14,73.3, None, None, None, None, None, None, None, 6.0, None, None, None,2019-05-07 02:00:00, None, -0.643, None,19
None,9.61,77.4, None, None, None, None, None, None, None, 6.0, None, None, None,2019-05-07 03:00:00, None, -0.608, None,19
None,9.52,79.1, None, None, None, None, None, None, None, 6.0, None, None, None,2019-05-07 04:00:00, None, -0.547, None,19
None,9.18,79.8, None, None, None, None, None, None, None, 6.0, None, None, None,2019-05-07 05:00:00, None, -0.638, None,19
None,8.26,83.2, None, None, None, None, None, None, None, 6.0, None, None, None,2019-05-07 06:00:00, None, -0.629, None,19
None,8.07,85.1, None, None, None, None, None, None, None, 6.0, None, None, None,2019-05-07 07:00:00, None, -0.494, None,19
None,8.51,84.6, None, None, None, None, None, None, None, 6.0, None, None, None,2019-05-07 08:00:00, None, -0.475, None,19
None,12.17,70.8, None, None, None, None, None, None, None, 7.0, None, None, None,2019-05-07 09:00:00, None, -0.907, None,19
None,14.24,63.31, None, None, None, None, None, None, None, 7.0, None, None, None,2019-05-07 10:00:00, None, -0.985, None,19
None,15.84,59.79, None, None, None, None, None, None, None, 8.0, None, None, None,2019-05-07 11:00:00, None, -0.982, None,19
None,14.15,63.49, None, None, None, None, None, None, None, 7.0, None, None, None,2019-05-07 12:00:00, None, -0.634, None,19
None,14.97,59.45, None, None, None, None, None, None, None, 7.0, None, None, None,2019-05-07 13:00:00, None, -0.613, None,19
None,17.57,50.97, None, None, None, None, None, None, None, 7.0, None, None, None,2019-05-07 14:00:00, None, -0.587, None,19
