pcpn_amt_pst1hr,snw_dpth_wtr_equiv,SWE,ONE_DAY_SNOW,time,air_temp_1,MIN_TEMP,MAX_TEMP,week_of_year
695.0, 522.0, None, None,2019-01-08 00:00:00, -11.8, None, None,2
696.0, 522.0, None, None,2019-01-08 01:00:00, -12.8, None, None,2
696.0, 522.0, None, None,2019-01-08 02:00:00, -13.4, None, None,2
696.0, 522.0, None, None,2019-01-08 03:00:00, -14.3, None, None,2
696.0, 522.0, None, None,2019-01-08 04:00:00, -15.1, None, None,2
696.0, 522.0, None, None,2019-01-08 05:00:00, -15.9, None, None,2
696.0, 522.0, None, None,2019-01-08 06:00:00, -16.4, None, None,2
696.0, 522.0, None, None,2019-01-08 07:00:00, -15.6, None, None,2
696.0, 522.0, None, None,2019-01-08 08:00:00, -17.0, None, None,2
696.0, 522.0, None, None,2019-01-08 09:00:00, -18.0, None, None,2
696.0, 522.0, None, None,2019-01-08 10:00:00, -18.0, None, None,2
697.0, 522.0, None, None,2019-01-08 11:00:00, -17.6, None, None,2
697.0, 522.0, None, None,2019-01-08 12:00:00, -18.8, None, None,2
697.0, 522.0, None, None,2019-01-08 13:00:00, -18.8, None, None,2
697.0, 522.0, None, None,2019-01-08 14:00:00, -18.4, None, None,2
697.0, 522.0, None, None,2019-01-08 15:00:00, -18.7, None, None,2
697.0, 522.0, None, None,2019-01-08 16:00:00, -18.7, None, None,2
697.0, 522.0, None, None,2019-01-08 17:00:00, -17.6, None, None,2
697.0, 522.0, None, None,2019-01-08 18:00:00, -15.5, None, None,2
697.0, 522.0, None, None,2019-01-08 19:00:00, -14.5, None, None,2
697.0, 523.0, None, None,2019-01-08 20:00:00, -14.8, None, None,2
697.0, 524.0, None, None,2019-01-08 21:00:00, -15.1, None, None,2
697.0, 524.0, None, None,2019-01-08 22:00:00, -14.9, None, None,2
697.0, 524.0, None, None,2019-01-08 23:00:00, -14.9, None, None,2
697.0, 524.0, None, None,2019-01-09 00:00:00, -14.9, None, None,2
697.0, 524.0, None, None,2019-01-09 01:00:00, -15.1, None, None,2
697.0, 524.0, None, None,2019-01-09 02:00:00, -15.8, None, None,2
697.0, 525.0, None, None,2019-01-09 03:00:00, -15.2, None, None,2
698.0, 525.0, None, None,2019-01-09 04:00:00, -14.8, None, None,2
698.0, 526.0, None, None,2019-01-09 05:00:00, -14.8, None, None,2
699.0, 527.0, None, None,2019-01-09 06:00:00, -14.9, None, None,2
699.0, 527.0, None, None,2019-01-09 07:00:00, -13.9, None, None,2
700.0, 528.0, None, None,2019-01-09 08:00:00, -13.5, None, None,2
701.0, 529.0, None, None,2019-01-09 09:00:00, -13.0, None, None,2
701.0, 529.0, None, None,2019-01-09 10:00:00, -12.6, None, None,2
702.0, 530.0, None, None,2019-01-09 11:00:00, -11.9, None, None,2
702.0, 530.0, None, None,2019-01-09 12:00:00, -11.4, None, None,2
703.0, 531.0, None, None,2019-01-09 13:00:00, -10.9, None, None,2
703.0, 531.0, None, None,2019-01-09 14:00:00, -10.5, None, None,2
703.0, 532.0, None, None,2019-01-09 15:00:00, -10.1, None, None,2
703.0, 532.0, None, None,2019-01-09 16:00:00, -10.5, None, None,2
703.0, 532.0, None, None,2019-01-09 17:00:00, -10.0, None, None,2
704.0, 532.0, None, None,2019-01-09 18:00:00, -9.5, None, None,2
704.0, 532.0, None, None,2019-01-09 19:00:00, -7.6, None, None,2
705.0, 533.0, None, None,2019-01-09 20:00:00, -6.8, None, None,2
705.0, 533.0, None, None,2019-01-09 21:00:00, -4.4, None, None,2
706.0, 534.0, None, None,2019-01-09 22:00:00, -6.1, None, None,2
706.0, 535.0, None, None,2019-01-09 23:00:00, -5.0, None, None,2
707.0, 535.0, None, None,2019-01-10 00:00:00, -5.6, None, None,2
707.0, 535.0, None, None,2019-01-10 01:00:00, -5.7, None, None,2
707.0, 536.0, None, None,2019-01-10 02:00:00, -5.8, None, None,2
707.0, 536.0, None, None,2019-01-10 03:00:00, -5.0, None, None,2
707.0, 536.0, None, None,2019-01-10 04:00:00, -4.3, None, None,2
707.0, 536.0, None, None,2019-01-10 05:00:00, -5.8, None, None,2
707.0, 536.0, None, None,2019-01-10 06:00:00, -5.6, None, None,2
707.0, 536.0, None, None,2019-01-10 07:00:00, -5.6, None, None,2
707.0, 536.0, None, None,2019-01-10 08:00:00, -5.2, None, None,2
708.0, 536.0, None, None,2019-01-10 09:00:00, -5.5, None, None,2
708.0, 536.0, None, None,2019-01-10 10:00:00, -5.1, None, None,2
708.0, 536.0, None, None,2019-01-10 11:00:00, -5.1, None, None,2
