TempC,SolarRadiationWm,RH,Wetness,WindSpeedms,Pressurembar,Rainmm,GustSpeedms,time,WindDirection,DewPtC,week_of_year
5.745,0.6,93.7,98.24,0.0,922.95, 0.0,0.5,2019-08-13 00:00:00, 355.2,4.8,33
6.255,0.6,94.4,99.41,0.0,923.25, 0.0,1.26,2019-08-13 01:00:00, 11.2,5.4,33
5.128,0.6,94.4,100.0,0.0,923.35, 0.0,0.76,2019-08-13 02:00:00, 25.3,4.3,33
4.141,0.6,94.7,100.0,0.0,923.45, 0.0,1.01,2019-08-13 03:00:00, 22.5,3.4,33
3.722,0.6,95.0,100.0,0.0,923.55, 0.0,0.76,2019-08-13 04:00:00, 11.2,3.0,33
3.722,5.6,95.2,99.41,0.0,923.75, 0.0,0.5,2019-08-13 05:00:00, 11.2,3.0,33
4.662,84.4,95.5,100.0,0.0,923.95, 0.0,1.51,2019-08-13 06:00:00, 11.2,4.0,33
8.99,250.6,95.7,58.24,0.0,924.25, 0.0,0.0,2019-08-13 07:00:00, 7.0,8.3,33
12.871,408.1,91.1,19.41,0.0,924.55, 0.0,0.5,2019-08-13 08:00:00, 314.5,11.5,33
17.177,563.1,79.1,7.06,0.0,924.45, 0.0,1.76,2019-08-13 09:00:00, 231.6,13.5,33
19.151,691.9,70.6,3.53,0.0,924.25, 0.0,1.76,2019-08-13 10:00:00, 217.6,13.7,33
21.27,778.1,61.9,3.53,0.0,923.95, 0.0,2.01,2019-08-13 11:00:00, 245.7,13.7,33
23.184,829.4,51.2,3.53,0.0,923.55, 0.0,2.27,2019-08-13 12:00:00, 263.9,12.6,33
23.328,829.4,43.9,3.53,0.25,923.25, 0.0,3.02,2019-08-13 13:00:00, 234.5,10.4,33
23.737,759.4,42.2,3.53,0.25,922.95, 0.0,2.77,2019-08-13 14:00:00, 233.1,10.2,33
24.532,669.4,44.0,3.53,0.5,922.35, 0.0,3.02,2019-08-13 15:00:00, 244.3,11.5,33
23.978,546.9,42.8,3.53,0.5,921.95, 0.0,2.77,2019-08-13 16:00:00, 209.2,10.6,33
23.954,393.1,41.9,3.53,0.25,921.65, 0.0,2.27,2019-08-13 17:00:00, 224.6,10.2,33
22.417,231.9,41.3,2.94,0.0,921.25, 0.0,2.27,2019-08-13 18:00:00, 223.2,8.6,33
18.818,48.1,50.7,2.94,0.0,921.85, 0.0,2.01,2019-08-13 19:00:00, 234.5,8.4,33
13.185,1.9,62.2,2.94,0.0,922.45, 0.0,2.01,2019-08-13 20:00:00, 209.2,6.1,33
9.706,0.6,79.7,5.29,0.0,922.75, 0.0,0.76,2019-08-13 21:00:00, 140.4,6.4,33
8.419,0.6,84.2,7.65,0.0,922.95, 0.0,1.01,2019-08-13 22:00:00, 32.3,5.9,33
7.015,0.6,89.3,86.47,0.0,922.95, 0.0,0.25,2019-08-13 23:00:00, 28.1,5.4,33
6.458,0.6,91.5,91.76,0.0,922.95, 0.0,0.0,2019-08-14 00:00:00, 28.1,5.2,33
6.458,0.6,92.3,94.12,0.0,923.25, 0.0,0.5,2019-08-14 01:00:00, 36.5,5.3,33
6.051,0.6,93.2,96.47,0.0,923.25, 0.0,0.5,2019-08-14 02:00:00, 43.5,5.0,33
6.255,0.6,93.9,98.24,0.0,923.35, 0.0,0.76,2019-08-14 03:00:00, 43.5,5.4,33
6.509,0.6,94.3,99.41,0.0,923.35, 0.0,0.25,2019-08-14 04:00:00, 43.5,5.7,33
5.796,3.1,94.6,100.0,0.0,923.35, 0.0,0.0,2019-08-14 05:00:00, 43.5,5.0,33
6.306,63.1,94.9,100.0,0.0,923.35, 0.0,0.0,2019-08-14 06:00:00, 43.5,5.6,33
10.687,195.6,95.0,100.0,0.0,923.55, 0.0,0.0,2019-08-14 07:00:00, 43.5,9.9,33
13.834,408.1,85.9,4.12,0.0,923.65, 0.0,1.26,2019-08-14 08:00:00, 141.8,11.5,33
17.796,531.9,75.5,3.53,0.0,923.65, 0.0,1.51,2019-08-14 09:00:00, 161.5,13.4,33
20.269,640.6,64.8,3.53,0.25,923.45, 0.0,2.52,2019-08-14 10:00:00, 238.7,13.4,33
21.533,761.9,56.9,3.53,0.76,923.25, 0.0,3.78,2019-08-14 11:00:00, 289.2,12.6,33
23.641,800.6,52.3,3.53,0.76,922.85, 0.0,4.28,2019-08-14 12:00:00, 279.4,13.3,33
24.05,829.4,49.0,3.53,0.76,922.65, 0.0,4.28,2019-08-14 13:00:00, 285.0,12.7,33
24.508,508.1,46.4,3.53,1.01,922.35, 0.0,4.03,2019-08-14 14:00:00, 272.4,12.3,33
24.508,718.1,46.3,3.53,0.76,922.15, 0.0,3.78,2019-08-14 15:00:00, 268.1,12.2,33
24.532,523.1,45.4,3.53,0.76,921.65, 0.0,3.78,2019-08-14 16:00:00, 279.4,12.0,33
23.016,351.9,45.8,2.94,0.5,921.55, 0.0,4.28,2019-08-14 17:00:00, 283.6,10.7,33
22.92,216.9,45.5,2.94,0.5,921.35, 0.0,2.77,2019-08-14 18:00:00, 279.4,10.5,33
20.293,40.6,48.4,2.94,0.25,921.95, 0.0,3.02,2019-08-14 19:00:00, 311.7,9.1,33
15.509,1.9,55.7,2.35,0.0,922.25, 0.0,3.27,2019-08-14 20:00:00, 303.2,6.7,33
12.195,0.6,70.8,2.94,0.0,922.75, 0.0,0.0,2019-08-14 21:00:00, 301.8,7.1,33
9.361,0.6,82.4,4.71,0.0,922.85, 0.0,0.0,2019-08-14 22:00:00, 303.2,6.5,33
11.224,0.6,84.5,4.12,0.0,922.85, 0.0,0.5,2019-08-14 23:00:00, 299.0,8.7,33
8.767,0.6,86.6,44.12,0.0,922.85, 0.0,0.0,2019-08-15 00:00:00, 280.8,6.7,33
7.695,0.6,89.8,80.59,0.0,922.85, 0.0,0.5,2019-08-15 01:00:00, 280.8,6.1,33
6.813,0.6,91.9,92.35,0.0,922.75, 0.0,0.0,2019-08-15 02:00:00, 282.2,5.6,33
6.509,0.6,93.2,95.88,0.0,922.55, 0.0,0.0,2019-08-15 03:00:00, 282.2,5.5,33
6.306,0.6,94.1,98.24,0.0,922.35, 0.0,0.0,2019-08-15 04:00:00, 282.2,5.4,33
7.619,1.9,94.7,100.0,0.0,922.25, 0.0,1.26,2019-08-15 05:00:00, 276.6,6.8,33
7.97,51.9,94.4,100.0,0.0,922.25, 0.0,0.0,2019-08-15 06:00:00, 98.3,7.1,33
12.775,140.6,92.8,49.41,0.0,922.15, 0.0,0.0,2019-08-15 07:00:00, 98.3,11.7,33
17.701,548.1,78.6,3.53,0.0,921.85, 0.0,1.76,2019-08-15 08:00:00, 44.9,14.0,33
15.724,276.9,63.9,2.94,0.5,921.45, 0.0,3.53,2019-08-15 09:00:00, 258.3,8.9,33
16.654,210.6,63.5,2.94,0.0,921.45, 0.0,2.01,2019-08-15 10:00:00, 268.1,9.7,33
17.605,309.4,59.8,2.94,0.25,921.25, 0.0,2.77,2019-08-15 11:00:00, 286.4,9.7,33
17.986,351.9,56.5,2.94,0.5,920.95, 0.0,2.77,2019-08-15 12:00:00, 293.4,9.2,33
18.01,359.4,57.4,2.94,0.5,920.85, 0.0,3.53,2019-08-15 13:00:00, 297.6,9.5,33
18.176,293.1,58.1,2.94,0.5,920.85, 0.0,4.53,2019-08-15 14:00:00, 296.2,9.8,33
17.819,165.6,58.5,2.94,1.01,920.75, 0.0,5.29,2019-08-15 15:00:00, 299.0,9.6,33
17.653,231.9,63.0,2.94,0.76,920.55, 0.0,4.78,2019-08-15 16:00:00, 293.4,10.5,33
17.582,203.1,63.5,2.94,0.76,920.45, 0.0,4.53,2019-08-15 17:00:00, 289.2,10.6,33
16.058,109.4,65.5,2.94,0.76,920.65, 0.0,3.78,2019-08-15 18:00:00, 283.6,9.6,33
15.27,56.9,68.3,2.94,1.01,920.65, 0.0,4.03,2019-08-15 19:00:00, 293.4,9.5,33
14.026,0.6,71.7,2.94,0.76,920.65, 0.0,4.53,2019-08-15 20:00:00, 282.2,9.0,33
12.727,0.6,74.8,3.53,0.25,920.95, 0.0,3.27,2019-08-15 21:00:00, 286.4,8.4,33
12.389,0.6,78.0,3.53,0.0,921.15, 0.0,3.02,2019-08-15 22:00:00, 283.6,8.7,33
11.175,0.6,80.8,4.71,0.0,921.45, 0.0,2.01,2019-08-15 23:00:00, 282.2,8.0,33
10.443,0.6,84.8,7.65,0.0,921.65, 0.0,1.26,2019-08-16 00:00:00, 328.5,8.0,33
9.558,0.6,85.9,53.53,0.0,921.65, 0.0,2.27,2019-08-16 01:00:00, 325.7,7.3,33
10.173,0.6,87.7,28.82,0.0,921.75, 0.0,1.76,2019-08-16 02:00:00, 341.2,8.2,33
6.813,0.6,89.4,94.12,0.0,921.95, 0.0,1.26,2019-08-16 03:00:00, 307.5,5.2,33
4.74,0.6,93.5,98.24,0.0,922.15, 0.0,0.0,2019-08-16 04:00:00, 303.2,3.8,33
4.298,4.4,94.3,100.0,0.0,922.45, 0.0,0.5,2019-08-16 05:00:00, 14.0,3.5,33
4.869,65.6,94.6,100.0,0.0,922.55, 0.0,0.25,2019-08-16 06:00:00, 19.7,4.1,33
8.817,108.1,95.0,100.0,0.0,923.05, 0.0,0.5,2019-08-16 07:00:00, 19.7,8.1,33
14.912,403.1,87.3,4.12,0.0,923.25, 0.0,1.76,2019-08-16 08:00:00, 220.4,12.8,33
16.201,499.4,74.2,3.53,0.0,923.15, 0.0,2.77,2019-08-16 09:00:00, 206.4,11.6,33
15.676,220.6,69.4,3.53,0.25,922.85, 0.0,2.27,2019-08-16 10:00:00, 282.2,10.1,33
17.32,206.9,60.3,2.94,0.25,922.45, 0.0,2.01,2019-08-16 11:00:00, 306.1,9.6,33
18.366,313.1,55.6,2.94,0.0,921.85, 0.0,2.01,2019-08-16 12:00:00, 299.0,9.3,33
20.746,669.4,52.6,3.53,0.25,921.15, 0.0,3.02,2019-08-16 13:00:00, 285.0,10.7,33
20.412,751.9,48.9,3.53,0.76,920.65, 0.0,4.53,2019-08-16 14:00:00, 271.0,9.3,33
20.627,676.9,49.0,2.94,0.76,920.35, 0.0,4.03,2019-08-16 15:00:00, 289.2,9.6,33
20.746,191.9,43.5,2.94,0.5,919.65, 0.0,3.53,2019-08-16 16:00:00, 283.6,7.9,33
20.031,205.6,43.4,2.94,0.25,919.15, 0.0,3.02,2019-08-16 17:00:00, 301.8,7.2,33
18.747,86.9,44.0,2.94,0.0,919.05, 0.0,2.27,2019-08-16 18:00:00, 297.6,6.3,33
16.796,43.1,49.3,2.94,0.0,918.75, 0.0,1.01,2019-08-16 19:00:00, 335.5,6.1,33
13.497,0.6,63.9,2.35,0.0,918.55, 0.0,0.5,2019-08-16 20:00:00, 338.3,6.8,33
11.589,0.6,74.2,2.94,0.0,918.35, 0.0,0.25,2019-08-16 21:00:00, 338.3,7.2,33
11.88,0.6,75.1,2.94,0.0,917.95, 0.0,1.01,2019-08-16 22:00:00, 352.4,7.6,33
10.271,0.6,76.2,2.94,0.0,917.55, 0.0,1.26,2019-08-16 23:00:00, 12.6,6.3,33
8.717,0.6,83.0,3.53,0.0,917.15, 0.0,0.5,2019-08-17 00:00:00, 14.0,6.0,33
8.419,0.6,82.5,2.94,0.0,916.55, 0.0,1.01,2019-08-17 01:00:00, 14.0,5.6,33
7.77,0.6,84.4,3.53,0.0,916.05, 0.0,1.01,2019-08-17 02:00:00, 16.8,5.3,33
7.444,0.6,86.9,4.12,0.0,915.35, 0.0,0.25,2019-08-17 03:00:00, 16.8,5.4,33
8.22,0.6,87.6,4.12,0.0,915.05, 0.0,0.5,2019-08-17 04:00:00, 16.8,6.3,33
8.07,0.6,87.3,4.71,0.0,914.45, 0.0,0.5,2019-08-17 05:00:00, 16.8,6.1,33
8.643,29.4,89.1,4.12,0.0,913.85, 0.0,0.0,2019-08-17 06:00:00, 16.8,7.0,33
10.198,44.4,89.8,70.59,0.0,913.55, 0.0,0.0,2019-08-17 07:00:00, 16.8,8.6,33
11.321,88.1,90.6,89.41,0.0,913.45, 0.0,0.0,2019-08-17 08:00:00, 16.8,9.9,33
11.419,103.1,90.3,88.82,0.0,912.85, 0.2,1.26,2019-08-17 09:00:00, 134.8,9.9,33
12.678,181.9,88.8,52.94,0.0,912.55, 0.2,1.01,2019-08-17 10:00:00, 139.0,10.9,33
12.703,228.1,89.1,88.82,0.0,911.95, 0.2,1.26,2019-08-17 11:00:00, 133.4,11.0,33
13.57,54.4,89.2,21.18,0.0,911.35, 0.0,1.01,2019-08-17 12:00:00, 141.8,11.8,33
13.666,96.9,89.4,26.47,0.0,910.95, 0.2,1.01,2019-08-17 13:00:00, 188.1,12.0,33
14.17,149.4,82.7,5.29,0.0,910.65, 0.0,1.76,2019-08-17 14:00:00, 271.0,11.3,33
14.122,195.6,82.1,25.29,0.0,910.45, 0.0,2.27,2019-08-17 15:00:00, 276.6,11.1,33
13.978,54.4,79.8,4.12,0.0,910.05, 0.0,2.01,2019-08-17 16:00:00, 268.1,10.6,33
14.266,98.1,80.5,4.12,0.0,909.45, 0.0,0.0,2019-08-17 17:00:00, 292.0,11.0,33
13.594,33.1,80.6,35.88,0.0,908.95, 0.0,1.51,2019-08-17 18:00:00, 273.8,10.3,33
11.856,9.4,81.3,100.0,0.0,908.65, 0.2,2.01,2019-08-17 19:00:00, 195.1,8.8,33
10.59,0.6,92.2,98.82,0.0,908.55, 0.6,0.0,2019-08-17 20:00:00, 181.1,9.4,33
10.173,0.6,94.4,97.65,0.0,908.45, 1.8,0.76,2019-08-17 21:00:00, 33.7,9.3,33
9.952,0.6,95.1,97.65,0.0,908.35, 1.4,0.0,2019-08-17 22:00:00, 22.5,9.2,33
10.124,0.6,95.5,98.82,0.0,908.05, 0.6,1.01,2019-08-17 23:00:00, 37.9,9.4,33
