TempC,SolarRadiationWm,RH,WindSpeedms,Pressurembar,Rainmm,GustSpeedms,time,WindDirection,DewPtC,week_of_year
8.17,0.6,97.7,0.0,905.15, 0.0,1.51,2019-08-20 00:00:00,51.9,7.8,34
7.67,0.6,99.7,0.0,904.95, 0.0,0.0,2019-08-20 01:00:00,51.9,7.6,34
8.344,0.6,100.0,0.0,904.75, 0.0,2.01,2019-08-20 02:00:00,53.3,8.4,34
8.245,0.6,100.0,0.0,904.65, 0.0,1.51,2019-08-20 03:00:00,75.8,8.3,34
8.02,0.6,100.0,0.0,904.45, 0.0,1.51,2019-08-20 04:00:00,108.1,8.0,34
7.845,14.4,100.0,0.0,904.15, 0.0,0.76,2019-08-20 05:00:00,144.6,7.9,34
7.895,63.1,100.0,0.0,904.35, 0.0,0.5,2019-08-20 06:00:00,113.7,7.9,34
8.891,141.9,100.0,0.0,904.45, 0.0,0.76,2019-08-20 07:00:00,154.4,8.9,34
11.102,196.9,95.7,0.0,904.45, 0.0,1.26,2019-08-20 08:00:00,75.8,10.5,34
13.834,325.6,91.4,0.0,904.45, 0.0,1.26,2019-08-20 09:00:00,51.9,12.5,34
17.415,654.4,79.4,0.25,904.55, 0.0,2.27,2019-08-20 10:00:00,53.3,13.8,34
19.579,400.6,66.0,0.76,904.15, 0.0,2.77,2019-08-20 11:00:00,73.0,13.1,34
20.627,350.6,54.9,1.01,903.65, 0.0,4.03,2019-08-20 12:00:00,56.2,11.3,34
20.388,298.1,50.3,1.51,903.25, 0.0,5.04,2019-08-20 13:00:00,80.0,9.7,34
20.15,270.6,57.1,1.26,902.75, 0.0,4.03,2019-08-20 14:00:00,68.8,11.4,34
19.532,240.6,62.3,1.26,902.35, 0.0,4.78,2019-08-20 15:00:00,77.2,12.1,34
19.175,176.9,69.7,0.76,901.95, 0.0,3.78,2019-08-20 16:00:00,68.8,13.5,34
21.39,324.4,69.8,0.5,901.35, 0.0,4.53,2019-08-20 17:00:00,59.0,15.7,34
19.27,59.4,70.2,1.01,900.55, 0.0,5.54,2019-08-20 18:00:00,67.4,13.7,34
17.582,10.6,78.9,0.25,900.05, 0.0,4.03,2019-08-20 19:00:00,67.4,13.9,34
16.106,0.6,84.7,0.0,899.35, 0.0,2.27,2019-08-20 20:00:00,75.8,13.5,34
15.867,0.6,85.8,0.0,898.75, 0.0,2.27,2019-08-20 21:00:00,91.3,13.5,34
14.864,0.6,89.2,0.0,898.35, 0.0,1.01,2019-08-20 22:00:00,87.0,13.1,34
11.929,0.6,94.3,0.0,897.95, 0.0,0.5,2019-08-20 23:00:00,59.0,11.1,34
10.026,0.6,99.3,0.0,897.25, 0.0,0.0,2019-08-21 00:00:00,64.6,9.9,34
9.731,0.6,100.0,0.0,896.75, 0.0,0.0,2019-08-21 01:00:00,64.6,9.7,34
9.287,0.6,100.0,0.0,896.05, 0.0,0.0,2019-08-21 02:00:00,64.6,9.3,34
9.04,0.6,100.0,0.0,895.55, 0.0,0.5,2019-08-21 03:00:00,23.9,9.0,34
8.767,0.6,100.0,0.0,895.45, 0.0,0.0,2019-08-21 04:00:00,237.3,8.8,34
9.287,6.9,99.7,0.0,896.05, 0.0,1.51,2019-08-21 05:00:00,242.9,9.3,34
8.916,46.9,97.5,0.0,895.95, 0.0,2.27,2019-08-21 06:00:00,262.5,8.6,34
10.247,199.4,99.4,0.0,895.45, 0.0,0.0,2019-08-21 07:00:00,275.2,10.2,34
13.786,155.6,88.9,0.0,895.15, 0.0,1.26,2019-08-21 08:00:00,237.3,12.0,34
17.415,204.4,83.7,0.0,895.15, 0.0,0.0,2019-08-21 09:00:00,119.3,14.6,34
