WSPD_SCLR,time,week_of_year
3.13159,2019-08-27 00:00:00,35
3.57305,2019-08-27 01:00:00,35
2.89849,2019-08-27 02:00:00,35
4.44635,2019-08-27 03:00:00,35
4.08846,2019-08-27 04:00:00,35
3.04834,2019-08-27 05:00:00,35
3.47577,2019-08-27 06:00:00,35
3.59512,2019-08-27 07:00:00,35
2.96528,2019-08-27 08:00:00,35
4.60291,2019-08-27 09:00:00,35
4.44772,2019-08-27 10:00:00,35
5.15792,2019-08-27 11:00:00,35
5.99743,2019-08-27 12:00:00,35
4.8956,2019-08-27 13:00:00,35
6.90785,2019-08-27 14:00:00,35
5.87981,2019-08-27 15:00:00,35
6.41029,2019-08-27 16:00:00,35
6.05204,2019-08-27 17:00:00,35
5.07133,2019-08-27 18:00:00,35
4.58274,2019-08-27 19:00:00,35
3.5677,2019-08-27 20:00:00,35
3.33005,2019-08-27 21:00:00,35
1.30827,2019-08-27 22:00:00,35
1.97046,2019-08-27 23:00:00,35
1.67276,2019-08-28 00:00:00,35
2.3166,2019-08-28 01:00:00,35
2.46707,2019-08-28 02:00:00,35
2.11684,2019-08-28 03:00:00,35
2.22438,2019-08-28 04:00:00,35
2.11001,2019-08-28 05:00:00,35
1.30472,2019-08-28 06:00:00,35
2.52979,2019-08-28 07:00:00,35
3.77836,2019-08-28 08:00:00,35
3.3515,2019-08-28 09:00:00,35
2.75681,2019-08-28 10:00:00,35
2.57388,2019-08-28 11:00:00,35
3.49042,2019-08-28 12:00:00,35
3.36572,2019-08-28 13:00:00,35
2.18851,2019-08-28 14:00:00,35
1.84664,2019-08-28 15:00:00,35
1.67066,2019-08-28 16:00:00,35
1.93863,2019-08-28 17:00:00,35
1.63066,2019-08-28 18:00:00,35
1.03979,2019-08-28 19:00:00,35
0.910677,2019-08-28 20:00:00,35
0.48987,2019-08-28 21:00:00,35
0.471808,2019-08-28 22:00:00,35
0.728548,2019-08-28 23:00:00,35
0.969842,2019-08-29 00:00:00,35
1.05142,2019-08-29 01:00:00,35
1.26211,2019-08-29 02:00:00,35
1.10885,2019-08-29 03:00:00,35
0.894691,2019-08-29 04:00:00,35
0.740011,2019-08-29 05:00:00,35
