TempC,SolarRadiationWm,RH,WindSpeedms,Pressurembar,Rainmm,GustSpeedms,time,WindDirection,DewPtC,week_of_year
4.766,0.6,75.7,2.53,851.15,0.0,9.94,2019-09-10 00:00:00,96.9,0.8,37
4.792,0.6,80.6,3.31,850.55,0.0,7.99,2019-09-10 01:00:00,320.1,1.7,37
4.324,0.6,82.5,3.12,850.15,0.0,9.74,2019-09-10 02:00:00,328.5,1.6,37
3.985,0.6,87.9,2.73,849.95,0.0,8.77,2019-09-10 03:00:00,44.9,2.2,37
3.932,0.6,90.9,3.51,850.15,0.0,10.52,2019-09-10 04:00:00,123.5,2.6,37
4.194,1.9,89.2,3.7,850.15,0.0,8.77,2019-09-10 05:00:00,123.5,2.6,37
4.662,31.9,88.8,4.68,850.05,0.0,9.55,2019-09-10 06:00:00,122.1,3.0,37
4.74,94.4,87.4,4.87,850.05,0.0,8.97,2019-09-10 07:00:00,123.5,2.8,37
5.949,338.1,87.5,4.29,849.95,0.0,9.16,2019-09-10 08:00:00,127.8,4.0,37
6.051,225.6,84.3,4.48,849.85,0.0,8.97,2019-09-10 09:00:00,130.6,3.6,37
8.717,679.4,79.9,3.7,849.95,0.0,9.16,2019-09-10 10:00:00,115.1,5.5,37
9.015,370.6,74.1,2.73,849.95,0.0,9.74,2019-09-10 11:00:00,88.4,4.7,37
10.907,696.9,73.4,1.75,850.05,0.0,6.43,2019-09-10 12:00:00,70.2,6.3,37
9.238,639.4,76.7,3.12,850.05,0.0,6.04,2019-09-10 13:00:00,87.0,5.4,37
10.81,514.4,78.9,3.31,849.85,0.0,7.8,2019-09-10 14:00:00,71.6,7.3,37
10.1,429.4,79.4,3.31,849.55,0.0,5.85,2019-09-10 15:00:00,75.8,6.7,37
9.064,121.9,82.2,3.31,849.45,0.0,5.65,2019-09-10 16:00:00,56.2,6.2,37
8.344,39.4,84.7,3.51,849.35,0.0,5.85,2019-09-10 17:00:00,57.6,5.9,37
8.792,10.6,88.1,4.09,849.25,0.0,8.38,2019-09-10 18:00:00,77.2,6.9,37
8.17,0.6,85.5,4.87,849.05,0.0,8.19,2019-09-10 19:00:00,113.7,5.9,37
7.745,0.6,87.0,4.09,849.05,0.0,8.38,2019-09-10 20:00:00,122.1,5.7,37
7.645,0.6,87.3,3.31,848.75,0.0,7.41,2019-09-10 21:00:00,117.9,5.7,37
7.519,0.6,89.3,2.14,848.75,0.0,5.85,2019-09-10 22:00:00,132.0,5.9,37
8.444,0.6,86.4,0.97,848.75,0.0,3.51,2019-09-10 23:00:00,213.4,6.3,37
8.965,0.6,82.5,0.78,848.65,0.0,1.95,2019-09-11 00:00:00,238.7,6.2,37
8.717,0.6,82.7,0.97,848.65,0.0,3.51,2019-09-11 01:00:00,293.4,5.9,37
8.22,0.6,84.6,3.12,848.55,0.0,4.68,2019-09-11 02:00:00,300.4,5.8,37
