WDIR_VECT,TEMP_MEAN,WSPD_SCLR,PRECIP_TOTAL,avg_rel_hum_pst1hr,time,HUMIDITY,avg_air_temp_pst1hr,week_of_year
340.3, 9.7, 1.118, None, 96.4,2019-09-17 00:00:00, 92.4, 9.13,38
146.9, 9.1, 1.206, None, 97.5,2019-09-17 01:00:00, 96.4, 8.42,38
224.5, 8.4, 1.347, None, 98.0,2019-09-17 02:00:00, 97.5, 7.9,38
234.9, 7.9, 1.376, None, 99.0,2019-09-17 03:00:00, 98.0, 7.44,38
216.9, 7.4, 1.041, None, 99.4,2019-09-17 04:00:00, 99.0, 6.923,38
229.4, 6.9, 1.347, None, 99.6,2019-09-17 05:00:00, 99.4, 6.577,38
217.9, 6.6, 1.214, None, 99.3,2019-09-17 06:00:00, 99.6, 6.12,38
250.9, 6.1, 0.972, None, 99.3,2019-09-17 07:00:00, 99.3, 6.085,38
239.6, 6.1, 1.262, None, 99.7,2019-09-17 08:00:00, 99.3, 6.477,38
244.0, 6.5, 0.950999, None, 100.0,2019-09-17 09:00:00, 99.7, 7.63,38
225.9, 7.6, 1.053, None, 100.0,2019-09-17 10:00:00, 100.0, 9.62,38
236.8, 9.6, 3.127, None, 69.19,2019-09-17 11:00:00, 100.0, 14.22,38
179.9, 14.2, 4.748, None, 55.41,2019-09-17 12:00:00, 69.2, 15.54,38
179.5, 15.5, 5.073, None, 53.55,2019-09-17 13:00:00, 55.4, 15.68,38
182.4, 15.7, 3.467, None, 53.92,2019-09-17 14:00:00, 53.6, 15.6,38
186.9, 15.6, 2.045, None, 56.48,2019-09-17 15:00:00, 53.9, 15.61,38
179.3, 15.6, 1.771, None, 64.5,2019-09-17 16:00:00, 56.5, 15.02,38
192.3, 15.0, 2.129, None, 82.3,2019-09-17 17:00:00, 64.5, 12.65,38
108.3, 12.7, 2.479, None, 79.9,2019-09-17 18:00:00, 82.3, 12.97,38
74.6, 13.0, 1.135, None, 80.8,2019-09-17 19:00:00, 79.9, 12.76,38
