pcpn_amt_pst24hrs,SWE,cum_pcpn_amt,ONE_DAY_SNOW,air_temp_2,air_temp_1,snw_dpth,MAX_TEMP,ONE_DAY_PRECIPITATION,pcpn_amt_pst1hr,snw_dpth_wtr_equiv,MIN_TEMP,time,SNOW_ON_THE_GROUND,week_of_year
None, None, None, None, None, 3.4, 16.0, None, None, 1209.0, None, None,2019-09-24 00:00:00, None,39
None, None, None, None, None, 3.4, 15.0, None, None, 1210.0, None, None,2019-09-24 01:00:00, None,39
None, None, None, None, None, 3.1, 16.0, None, None, 1210.0, None, None,2019-09-24 02:00:00, None,39
None, None, None, None, None, 4.1, 15.0, None, None, 1210.0, None, None,2019-09-24 03:00:00, None,39
None, None, None, None, None, 4.5, 16.0, None, None, 1213.0, None, None,2019-09-24 04:00:00, None,39
None, None, None, None, None, 4.4, 16.0, None, None, 1215.0, None, None,2019-09-24 05:00:00, None,39
None, None, None, None, None, 4.4, 16.0, None, None, 1215.0, None, None,2019-09-24 06:00:00, None,39
None, None, None, None, None, 4.3, 15.0, None, None, 1215.0, None, None,2019-09-24 07:00:00, None,39
None, None, None, None, None, 4.0, 15.0, None, None, 1215.0, None, None,2019-09-24 08:00:00, None,39
None, None, None, None, None, 3.8, 15.0, None, None, 1215.0, None, None,2019-09-24 09:00:00, None,39
None, None, None, None, None, 3.6, 15.0, None, None, 1215.0, None, None,2019-09-24 10:00:00, None,39
None, None, None, None, None, 3.1, 15.0, None, None, 1215.0, None, None,2019-09-24 11:00:00, None,39
None, None, None, None, None, 2.7, 15.0, None, None, 1215.0, None, None,2019-09-24 12:00:00, None,39
None, None, None, None, None, 2.6, 15.0, None, None, 1215.0, None, None,2019-09-24 13:00:00, None,39
None, None, None, None, None, 1.9, 15.0, None, None, 1215.0, None, None,2019-09-24 14:00:00, None,39
None, None, None, None, None, 1.3, 16.0, None, None, 1215.0, None, None,2019-09-24 15:00:00, None,39
None, 709.0, None, None, None, 2.1, 16.0, None, None, 1215.0, None, None,2019-09-24 16:00:00, None,39
None, None, None, None, None, 3.5, 15.0, None, None, 1216.0, None, None,2019-09-24 17:00:00, None,39
None, None, None, None, None, 3.1, 16.0, None, None, 1216.0, None, None,2019-09-24 18:00:00, None,39
None, None, None, None, None, 3.5, 16.0, None, None, 1217.0, None, None,2019-09-24 19:00:00, None,39
None, None, None, None, None, 3.2, 16.0, None, None, 1217.0, None, None,2019-09-24 20:00:00, None,39
None, None, None, None, None, 1.1, 16.0, None, None, 1217.0, None, None,2019-09-24 21:00:00, None,39
None, None, None, None, None, 2.6, 16.0, None, None, 1218.0, None, None,2019-09-24 22:00:00, None,39
None, None, None, None, None, 2.9, 16.0, None, None, 1218.0, None, None,2019-09-24 23:00:00, None,39
None, None, None, None, None, 3.1, 16.0, None, None, 1219.0, None, None,2019-09-25 00:00:00, None,39
None, None, None, None, None, 2.9, 16.0, None, None, 1219.0, None, None,2019-09-25 01:00:00, None,39
None, None, None, None, None, 2.6, 16.0, None, None, 1218.0, None, None,2019-09-25 02:00:00, None,39
None, None, None, None, None, 2.5, 16.0, None, None, 1218.0, None, None,2019-09-25 03:00:00, None,39
None, None, None, None, None, 1.8, 16.0, None, None, 1218.0, None, None,2019-09-25 04:00:00, None,39
None, None, None, None, None, 1.4, 16.0, None, None, 1218.0, None, None,2019-09-25 05:00:00, None,39
None, None, None, None, None, 1.3, 16.0, None, None, 1218.0, None, None,2019-09-25 06:00:00, None,39
None, None, None, None, None, 2.1, 15.0, None, None, 1218.0, None, None,2019-09-25 07:00:00, None,39
None, None, None, None, None, 2.0, 16.0, None, None, 1218.0, None, None,2019-09-25 08:00:00, None,39
None, None, None, None, None, 2.2, 15.0, None, None, 1218.0, None, None,2019-09-25 09:00:00, None,39
None, None, None, None, None, 2.0, 16.0, None, None, 1218.0, None, None,2019-09-25 10:00:00, None,39
None, None, None, None, None, 2.1, 16.0, None, None, 1218.0, None, None,2019-09-25 11:00:00, None,39
None, None, None, None, None, 2.1, 16.0, None, None, 1218.0, None, None,2019-09-25 12:00:00, None,39
None, None, None, None, None, 1.8, 16.0, None, None, 1218.0, None, None,2019-09-25 13:00:00, None,39
None, None, None, None, None, 1.7, 16.0, None, None, 1218.0, None, None,2019-09-25 14:00:00, None,39
None, None, None, None, None, 1.6, 16.0, None, None, 1218.0, None, None,2019-09-25 15:00:00, None,39
None, 720.0, None, None, None, 2.1, 16.0, None, None, 1218.0, None, None,2019-09-25 16:00:00, None,39
None, None, None, None, None, 2.4, 16.0, None, None, 1218.0, None, None,2019-09-25 17:00:00, None,39
None, None, None, None, None, 2.7, 16.0, None, None, 1219.0, None, None,2019-09-25 18:00:00, None,39
None, None, None, None, None, 3.0, 16.0, None, None, 1219.0, None, None,2019-09-25 19:00:00, None,39
None, None, None, None, None, 3.3, 16.0, None, None, 1219.0, None, None,2019-09-25 20:00:00, None,39
None, None, None, None, None, 3.1, 16.0, None, None, 1219.0, None, None,2019-09-25 21:00:00, None,39
None, None, None, None, None, 3.0, 16.0, None, None, 1219.0, None, None,2019-09-25 22:00:00, None,39
None, None, None, None, None, 2.8, 16.0, None, None, 1220.0, None, None,2019-09-25 23:00:00, None,39
