AirTemperature,Precipitation,Rain,WindSpeed,SnowDepth,time,WindDirection,RelativeHumidity,week_of_year
2.1, 0.0,0.0,7.1, 0.0,2019-10-01 00:00:00,255.0,87.0,40
2.1, None,0.0,5.5, None,2019-10-01 00:15:00,262.0,88.0,40
2.1, None,0.0,5.6, None,2019-10-01 00:30:00,281.0,89.0,40
1.9, None,0.0,6.4, None,2019-10-01 00:45:00,258.0,89.0,40
1.7, 0.0,0.0,6.4, 0.0,2019-10-01 01:00:00,268.0,90.0,40
1.6, None,0.0,5.8, None,2019-10-01 01:15:00,275.0,90.0,40
1.6, None,0.0,6.0, None,2019-10-01 01:30:00,272.0,90.0,40
2.2, None,0.0,7.5, None,2019-10-01 01:45:00,276.0,83.0,40
3.1, 0.0,0.0,7.1, 0.0,2019-10-01 02:00:00,285.0,80.0,40
2.6, None,0.0,5.5, None,2019-10-01 02:15:00,270.0,84.0,40
2.3, None,0.0,6.1, None,2019-10-01 02:30:00,274.0,85.0,40
2.2, None,0.0,6.6, None,2019-10-01 02:45:00,253.0,86.0,40
1.9, 0.0,0.0,6.5, 0.0,2019-10-01 03:00:00,266.0,88.0,40
2.6, None,0.0,7.3, None,2019-10-01 03:15:00,278.0,77.0,40
2.7, None,0.0,7.1, None,2019-10-01 03:30:00,269.0,80.0,40
2.7, None,0.0,6.9, None,2019-10-01 03:45:00,251.0,80.0,40
2.4, 0.0,0.0,6.3, 0.0,2019-10-01 04:00:00,243.0,81.0,40
2.1, None,0.0,4.9, None,2019-10-01 04:15:00,235.0,83.0,40
2.2, None,0.0,5.7, None,2019-10-01 04:30:00,244.0,83.0,40
2.7, None,0.0,6.4, None,2019-10-01 04:45:00,240.0,78.0,40
2.6, 0.0,0.0,6.0, 0.0,2019-10-01 05:00:00,244.0,78.0,40
2.6, None,0.0,5.6, None,2019-10-01 05:15:00,241.0,80.0,40
2.3, None,0.0,6.4, None,2019-10-01 05:30:00,256.0,81.0,40
1.9, None,0.0,6.3, None,2019-10-01 05:45:00,260.0,82.0,40
1.7, 0.0,0.0,6.3, 0.0,2019-10-01 06:00:00,249.0,82.0,40
2.2, None,0.0,6.6, None,2019-10-01 06:15:00,268.0,77.0,40
1.7, None,0.0,5.8, None,2019-10-01 06:30:00,254.0,82.0,40
1.9, None,0.0,5.5, None,2019-10-01 06:45:00,246.0,80.0,40
1.7, 0.0,0.0,6.1, 0.0,2019-10-01 07:00:00,253.0,81.0,40
1.7, None,0.0,6.9, None,2019-10-01 07:15:00,254.0,83.0,40
2.1, None,0.0,4.9, None,2019-10-01 07:30:00,242.0,83.0,40
2.4, None,0.0,2.8, None,2019-10-01 07:45:00,228.0,78.0,40
3.7, 0.0,0.0,2.4, 0.0,2019-10-01 08:00:00,237.0,84.0,40
6.0, None,0.0,3.0, None,2019-10-01 08:15:00,247.0,66.0,40
6.1, None,0.0,4.5, None,2019-10-01 08:30:00,227.0,68.0,40
6.8, None,0.0,2.9, None,2019-10-01 08:45:00,221.0,64.0,40
8.9, -1.0,0.0,0.3, 0.0,2019-10-01 09:00:00,144.0,58.0,40
11.3, None,0.0,3.3, None,2019-10-01 09:15:00,100.0,49.0,40
12.2, None,0.0,5.1, None,2019-10-01 09:30:00,105.0,45.0,40
10.9, None,0.0,7.1, None,2019-10-01 09:45:00,111.0,54.0,40
10.2, 0.0,0.0,6.7, 0.0,2019-10-01 10:00:00,104.0,48.0,40
10.4, None,0.0,5.5, None,2019-10-01 10:15:00,107.0,50.0,40
10.5, None,0.0,7.1, None,2019-10-01 10:30:00,75.0,53.0,40
10.5, None,0.0,7.8, None,2019-10-01 10:45:00,76.0,49.0,40
10.6, 0.0,0.0,7.1, 0.0,2019-10-01 11:00:00,107.0,49.0,40
11.1, None,0.0,6.8, None,2019-10-01 11:15:00,136.0,54.0,40
11.7, None,0.0,6.8, None,2019-10-01 11:30:00,107.0,51.0,40
