CURRENT_AIR_TEMPERATURE1,PRECIPITATION_NEW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,WIND_DIRECTION_STD_DEVIATION1,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,avg_wnd_spd_10m_pst10mts,air_temp,min_air_temp_snc_last_reset,pcpn_amt_pst1hr,avg_wnd_dir_10m_pst10mts,max_air_temp_snc_last_reset,ACTUAL_WIND_DIRECTION,ACTUAL_WIND_SPEED,rel_hum,MAXIMUM_AIR_TEMPERATURE,time,snw_dpth,MAXIMUM_MEASURED_WIND_SPEED1,snwfl_amt_pst1hr,stn_pres,week_of_year
-4.438, None, None, None,44.76,2.931,221.9, None, None, None, None, None, None, None, None, None, None, None,2019-10-15 00:00:00, None, None, None, None,42
-4.169, None, None, None,46.04,3.633,209.2, None, None, None, None, None, None, None, None, None, None, None,2019-10-15 01:00:00, None, None, None, None,42
-3.977, None, None, None,42.85,4.177,205.1, None, None, None, None, None, None, None, None, None, None, None,2019-10-15 02:00:00, None, None, None, None,42
-3.718, None, None, None,44.38,3.754,198.9, None, None, None, None, None, None, None, None, None, None, None,2019-10-15 03:00:00, None, None, None, None,42
-3.632, None, None, None,40.92,4.373,194.6, None, None, None, None, None, None, None, None, None, None, None,2019-10-15 04:00:00, None, None, None, None,42
-3.488, None, None, None,31.58,7.18,187.2, None, None, None, None, None, None, None, None, None, None, None,2019-10-15 05:00:00, None, None, None, None,42
-3.364, None, None, None,40.43,4.592,192.7, None, None, None, None, None, None, None, None, None, None, None,2019-10-15 06:00:00, None, None, None, None,42
-3.211, None, None, None,53.23,2.391,215.3, None, None, None, None, None, None, None, None, None, None, None,2019-10-15 07:00:00, None, None, None, None,42
-3.109, None, None, None,47.42,3.191,208.2, None, None, None, None, None, None, None, None, None, None, None,2019-10-15 08:00:00, None, None, None, None,42
-2.945, None, None, None,50.39,2.611,216.9, None, None, None, None, None, None, None, None, None, None, None,2019-10-15 09:00:00, None, None, None, None,42
-2.83, None, None, None,44.83,3.385,197.3, None, None, None, None, None, None, None, None, None, None, None,2019-10-15 10:00:00, None, None, None, None,42
-2.643, None, None, None,35.02,6.069,190.7, None, None, None, None, None, None, None, None, None, None, None,2019-10-15 11:00:00, None, None, None, None,42
-2.483, None, None, None,35.6,6.278,194.6, None, None, None, None, None, None, None, None, None, None, None,2019-10-15 12:00:00, None, None, None, None,42
-2.303, None, None, None,36.06,6.328,194.6, None, None, None, None, None, None, None, None, None, None, None,2019-10-15 13:00:00, None, None, None, None,42
-2.247, None, None, None,33.66,6.315,195.3, None, None, None, None, None, None, None, None, None, None, None,2019-10-15 14:00:00, None, None, None, None,42
-2.351, None, None, None,33.0,5.269,206.9, None, None, None, None, None, None, None, None, None, None, None,2019-10-15 15:00:00, None, None, None, None,42
-2.218, None, None, None,34.86,4.59,207.2, None, None, None, None, None, None, None, None, None, None, None,2019-10-15 16:00:00, None, None, None, None,42
-1.904, None, None, None,37.24,4.259,205.5, None, None, None, None, None, None, None, None, None, None, None,2019-10-15 17:00:00, None, None, None, None,42
-1.771, None, None, None,40.96,4.362,204.4, None, None, None, None, None, None, None, None, None, None, None,2019-10-15 18:00:00, None, None, None, None,42
-1.904, None, None, None,32.79,10.35,188.3, None, None, None, None, None, None, None, None, None, None, None,2019-10-15 19:00:00, None, None, None, None,42
-2.047, None, None, None,27.84,13.46,182.1, None, None, None, None, None, None, None, None, None, None, None,2019-10-15 20:00:00, None, None, None, None,42
-1.677, None, None, None,21.97,16.41,174.6, None, None, None, None, None, None, None, None, None, None, None,2019-10-15 21:00:00, None, None, None, None,42
-1.895, None, None, None,19.94,17.63,178.1, None, None, None, None, None, None, None, None, None, None, None,2019-10-15 22:00:00, None, None, None, None,42
-2.152, None, None, None,35.21,7.47,190.2, None, None, None, None, None, None, None, None, None, None, None,2019-10-15 23:00:00, None, None, None, None,42
-2.095, None, None, None,32.96,8.52,186.7, None, None, None, None, None, None, None, None, None, None, None,2019-10-16 00:00:00, None, None, None, None,42
-1.924, None, None, None,29.86,11.3,181.7, None, None, None, None, None, None, None, None, None, None, None,2019-10-16 01:00:00, None, None, None, None,42
-1.618, None, None, None,37.04,9.29,184.3, None, None, None, None, None, None, None, None, None, None, None,2019-10-16 02:00:00, None, None, None, None,42
-1.182, None, None, None,46.27,6.562,199.8, None, None, None, None, None, None, None, None, None, None, None,2019-10-16 03:00:00, None, None, None, None,42
-0.851, None, None, None,41.41,8.33,191.4, None, None, None, None, None, None, None, None, None, None, None,2019-10-16 04:00:00, None, None, None, None,42
-1.031, None, None, None,29.11,12.22,179.3, None, None, None, None, None, None, None, None, None, None, None,2019-10-16 05:00:00, None, None, None, None,42
