pcpn_amt_pst24hrs,ONE_DAY_PRECIPITATION,pcpn_amt_pst1hr,snw_dpth_wtr_equiv,cum_pcpn_amt,MIN_TEMP,ONE_DAY_SNOW,time,air_temp_1,SNOW_ON_THE_GROUND,snw_dpth,MAX_TEMP,week_of_year
None, None,946.0, None, None, None, None,2019-01-29 00:00:00,-5.4, None, 145.0, None,5
None, None,947.0, None, None, None, None,2019-01-29 01:00:00,-6.6, None, 146.0, None,5
None, None,947.0, None, None, None, None,2019-01-29 02:00:00,-7.4, None, 146.0, None,5
None, None,948.0, None, None, None, None,2019-01-29 03:00:00,-8.4, None, 146.0, None,5
None, None,948.0, None, None, None, None,2019-01-29 04:00:00,-8.9, None, 146.0, None,5
None, None,948.0, None, None, None, None,2019-01-29 05:00:00,-9.5, None, 145.0, None,5
None, None,949.0, None, None, None, None,2019-01-29 06:00:00,-9.7, None, 145.0, None,5
None, None,949.0, None, None, None, None,2019-01-29 07:00:00,-10.3, None, 145.0, None,5
None, None,949.0, None, None, None, None,2019-01-29 08:00:00,-10.7, None, 145.0, None,5
None, None,950.0, None, None, None, None,2019-01-29 09:00:00,-10.8, None, 145.0, None,5
None, None,950.0, None, None, None, None,2019-01-29 10:00:00,-11.2, None, 145.0, None,5
None, None,950.0, None, None, None, None,2019-01-29 11:00:00,-11.1, None, 145.0, None,5
None, None,951.0, None, None, None, None,2019-01-29 12:00:00,-12.2, None, 145.0, None,5
None, None,951.0, None, None, None, None,2019-01-29 13:00:00,-12.2, None, 145.0, None,5
None, None,952.0, None, None, None, None,2019-01-29 14:00:00,-12.6, None, 145.0, None,5
None, None,952.0, None, None, None, None,2019-01-29 15:00:00,-12.6, None, 145.0, None,5
None, None,952.0, None, None, None, None,2019-01-29 16:00:00,-12.4, None, 145.0, None,5
None, None,952.0, None, None, None, None,2019-01-29 17:00:00,-10.9, None, 144.0, None,5
None, None,939.0, None, None, None, None,2019-01-29 18:00:00,-8.0, None, 143.0, None,5
None, None,943.0, None, None, None, None,2019-01-29 19:00:00,-3.8, None, 142.0, None,5
None, None,946.0, None, None, None, None,2019-01-29 20:00:00,-2.1, None, 142.0, None,5
None, None,946.0, None, None, None, None,2019-01-29 21:00:00,-4.1, None, 143.0, None,5
None, None,940.0, None, None, None, None,2019-01-29 22:00:00,-0.9, None, 142.0, None,5
None, None,947.0, None, None, None, None,2019-01-29 23:00:00,-5.0, None, 144.0, None,5
None, None,948.0, None, None, None, None,2019-01-30 00:00:00,-6.0, None, 144.0, None,5
None, None,949.0, None, None, None, None,2019-01-30 01:00:00,-7.5, None, 144.0, None,5
None, None,949.0, None, None, None, None,2019-01-30 02:00:00,-7.8, None, 144.0, None,5
None, None,949.0, None, None, None, None,2019-01-30 03:00:00,-8.1, None, 144.0, None,5
None, None,950.0, None, None, None, None,2019-01-30 04:00:00,-8.3, None, 144.0, None,5
None, None,949.0, None, None, None, None,2019-01-30 05:00:00,-8.0, None, 144.0, None,5
None, None,949.0, None, None, None, None,2019-01-30 06:00:00,-7.5, None, 144.0, None,5
None, None,949.0, None, None, None, None,2019-01-30 07:00:00,-7.3, None, 144.0, None,5
None, None,950.0, None, None, None, None,2019-01-30 08:00:00,-7.7, None, 144.0, None,5
None, None,949.0, None, None, None, None,2019-01-30 09:00:00,-7.3, None, 144.0, None,5
None, None,949.0, None, None, None, None,2019-01-30 10:00:00,-7.2, None, 144.0, None,5
None, None,949.0, None, None, None, None,2019-01-30 11:00:00,-6.4, None, 144.0, None,5
None, None,949.0, None, None, None, None,2019-01-30 12:00:00,-6.4, None, 143.0, None,5
None, None,949.0, None, None, None, None,2019-01-30 13:00:00,-6.8, None, 143.0, None,5
None, None,948.0, None, None, None, None,2019-01-30 14:00:00,-6.4, None, 143.0, None,5
