WDIR_VECT,TEMP_MEAN,WSPD_SCLR,HUMIDITY,avg_rel_hum_pst1hr,time,avg_air_temp_pst1hr,week_of_year
132.4, -13.5, 0.855, 86.3, 86.3,2019-02-19 00:00:00, -13.48,8
148.4, -14.1, 0.731998, 86.6, 86.6,2019-02-19 01:00:00, -14.13,8
244.3, -14.7, 0.435, 88.0, 88.0,2019-02-19 02:00:00, -14.73,8
343.4, -15.4, 0.675998, 88.3, 88.3,2019-02-19 03:00:00, -15.41,8
160.8, -16.8, 1.217, 87.3, 87.3,2019-02-19 04:00:00, -16.79,8
159.7, -17.8, 0.515999, 86.7, 86.7,2019-02-19 05:00:00, -17.82,8
153.9, -18.4, 0.861998, 86.0, 86.0,2019-02-19 06:00:00, -18.35,8
163.2, -19.1, 1.231, 85.0, 85.0,2019-02-19 07:00:00, -19.09,8
150.3, -18.9, 0.324, 84.6, 84.6,2019-02-19 08:00:00, -18.86,8
160.3, -17.7, 1.3, 83.1, 83.1,2019-02-19 09:00:00, -17.65,8
167.1, -16.0, 1.622, 82.8, 82.8,2019-02-19 10:00:00, -16.02,8
172.0, -14.4, 0.810998, 81.3, 81.3,2019-02-19 11:00:00, -14.41,8
163.3, -13.5, 1.03, 81.2, 81.2,2019-02-19 12:00:00, -13.54,8
165.8, -12.9, 0.819, 81.3, 81.3,2019-02-19 13:00:00, -12.87,8
185.4, -11.5, 0.773, 78.5, 78.5,2019-02-19 14:00:00, -11.51,8
175.7, -10.9, 1.064, 78.9, 78.9,2019-02-19 15:00:00, -10.87,8
190.7, -10.3, 0.703998, 79.3, 79.3,2019-02-19 16:00:00, -10.3,8
193.2, -10.2, 0.430999, 81.4, 81.4,2019-02-19 17:00:00, -10.18,8
264.3, -10.3, 0.202998, 84.3, 84.3,2019-02-19 18:00:00, -10.34,8
253.1, -10.6, 0.386999, 87.0, 87.0,2019-02-19 19:00:00, -10.55,8
292.5, -10.8, 0.273999, 87.9, 87.9,2019-02-19 20:00:00, -10.77,8
323.4, -11.3, 0.365999, 89.0, 89.0,2019-02-19 21:00:00, -11.31,8
335.9, -12.1, 0.947, 89.2, 89.2,2019-02-19 22:00:00, -12.14,8
335.9, -12.1, 0.625998, 89.1, 89.1,2019-02-19 23:00:00, -12.06,8
330.5, -12.1, 0.675998, 88.6, 88.6,2019-02-20 00:00:00, -12.14,8
311.8, -12.7, 0.584999, 89.0, 89.0,2019-02-20 01:00:00, -12.73,8
342.0, -12.7, 0.298, 89.0, 89.0,2019-02-20 02:00:00, -12.68,8
346.4, -12.8, 0.787, 88.5, 88.5,2019-02-20 03:00:00, -12.79,8
335.0, -13.6, 0.986998, 88.5, 88.5,2019-02-20 04:00:00, -13.63,8
332.7, -14.3, 1.004, 88.5, 88.5,2019-02-20 05:00:00, -14.25,8
330.7, -14.8, 1.257, 88.0, 88.0,2019-02-20 06:00:00, -14.77,8
338.1, -15.8, 1.44, 87.3, 87.3,2019-02-20 07:00:00, -15.78,8
345.3, -16.4, 1.314, 86.6, 86.6,2019-02-20 08:00:00, -16.39,8
334.3, -15.7, 1.503, 86.2, 86.2,2019-02-20 09:00:00, -15.66,8
348.6, -13.7, 1.517, 84.5, 84.5,2019-02-20 10:00:00, -13.74,8
353.5, -11.2, 1.747, 80.4, 80.4,2019-02-20 11:00:00, -11.23,8
319.2, -8.7, 1.635, 71.4, 71.4,2019-02-20 12:00:00, -8.72,8
354.7, -4.8, 0.744, 58.0, 57.98,2019-02-20 13:00:00, -4.815,8
344.9, -3.6, 1.339, 53.3, 53.27,2019-02-20 14:00:00, -3.626,8
337.0, -3.0, 1.526, 54.0, 53.98,2019-02-20 15:00:00, -2.994,8
337.9, -2.7, 1.588, 56.7, 56.65,2019-02-20 16:00:00, -2.721,8
225.6, -5.1, 0.541998, 73.0, 73.0,2019-02-20 17:00:00, -5.086,8
301.4, -7.0, 0.693, 81.0, 81.0,2019-02-20 18:00:00, -7.01,8
331.4, -8.7, 0.861, 84.7, 84.7,2019-02-20 19:00:00, -8.74,8
328.0, -10.3, 1.093, 87.1, 87.1,2019-02-20 20:00:00, -10.28,8
336.0, -11.3, 1.259, 90.0, 90.0,2019-02-20 21:00:00, -11.33,8
334.5, -12.5, 1.16, 90.4, 90.4,2019-02-20 22:00:00, -12.46,8
343.5, -13.0, 1.471, 91.2, 91.2,2019-02-20 23:00:00, -13.03,8
342.2, -13.7, 1.783, 90.6, 90.6,2019-02-21 00:00:00, -13.68,8
349.7, -13.3, 1.688, 90.8, 90.8,2019-02-21 01:00:00, -13.29,8
348.9, -13.7, 1.797, 89.5, 89.5,2019-02-21 02:00:00, -13.71,8
351.4, -14.6, 1.734, 88.4, 88.4,2019-02-21 03:00:00, -14.57,8
340.7, -15.5, 1.381, 87.5, 87.5,2019-02-21 04:00:00, -15.5,8
340.0, -16.2, 1.446, 86.8, 86.8,2019-02-21 05:00:00, -16.19,8
337.4, -16.5, 1.582, 86.6, 86.6,2019-02-21 06:00:00, -16.48,8
342.5, -16.9, 2.237, 86.1, 86.1,2019-02-21 07:00:00, -16.88,8
348.4, -17.8, 1.831, 85.1, 85.1,2019-02-21 08:00:00, -17.77,8
354.6, -16.2, 1.491, 85.6, 85.6,2019-02-21 09:00:00, -16.24,8
1.0, -13.2, 1.775, 84.8, 84.8,2019-02-21 10:00:00, -13.18,8
339.6, -9.1, 2.119, 72.0, 72.0,2019-02-21 11:00:00, -9.13,8
325.9, -6.0, 3.199, 51.7, 51.69,2019-02-21 12:00:00, -5.972,8
333.9, -4.3, 2.348, 44.2, 44.15,2019-02-21 13:00:00, -4.251,8
347.4, -3.1, 2.115, 42.3, 42.28,2019-02-21 14:00:00, -3.072,8
181.5, -1.7, 1.096, 38.9, 38.89,2019-02-21 15:00:00, -1.663,8
157.1, -2.1, 1.794, 40.0, 40.04,2019-02-21 16:00:00, -2.071,8
174.0, -5.1, 1.48, 53.2, 53.18,2019-02-21 17:00:00, -5.078,8
181.9, -7.3, 0.99, 63.5, 63.46,2019-02-21 18:00:00, -7.3,8
258.2, -9.6, 0.375, 75.3, 75.3,2019-02-21 19:00:00, -9.63,8
209.2, -11.1, 0.368, 78.5, 78.5,2019-02-21 20:00:00, -11.09,8
320.9, -12.5, 0.259999, 83.1, 83.1,2019-02-21 21:00:00, -12.48,8
332.2, -13.1, 0.358, 85.1, 85.1,2019-02-21 22:00:00, -13.1,8
156.5, -13.5, 0.564, 85.4, 85.4,2019-02-21 23:00:00, -13.54,8
181.9, -14.5, 0.188998, 87.1, 87.1,2019-02-22 00:00:00, -14.45,8
156.8, -14.6, 0.649999, 87.2, 87.2,2019-02-22 01:00:00, -14.59,8
161.2, -15.0, 0.388998, 87.6, 87.6,2019-02-22 02:00:00, -15.02,8
155.7, -14.9, 0.418998, 87.7, 87.7,2019-02-22 03:00:00, -14.91,8
160.9, -14.9, 0.578998, 87.8, 87.8,2019-02-22 04:00:00, -14.87,8
167.0, -15.0, 0.91, 87.8, 87.8,2019-02-22 05:00:00, -14.99,8
141.9, -15.0, 0.662, 88.3, 88.3,2019-02-22 06:00:00, -15.03,8
205.9, -15.1, 0.528998, 88.3, 88.3,2019-02-22 07:00:00, -15.09,8
138.6, -14.3, 0.765999, 87.9, 87.9,2019-02-22 08:00:00, -14.3,8
159.1, -13.3, 0.813, 84.3, 84.3,2019-02-22 09:00:00, -13.28,8
154.8, -11.2, 0.579999, 77.4, 77.4,2019-02-22 10:00:00, -11.15,8
