station_observations
RELATIVE_HUMIDITY1, STANDARD_SNOW, MINIMUM_AIR_TEMPERATURE, max_wnd_spd_10m_pst1hr, MEASURED_WIND_SPEED1, MEASURED_WIND_DIRECTION1, dwpt_temp, min_air_temp_snc_last_reset, DEW_POINT, ATMOSPHERIC_PRESSURE, avg_wnd_dir_10m_pst10mts, ACTUAL_WIND_DIRECTION, MAXIMUM_AIR_TEMPERATURE, snw_dpth, MAXIMUM_MEASURED_WIND_SPEED1, HEIGHT_OF_SNOW, pcpn_amt_pst24hrs, CURRENT_AIR_TEMPERATURE2, CURRENT_AIR_TEMPERATURE1, PRECIPITATION_NEW, max_air_temp_snc_last_reset, PRECIP_DETECTOR_RATIO, ACTUAL_WIND_SPEED, WIND_DIRECTION_STD_DEVIATION1, avg_wnd_spd_10m_pst10mts, air_temp, mslp, pcpn_amt_pst1hr, snwfl_amt_pst1hr, rel_hum, time, stn_pres
97.3, None, None, None, 0.0, 222.0, None, None, 0.0, 868.0, None, None, None, None, None, 17.46, None, None, 0.111, None, None, None, None, 43.49, None, None, None, None, None, None, 2020-01-01 00:00:00, None
97.4, None, None, None, 0.0, 222.2, None, None, 0.0, 867.0, None, None, None, None, None, 18.8, None, None, 0.305, None, None, None, None, 40.5, None, None, None, None, None, None, 2020-01-01 01:00:00, None
97.4, None, None, None, 0.004, 209.5, None, None, 0.0, 867.0, None, None, None, None, None, 18.97, None, None, 0.501, None, None, None, None, 31.97, None, None, None, None, None, None, 2020-01-01 02:00:00, None
97.3, None, None, None, 0.001, 272.1, None, None, 0.0, 867.0, None, None, None, None, None, 18.58, None, None, 0.501, None, None, None, None, 61.17, None, None, None, None, None, None, 2020-01-01 03:00:00, None
96.6, None, None, None, 2.95, 300.9, None, None, 1.0, 866.0, None, None, None, None, None, 18.52, None, None, 1.578, None, None, None, None, 56.51, None, None, None, None, None, None, 2020-01-01 04:00:00, None
96.5, None, None, None, 4.593, 280.0, None, None, 1.0, 865.0, None, None, None, None, None, 18.29, None, None, 1.705, None, None, None, None, 53.98, None, None, None, None, None, None, 2020-01-01 05:00:00, None
93.8, None, None, None, 5.404, 278.5, None, None, 2.0, 865.0, None, None, None, None, None, 18.15, None, None, 2.704, None, None, None, None, 72.73, None, None, None, None, None, None, 2020-01-01 06:00:00, None
94.2, None, None, None, 4.797, 257.4, None, None, 1.0, 865.0, None, None, None, None, None, 16.49, None, None, 2.122, None, None, None, None, 60.88, None, None, None, None, None, None, 2020-01-01 07:00:00, None
95.1, None, None, None, 4.056, 281.1, None, None, 1.0, 866.0, None, None, None, None, None, 15.55, None, None, 1.433, None, None, None, None, 54.68, None, None, None, None, None, None, 2020-01-01 08:00:00, None
95.8, None, None, None, 2.388, 275.4, None, None, 1.0, 867.0, None, None, None, None, None, 15.66, None, None, 1.806, None, None, None, None, 61.52, None, None, None, None, None, None, 2020-01-01 09:00:00, None
96.0, None, None, None, 2.494, 288.3, None, None, 1.0, 868.0, None, None, None, None, None, 14.41, None, None, 1.834, None, None, None, None, 58.85, None, None, None, None, None, None, 2020-01-01 10:00:00, None
96.2, None, None, None, 2.472, 288.6, None, None, 2.0, 868.0, None, None, None, None, None, 14.87, None, None, 2.483, None, None, None, None, 60.38, None, None, None, None, None, None, 2020-01-01 11:00:00, None
95.9, None, None, None, 2.467, 272.1, None, None, 2.0, 868.0, None, None, None, None, None, 14.27, None, None, 3.098, None, None, None, None, 71.19, None, None, None, None, None, None, 2020-01-01 12:00:00, None
95.7, None, None, None, 2.305, 273.0, None, None, 2.0, 868.0, None, None, None, None, None, 14.19, None, None, 2.664, None, None, None, None, 63.06, None, None, None, None, None, None, 2020-01-01 13:00:00, None
95.5, None, None, None, 3.056, 285.3, None, None, 3.0, 869.0, None, None, None, None, None, 14.16, None, None, 3.132, None, None, None, None, 72.1, None, None, None, None, None, None, 2020-01-01 14:00:00, None
90.5, None, None, None, 3.555, 222.6, None, None, 2.0, 869.0, None, None, None, None, None, 13.24, None, None, 3.524, None, None, None, None, 65.88, None, None, None, None, None, None, 2020-01-01 15:00:00, None
