pcpn_amt_pst24hrs,cum_pcpn_amt,ONE_DAY_SNOW,air_temp_2,air_temp_1,snw_dpth,MAX_TEMP,ONE_DAY_PRECIPITATION,pcpn_amt_pst1hr,snw_dpth_wtr_equiv,MIN_TEMP,time,SNOW_ON_THE_GROUND,week_of_year
2.0, 499.0, None, None, -5.2, 97.0, None, None, 2.0, 260.0, None,2020-03-04 00:00:00, None,10
None, 497.0, None, None, -5.7, 98.0, None, None, None, 259.0, None,2020-03-04 01:00:00, None,10
1.0, 499.0, None, None, -6.4, 98.0, None, None, 2.0, 258.0, None,2020-03-04 02:00:00, None,10
2.0, 499.0, None, None, -7.0, 98.0, None, None, 0.0, 256.0, None,2020-03-04 03:00:00, None,10
1.0, 498.0, None, None, -8.4, 98.0, None, None, None, 256.0, None,2020-03-04 04:00:00, None,10
2.0, 498.0, None, None, -8.7, 98.0, None, None, 0.0, 256.0, None,2020-03-04 05:00:00, None,10
2.0, 498.0, None, None, -9.3, 98.0, None, None, 0.0, 254.0, None,2020-03-04 06:00:00, None,10
1.0, 497.0, None, None, -8.9, 98.0, None, None, None, 254.0, None,2020-03-04 07:00:00, None,10
None, 495.0, None, None, -8.8, 98.0, None, None, None, 253.0, None,2020-03-04 08:00:00, None,10
1.0, 498.0, None, None, -7.0, 98.0, None, None, 3.0, 252.0, None,2020-03-04 09:00:00, None,10
1.0, 498.0, None, None, -6.2, 98.0, None, None, 0.0, 253.0, None,2020-03-04 10:00:00, None,10
0.0, 498.0, None, None, -4.8, 98.0, None, None, 0.0, 253.0, None,2020-03-04 11:00:00, None,10
0.0, 498.0, None, None, -4.8, 97.0, None, None, 0.0, 252.0, None,2020-03-04 12:00:00, None,10
3.0, 499.0, None, None, -4.2, 97.0, None, None, 1.0, 253.0, None,2020-03-04 13:00:00, None,10
3.0, 499.0, None, None, -4.0, 97.0, None, None, 0.0, 254.0, None,2020-03-04 14:00:00, None,10
3.0, 499.0, None, None, -4.7, 97.0, None, None, 0.0, 256.0, None,2020-03-04 15:00:00, None,10
0.0, 499.0, None, None, -4.4, 97.0, None, None, 0.0, 257.0, None,2020-03-04 16:00:00, None,10
1.0, 499.0, None, None, -5.2, 97.0, None, None, 0.0, 258.0, None,2020-03-04 17:00:00, None,10
0.0, 499.0, None, None, -5.5, 97.0, None, None, 0.0, 258.0, None,2020-03-04 18:00:00, None,10
1.0, 499.0, None, None, -5.9, 97.0, None, None, 0.0, 258.0, None,2020-03-04 19:00:00, None,10
1.0, 499.0, None, None, -6.8, 97.0, None, None, 0.0, 260.0, None,2020-03-04 20:00:00, None,10
2.0, 500.0, None, None, -6.8, 98.0, None, None, 1.0, 262.0, None,2020-03-04 21:00:00, None,10
4.0, 501.0, None, None, -6.8, 99.0, None, None, 1.0, 264.0, None,2020-03-04 22:00:00, None,10
4.0, 501.0, None, None, -6.6, 99.0, None, None, 0.0, 266.0, None,2020-03-04 23:00:00, None,10
2.0, 501.0, None, None, -6.6, 100.0, None, None, 0.0, 268.0, None,2020-03-05 00:00:00, None,10
3.0, 500.0, None, None, -6.4, 100.0, None, None, None, 269.0, None,2020-03-05 01:00:00, None,10
3.0, 502.0, None, None, -6.4, 100.0, None, None, 2.0, 270.0, None,2020-03-05 02:00:00, None,10
2.0, 501.0, None, None, -6.1, 100.0, None, None, None, 272.0, None,2020-03-05 03:00:00, None,10
4.0, 502.0, None, None, -6.0, 99.0, None, None, 1.0, 272.0, None,2020-03-05 04:00:00, None,10
2.0, 500.0, None, None, -5.5, 99.0, None, None, None, 272.0, None,2020-03-05 05:00:00, None,10
4.0, 502.0, None, None, -5.0, 98.0, None, None, 2.0, 270.0, None,2020-03-05 06:00:00, None,10
5.0, 502.0, None, None, -6.0, 98.0, None, None, 0.0, 268.0, None,2020-03-05 07:00:00, None,10
8.0, 503.0, None, None, -5.0, 99.0, None, None, 1.0, 268.0, None,2020-03-05 08:00:00, None,10
5.0, 503.0, None, None, -3.4, 99.0, None, None, 2.0, 267.0, None,2020-03-05 10:00:00, None,10
5.0, 503.0, None, None, -3.0, 99.0, None, None, 0.0, 267.0, None,2020-03-05 11:00:00, None,10
5.0, 503.0, None, None, -2.8, 99.0, None, None, 0.0, 267.0, None,2020-03-05 12:00:00, None,10
4.0, 503.0, None, None, -2.1, 99.0, None, None, 0.0, 267.0, None,2020-03-05 13:00:00, None,10
4.0, 503.0, None, None, -2.6, 99.0, None, None, 0.0, 267.0, None,2020-03-05 14:00:00, None,10
4.0, 503.0, None, None, -3.6, 100.0, None, None, 0.0, 267.0, None,2020-03-05 15:00:00, None,10
4.0, 503.0, None, None, -3.9, 100.0, None, None, 0.0, 267.0, None,2020-03-05 16:00:00, None,10
4.0, 503.0, None, None, -4.4, 100.0, None, None, 0.0, 266.0, None,2020-03-05 17:00:00, None,10
4.0, 503.0, None, None, -5.5, 99.0, None, None, 0.0, 265.0, None,2020-03-05 18:00:00, None,10
4.0, 503.0, None, None, -7.0, 99.0, None, None, 0.0, 264.0, None,2020-03-05 19:00:00, None,10
5.0, 504.0, None, None, -6.8, 99.0, None, None, 1.0, 263.0, None,2020-03-05 20:00:00, None,10
3.0, 503.0, None, None, -6.6, 99.0, None, None, None, 263.0, None,2020-03-05 21:00:00, None,10
2.0, 503.0, None, None, -7.1, 99.0, None, None, 0.0, 263.0, None,2020-03-05 22:00:00, None,10
