pcpn_amt_pst24hrs,SWE,cum_pcpn_amt,ONE_DAY_SNOW,air_temp_2,air_temp_1,snw_dpth,MAX_TEMP,ONE_DAY_PRECIPITATION,pcpn_amt_pst1hr,snw_dpth_wtr_equiv,MIN_TEMP,time,SNOW_ON_THE_GROUND,week_of_year
None, None, 529.0, None, None, 1.6, 192.0, None, None, 0.0, 1002.0, None,2020-05-06 00:00:00, None,19
None, None, 529.0, None, None, 2.1, 192.0, None, None, 0.0, 1001.0, None,2020-05-06 01:00:00, None,19
None, None, 529.0, None, None, 1.5, 192.0, None, None, 0.0, 1001.0, None,2020-05-06 02:00:00, None,19
None, None, 529.0, None, None, 1.9, 192.0, None, None, 0.0, 1001.0, None,2020-05-06 03:00:00, None,19
None, None, 529.0, None, None, 2.0, 192.0, None, None, 0.0, 1000.0, None,2020-05-06 04:00:00, None,19
None, None, 529.0, None, None, 1.8, 192.0, None, None, 0.0, 1000.0, None,2020-05-06 05:00:00, None,19
None, None, 529.0, None, None, 2.3, 192.0, None, None, 0.0, 1000.0, None,2020-05-06 06:00:00, None,19
None, None, 529.0, None, None, 2.3, 192.0, None, None, 0.0, 1000.0, None,2020-05-06 07:00:00, None,19
None, None, 528.0, None, None, 2.8, 192.0, None, None, None, 999.0, None,2020-05-06 08:00:00, None,19
0.0, None, 529.0, None, None, 1.1, 192.0, None, None, 1.0, 999.0, None,2020-05-06 09:00:00, None,19
2.0, None, 530.0, None, None, 0.4, 192.0, None, None, 1.0, 1000.0, None,2020-05-06 10:00:00, None,19
6.0, None, 534.0, None, None, 0.2, 194.0, None, None, 4.0, 1001.0, None,2020-05-06 11:00:00, None,19
11.0, None, 538.0, None, None, 0.0, 198.0, None, None, 4.0, 1003.0, None,2020-05-06 12:00:00, None,19
16.0, None, 542.0, None, None, 0.3, 201.0, None, None, 4.0, 1005.0, None,2020-05-06 13:00:00, None,19
18.0, None, 544.0, None, None, 0.5, 203.0, None, None, 2.0, 1007.0, None,2020-05-06 14:00:00, None,19
20.0, None, 547.0, None, None, 0.6, 206.0, None, None, 3.0, 1009.0, None,2020-05-06 15:00:00, None,19
23.0, 15.0, 549.0, None, None, 0.1, 208.0, None, None, 2.0, 1011.0, None,2020-05-06 16:00:00, None,19
27.0, None, 553.0, None, None, -0.7, 212.0, None, None, 4.0, 1013.0, None,2020-05-06 17:00:00, None,19
27.0, None, 554.0, None, None, -0.8, 213.0, None, None, 1.0, 1015.0, None,2020-05-06 18:00:00, None,19
29.0, None, 556.0, None, None, -1.3, 213.0, None, None, 2.0, 1016.0, None,2020-05-06 19:00:00, None,19
31.0, None, 559.0, None, None, -1.4, 214.0, None, None, 3.0, 1018.0, None,2020-05-06 20:00:00, None,19
34.0, None, 562.0, None, None, -1.4, 476.0, None, None, 3.0, 1021.0, None,2020-05-06 21:00:00, None,19
37.0, None, 565.0, None, None, -1.4, 476.0, None, None, 3.0, 1023.0, None,2020-05-06 22:00:00, None,19
39.0, None, 568.0, None, None, -1.2, 476.0, None, None, 3.0, 1026.0, None,2020-05-06 23:00:00, None,19
