TempC,SolarRadiationWm,RH,Wetness,WindSpeedms,Pressurembar,Rainmm,GustSpeedms,time,WindDirection,DewPtC,week_of_year
9.386,0.6,97.0,100.0,0.0,933.25, 0.2,1.01,2020-07-15 00:00:00, 71.6,8.9,29
7.82,0.6,97.3,100.0,0.0,933.35, 0.0,0.0,2020-07-15 01:00:00, 75.8,7.4,29
6.661,0.6,97.4,100.0,0.0,933.75, 0.0,0.0,2020-07-15 02:00:00, 75.8,6.3,29
5.488,0.6,97.5,100.0,0.0,934.05, 0.0,1.01,2020-07-15 03:00:00, 88.4,5.1,29
4.947,11.9,97.5,100.0,0.0,934.35, 0.0,0.5,2020-07-15 04:00:00, 88.4,4.6,29
6.813,55.6,97.7,100.0,0.0,934.75, 0.0,0.5,2020-07-15 05:00:00, 80.0,6.5,29
10.81,123.1,97.9,11.18,0.0,935.15, 0.0,0.5,2020-07-15 06:00:00, 68.8,10.5,29
12.074,144.4,97.0,7.65,0.0,935.15, 0.0,2.52,2020-07-15 07:00:00, 81.4,11.6,29
13.04,236.9,94.1,6.47,0.5,935.25, 0.0,2.52,2020-07-15 08:00:00, 103.9,12.1,29
15.223,344.4,85.5,5.88,1.01,935.15, 0.0,3.52,2020-07-15 09:00:00, 80.0,12.8,29
16.415,785.6,81.7,5.88,1.01,934.85, 0.0,4.03,2020-07-15 10:00:00, 105.3,13.3,29
15.915,111.9,78.6,5.88,1.01,934.45, 0.0,4.03,2020-07-15 11:00:00, 116.5,12.2,29
17.391,405.6,77.1,5.88,1.01,934.05, 0.0,4.53,2020-07-15 12:00:00, 124.9,13.4,29
17.796,248.1,73.8,5.88,1.51,933.65, 0.0,5.54,2020-07-15 13:00:00, 141.8,13.1,29
15.724,106.9,80.0,87.65,1.51,933.45, 0.0,4.53,2020-07-15 14:00:00, 136.2,12.3,29
16.129,256.9,87.6,13.53,1.01,933.25, 0.0,5.54,2020-07-15 15:00:00, 133.4,14.1,29
14.936,105.6,89.4,100.0,1.01,932.75, 0.4,5.54,2020-07-15 16:00:00, 130.6,13.2,29
14.888,84.4,93.1,100.0,0.5,932.15, 0.8,3.52,2020-07-15 17:00:00, 103.9,13.8,29
14.361,45.6,93.4,100.0,0.5,931.55, 1.0,4.03,2020-07-15 18:00:00, 122.1,13.3,29
14.218,21.9,94.2,100.0,0.5,930.75, 0.8,3.02,2020-07-15 19:00:00, 110.9,13.3,29
14.05,0.6,95.7,100.0,0.0,929.55, 1.4,3.02,2020-07-15 20:00:00, 68.8,13.4,29
14.05,0.6,96.8,100.0,0.0,928.75, 4.0,2.52,2020-07-15 21:00:00, 105.3,13.6,29
14.266,0.6,95.8,100.0,0.5,928.25, 0.6,5.03,2020-07-15 22:00:00, 124.9,13.6,29
14.266,0.6,95.8,100.0,0.0,928.05, 0.2,3.02,2020-07-15 23:00:00, 158.6,13.6,29
13.906,0.6,95.9,100.0,0.5,928.25, 0.8,3.52,2020-07-16 00:00:00, 158.6,13.3,29
13.088,0.6,95.4,100.0,0.5,928.55, 1.2,3.52,2020-07-16 01:00:00, 161.5,12.4,29
12.63,0.6,94.8,100.0,0.5,928.35, 1.2,4.03,2020-07-16 02:00:00, 144.6,11.8,29
12.098,0.6,95.5,100.0,0.0,928.25, 1.0,2.52,2020-07-16 03:00:00, 105.3,11.4,29
12.05,0.6,96.1,100.0,0.0,928.15, 0.0,2.01,2020-07-16 04:00:00, 91.3,11.5,29
12.654,28.1,95.9,90.0,0.0,928.25, 0.0,3.52,2020-07-16 05:00:00, 113.7,12.0,29
12.847,23.1,95.0,93.53,0.0,928.05, 0.0,2.52,2020-07-16 06:00:00, 109.5,12.1,29
13.497,88.1,94.8,19.41,0.0,927.95, 0.0,1.51,2020-07-16 07:00:00, 148.8,12.7,29
14.553,178.1,92.0,9.41,0.5,927.65, 0.0,4.53,2020-07-16 08:00:00, 148.8,13.3,29
14.912,71.9,89.4,10.0,0.5,927.35, 0.0,3.02,2020-07-16 09:00:00, 110.9,13.2,29
16.058,210.6,87.5,7.06,0.5,927.05, 0.0,3.52,2020-07-16 10:00:00, 124.9,14.0,29
16.129,335.6,84.2,7.06,0.5,926.75, 0.0,4.03,2020-07-16 11:00:00, 148.8,13.5,29
17.368,858.1,84.3,6.47,1.01,926.55, 0.0,4.03,2020-07-16 12:00:00, 168.5,14.7,29
18.961,1051.9,77.7,6.47,1.51,926.15, 0.0,5.54,2020-07-16 13:00:00, 167.1,15.0,29
17.796,170.6,72.2,5.88,1.51,925.95, 0.0,5.03,2020-07-16 14:00:00, 182.5,12.7,29
18.271,225.6,74.7,5.88,0.5,926.05, 0.0,3.52,2020-07-16 15:00:00, 106.7,13.7,29
20.889,244.4,67.7,5.88,0.5,925.95, 0.0,4.53,2020-07-16 16:00:00, 183.9,14.7,29
20.674,206.9,60.2,5.88,1.51,925.65, 0.0,5.54,2020-07-16 17:00:00, 182.5,12.7,29
17.582,143.1,73.5,24.71,0.5,926.25, 0.0,5.54,2020-07-16 18:00:00, 190.9,12.8,29
16.773,46.9,70.3,5.88,0.5,926.55, 0.0,3.52,2020-07-16 19:00:00, 174.1,11.4,29
17.058,11.9,72.1,5.88,0.5,926.95, 0.0,4.03,2020-07-16 20:00:00, 182.5,12.0,29
15.557,0.6,73.8,5.88,0.5,927.25, 0.0,3.52,2020-07-16 21:00:00, 178.3,10.9,29
14.816,0.6,75.3,5.88,0.0,927.75, 0.0,3.02,2020-07-16 22:00:00, 155.8,10.5,29
14.385,0.6,76.8,5.88,0.0,928.15, 0.0,2.52,2020-07-16 23:00:00, 154.4,10.4,29
12.678,0.6,80.1,8.24,0.0,928.55, 0.0,2.01,2020-07-17 00:00:00, 150.2,9.3,29
10.222,0.6,90.4,100.0,0.0,928.85, 0.0,1.51,2020-07-17 01:00:00, 68.8,8.7,29
8.369,0.6,94.3,100.0,0.0,929.15, 0.0,1.01,2020-07-17 02:00:00, 74.4,7.5,29
8.195,0.6,96.0,100.0,0.0,929.45, 0.0,1.01,2020-07-17 03:00:00, 74.4,7.6,29
6.813,4.4,96.2,100.0,0.0,929.95, 0.0,1.01,2020-07-17 04:00:00, 78.6,6.3,29
8.593,39.4,96.8,100.0,0.0,930.45, 0.0,1.01,2020-07-17 05:00:00, 77.2,8.1,29
10.394,103.1,96.7,100.0,0.0,930.75, 0.0,0.5,2020-07-17 06:00:00, 77.2,9.9,29
12.485,189.4,93.3,7.65,0.0,931.25, 0.0,1.01,2020-07-17 07:00:00, 80.0,11.4,29
14.984,540.6,85.9,5.88,0.0,931.65, 0.0,2.01,2020-07-17 08:00:00, 78.6,12.7,29
17.582,568.1,74.4,5.88,0.5,931.65, 0.0,2.52,2020-07-17 09:00:00, 95.5,13.0,29
17.677,434.4,71.9,5.88,0.0,931.85, 0.0,2.52,2020-07-17 10:00:00, 63.2,12.6,29
18.105,458.1,76.0,7.06,0.0,932.05, 0.4,2.01,2020-07-17 11:00:00, 82.8,13.8,29
17.011,469.4,66.7,5.88,0.5,932.15, 0.0,3.52,2020-07-17 12:00:00, 272.4,10.8,29
18.2,934.4,64.9,5.88,0.5,932.35, 0.0,3.02,2020-07-17 13:00:00, 271.0,11.5,29
19.127,431.9,61.4,5.88,1.01,932.45, 0.0,4.03,2020-07-17 14:00:00, 262.5,11.5,29
20.031,203.1,58.1,5.29,0.5,932.35, 0.0,3.02,2020-07-17 15:00:00, 237.3,11.6,29
