ONE_DAY_PRECIPITATION,pcpn_amt_pst1hr,snw_dpth_wtr_equiv,SWE,ONE_DAY_SNOW,time,air_temp_1,MIN_TEMP,snw_dpth,MAX_TEMP,week_of_year
None, 970.0, 1.0, None, None,2020-07-29 00:00:00,14.3, None, 1.0, None,31
None, 970.0, 1.0, None, None,2020-07-29 01:00:00,13.5, None, 1.0, None,31
None, 970.0, 1.0, None, None,2020-07-29 02:00:00,11.9, None, 1.0, None,31
None, 970.0, 1.0, None, None,2020-07-29 03:00:00,8.8, None, 1.0, None,31
None, 970.0, 1.0, None, None,2020-07-29 04:00:00,7.3, None, 1.0, None,31
None, 971.0, 1.0, None, None,2020-07-29 05:00:00,6.7, None, 1.0, None,31
None, 971.0, 1.0, None, None,2020-07-29 06:00:00,5.7, None, 1.0, None,31
None, 971.0, 1.0, None, None,2020-07-29 07:00:00,4.7, None, 1.0, None,31
None, 971.0, 1.0, None, None,2020-07-29 08:00:00,4.0, None, 1.0, None,31
None, 971.0, 1.0, None, None,2020-07-29 09:00:00,2.6, None, 1.0, None,31
None, 971.0, 1.0, None, None,2020-07-29 10:00:00,1.8, None, 1.0, None,31
None, 971.0, 1.0, None, None,2020-07-29 11:00:00,1.4, None, 1.0, None,31
None, 971.0, 1.0, None, None,2020-07-29 12:00:00,1.0, None, 1.0, None,31
None, 971.0, 1.0, None, None,2020-07-29 13:00:00,0.6, None, 1.0, None,31
None, 971.0, 1.0, None, None,2020-07-29 14:00:00,0.9, None, 1.0, None,31
None, 971.0, 1.0, None, None,2020-07-29 15:00:00,1.8, None, 1.0, None,31
None, 971.0, 1.0, 8.0, None,2020-07-29 16:00:00,4.7, None, 1.0, None,31
None, 971.0, 1.0, None, None,2020-07-29 17:00:00,7.1, None, 1.0, None,31
None, 971.0, 1.0, None, None,2020-07-29 18:00:00,11.1, None, 1.0, None,31
None, 971.0, 1.0, None, None,2020-07-29 19:00:00,14.1, None, 1.0, None,31
None, 971.0, 1.0, None, None,2020-07-29 20:00:00,16.8, None, 1.0, None,31
None, 970.0, 0.0, None, None,2020-07-29 21:00:00,18.1, None, 1.0, None,31
None, 970.0, 0.0, None, None,2020-07-29 22:00:00,18.4, None, 1.0, None,31
None, 970.0, 0.0, None, None,2020-07-29 23:00:00,20.2, None, 1.0, None,31
None, 970.0, 0.0, None, None,2020-07-30 00:00:00,19.7, None, 1.0, None,31
None, 970.0, 1.0, None, None,2020-07-30 01:00:00,19.3, None, 1.0, None,31
None, 970.0, 1.0, None, None,2020-07-30 02:00:00,17.9, None, 1.0, None,31
None, 970.0, 1.0, None, None,2020-07-30 03:00:00,14.0, None, 1.0, None,31
None, 971.0, 1.0, None, None,2020-07-30 04:00:00,11.7, None, 1.0, None,31
None, 971.0, 1.0, None, None,2020-07-30 05:00:00,9.2, None, 1.0, None,31
None, 971.0, 1.0, None, None,2020-07-30 06:00:00,7.5, None, 1.0, None,31
None, 971.0, 1.0, None, None,2020-07-30 07:00:00,6.6, None, 1.0, None,31
None, 970.0, 1.0, None, None,2020-07-30 08:00:00,5.9, None, 1.0, None,31
None, 970.0, 1.0, None, None,2020-07-30 09:00:00,5.2, None, 1.0, None,31
None, 970.0, 1.0, None, None,2020-07-30 10:00:00,4.9, None, 1.0, None,31
None, 971.0, 1.0, None, None,2020-07-30 11:00:00,4.6, None, 1.0, None,31
None, 970.0, 1.0, None, None,2020-07-30 12:00:00,4.2, None, 1.0, None,31
None, 970.0, 1.0, None, None,2020-07-30 13:00:00,3.9, None, 1.0, None,31
None, 971.0, 1.0, None, None,2020-07-30 14:00:00,4.5, None, 1.0, None,31
None, 971.0, 1.0, None, None,2020-07-30 15:00:00,6.6, None, 1.0, None,31
None, 971.0, 1.0, 8.0, None,2020-07-30 16:00:00,8.9, None, 1.0, None,31
None, 971.0, 1.0, None, None,2020-07-30 17:00:00,13.1, None, 1.0, None,31
None, 970.0, 1.0, None, None,2020-07-30 18:00:00,17.0, None, 1.0, None,31
None, 971.0, 1.0, None, None,2020-07-30 19:00:00,20.1, None, 1.0, None,31
None, 970.0, 1.0, None, None,2020-07-30 20:00:00,21.7, None, 1.0, None,31
None, 970.0, None, None, None,2020-07-30 21:00:00,22.9, None, 1.0, None,31
None, 970.0, 0.0, None, None,2020-07-30 22:00:00,23.4, None, 1.0, None,31
None, 970.0, 0.0, None, None,2020-07-30 23:00:00,23.4, None, 1.0, None,31
None, 970.0, 0.0, None, None,2020-07-31 00:00:00,23.9, None, 1.0, None,31
None, 970.0, 1.0, None, None,2020-07-31 01:00:00,24.4, None, 1.0, None,31
None, 970.0, 1.0, None, None,2020-07-31 02:00:00,21.4, None, 1.0, None,31
None, 970.0, 1.0, None, None,2020-07-31 03:00:00,18.7, None, 1.0, None,31
None, 970.0, 1.0, None, None,2020-07-31 04:00:00,15.2, None, 1.0, None,31
None, 970.0, 1.0, None, None,2020-07-31 05:00:00,12.3, None, 1.0, None,31
None, 971.0, 1.0, None, None,2020-07-31 06:00:00,10.7, None, 1.0, None,31
None, 971.0, 1.0, None, None,2020-07-31 07:00:00,9.7, None, 1.0, None,31
None, 970.0, 1.0, None, None,2020-07-31 08:00:00,9.1, None, 1.0, None,31
None, 970.0, 1.0, None, None,2020-07-31 09:00:00,8.6, None, 1.0, None,31
None, 971.0, 1.0, None, None,2020-07-31 10:00:00,8.3, None, 1.0, None,31
None, 970.0, 1.0, None, None,2020-07-31 11:00:00,7.7, None, 1.0, None,31
None, 970.0, 1.0, None, None,2020-07-31 12:00:00,7.6, None, 1.0, None,31
None, 970.0, 1.0, None, None,2020-07-31 13:00:00,7.1, None, 1.0, None,31
None, 971.0, 1.0, None, None,2020-07-31 14:00:00,7.3, None, 1.0, None,31
None, 970.0, 1.0, None, None,2020-07-31 15:00:00,9.7, None, 1.0, None,31
None, 971.0, 1.0, 10.0, None,2020-07-31 16:00:00,12.3, None, 1.0, None,31
None, 971.0, 1.0, None, None,2020-07-31 17:00:00,15.8, None, 1.0, None,31
None, 971.0, 1.0, None, None,2020-07-31 18:00:00,20.7, None, 1.0, None,31
None, 970.0, 1.0, None, None,2020-07-31 19:00:00,23.7, None, 1.0, None,31
None, 970.0, 0.0, None, None,2020-07-31 20:00:00,25.6, None, 1.0, None,31
None, 970.0, None, None, None,2020-07-31 21:00:00,26.8, None, 1.0, None,31
None, 970.0, 0.0, None, None,2020-07-31 22:00:00,27.2, None, 1.0, None,31
None, 970.0, 0.0, None, None,2020-07-31 23:00:00,26.9, None, 1.0, None,31
None, 970.0, 0.0, None, None,2020-08-01 00:00:00,26.7, None, 1.0, None,31
None, 970.0, 1.0, None, None,2020-08-01 01:00:00,25.7, None, 1.0, None,31
None, 970.0, 1.0, None, None,2020-08-01 02:00:00,24.9, None, 1.0, None,31
None, 971.0, 1.0, None, None,2020-08-01 03:00:00,17.1, None, 1.0, None,31
None, 971.0, 1.0, None, None,2020-08-01 04:00:00,16.6, None, 1.0, None,31
None, 971.0, 1.0, None, None,2020-08-01 05:00:00,13.7, None, 1.0, None,31
None, 971.0, 1.0, None, None,2020-08-01 06:00:00,13.0, None, 1.0, None,31
None, 971.0, 1.0, None, None,2020-08-01 07:00:00,12.6, None, 1.0, None,31
None, 971.0, 1.0, None, None,2020-08-01 08:00:00,13.4, None, 1.0, None,31
None, 971.0, 1.0, None, None,2020-08-01 09:00:00,13.3, None, 1.0, None,31
None, 978.0, 1.0, None, None,2020-08-01 10:00:00,11.6, None, 1.0, None,31
None, 978.0, 1.0, None, None,2020-08-01 11:00:00,10.9, None, 1.0, None,31
None, 978.0, 1.0, None, None,2020-08-01 12:00:00,10.7, None, 1.0, None,31
None, 978.0, 1.0, None, None,2020-08-01 13:00:00,10.5, None, 1.0, None,31
None, 978.0, 0.0, None, None,2020-08-01 14:00:00,10.7, None, 1.0, None,31
None, 978.0, 1.0, None, None,2020-08-01 15:00:00,11.5, None, 1.0, None,31
None, 978.0, 0.0, 15.0, None,2020-08-01 16:00:00,12.5, None, 1.0, None,31
None, 978.0, 0.0, None, None,2020-08-01 17:00:00,14.8, None, 1.0, None,31
None, 978.0, 0.0, None, None,2020-08-01 18:00:00,12.6, None, 1.0, None,31
None, 978.0, 0.0, None, None,2020-08-01 19:00:00,17.2, None, 1.0, None,31
None, 978.0, 0.0, None, None,2020-08-01 20:00:00,13.3, None, 1.0, None,31
None, 978.0, None, None, None,2020-08-01 21:00:00,16.6, None, 1.0, None,31
None, 979.0, 0.0, None, None,2020-08-01 22:00:00,14.4, None, 1.0, None,31
None, 979.0, 0.0, None, None,2020-08-01 23:00:00,13.2, None, 1.0, None,31
None, 979.0, 0.0, None, None,2020-08-02 00:00:00,12.3, None, 1.0, None,31
None, 979.0, 0.0, None, None,2020-08-02 01:00:00,12.7, None, 1.0, None,31
None, 979.0, 1.0, None, None,2020-08-02 02:00:00,11.8, None, 1.0, None,31
None, 979.0, 0.0, None, None,2020-08-02 03:00:00,11.5, None, 1.0, None,31
None, 979.0, 0.0, None, None,2020-08-02 04:00:00,10.4, None, 1.0, None,31
None, 979.0, 0.0, None, None,2020-08-02 05:00:00,8.2, None, 1.0, None,31
None, 979.0, 1.0, None, None,2020-08-02 06:00:00,6.5, None, 1.0, None,31
None, 979.0, 1.0, None, None,2020-08-02 07:00:00,5.6, None, 1.0, None,31
None, 979.0, 0.0, None, None,2020-08-02 08:00:00,5.9, None, 1.0, None,31
None, 979.0, 1.0, None, None,2020-08-02 09:00:00,6.5, None, 1.0, None,31
None, 979.0, 1.0, None, None,2020-08-02 10:00:00,7.0, None, 1.0, None,31
None, 979.0, 1.0, None, None,2020-08-02 11:00:00,7.0, None, 1.0, None,31
None, 979.0, 1.0, None, None,2020-08-02 12:00:00,6.4, None, 1.0, None,31
