RELATIVE_HUMIDITY1,STANDARD_SNOW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,min_air_temp_snc_last_reset,DEW_POINT,ATMOSPHERIC_PRESSURE,avg_wnd_dir_10m_pst10mts,ACTUAL_WIND_DIRECTION,MAXIMUM_AIR_TEMPERATURE,snw_dpth,MAXIMUM_MEASURED_WIND_SPEED1,HEIGHT_OF_SNOW,pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,PRECIPITATION_NEW,max_air_temp_snc_last_reset,rel_hum,ACTUAL_WIND_SPEED,WIND_DIRECTION_STD_DEVIATION1,avg_wnd_spd_10m_pst10mts,air_temp,pcpn_amt_pst1hr,snwfl_amt_pst1hr,time,week_of_year
60.19, None, None, 6.2, 4.87, 283.2, 9.0, 16.9, None, None, 283.0, None, None, None, None, None, None, None, 16.83, None, 26.1, 60.0, None, 8.26, 4.9, 16.8, -0.1, None,2020-07-29 00:00:00,31
62.43, None, None, 6.1, 4.882, 284.3, 9.0, 15.9, None, None, 284.0, None, None, None, None, None, None, None, 16.06, None, 26.1, 62.0, None, 6.697, 4.9, 16.1, 0.0, None,2020-07-29 01:00:00,31
66.07, None, None, 6.4, 4.684, 283.1, 9.0, 15.0, None, None, 283.0, None, None, None, None, None, None, None, 15.19, None, 26.1, 66.0, None, 7.243, 4.7, 15.2, -0.1, None,2020-07-29 02:00:00,31
66.74, None, None, 6.1, 4.458, 287.4, 9.0, 14.9, None, None, 287.0, None, None, None, None, None, None, None, 14.99, None, 26.1, 67.0, None, 8.69, 4.5, 15.0, 0.0, None,2020-07-29 03:00:00,31
65.9, None, None, 6.7, 4.288, 284.5, 8.0, 14.4, None, None, 285.0, None, None, None, None, None, None, None, 14.71, None, 26.1, 66.0, None, 8.87, 4.3, 14.7, 0.0, None,2020-07-29 04:00:00,31
70.73, None, None, 5.4, 4.177, 283.1, 8.0, 13.5, None, None, 283.0, None, None, None, None, None, None, None, 13.69, None, 26.1, 71.0, None, 7.409, 4.2, 13.7, 0.0, None,2020-07-29 05:00:00,31
75.49, None, None, 5.7, 4.333, 284.8, 9.0, 12.8, None, None, 285.0, None, None, None, None, None, None, None, 13.1, None, 26.1, 75.0, None, 7.414, 4.3, 13.1, 0.0, None,2020-07-29 06:00:00,31
67.48, None, None, 5.2, 2.567, 278.5, 11.0, 13.1, None, None, 279.0, None, None, None, None, None, None, None, 16.52, None, 16.4, 67.0, None, 8.45, 2.6, 16.5, 0.2, None,2020-07-29 07:00:00,31
45.7, None, None, 6.2, 1.13, 131.6, 10.0, 13.1, None, None, 132.0, None, None, None, None, None, None, None, 22.47, None, 22.7, 46.0, None, 68.35, 1.1, 22.5, 0.4, None,2020-07-29 08:00:00,31
42.89, None, None, 8.0, 3.376, 88.1, 10.0, 13.1, None, None, 88.0, None, None, None, None, None, None, None, 24.54, None, 24.4, 43.0, None, 24.8, 3.4, 24.5, 0.6, None,2020-07-29 09:00:00,31
