pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,PRECIPITATION_NEW,MINIMUM_AIR_TEMPERATURE,ACTUAL_WIND_SPEED,WIND_DIRECTION_STD_DEVIATION1,MEASURED_WIND_SPEED1,PRECIP_DETECTOR_RATIO,MEASURED_WIND_DIRECTION1,dwpt_temp,air_temp,min_air_temp_snc_last_reset,pcpn_amt_pst1hr,DEW_POINT,max_air_temp_snc_last_reset,ACTUAL_WIND_DIRECTION,rel_hum,MAXIMUM_AIR_TEMPERATURE,time,MAXIMUM_MEASURED_WIND_SPEED1,week_of_year
0.0, 18.64, 61.38, None, None, None, None, None, None, None, 11.0, 18.6, 18.7, 0.0, None, 31.3, None, 61.0, None,2020-08-05 00:00:00, None,32
0.0, 17.77, 62.33, None, None, None, None, None, None, None, 11.0, 17.8, 17.8, 0.0, None, 31.3, None, 62.0, None,2020-08-05 01:00:00, None,32
0.0, 17.03, 65.72, None, None, None, None, None, None, None, 10.0, 17.0, 17.1, 0.0, None, 31.3, None, 66.0, None,2020-08-05 02:00:00, None,32
0.0, 16.58, 66.92, None, None, None, None, None, None, None, 10.0, 16.6, 16.5, 0.0, None, 31.3, None, 67.0, None,2020-08-05 03:00:00, None,32
0.0, 16.06, 68.9, None, None, None, None, None, None, None, 10.0, 16.1, 16.0, 0.0, None, 31.3, None, 69.0, None,2020-08-05 04:00:00, None,32
0.0, 15.67, 68.9, None, None, None, None, None, None, None, 10.0, 15.7, 15.6, 0.0, None, 31.3, None, 69.0, None,2020-08-05 05:00:00, None,32
0.0, 15.09, 72.1, None, None, None, None, None, None, None, 10.0, 15.1, 15.1, 0.0, None, 31.3, None, 72.0, None,2020-08-05 06:00:00, None,32
0.0, 14.87, 73.47, None, None, None, None, None, None, None, 10.0, 14.9, 14.9, 0.0, None, 15.2, None, 73.0, None,2020-08-05 07:00:00, None,32
0.0, 15.2, 74.02, None, None, None, None, None, None, None, 11.0, 15.2, 14.8, 0.0, None, 15.3, None, 74.0, None,2020-08-05 08:00:00, None,32
0.0, 21.1, 54.05, None, None, None, None, None, None, None, 11.0, 21.1, 14.8, 0.0, None, 21.0, None, 54.0, None,2020-08-05 09:00:00, None,32
0.0, 24.77, 40.49, None, None, None, None, None, None, None, 10.0, 24.8, 14.8, 0.0, None, 24.8, None, 40.0, None,2020-08-05 10:00:00, None,32
0.0, 26.57, 32.91, None, None, None, None, None, None, None, 9.0, 26.6, 14.8, 0.0, None, 26.5, None, 33.0, None,2020-08-05 11:00:00, None,32
0.0, 28.54, 27.57, None, None, None, None, None, None, None, 8.0, 28.5, 14.8, 0.0, None, 28.5, None, 28.0, None,2020-08-05 12:00:00, None,32
0.0, 29.48, 23.88, None, None, None, None, None, None, None, 7.0, 29.5, 14.8, 0.0, None, 29.6, None, 24.0, None,2020-08-05 13:00:00, None,32
0.0, 31.27, 20.39, None, None, None, None, None, None, None, 6.0, 31.3, 14.8, 0.0, None, 31.2, None, 20.0, None,2020-08-05 14:00:00, None,32
0.0, 31.91, 16.3, None, None, None, None, None, None, None, 3.0, 31.9, 14.8, 0.0, None, 32.5, None, 16.0, None,2020-08-05 15:00:00, None,32
0.0, 32.18, 15.53, None, None, None, None, None, None, None, 3.0, 32.2, 14.8, 0.0, None, 32.5, None, 16.0, None,2020-08-05 16:00:00, None,32
0.0, 32.49, 16.25, None, None, None, None, None, None, None, 3.0, 32.5, 14.8, 0.0, None, 32.8, None, 16.0, None,2020-08-05 17:00:00, None,32
0.0, 30.91, 19.93, None, None, None, None, None, None, None, 6.0, 30.9, 14.8, 0.0, None, 32.8, None, 20.0, None,2020-08-05 18:00:00, None,32
0.0, 27.4, 29.04, None, None, None, None, None, None, None, 7.0, 27.4, 27.5, 0.0, None, 31.0, None, 29.0, None,2020-08-05 19:00:00, None,32
0.0, 24.18, 37.85, None, None, None, None, None, None, None, 8.0, 24.2, 24.3, 0.0, None, 31.0, None, 38.0, None,2020-08-05 20:00:00, None,32
0.0, 22.14, 42.16, None, None, None, None, None, None, None, 8.0, 22.1, 21.7, 0.0, None, 31.0, None, 42.0, None,2020-08-05 21:00:00, None,32
0.0, 25.07, 31.67, None, None, None, None, None, None, None, 7.0, 25.1, 21.7, 0.0, None, 31.0, None, 32.0, None,2020-08-05 22:00:00, None,32
0.0, 24.62, 31.8, None, None, None, None, None, None, None, 7.0, 24.6, 21.7, 0.0, None, 31.0, None, 32.0, None,2020-08-05 23:00:00, None,32
0.0, 22.9, 34.9, None, None, None, None, None, None, None, 7.0, 22.9, 21.7, 0.0, None, 31.0, None, 35.0, None,2020-08-06 00:00:00, None,32
0.0, 22.13, 36.44, None, None, None, None, None, None, None, 7.0, 22.1, 21.7, 0.0, None, 31.0, None, 36.0, None,2020-08-06 01:00:00, None,32
0.0, 20.64, 43.62, None, None, None, None, None, None, None, 7.0, 20.6, 20.0, 0.0, None, 31.0, None, 44.0, None,2020-08-06 02:00:00, None,32
0.0, 18.48, 51.02, None, None, None, None, None, None, None, 8.0, 18.5, 18.3, 0.0, None, 31.0, None, 51.0, None,2020-08-06 03:00:00, None,32
0.0, 19.42, 44.25, None, None, None, None, None, None, None, 6.0, 19.4, 18.3, 0.0, None, 31.0, None, 44.0, None,2020-08-06 04:00:00, None,32
0.0, 18.22, 48.46, None, None, None, None, None, None, None, 8.0, 18.2, 18.2, 0.0, None, 31.0, None, 48.0, None,2020-08-06 05:00:00, None,32
0.0, 19.24, 45.86, None, None, None, None, None, None, None, 7.0, 19.2, 17.2, 0.0, None, 31.0, None, 46.0, None,2020-08-06 06:00:00, None,32
0.0, 17.96, 54.42, None, None, None, None, None, None, None, 9.0, 18.0, 17.9, 0.0, None, 19.5, None, 54.0, None,2020-08-06 07:00:00, None,32
0.0, 18.6, 56.16, None, None, None, None, None, None, None, 10.0, 18.6, 17.9, 0.0, None, 19.5, None, 56.0, None,2020-08-06 08:00:00, None,32
0.3, 16.26, 82.2, None, None, None, None, None, None, None, 13.0, 16.3, 16.3, 0.3, None, 19.5, None, 82.0, None,2020-08-06 09:00:00, None,32
2.1, 15.08, 89.7, None, None, None, None, None, None, None, 13.0, 15.1, 15.0, 1.8, None, 19.5, None, 90.0, None,2020-08-06 10:00:00, None,32
4.5, 15.45, 91.6, None, None, None, None, None, None, None, 14.0, 15.5, 15.0, 2.4, None, 19.5, None, 92.0, None,2020-08-06 11:00:00, None,32
5.2, 15.83, 91.0, None, None, None, None, None, None, None, 14.0, 15.8, 15.0, 0.7, None, 19.5, None, 91.0, None,2020-08-06 12:00:00, None,32
