wind_direction,rel_hum,avg_wnd_spd_10m_pst10mts,precipitation,dwpt_temp,wind_speed,air_temp,temperature,avg_wnd_dir_10m_pst10mts,rnfl_amt_pst1hr,rnfl_amt_pst24hrs,relative_humidity,time,week_of_year
202.0, 89.0, 7.1, 0.0, 8.1, 5.0, 9.8, 9.0, 217.0, 0.0, 0.2, 92.0,2020-08-26 00:00:00,35
219.0, 89.0, 7.9, 0.0, 7.6, 9.3, 9.3, 8.6, 213.0, 0.0, 0.2, 90.0,2020-08-26 01:00:00,35
213.0, 92.0, 5.0, 0.0, 7.8, 7.6, 9.0, 8.8, 202.0, 0.0, 0.2, 91.0,2020-08-26 02:00:00,35
212.0, 90.0, 9.3, 0.0, 7.1, 7.8, 8.6, 8.4, 219.0, 0.0, 0.2, 93.0,2020-08-26 03:00:00,35
205.0, 91.0, 7.6, 0.0, 7.4, 9.5, 8.8, 7.7, 213.0, 0.0, 0.2, 93.0,2020-08-26 04:00:00,35
207.0, 93.0, 7.8, 0.0, 7.3, 9.5, 8.4, 7.2, 212.0, 0.0, 0.0, 94.0,2020-08-26 05:00:00,35
163.0, 93.0, 9.5, 0.0, 6.6, 7.1, 7.7, 9.3, 205.0, 0.0, 0.0, 87.0,2020-08-26 06:00:00,35
196.0, 94.0, 9.5, 0.0, 6.3, 10.0, 7.2, 10.6, 207.0, 0.0, 0.0, 79.0,2020-08-26 07:00:00,35
195.0, 87.0, 7.1, 0.0, 7.2, 11.8, 9.3, 12.9, 163.0, 0.0, 0.0, 71.0,2020-08-26 08:00:00,35
170.0, 79.0, 10.0, 0.0, 7.1, 10.2, 10.6, 13.3, 196.0, 0.0, 0.0, 69.0,2020-08-26 09:00:00,35
187.0, 71.0, 11.8, 0.0, 7.8, 10.2, 12.9, 13.0, 195.0, 0.0, 0.0, 69.0,2020-08-26 10:00:00,35
217.0, 69.0, 10.2, 0.0, 7.7, 12.0, 13.3, 13.4, 170.0, 0.0, 0.0, 72.0,2020-08-26 11:00:00,35
201.0, 69.0, 10.2, 0.0, 7.5, 11.5, 13.0, 15.2, 187.0, 0.0, 0.0, 61.0,2020-08-26 12:00:00,35
194.0, 72.0, 12.0, 0.0, 8.5, 8.7, 13.4, 15.6, 217.0, 0.0, 0.0, 66.0,2020-08-26 13:00:00,35
221.0, 61.0, 11.5, 0.0, 7.7, 12.7, 15.2, 17.1, 201.0, 0.0, 0.0, 54.0,2020-08-26 14:00:00,35
238.0, None, None, 0.0, None, 6.4, None, 15.8, None, None, None, 61.0,2020-08-26 15:00:00,35
215.0, 54.0, 12.7, 0.4, 7.7, 8.4, 17.1, 12.8, 221.0, 0.0, 0.0, 81.0,2020-08-26 16:00:00,35
286.0, 61.0, 6.4, 0.0, 8.3, 5.1, 15.8, 14.5, 238.0, 0.0, 0.0, 74.0,2020-08-26 17:00:00,35
243.0, 81.0, 8.4, 0.0, 9.6, 2.8, 12.8, 9.5, 215.0, 0.4, 0.4, 96.0,2020-08-26 18:00:00,35
195.0, None, None, 0.0, None, 5.5, None, 8.1, None, None, None, 99.0,2020-08-26 19:00:00,35
189.0, None, None, 0.0, None, 6.7, None, 7.5, None, None, None, 99.0,2020-08-26 20:00:00,35
79.0, None, None, 0.0, None, 5.1, None, 7.8, None, None, None, 96.0,2020-08-26 21:00:00,35
132.0, 99.0, 6.7, 0.0, 7.4, 2.2, 7.5, 6.9, 189.0, 0.0, None, 99.0,2020-08-26 22:00:00,35
214.0, 96.0, 5.1, 0.2, 7.2, 6.6, 7.8, 6.8, 79.0, 0.0, 0.4, 98.0,2020-08-26 23:00:00,35
205.0, 99.0, 2.2, 0.0, 6.8, 6.0, 6.9, 6.4, 132.0, 0.0, 0.4, 97.0,2020-08-27 00:00:00,35
188.0, 98.0, 6.6, 0.0, 6.5, 6.7, 6.8, 5.7, 214.0, 0.2, 0.6, 99.0,2020-08-27 01:00:00,35
183.0, 97.0, 6.0, 0.0, 6.0, 5.5, 6.4, 5.1, 205.0, 0.0, 0.6, 99.0,2020-08-27 02:00:00,35
157.0, 99.0, 6.7, 0.0, 5.6, 2.4, 5.7, 3.8, 188.0, 0.0, 0.6, 99.0,2020-08-27 03:00:00,35
185.0, 99.0, 5.5, 0.2, 5.0, 6.4, 5.1, 4.0, 183.0, 0.0, 0.6, 100.0,2020-08-27 04:00:00,35
161.0, 99.0, 2.4, 0.0, 3.7, 5.1, 3.8, 4.3, 157.0, 0.0, 0.6, 100.0,2020-08-27 05:00:00,35
188.0, 100.0, 6.4, 0.0, 4.0, 7.3, 4.0, 6.9, 185.0, 0.2, 0.8, 95.0,2020-08-27 06:00:00,35
153.0, 100.0, 5.1, 0.0, 4.3, 7.2, 4.3, 8.7, 161.0, 0.0, 0.8, 87.0,2020-08-27 07:00:00,35
164.0, 95.0, 7.3, 0.0, 6.2, 7.4, 6.9, 11.6, 188.0, 0.0, 0.8, 74.0,2020-08-27 08:00:00,35
175.0, 87.0, 7.2, 0.0, 6.7, 6.6, 8.7, 13.6, 153.0, 0.0, 0.8, 66.0,2020-08-27 09:00:00,35
179.0, 74.0, 7.4, 0.0, 7.1, 8.2, 11.6, 15.2, 164.0, 0.0, 0.8, 53.0,2020-08-27 10:00:00,35
183.0, 66.0, 6.6, 0.0, 7.4, 7.2, 13.6, 16.6, 175.0, 0.0, 0.8, 50.0,2020-08-27 11:00:00,35
185.0, 53.0, 8.2, 0.0, 5.7, 9.8, 15.2, 16.7, 179.0, 0.0, 0.8, 50.0,2020-08-27 12:00:00,35
204.0, None, None, 0.0, None, 8.9, None, 17.4, None, None, None, 44.0,2020-08-27 13:00:00,35
204.0, None, None, 0.0, None, 7.5, None, 16.5, None, None, None, 49.0,2020-08-27 14:00:00,35
141.0, None, None, 0.0, None, 4.8, None, 17.9, None, None, None, 45.0,2020-08-27 15:00:00,35
172.0, None, None, 0.0, None, 5.1, None, 16.6, None, None, None, 57.0,2020-08-27 16:00:00,35
150.0, None, None, 0.0, None, 1.6, None, 15.1, None, None, None, 78.0,2020-08-27 17:00:00,35
139.0, None, None, 0.0, None, 3.3, None, 12.1, None, None, None, 87.0,2020-08-27 18:00:00,35
143.0, None, None, 0.0, None, 4.0, None, 10.1, None, None, None, 93.0,2020-08-27 19:00:00,35
158.0, 87.0, 3.3, 0.0, 10.0, 4.9, 12.1, 9.1, 139.0, 0.0, None, 92.0,2020-08-27 20:00:00,35
188.0, 93.0, 4.0, 0.0, 9.0, 4.2, 10.1, 8.9, 143.0, 0.0, 0.4, 95.0,2020-08-27 21:00:00,35
182.0, 92.0, 4.9, 0.0, 7.9, 3.5, 9.1, 8.9, 158.0, 0.0, 0.4, 96.0,2020-08-27 22:00:00,35
312.0, 95.0, 4.2, 0.0, 8.1, 1.8, 8.9, 8.5, 188.0, 0.0, 0.4, 95.0,2020-08-27 23:00:00,35
183.0, 96.0, 3.5, 0.0, 8.3, 2.3, 8.9, 8.6, 182.0, 0.0, 0.4, 95.0,2020-08-28 00:00:00,35
165.0, 95.0, 1.8, 0.0, 7.7, 3.1, 8.5, 8.8, 312.0, 0.0, 0.2, 95.0,2020-08-28 01:00:00,35
180.0, 95.0, 2.3, 0.0, 7.8, 3.3, 8.6, 9.1, 183.0, 0.0, 0.2, 95.0,2020-08-28 02:00:00,35
182.0, 95.0, 3.1, 0.0, 8.0, 7.8, 8.8, 9.5, 165.0, 0.0, 0.2, 83.0,2020-08-28 03:00:00,35
173.0, 95.0, 3.3, 0.0, 8.3, 5.3, 9.1, 9.7, 180.0, 0.0, 0.2, 87.0,2020-08-28 04:00:00,35
160.0, 83.0, 7.8, 0.0, 6.8, 5.7, 9.5, 9.8, 182.0, 0.0, 0.2, 84.0,2020-08-28 05:00:00,35
184.0, 87.0, 5.3, 0.0, 7.6, 6.8, 9.7, 10.0, 173.0, 0.0, 0.0, 85.0,2020-08-28 06:00:00,35
151.0, 84.0, 5.7, 0.0, 7.2, 5.6, 9.8, 10.5, 160.0, 0.0, 0.0, 90.0,2020-08-28 07:00:00,35
182.0, 85.0, 6.8, 0.0, 7.6, 8.4, 10.0, 12.2, 184.0, 0.0, 0.0, 80.0,2020-08-28 08:00:00,35
