TempC,SolarRadiationWm,RH,WindSpeedms,Pressurembar,Rainmm,GustSpeedms,time,WindDirection,DewPtC,week_of_year
-7.316,0.6,97.0,0.0,765.15,0.0,0.39,2020-01-22 00:00:00,172.7,-7.7,4
-7.219,0.6,97.0,0.0,765.45,0.0,0.19,2020-01-22 01:00:00,171.3,-7.6,4
-7.608,0.6,96.7,0.0,765.85,0.0,0.58,2020-01-22 02:00:00,167.1,-8.1,4
-7.51,0.6,96.9,0.0,766.45,0.0,0.19,2020-01-22 03:00:00,165.7,-7.9,4
-7.51,0.6,96.8,0.0,766.85,0.0,0.0,2020-01-22 04:00:00,164.3,-7.9,4
-7.543,0.6,96.8,0.0,767.25,0.0,0.0,2020-01-22 05:00:00,165.7,-8.0,4
-7.771,0.6,96.7,0.0,767.75,0.0,0.0,2020-01-22 06:00:00,162.9,-8.2,4
-7.935,0.6,96.6,0.0,768.25,0.0,0.0,2020-01-22 07:00:00,160.0,-8.4,4
-8.066,30.6,96.3,0.0,768.75,0.0,0.19,2020-01-22 08:00:00,168.5,-8.6,4
-7.706,55.6,96.6,0.0,769.45,0.0,0.0,2020-01-22 09:00:00,178.3,-8.2,4
-7.478,53.1,96.8,0.0,770.05,0.0,0.0,2020-01-22 10:00:00,176.9,-7.9,4
-7.251,235.6,96.6,0.0,770.65,0.0,0.0,2020-01-22 11:00:00,168.5,-7.7,4
-7.251,84.4,96.6,0.0,770.85,0.0,0.0,2020-01-22 12:00:00,162.9,-7.7,4
-7.09,86.9,96.6,0.0,770.85,0.0,0.0,2020-01-22 13:00:00,168.5,-7.6,4
-7.316,64.4,96.6,0.0,771.25,0.0,0.19,2020-01-22 14:00:00,169.9,-7.8,4
-7.738,19.4,96.5,0.0,771.75,0.0,0.0,2020-01-22 15:00:00,164.3,-8.2,4
-7.804,0.6,96.5,0.0,771.85,0.0,0.19,2020-01-22 16:00:00,157.2,-8.3,4
-8.297,0.6,96.4,0.0,771.95,0.0,0.58,2020-01-22 17:00:00,162.9,-8.8,4
