pcpn_amt_pst24hrs,SWE,cum_pcpn_amt,ONE_DAY_SNOW,air_temp_1,snw_dpth,MAX_TEMP,ONE_DAY_PRECIPITATION,pcpn_amt_pst1hr,snw_dpth_wtr_equiv,MIN_TEMP,time,SNOW_ON_THE_GROUND,week_of_year
58.0, None, 653.0, None, 2.7, -16.0, None, None, None, -1010.0, None,2020-10-14 00:00:00, None,42
61.0, None, 657.0, None, 2.8, -17.0, None, None, 4.0, -1010.0, None,2020-10-14 01:00:00, None,42
72.0, None, 669.0, None, 2.6, -16.0, None, None, 12.0, -1010.0, None,2020-10-14 02:00:00, None,42
56.0, None, 656.0, None, 2.6, 7.0, None, None, None, -1010.0, None,2020-10-14 03:00:00, None,42
57.0, None, 659.0, None, 2.5, -16.0, None, None, 3.0, -1010.0, None,2020-10-14 04:00:00, None,42
56.0, None, 664.0, None, 2.6, -16.0, None, None, 5.0, -1010.0, None,2020-10-14 05:00:00, None,42
62.0, None, 677.0, None, 2.3, -17.0, None, None, 13.0, -1010.0, None,2020-10-14 06:00:00, None,42
43.0, None, 662.0, None, 2.3, 8.0, None, None, None, -1010.0, None,2020-10-14 07:00:00, None,42
33.0, None, 660.0, None, 2.5, 8.0, None, None, None, -1010.0, None,2020-10-14 08:00:00, None,42
30.0, None, 660.0, None, 2.7, -17.0, None, None, 0.0, -1010.0, None,2020-10-14 09:00:00, None,42
29.0, None, 663.0, None, 2.8, -16.0, None, None, 3.0, -1010.0, None,2020-10-14 10:00:00, None,42
19.0, None, 671.0, None, 2.8, -16.0, None, None, 8.0, -1010.0, None,2020-10-14 11:00:00, None,42
9.0, None, 663.0, None, 3.4, -16.0, None, None, None, -1010.0, None,2020-10-14 12:00:00, None,42
19.0, None, 671.0, None, 3.0, -16.0, None, None, 8.0, -1010.0, None,2020-10-14 13:00:00, None,42
None, None, 638.0, None, 4.0, -16.0, None, None, None, -1010.0, None,2020-10-14 14:00:00, None,42
None, None, 628.0, None, 5.2, 3.0, None, None, None, -1010.0, None,2020-10-14 15:00:00, None,42
None, None, 632.0, None, 4.8, -17.0, None, None, 4.0, -1010.0, None,2020-10-14 16:00:00, None,42
4.0, None, 666.0, None, 3.7, 5.0, None, None, 34.0, -1010.0, None,2020-10-14 17:00:00, None,42
9.0, None, 669.0, None, 3.6, 4.0, None, None, 3.0, -1009.0, None,2020-10-14 18:00:00, None,42
None, None, 658.0, None, 3.1, -20.0, None, None, None, -1009.0, None,2020-10-14 19:00:00, None,42
7.0, None, 673.0, None, 2.9, 4.0, None, None, 15.0, -1010.0, None,2020-10-14 20:00:00, None,42
None, None, 659.0, None, 2.7, 20.0, None, None, None, -1010.0, None,2020-10-14 21:00:00, None,42
13.0, None, 675.0, None, 2.1, 20.0, None, None, 16.0, -1010.0, None,2020-10-14 22:00:00, None,42
None, None, 663.0, None, 2.0, 3.0, None, None, None, -1010.0, None,2020-10-14 23:00:00, None,42
22.0, None, 675.0, None, 1.6, 3.0, None, None, 12.0, -1011.0, None,2020-10-15 00:00:00, None,42
22.0, None, 679.0, None, 1.7, 3.0, None, None, 4.0, -1011.0, None,2020-10-15 01:00:00, None,42
None, None, 648.0, None, 2.4, 2.0, None, None, None, -1012.0, None,2020-10-15 02:00:00, None,42
3.0, None, 659.0, None, 1.9, 3.0, None, None, 11.0, -1012.0, None,2020-10-15 03:00:00, None,42
None, None, 647.0, None, 2.9, 605.0, None, None, None, -1012.0, None,2020-10-15 04:00:00, None,42
None, None, 647.0, None, 2.1, 605.0, None, None, 0.0, -1012.0, None,2020-10-15 05:00:00, None,42
None, None, 654.0, None, 2.0, 3.0, None, None, 7.0, -1012.0, None,2020-10-15 06:00:00, None,42
None, None, 648.0, None, 2.6, 605.0, None, None, None, -1012.0, None,2020-10-15 07:00:00, None,42
None, None, 648.0, None, 2.4, 605.0, None, None, 0.0, -1012.0, None,2020-10-15 08:00:00, None,42
None, None, 642.0, None, 2.6, -17.0, None, None, None, -1012.0, None,2020-10-15 09:00:00, None,42
None, None, 635.0, None, 3.0, 3.0, None, None, None, -1012.0, None,2020-10-15 10:00:00, None,42
None, None, 618.0, None, 3.8, -15.0, None, None, None, -1012.0, None,2020-10-15 11:00:00, None,42
None, None, 636.0, None, 4.3, 8.0, None, None, 18.0, None, None,2020-10-15 12:00:00, None,42
None, None, 634.0, None, 3.8, 13.0, None, None, None, 1.0, None,2020-10-15 13:00:00, None,42
1.0, None, 639.0, None, 3.7, 11.0, None, None, 5.0, 1.0, None,2020-10-15 14:00:00, None,42
16.0, None, 644.0, None, 3.5, 14.0, None, None, 5.0, 2.0, None,2020-10-15 15:00:00, None,42
4.0, None, 636.0, None, 3.6, 14.0, None, None, None, 2.0, None,2020-10-15 16:00:00, None,42
None, None, 634.0, None, 3.3, 15.0, None, None, None, 2.0, None,2020-10-15 17:00:00, None,42
None, None, 642.0, None, 2.9, 15.0, None, None, 8.0, 3.0, None,2020-10-15 18:00:00, None,42
0.0, None, 658.0, None, 2.4, -17.0, None, None, 16.0, 3.0, None,2020-10-15 19:00:00, None,42
None, None, 650.0, None, 2.5, 20.0, None, None, None, 3.0, None,2020-10-15 20:00:00, None,42
None, None, 650.0, None, 2.1, 20.0, None, None, 0.0, 3.0, None,2020-10-15 21:00:00, None,42
None, None, 646.0, None, 2.1, 19.0, None, None, None, 3.0, None,2020-10-15 22:00:00, None,42
None, None, 632.0, None, 2.5, -16.0, None, None, None, 3.0, None,2020-10-15 23:00:00, None,42
None, None, 625.0, None, 2.7, 17.0, None, None, None, 3.0, None,2020-10-16 00:00:00, None,42
None, None, 637.0, None, 3.4, 6.0, None, None, 12.0, 3.0, None,2020-10-16 01:00:00, None,42
None, None, 633.0, None, 4.3, 5.0, None, None, None, 4.0, None,2020-10-16 02:00:00, None,42
None, None, 656.0, None, 4.6, 605.0, None, None, 23.0, 4.0, None,2020-10-16 03:00:00, None,42
10.0, None, 657.0, None, 5.4, -2.0, None, None, 1.0, 4.0, None,2020-10-16 04:00:00, None,42
10.0, None, 657.0, None, 7.0, -4.0, None, None, 0.0, 4.0, None,2020-10-16 05:00:00, None,42
4.0, None, 658.0, None, 8.6, -10.0, None, None, 1.0, 5.0, None,2020-10-16 06:00:00, None,42
12.0, None, 660.0, None, 9.6, 605.0, None, None, 2.0, 5.0, None,2020-10-16 07:00:00, None,42
10.0, None, 658.0, None, 9.3, -11.0, None, None, None, 6.0, None,2020-10-16 08:00:00, None,42
17.0, None, 659.0, None, 9.3, -9.0, None, None, 1.0, 6.0, None,2020-10-16 09:00:00, None,42
28.0, None, 663.0, None, 9.5, -8.0, None, None, 4.0, 7.0, None,2020-10-16 10:00:00, None,42
43.0, None, 661.0, None, 9.6, -7.0, None, None, None, 7.0, None,2020-10-16 11:00:00, None,42
27.0, None, 663.0, None, 9.7, -7.0, None, None, 2.0, 7.0, None,2020-10-16 12:00:00, None,42
29.0, None, 663.0, None, 9.3, -6.0, None, None, 0.0, 7.0, None,2020-10-16 13:00:00, None,42
25.0, None, 664.0, None, 9.5, -3.0, None, None, 1.0, 7.0, None,2020-10-16 14:00:00, None,42
