RELATIVE_HUMIDITY1,STANDARD_SNOW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,min_air_temp_snc_last_reset,DEW_POINT,ATMOSPHERIC_PRESSURE,avg_wnd_dir_10m_pst10mts,ACTUAL_WIND_DIRECTION,MAXIMUM_AIR_TEMPERATURE,snw_dpth,MAXIMUM_MEASURED_WIND_SPEED1,HEIGHT_OF_SNOW,pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,PRECIPITATION_NEW,max_air_temp_snc_last_reset,PRECIP_DETECTOR_RATIO,ACTUAL_WIND_SPEED,WIND_DIRECTION_STD_DEVIATION1,avg_wnd_spd_10m_pst10mts,air_temp,mslp,pcpn_amt_pst1hr,snwfl_amt_pst1hr,rel_hum,time,stn_pres,week_of_year
97.1, None, None, 11.2, 3.376, 240.5, 11.0, 10.2, 11.0, 1019.0, 241.0, None, None, 1.0, None, 0.808, None, None, 11.66, None, 11.7, None, None, 33.15, 3.4, 11.7, 1023.3, 1.6, 0.0, 97.0,2020-10-28 00:00:00, 1019.0,44
97.2, None, None, 14.3, 6.2, 237.1, 12.0, 10.2, 12.0, 1019.0, 237.0, None, None, 1.0, None, 0.867, None, None, 12.07, None, 12.2, None, None, 20.58, 6.2, 12.1, 1023.3, 2.0, 0.0, 97.0,2020-10-28 01:00:00, 1019.0,44
97.2, None, None, 14.0, 6.718, 235.8, 11.0, 10.2, 11.0, 1019.0, 236.0, None, None, 1.0, None, 0.627, None, None, 11.87, None, 12.3, None, None, 23.79, 6.7, 11.9, 1023.3, 1.7, 0.0, 97.0,2020-10-28 02:00:00, 1019.0,44
97.2, None, None, 14.8, 6.662, 224.0, 12.0, 10.2, 12.0, 1019.0, 224.0, None, None, 1.0, None, 0.987, None, None, 12.28, None, 12.3, None, None, 25.7, 6.7, 12.3, 1023.3, 0.3, 1.0, 97.0,2020-10-28 03:00:00, 1019.0,44
97.2, None, None, 15.7, 6.774, 228.2, 12.0, 10.2, 12.0, 1019.0, 228.0, None, None, 1.0, None, 0.684, None, None, 12.12, None, 12.3, None, None, 23.96, 6.8, 12.1, 1023.3, 0.9, 0.0, 97.0,2020-10-28 04:00:00, 1019.0,44
97.2, None, None, 16.9, 6.901, 231.5, 11.0, 10.2, 11.0, 1018.0, 232.0, None, None, 1.0, None, 0.712, None, None, 11.94, None, 12.4, None, None, 24.61, 6.9, 11.9, 1022.3, -0.1, 0.0, 97.0,2020-10-28 05:00:00, 1018.0,44
97.2, None, None, None, 5.538, 235.8, None, None, 11.0, 1018.0, None, None, None, None, None, 0.797, None, None, 11.82, None, None, None, None, 22.05, None, None, None, None, None, None,2020-10-28 06:00:00, None,44
97.2, None, None, 13.0, 4.354, 225.8, 12.0, 11.8, 12.0, 1018.0, 226.0, None, None, 1.0, None, 0.518, None, None, 12.07, None, 12.1, None, None, 27.82, 4.4, 12.1, 1022.3, 0.7, 0.0, 97.0,2020-10-28 07:00:00, 1018.0,44
97.2, None, None, 11.9, 4.346, 230.7, 11.0, 11.8, 11.0, 1018.0, 231.0, None, None, 1.0, None, 1.012, None, None, 11.87, None, 12.1, None, None, 21.97, 4.3, 11.9, 1022.3, 0.6, 1.0, 97.0,2020-10-28 08:00:00, 1018.0,44
97.2, None, None, 9.0, 1.59, 263.8, 12.0, 11.7, 12.0, 1018.0, 264.0, None, None, 1.0, None, 0.615, None, None, 12.0, None, 12.1, None, None, 39.48, 1.6, 12.0, 1022.3, 1.9, 0.0, 97.0,2020-10-28 09:00:00, 1018.0,44
97.2, None, None, 3.0, 0.51, 350.0, 12.0, 11.7, 12.0, 1018.0, 350.0, None, None, 1.0, None, 0.788, None, None, 12.17, None, 12.2, None, None, 66.71, 0.5, 12.2, 1022.3, 0.6, 0.0, 97.0,2020-10-28 10:00:00, 1018.0,44
97.2, None, None, 3.2, 0.591, 334.8, 12.0, 11.7, 12.0, 1018.0, 335.0, None, None, 1.0, None, 0.877, None, None, 12.35, None, 12.4, None, None, 39.23, 0.6, 12.4, 1022.3, 2.3, 0.0, 97.0,2020-10-28 11:00:00, 1018.0,44
97.2, None, None, 13.1, 2.412, 270.7, 13.0, 11.7, 13.0, 1018.0, 271.0, None, None, 1.0, None, 0.931, None, None, 13.01, None, 13.0, None, None, 45.51, 2.4, 13.0, 1022.3, 1.6, 0.0, 97.0,2020-10-28 12:00:00, 1018.0,44
97.1, None, None, 14.3, 5.558, 246.9, 13.0, 11.7, 13.0, 1018.0, 247.0, None, None, 1.0, None, 0.961, None, None, 13.1, None, 13.1, None, None, 24.74, 5.6, 13.1, 1022.3, 0.8, 0.0, 97.0,2020-10-28 13:00:00, 1018.0,44
