TempC,SolarRadiationWm,RH,WindSpeedms,Pressurembar,Rainmm,GustSpeedms,time,WindDirection,DewPtC,week_of_year
1.398,0.6,79.4,1.51,866.35, 0.0,5.79,2020-11-18 00:00:00,202.2,-1.774,47
-1.213,0.6,82.7,0.76,867.75, 0.0,4.78,2020-11-18 01:00:00,227.4,-3.78,47
-2.918,0.6,87.8,0.0,868.75, 0.0,2.52,2020-11-18 02:00:00,252.7,-4.662,47
-6.61,0.6,94.4,0.0,869.75, 0.0,1.01,2020-11-18 03:00:00,109.5,-7.373,47
-5.76,0.6,96.1,0.0,870.75, 0.0,2.01,2020-11-18 04:00:00,99.7,-6.294,47
-6.136,0.6,96.1,0.0,871.45, 0.0,2.77,2020-11-18 05:00:00,64.6,-6.669,47
-8.066,0.6,95.8,0.0,872.35, 0.0,0.76,2020-11-18 06:00:00,314.5,-8.634,47
-8.132,0.6,95.6,0.0,872.75, 0.0,0.0,2020-11-18 07:00:00,280.8,-8.726,47
-9.202,8.1,95.2,0.0,873.25, 0.0,0.0,2020-11-18 08:00:00,300.4,-9.846,47
-8.165,33.1,94.9,0.0,874.05, 0.0,0.0,2020-11-18 09:00:00,300.4,-8.853,47
-3.598,141.9,95.4,0.0,874.45, 0.0,0.5,2020-11-18 10:00:00,303.2,-4.236,47
-1.842,105.6,95.3,0.0,874.55, 0.0,0.0,2020-11-18 11:00:00,308.9,-2.5,47
-1.185,96.9,92.8,0.0,875.05, 0.0,1.76,2020-11-18 12:00:00,332.7,-2.206,47
-2.712,66.9,94.6,0.76,875.15, 0.0,3.27,2020-11-18 13:00:00,8.4,-3.466,47
-3.896,39.4,96.9,0.5,875.55, 0.0,3.27,2020-11-18 14:00:00,21.1,-4.326,47
-4.348,9.4,96.8,0.0,875.95, 0.0,2.27,2020-11-18 15:00:00,49.1,-4.791,47
-5.172,1.9,96.6,0.25,876.25, 0.0,2.52,2020-11-18 16:00:00,5.6,-5.64,47
-6.294,0.6,95.6,0.5,876.65, 0.0,2.52,2020-11-18 17:00:00,355.2,-6.894,47
-7.026,0.6,95.1,0.0,877.15, 0.0,1.76,2020-11-18 18:00:00,16.8,-7.692,47
-7.935,0.6,94.9,0.0,877.25, 0.0,1.26,2020-11-18 19:00:00,108.1,-8.624,47
-8.198,0.6,94.8,0.0,877.55, 0.0,0.0,2020-11-18 20:00:00,110.9,-8.899,47
-8.63,0.6,94.9,0.0,878.05, 0.0,1.76,2020-11-18 21:00:00,28.1,-9.316,47
-9.066,0.6,94.7,0.0,878.85, 0.0,0.76,2020-11-18 22:00:00,351.0,-9.777,47
-9.747,0.6,93.8,0.0,879.65, 0.0,1.76,2020-11-18 23:00:00,341.2,-10.575,47
-10.371,0.6,93.6,0.0,880.55, 0.0,1.76,2020-11-19 00:00:00,328.5,-11.222,47
-10.722,0.6,93.5,0.0,881.35, 0.0,2.01,2020-11-19 01:00:00,341.2,-11.584,47
-10.969,0.6,92.9,0.0,882.05, 0.0,2.01,2020-11-19 02:00:00,336.9,-11.91,47
-11.326,0.6,92.3,0.0,882.95, 0.0,2.27,2020-11-19 03:00:00,348.2,-12.345,47
-11.831,0.6,92.1,0.0,883.45, 0.0,2.01,2020-11-19 04:00:00,342.6,-12.873,47
-12.343,0.6,92.4,0.0,884.15, 0.0,2.27,2020-11-19 05:00:00,344.0,-13.341,47
-13.277,0.6,92.5,0.0,884.85, 0.0,1.26,2020-11-19 06:00:00,342.6,-14.256,47
-16.367,0.6,91.9,0.0,885.95, 0.0,0.0,2020-11-19 07:00:00,332.7,-17.401,47
-18.607,3.1,90.1,0.0,887.05, 0.0,0.0,2020-11-19 08:00:00,332.7,-19.854,47
-14.707,26.9,90.4,0.0,887.65, 0.0,0.25,2020-11-19 09:00:00,269.6,-15.951,47
-11.04,58.1,92.0,0.0,887.75, 0.0,0.25,2020-11-19 10:00:00,256.9,-12.101,47
-9.782,66.9,93.4,0.0,887.95, 0.0,2.52,2020-11-19 11:00:00,172.7,-10.663,47
-8.932,79.4,93.7,0.25,888.25, 0.0,2.52,2020-11-19 12:00:00,141.8,-9.778,47
-8.663,55.6,93.0,0.25,888.65, 0.0,2.27,2020-11-19 13:00:00,133.4,-9.605,47
-7.968,74.4,92.3,0.25,888.95, 0.0,3.27,2020-11-19 14:00:00,126.4,-9.011,47
-8.331,31.9,92.6,0.25,889.15, 0.0,2.52,2020-11-19 15:00:00,122.1,-9.33,47
-9.816,3.1,93.5,0.25,889.25, 0.0,2.77,2020-11-19 16:00:00,92.7,-10.684,47
-9.919,0.6,94.3,0.0,889.35, 0.0,1.76,2020-11-19 17:00:00,124.9,-10.679,47
-9.954,0.6,94.3,0.0,889.45, 0.0,1.51,2020-11-19 18:00:00,122.1,-10.714,47
-12.38,0.6,93.5,0.0,889.85, 0.0,0.0,2020-11-19 19:00:00,115.1,-13.233,47
-10.546,0.6,93.4,0.0,889.95, 0.0,0.0,2020-11-19 20:00:00,115.1,-11.423,47
-12.343,0.6,93.6,0.0,890.15, 0.0,0.0,2020-11-19 21:00:00,122.1,-13.183,47
-14.042,0.6,92.4,0.0,890.55, 0.0,0.5,2020-11-19 22:00:00,137.6,-15.028,47
-14.628,0.6,91.8,0.0,891.05, 0.0,0.25,2020-11-19 23:00:00,30.9,-15.689,47
-16.492,0.6,91.6,0.0,891.35, 0.0,0.0,2020-11-20 00:00:00,29.5,-17.564,47
-15.345,0.6,90.9,0.0,891.95, 0.0,0.0,2020-11-20 01:00:00,29.5,-16.518,47
-14.707,0.6,91.5,0.0,891.95, 0.0,0.0,2020-11-20 02:00:00,29.5,-15.806,47
-14.236,0.6,91.3,0.0,892.25, 0.0,0.0,2020-11-20 03:00:00,30.9,-15.365,47
-13.965,0.6,91.7,0.0,892.35, 0.0,0.0,2020-11-20 04:00:00,30.9,-15.044,47
-13.734,0.6,91.9,0.0,892.25, 0.0,0.5,2020-11-20 05:00:00,217.6,-14.788,47
