pcpn_amt_pst24hrs,air_temp,CURRENT_AIR_TEMPERATURE1,min_air_temp_snc_last_reset,pcpn_amt_pst1hr,snwfl_amt_pst1hr,max_air_temp_snc_last_reset,rel_hum,HEIGHT_OF_SNOW,time,snw_dpth,dwpt_temp,week_of_year
None, -5.2, -5.199, -5.2, 0.0, None, -2.6, -6999.0, None,2020-12-02 00:00:00, None, -6999.0,49
None, -5.5, -5.494, -5.5, 1.0, None, -2.6, -6999.0, None,2020-12-02 01:00:00, None, -6999.0,49
None, -5.7, -5.666, -5.7, 1.3, None, -2.6, -6999.0, None,2020-12-02 02:00:00, None, -6999.0,49
None, -5.8, -5.766, -5.8, 2.4, None, -2.6, -6999.0, None,2020-12-02 03:00:00, None, -6999.0,49
None, -5.0, -5.036, -5.8, -2.7, None, -2.6, -6999.0, None,2020-12-02 04:00:00, None, -6999.0,49
None, -3.9, -3.885, -5.8, 1.0, None, -2.6, -6999.0, None,2020-12-02 05:00:00, None, -6999.0,49
None, -3.1, -3.136, -5.8, 0.0, None, -2.6, -6999.0, None,2020-12-02 06:00:00, None, -6999.0,49
None, -2.7, -2.722, -3.2, -0.6, None, -2.7, -6999.0, None,2020-12-02 07:00:00, None, -6999.0,49
None, -2.5, -2.549, -3.2, 0.6, None, -2.5, -6999.0, None,2020-12-02 08:00:00, None, -6999.0,49
None, -2.2, -2.228, -3.2, -1.0, None, -2.2, -6999.0, None,2020-12-02 09:00:00, None, -6999.0,49
None, -1.3, -1.254, -3.2, -1.0, None, -1.3, -6999.0, None,2020-12-02 10:00:00, None, -6999.0,49
None, 0.0, 0.0, -3.2, -1.0, None, 0.0, -6999.0, None,2020-12-02 11:00:00, None, -6999.0,49
None, 1.8, 1.819, -3.2, -1.0, None, 1.8, -6999.0, None,2020-12-02 12:00:00, None, -6999.0,49
None, 2.3, 2.266, -3.2, 0.0, None, 2.3, -6999.0, None,2020-12-02 13:00:00, None, -6999.0,49
None, 2.0, 1.964, -3.2, 0.0, None, 2.3, -6999.0, None,2020-12-02 14:00:00, None, -6999.0,49
None, 0.8, 0.848, -3.2, 0.5, None, 2.3, -6999.0, None,2020-12-02 15:00:00, None, -6999.0,49
None, -0.1, -0.118, -3.2, 0.5, None, 2.3, -6999.0, None,2020-12-02 16:00:00, None, -6999.0,49
None, -0.6, -0.606, -3.2, 0.0, None, 2.3, -6999.0, None,2020-12-02 17:00:00, None, -6999.0,49
None, -0.7, -0.671, -3.2, 0.0, None, 2.3, -6999.0, None,2020-12-02 18:00:00, None, -6999.0,49
None, -0.7, -0.671, -0.7, 1.0, None, -0.6, -6999.0, None,2020-12-02 19:00:00, None, -6999.0,49
None, -0.8, -0.779, -0.8, 0.0, None, -0.6, -6999.0, None,2020-12-02 20:00:00, None, -6999.0,49
None, -0.8, -0.818, -0.8, 0.0, None, -0.6, -6999.0, None,2020-12-02 21:00:00, None, -6999.0,49
None, -0.7, -0.671, -0.8, 0.0, None, -0.6, -6999.0, None,2020-12-02 22:00:00, None, -6999.0,49
None, -0.8, -0.829, -0.8, 0.3, None, -0.6, -6999.0, None,2020-12-02 23:00:00, None, -6999.0,49
None, -1.0, -1.033, -1.0, 0.7, None, -0.6, -6999.0, None,2020-12-03 00:00:00, None, -6999.0,49
None, -1.3, -1.268, -1.3, -0.1, None, -0.6, -6999.0, None,2020-12-03 01:00:00, None, -6999.0,49
None, -1.4, -1.417, -1.4, 0.1, None, -0.6, -6999.0, None,2020-12-03 02:00:00, None, -6999.0,49
None, -1.4, -1.394, -1.4, 0.0, None, -0.6, -6999.0, None,2020-12-03 03:00:00, None, -6999.0,49
None, -1.4, -1.351, -1.4, 0.0, None, -0.6, -6999.0, None,2020-12-03 04:00:00, None, -6999.0,49
None, -1.3, -1.269, -1.4, 0.0, None, -0.6, -6999.0, None,2020-12-03 05:00:00, None, -6999.0,49
None, -1.3, -1.262, -1.4, 1.0, None, -0.6, -6999.0, None,2020-12-03 06:00:00, None, -6999.0,49
None, -1.4, -1.351, -1.4, -0.8, None, -1.3, -6999.0, None,2020-12-03 07:00:00, None, -6999.0,49
None, -1.5, -1.465, -1.5, 1.7, None, -1.3, -6999.0, None,2020-12-03 08:00:00, None, -6999.0,49
None, -1.4, -1.374, -1.5, -1.0, None, -1.3, -6999.0, None,2020-12-03 09:00:00, None, -6999.0,49
None, -0.9, -0.884, -1.5, -1.6, None, -0.9, -6999.0, None,2020-12-03 10:00:00, None, -6999.0,49
None, -0.2, -0.158, -1.5, 0.4, None, -0.2, -6999.0, None,2020-12-03 11:00:00, None, -6999.0,49
