pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,STANDARD_SNOW,PRECIPITATION_NEW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,WIND_DIRECTION_STD_DEVIATION1,snwfl_amt_pst1hr,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,avg_wnd_spd_10m_pst10mts,air_temp,min_air_temp_snc_last_reset,pcpn_amt_pst1hr,DEW_POINT,ATMOSPHERIC_PRESSURE,avg_wnd_dir_10m_pst10mts,max_air_temp_snc_last_reset,rel_hum,MAXIMUM_AIR_TEMPERATURE,time,snw_dpth,MAXIMUM_MEASURED_WIND_SPEED1,HEIGHT_OF_SNOW,stn_pres,week_of_year
4.4, None, 0.085, None, None, None, None, -6999.0, None, 3.0, None, None, -6999.0, -6999.0, 0.1, -1.0, 1.1, None, None, -6999.0, 0.5, -6999.0, None,2020-01-29 00:00:00, 130.0, None, 130.2, 450.0,5
5.1, None, 0.19, None, None, None, None, -6999.0, None, 1.0, None, None, -6999.0, -6999.0, 0.2, -1.0, 0.7, None, None, -6999.0, 0.5, -6999.0, None,2020-01-29 01:00:00, 131.0, None, 130.8, 450.0,5
5.8, None, 0.132, None, None, None, None, -6999.0, None, 1.0, None, None, -6999.0, -6999.0, 0.1, -1.0, 0.7, None, None, -6999.0, 0.5, -6999.0, None,2020-01-29 02:00:00, 132.0, None, 131.5, 450.0,5
6.5, None, 0.151, None, None, None, None, -6999.0, None, 2.0, None, None, -6999.0, -6999.0, 0.2, -1.0, 0.7, None, None, -6999.0, 0.5, -6999.0, None,2020-01-29 03:00:00, 133.0, None, 133.1, 450.0,5
7.2, None, 0.199, None, None, None, None, -6999.0, None, 1.0, None, None, -6999.0, -6999.0, 0.2, -1.0, 0.7, None, None, -6999.0, 0.5, -6999.0, None,2020-01-29 04:00:00, 134.0, None, 133.6, 450.0,5
9.0, None, 0.132, None, None, None, None, -6999.0, None, 1.0, None, None, -6999.0, -6999.0, 0.1, -1.0, 2.0, None, None, -6999.0, 0.5, -6999.0, None,2020-01-29 05:00:00, 135.0, None, 135.0, 450.0,5
9.9, None, 0.074, None, None, None, None, -6999.0, None, 1.0, None, None, -6999.0, -6999.0, 0.1, -1.0, 0.9, None, None, -6999.0, 0.5, -6999.0, None,2020-01-29 06:00:00, 136.0, None, 136.1, 450.0,5
10.8, None, 0.036, None, None, None, None, -6999.0, None, 2.0, None, None, -6999.0, -6999.0, 0.0, 0.0, 0.9, None, None, -6999.0, 0.2, -6999.0, None,2020-01-29 07:00:00, 138.0, None, 137.8, 450.0,5
11.0, None, 0.036, None, None, None, None, -6999.0, None, -1.0, None, None, -6999.0, -6999.0, 0.0, -0.1, 0.2, None, None, -6999.0, 0.2, -6999.0, None,2020-01-29 08:00:00, 136.0, None, 136.3, 450.0,5
11.3, None, 0.055, None, None, None, None, -6999.0, None, 0.0, None, None, -6999.0, -6999.0, 0.1, -0.1, 0.3, None, None, -6999.0, 0.2, -6999.0, None,2020-01-29 09:00:00, 136.0, None, 136.0, 450.0,5
