pcpn_amt_pst24hrs,SWE,cum_pcpn_amt,ONE_DAY_SNOW,air_temp_2,air_temp_1,snw_dpth,MAX_TEMP,ONE_DAY_PRECIPITATION,pcpn_amt_pst1hr,snw_dpth_wtr_equiv,MIN_TEMP,time,SNOW_ON_THE_GROUND,week_of_year
0.0, None, 826.0, None, -9.9, -9.7, 111.0, None, None, 0.0, 259.0, None,2020-12-23 00:00:00, None,52
0.0, None, 826.0, None, -9.5, -9.4, 111.0, None, None, 0.0, 259.0, None,2020-12-23 01:00:00, None,52
0.0, None, 826.0, None, -9.5, -9.4, 109.0, None, None, 0.0, 259.0, None,2020-12-23 02:00:00, None,52
0.0, None, 826.0, None, -8.9, -8.8, 109.0, None, None, 0.0, 260.0, None,2020-12-23 03:00:00, None,52
None, None, 826.0, None, -8.7, -8.4, 109.0, None, None, 0.0, 260.0, None,2020-12-23 04:00:00, None,52
None, None, 826.0, None, -7.9, -7.5, 109.0, None, None, 0.0, 260.0, None,2020-12-23 05:00:00, None,52
None, None, 825.0, None, -7.5, -7.1, 109.0, None, None, None, 260.0, None,2020-12-23 06:00:00, None,52
None, None, 826.0, None, -9.1, -8.9, 110.0, None, None, 1.0, 260.0, None,2020-12-23 07:00:00, None,52
None, None, 826.0, None, -8.4, -8.3, 111.0, None, None, 0.0, 260.0, None,2020-12-23 08:00:00, None,52
None, None, 826.0, None, -8.2, -8.1, 111.0, None, None, 0.0, 260.0, None,2020-12-23 09:00:00, None,52
None, None, 826.0, None, -7.6, -7.4, 112.0, None, None, 0.0, 261.0, None,2020-12-23 10:00:00, None,52
0.0, None, 826.0, None, -7.0, -7.0, 112.0, None, None, 0.0, 262.0, None,2020-12-23 11:00:00, None,52
0.0, None, 826.0, None, -6.4, -6.3, 113.0, None, None, 0.0, 263.0, None,2020-12-23 12:00:00, None,52
0.0, None, 826.0, None, -5.7, -5.6, 112.0, None, None, 0.0, 263.0, None,2020-12-23 13:00:00, None,52
1.0, None, 827.0, None, -5.8, -5.8, 113.0, None, None, 1.0, 263.0, None,2020-12-23 14:00:00, None,52
1.0, None, 827.0, None, -5.2, -5.0, 113.0, None, None, 0.0, 264.0, None,2020-12-23 15:00:00, None,52
1.0, None, 827.0, None, -5.1, -5.0, 113.0, None, None, 0.0, 264.0, None,2020-12-23 16:00:00, None,52
0.0, None, 827.0, None, -4.3, -4.1, 111.0, None, None, 0.0, 265.0, None,2020-12-23 17:00:00, None,52
0.0, None, 827.0, None, -4.0, -3.8, 114.0, None, None, 0.0, 265.0, None,2020-12-23 18:00:00, None,52
1.0, None, 827.0, None, -4.0, -3.9, 113.0, None, None, 0.0, 266.0, None,2020-12-23 19:00:00, None,52
1.0, None, 827.0, None, -4.1, -3.9, 113.0, None, None, 0.0, 267.0, None,2020-12-23 20:00:00, None,52
2.0, None, 828.0, None, -4.0, -3.9, 113.0, None, None, 1.0, 267.0, None,2020-12-23 21:00:00, None,52
2.0, None, 828.0, None, -3.4, -3.3, 114.0, None, None, 0.0, 268.0, None,2020-12-23 22:00:00, None,52
3.0, None, 829.0, None, -3.1, -3.0, 114.0, None, None, 1.0, 269.0, None,2020-12-23 23:00:00, None,52
4.0, None, 830.0, None, -3.0, -2.9, 114.0, None, None, 1.0, 270.0, None,2020-12-24 00:00:00, None,52
4.0, None, 830.0, None, -2.9, -2.8, 115.0, None, None, 0.0, 271.0, None,2020-12-24 01:00:00, None,52
4.0, None, 830.0, None, -2.9, -2.8, 116.0, None, None, 0.0, 272.0, None,2020-12-24 02:00:00, None,52
5.0, None, 831.0, None, -2.8, -2.6, 116.0, None, None, 1.0, 274.0, None,2020-12-24 03:00:00, None,52
6.0, None, 832.0, None, -2.6, -2.5, 117.0, None, None, 1.0, 275.0, None,2020-12-24 04:00:00, None,52
6.0, None, 832.0, None, -2.7, -2.5, 118.0, None, None, 0.0, 277.0, None,2020-12-24 05:00:00, None,52
8.0, None, 833.0, None, -3.2, -3.1, 525.0, None, None, 1.0, 278.0, None,2020-12-24 06:00:00, None,52
7.0, None, 833.0, None, -2.5, -2.5, 121.0, None, None, 0.0, 278.0, None,2020-12-24 07:00:00, None,52
8.0, None, 834.0, None, -3.2, -3.2, 121.0, None, None, 1.0, 279.0, None,2020-12-24 08:00:00, None,52
8.0, None, 834.0, None, -3.6, -3.7, 121.0, None, None, 0.0, 279.0, None,2020-12-24 09:00:00, None,52
8.0, None, 834.0, None, -3.7, -3.7, 120.0, None, None, 0.0, 279.0, None,2020-12-24 10:00:00, None,52
8.0, None, 834.0, None, -3.5, -3.3, 120.0, None, None, 0.0, 279.0, None,2020-12-24 11:00:00, None,52
8.0, None, 834.0, None, -3.3, -2.9, 119.0, None, None, 0.0, 279.0, None,2020-12-24 12:00:00, None,52
8.0, None, 834.0, None, -3.5, -3.1, 119.0, None, None, 0.0, 279.0, None,2020-12-24 13:00:00, None,52
7.0, None, 834.0, None, -3.5, -3.2, 118.0, None, None, 0.0, 279.0, None,2020-12-24 14:00:00, None,52
