pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,max_air_temp_snc_last_reset,max_wnd_spd_10m_pst1hr,WIND_DIRECTION_STD_DEVIATION1,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,avg_wnd_spd_10m_pst10mts,air_temp,min_air_temp_snc_last_reset,DEW_POINT,pcpn_amt_pst1hr,avg_wnd_dir_10m_pst10mts,snwfl_amt_pst1hr,rel_hum,time,snw_dpth,stn_pres,week_of_year
None, -10.93, 82.4, -7.1, 15.5, 28.8, 6.107, 351.1, -13.0, 6.1, -10.9, -11.0, -13.0, 0.0, 351.0, 0.0, 82.0,2020-12-23 00:00:00, -6999.0, -6999.0,52
None, -11.73, 84.7, -7.1, 12.3, 44.53, 3.104, 323.3, -14.0, 3.1, -11.7, -11.9, -14.0, 0.0, 323.0, 0.0, 85.0,2020-12-23 01:00:00, -6999.0, -6999.0,52
None, -13.82, 87.2, -7.1, 4.5, 59.48, 1.099, 191.4, -15.0, 1.1, -13.8, -13.8, -15.0, 0.0, 191.0, 0.0, 87.0,2020-12-23 02:00:00, -6999.0, -6999.0,52
None, -14.14, 87.0, -7.1, 3.3, 57.65, 0.33, 309.3, -16.0, 0.3, -14.1, -14.4, -16.0, 0.0, 309.0, 0.0, 87.0,2020-12-23 03:00:00, -6999.0, -6999.0,52
None, -13.75, 87.0, -7.1, 3.1, 53.36, 0.276, 341.0, -15.0, 0.3, -13.8, -14.5, -15.0, 0.0, 341.0, 0.0, 87.0,2020-12-23 04:00:00, -6999.0, -6999.0,52
None, -14.45, 86.3, -7.1, 4.4, 61.65, 0.431, 299.0, -16.0, 0.4, -14.5, -14.5, -16.0, 0.0, 299.0, 0.0, 86.0,2020-12-23 05:00:00, -6999.0, -6999.0,52
None, -14.31, 86.6, -7.1, 2.3, 49.09, 0.063, 307.3, -16.0, 0.1, -14.3, -14.6, -16.0, 0.0, 307.0, 0.0, 87.0,2020-12-23 06:00:00, -6999.0, -6999.0,52
None, -13.94, 86.7, -13.4, 3.5, 58.67, 0.112, 309.7, -16.0, 0.1, -13.9, -14.3, -16.0, 0.0, 310.0, 0.0, 87.0,2020-12-23 07:00:00, -6999.0, -6999.0,52
None, -13.96, 86.3, -13.3, 2.5, 65.86, 0.195, 338.9, -16.0, 0.2, -14.0, -14.3, -16.0, 0.0, 339.0, 0.0, 86.0,2020-12-23 08:00:00, -6999.0, -6999.0,52
None, -13.66, 87.0, -13.3, 6.3, 30.36, 1.093, 333.7, -15.0, 1.1, -13.7, -14.3, -15.0, 0.0, 334.0, 0.0, 87.0,2020-12-23 09:00:00, -6999.0, -6999.0,52
None, -12.03, 85.9, -12.1, 10.0, 34.37, 3.693, 329.0, -14.0, 3.7, -12.0, -14.3, -14.0, 0.0, 329.0, 0.0, 86.0,2020-12-23 10:00:00, -6999.0, -6999.0,52
None, -10.48, 84.1, -10.4, 9.5, 60.1, 3.015, 334.1, -13.0, 3.0, -10.5, -14.3, -13.0, 0.0, 334.0, 0.0, 84.0,2020-12-23 11:00:00, -6999.0, -6999.0,52
None, -9.38, 79.47, -9.4, 20.7, 26.2, 6.317, 352.4, -12.0, 6.3, -9.4, -14.3, -12.0, 0.0, 352.0, 0.0, 79.0,2020-12-23 12:00:00, -6999.0, -6999.0,52
None, -8.27, 77.99, -8.2, 14.9, 57.11, 4.613, 326.3, -11.0, 4.6, -8.3, -14.3, -11.0, 0.0, 326.0, 0.0, 78.0,2020-12-23 13:00:00, -6999.0, -6999.0,52
None, -7.75, 76.35, -7.6, 5.7, 61.23, 1.628, 198.5, -11.0, 1.6, -7.8, -14.3, -11.0, 0.0, 199.0, 0.0, 76.0,2020-12-23 14:00:00, -6999.0, -6999.0,52
None, -7.488, 79.51, -7.2, 7.5, 65.94, 1.599, 255.9, -10.0, 1.6, -7.5, -14.3, -10.0, 0.0, 256.0, 0.0, 80.0,2020-12-23 15:00:00, -6999.0, -6999.0,52
None, -7.436, 85.1, -7.2, 4.2, 58.02, 0.6, 312.5, -9.0, 0.6, -7.4, -14.3, -9.0, 0.0, 313.0, 0.0, 85.0,2020-12-23 16:00:00, -6999.0, -6999.0,52
None, -7.508, 83.3, -7.2, 5.6, 44.6, 1.089, 340.8, -9.0, 1.1, -7.5, -14.3, -9.0, 0.0, 341.0, 0.0, 83.0,2020-12-23 17:00:00, -6999.0, -6999.0,52
None, -7.801, 85.1, -7.2, 12.1, 60.17, 2.838, 330.7, -10.0, 2.8, -7.8, -14.3, -10.0, 0.0, 331.0, 0.0, 85.0,2020-12-23 18:00:00, -6999.0, -6999.0,52
