air_temp,CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,max_air_temp_snc_last_reset,rel_hum,min_air_temp_snc_last_reset,time,dwpt_temp,week_of_year
-0.6, -0.558, 88.0, 1.7, 88.0, -0.9,2020-02-26 00:00:00, -2.0,9
0.4, 0.377, 84.9, 1.7, 85.0, -0.9,2020-02-26 01:00:00, -2.0,9
2.6, 2.611, 68.16, 3.0, 68.0, -0.9,2020-02-26 02:00:00, -2.0,9
2.8, 2.752, 65.15, 3.4, 65.0, -0.9,2020-02-26 03:00:00, -3.0,9
2.8, 2.842, 62.7, 3.4, 63.0, -0.9,2020-02-26 04:00:00, -4.0,9
2.1, 2.14, 64.97, 3.4, 65.0, -0.9,2020-02-26 05:00:00, -3.0,9
1.3, 1.288, 71.54, 3.4, 72.0, -0.9,2020-02-26 06:00:00, -3.0,9
2.5, 2.453, 60.31, 2.5, 60.0, 0.6,2020-02-26 07:00:00, -4.0,9
2.4, 2.366, 60.36, 2.5, 60.0, 0.6,2020-02-26 08:00:00, -5.0,9
2.9, 2.873, 57.45, 2.9, 57.0, 0.6,2020-02-26 09:00:00, -5.0,9
3.8, 3.785, 54.84, 3.9, 55.0, 0.6,2020-02-26 10:00:00, -4.0,9
4.4, 4.406, 52.98, 4.5, 53.0, 0.6,2020-02-26 11:00:00, -4.0,9
4.9, 4.873, 52.09, 5.0, 52.0, 0.6,2020-02-26 12:00:00, -4.0,9
5.0, 5.047, 51.85, 5.3, 52.0, 0.6,2020-02-26 13:00:00, -4.0,9
5.1, 5.078, 51.44, 5.4, 51.0, 0.6,2020-02-26 14:00:00, -4.0,9
4.5, 4.515, 51.93, 5.4, 52.0, 0.6,2020-02-26 15:00:00, -4.0,9
3.6, 3.63, 57.35, 5.4, 57.0, 0.6,2020-02-26 16:00:00, -4.0,9
3.1, 3.129, 59.55, 5.4, 60.0, 0.6,2020-02-26 17:00:00, -4.0,9
2.6, 2.59, 62.39, 5.4, 62.0, 0.6,2020-02-26 18:00:00, -4.0,9
2.4, 2.409, 65.93, 2.9, 66.0, 2.5,2020-02-26 19:00:00, -3.0,9
1.4, 1.373, 70.54, 2.9, 71.0, 1.2,2020-02-26 20:00:00, -4.0,9
2.6, 2.604, 60.53, 2.9, 61.0, 1.0,2020-02-26 21:00:00, -4.0,9
2.3, 2.286, 63.49, 2.9, 63.0, 1.0,2020-02-26 22:00:00, -4.0,9
2.8, 2.799, 62.07, 3.0, 62.0, 1.0,2020-02-26 23:00:00, -4.0,9
2.8, 2.825, 64.48, 3.1, 64.0, 1.0,2020-02-27 00:00:00, -3.0,9
3.8, 3.786, 60.95, 3.7, 61.0, 1.0,2020-02-27 01:00:00, -3.0,9
3.8, 3.778, 60.59, 3.9, 61.0, 1.0,2020-02-27 02:00:00, -3.0,9
3.2, 3.165, 65.23, 4.0, 65.0, 1.0,2020-02-27 03:00:00, -2.0,9
1.7, 1.697, 74.12, 4.0, 74.0, 1.0,2020-02-27 04:00:00, -2.0,9
3.2, 3.202, 64.05, 4.0, 64.0, 1.0,2020-02-27 05:00:00, -3.0,9
2.9, 2.873, 64.31, 4.0, 64.0, 1.0,2020-02-27 06:00:00, -3.0,9
2.7, 2.713, 66.0, 3.6, 66.0, 2.6,2020-02-27 07:00:00, -3.0,9
3.7, 3.701, 62.27, 3.7, 62.0, 1.4,2020-02-27 08:00:00, -3.0,9
3.8, 3.754, 65.74, 4.1, 66.0, 1.4,2020-02-27 09:00:00, -2.0,9
4.7, 4.72, 60.4, 4.6, 60.0, 1.4,2020-02-27 10:00:00, -2.0,9
5.0, 5.005, 61.54, 5.3, 62.0, 1.4,2020-02-27 11:00:00, -2.0,9
6.3, 6.291, 53.79, 6.4, 54.0, 1.4,2020-02-27 12:00:00, -2.0,9
7.3, 7.32, 50.86, 7.3, 51.0, 1.4,2020-02-27 13:00:00, -2.0,9
6.3, 6.319, 55.27, 7.3, 55.0, 1.4,2020-02-27 14:00:00, -2.0,9
6.8, 6.81, 54.55, 7.3, 55.0, 1.4,2020-02-27 15:00:00, -1.0,9
6.2, 6.236, 57.67, 7.3, 58.0, 1.4,2020-02-27 16:00:00, -1.0,9
5.5, 5.489, 60.43, 7.3, 60.0, 1.4,2020-02-27 17:00:00, -2.0,9
5.5, 5.544, 61.29, 7.3, 61.0, 1.4,2020-02-27 18:00:00, -2.0,9
5.1, 5.081, 63.79, 5.7, 64.0, 4.1,2020-02-27 19:00:00, -1.0,9
1.9, 1.904, 78.75, 5.7, 79.0, 1.7,2020-02-27 20:00:00, -1.0,9
2.4, 2.441, 76.52, 5.7, 77.0, 1.7,2020-02-27 21:00:00, -1.0,9
4.6, 4.641, 58.66, 5.7, 59.0, 1.7,2020-02-27 22:00:00, -3.0,9
2.0, 1.968, 76.0, 5.7, 76.0, 1.7,2020-02-27 23:00:00, -2.0,9
2.9, 2.913, 73.04, 5.7, 73.0, 1.7,2020-02-28 00:00:00, -2.0,9
2.5, 2.505, 75.99, 5.7, 76.0, 1.4,2020-02-28 01:00:00, -1.0,9
2.5, 2.473, 75.02, 5.7, 75.0, 1.4,2020-02-28 02:00:00, -1.0,9
0.5, 0.523, 85.7, 5.7, 86.0, 0.2,2020-02-28 03:00:00, -2.0,9
3.0, 2.968, 71.72, 5.7, 72.0, 0.2,2020-02-28 04:00:00, -1.0,9
0.7, 0.694, 84.5, 5.7, 85.0, 0.2,2020-02-28 05:00:00, -2.0,9
0.0, 0.005, 87.0, 5.7, 87.0, 0.0,2020-02-28 06:00:00, -2.0,9
1.8, 1.786, 73.95, 2.5, 74.0, -0.1,2020-02-28 07:00:00, -2.0,9
3.3, 3.258, 66.63, 3.3, 67.0, -0.1,2020-02-28 08:00:00, -2.0,9
4.3, 4.304, 62.17, 4.4, 62.0, -0.1,2020-02-28 09:00:00, -2.0,9
6.5, 6.471, 51.78, 6.5, 52.0, -0.1,2020-02-28 10:00:00, -3.0,9
7.4, 7.44, 44.63, 7.7, 45.0, -0.1,2020-02-28 11:00:00, -4.0,9
7.6, 7.582, 46.58, 8.2, 47.0, -0.1,2020-02-28 12:00:00, -3.0,9
7.9, 7.891, 43.82, 8.2, 44.0, -0.1,2020-02-28 13:00:00, -4.0,9
7.3, 7.301, 50.26, 8.2, 50.0, -0.1,2020-02-28 14:00:00, -2.0,9
7.9, 7.876, 47.09, 8.2, 47.0, -0.1,2020-02-28 15:00:00, -3.0,9
6.6, 6.64, 54.68, 8.2, 55.0, -0.1,2020-02-28 16:00:00, -2.0,9
5.0, 5.012, 60.81, 8.2, 61.0, -0.1,2020-02-28 17:00:00, -2.0,9
4.8, 4.834, 63.1, 8.2, 63.0, -0.1,2020-02-28 18:00:00, -2.0,9
3.0, 3.046, 75.18, 4.9, 75.0, 2.7,2020-02-28 19:00:00, -1.0,9
1.1, 1.094, 84.0, 4.9, 84.0, 1.2,2020-02-28 20:00:00, -1.0,9
1.1, 1.134, 73.64, 4.9, 74.0, 0.9,2020-02-28 21:00:00, -3.0,9
0.5, 0.452, 69.66, 4.9, 70.0, -0.1,2020-02-28 22:00:00, -4.0,9
-1.0, -0.997, 80.8, 4.9, 81.0, -1.1,2020-02-28 23:00:00, -4.0,9
-0.2, -0.215, 75.48, 4.9, 75.0, -1.2,2020-02-29 00:00:00, -4.0,9
-0.2, -0.17, 77.41, 4.9, 77.0, -1.2,2020-02-29 01:00:00, -3.0,9
-0.8, -0.84, 87.2, 4.9, 87.0, -1.2,2020-02-29 02:00:00, -3.0,9
-1.2, -1.248, 92.8, 4.9, 93.0, -1.3,2020-02-29 03:00:00, -2.0,9
-2.0, -2.018, 94.2, 4.9, 94.0, -2.1,2020-02-29 04:00:00, -3.0,9
-0.8, -0.835, 81.6, 4.9, 82.0, -2.1,2020-02-29 05:00:00, -3.0,9
-1.1, -1.073, 81.0, 4.9, 81.0, -2.1,2020-02-29 06:00:00, -3.0,9
-1.8, -1.814, 88.1, -1.1, 88.0, -2.2,2020-02-29 07:00:00, -3.0,9
0.3, 0.315, 69.09, 0.4, 69.0, -2.2,2020-02-29 08:00:00, -5.0,9
0.8, 0.821, 66.68, 0.9, 67.0, -2.2,2020-02-29 09:00:00, -5.0,9
1.5, 1.487, 63.87, 1.7, 64.0, -2.2,2020-02-29 10:00:00, -5.0,9
1.6, 1.621, 61.79, 1.9, 62.0, -2.2,2020-02-29 11:00:00, -5.0,9
2.1, 2.144, 58.91, 2.5, 59.0, -2.2,2020-02-29 12:00:00, -5.0,9
2.1, 2.128, 55.61, 2.5, 56.0, -2.2,2020-02-29 13:00:00, -6.0,9
1.4, 1.359, 60.12, 2.5, 60.0, -2.2,2020-02-29 14:00:00, -6.0,9
1.0, 0.981, 67.31, 2.5, 67.0, -2.2,2020-02-29 15:00:00, -4.0,9
None, -1.083, 92.4, None, None, None,2020-02-29 16:00:00, None,9
None, -1.447, 94.2, None, None, None,2020-02-29 17:00:00, None,9
None, -1.64, 93.5, None, None, None,2020-02-29 18:00:00, None,9
None, -2.042, 94.6, None, None, None,2020-02-29 19:00:00, None,9
None, -2.821, 95.2, None, None, None,2020-02-29 20:00:00, None,9
-3.3, -3.324, 95.3, -1.6, 95.0, -3.3,2020-02-29 21:00:00, -4.0,9
-4.2, -4.177, 95.1, -1.6, 95.0, -4.2,2020-02-29 22:00:00, -5.0,9
-4.6, -4.611, 94.9, -1.6, 95.0, -4.8,2020-02-29 23:00:00, -5.0,9
-4.9, -4.928, 94.8, -1.6, 95.0, -5.1,2020-03-01 00:00:00, -5.0,9
-5.4, -5.412, 94.6, -1.6, 95.0, -5.6,2020-03-01 01:00:00, -6.0,9
-4.4, -4.448, 95.1, -1.6, 95.0, -5.6,2020-03-01 02:00:00, -5.0,9
-5.3, -5.285, 94.4, -1.6, 94.0, -5.6,2020-03-01 03:00:00, -6.0,9
-6.1, -6.126, 94.5, -1.6, 95.0, -6.4,2020-03-01 04:00:00, -7.0,9
-6.5, -6.455, 93.6, -1.6, 94.0, -6.5,2020-03-01 05:00:00, -7.0,9
-6.7, -6.685, 93.4, -1.6, 93.0, -7.0,2020-03-01 06:00:00, -8.0,9
-7.5, -7.466, 93.0, -6.6, 93.0, -7.6,2020-03-01 07:00:00, -8.0,9
-6.1, -6.145, 92.6, -6.1, 93.0, -7.7,2020-03-01 08:00:00, -7.0,9
-3.9, -3.925, 89.1, -4.0, 89.0, -7.7,2020-03-01 09:00:00, -5.0,9
-2.0, -2.012, 82.7, -1.7, 83.0, -7.7,2020-03-01 10:00:00, -4.0,9
0.0, -0.04, 73.95, 0.0, 74.0, -7.7,2020-03-01 11:00:00, -4.0,9
1.1, 1.087, 63.64, 1.4, 64.0, -7.7,2020-03-01 12:00:00, -5.0,9
1.4, 1.379, 61.16, 1.4, 61.0, -7.7,2020-03-01 13:00:00, -5.0,9
1.2, 1.219, 59.42, 1.5, 59.0, -7.7,2020-03-01 14:00:00, -6.0,9
0.9, 0.922, 57.67, 1.5, 58.0, -7.7,2020-03-01 15:00:00, -6.0,9
0.4, 0.446, 61.36, 1.5, 61.0, -7.7,2020-03-01 16:00:00, -6.0,9
-0.3, -0.297, 69.98, 1.5, 70.0, -7.7,2020-03-01 17:00:00, -4.0,9
-0.1, -0.061, 62.22, 1.5, 62.0, -7.7,2020-03-01 18:00:00, -6.0,9
0.2, 0.23, 57.71, 0.1, 58.0, -0.2,2020-03-01 19:00:00, -7.0,9
0.4, 0.428, 58.53, 0.5, 59.0, -0.2,2020-03-01 20:00:00, -7.0,9
0.7, 0.681, 59.14, 0.7, 59.0, -0.2,2020-03-01 21:00:00, -6.0,9
0.6, 0.623, 60.73, 0.8, 61.0, -0.2,2020-03-01 22:00:00, -6.0,9
0.6, 0.636, 61.87, 0.8, 62.0, -0.2,2020-03-01 23:00:00, -6.0,9
0.7, 0.651, 62.35, 0.8, 62.0, -0.2,2020-03-02 00:00:00, -6.0,9
0.7, 0.683, 61.31, 0.8, 61.0, -0.2,2020-03-02 01:00:00, -6.0,9
0.7, 0.73, 61.34, 0.9, 61.0, -0.2,2020-03-02 02:00:00, -6.0,9
0.8, 0.781, 61.25, 1.0, 61.0, -0.2,2020-03-02 03:00:00, -6.0,9
0.5, 0.504, 62.04, 1.0, 62.0, -0.2,2020-03-02 04:00:00, -6.0,9
0.7, 0.718, 60.12, 1.0, 60.0, -0.2,2020-03-02 05:00:00, -6.0,9
0.6, 0.61, 63.48, 1.2, 63.0, -0.2,2020-03-02 06:00:00, -5.0,9
0.9, 0.906, 64.25, 1.2, 64.0, 0.4,2020-03-02 07:00:00, -5.0,9
1.2, 1.218, 63.46, 1.6, 63.0, 0.4,2020-03-02 08:00:00, -5.0,9
0.5, 0.519, 75.38, 1.6, 75.0, 0.4,2020-03-02 09:00:00, -3.0,9
0.4, 0.42, 85.9, 1.6, 86.0, -0.1,2020-03-02 10:00:00, -2.0,9
2.3, 2.291, 69.33, 2.3, 69.0, -0.1,2020-03-02 11:00:00, -3.0,9
2.8, 2.763, 65.3, 2.9, 65.0, -0.1,2020-03-02 12:00:00, -3.0,9
2.4, 2.36, 66.79, 2.9, 67.0, -0.1,2020-03-02 13:00:00, -3.0,9
3.7, 3.707, 57.18, 3.7, 57.0, -0.1,2020-03-02 14:00:00, -4.0,9
3.7, 3.678, 58.97, 3.8, 59.0, -0.1,2020-03-02 15:00:00, -3.0,9
3.9, 3.889, 59.73, 4.1, 60.0, -0.1,2020-03-02 16:00:00, -3.0,9
4.1, 4.134, 57.75, 4.2, 58.0, -0.1,2020-03-02 17:00:00, -4.0,9
3.6, 3.644, 58.65, 4.3, 59.0, -0.1,2020-03-02 18:00:00, -4.0,9
3.2, 3.208, 61.82, 3.7, 62.0, 3.0,2020-03-02 19:00:00, -3.0,9
3.8, 3.787, 58.88, 3.8, 59.0, 2.8,2020-03-02 20:00:00, -4.0,9
3.2, 3.241, 64.45, 3.9, 64.0, 2.8,2020-03-02 21:00:00, -3.0,9
3.7, 3.663, 64.07, 3.9, 64.0, 2.8,2020-03-02 22:00:00, -2.0,9
3.8, 3.784, 64.84, 4.0, 65.0, 2.8,2020-03-02 23:00:00, -2.0,9
3.8, 3.767, 66.37, 4.0, 66.0, 2.8,2020-03-03 00:00:00, -2.0,9
4.3, 4.258, 60.62, 4.4, 61.0, 2.8,2020-03-03 01:00:00, -3.0,9
4.0, 3.957, 62.75, 4.4, 63.0, 2.8,2020-03-03 02:00:00, -2.0,9
3.8, 3.755, 62.5, 4.4, 63.0, 2.8,2020-03-03 03:00:00, -3.0,9
3.3, 3.303, 62.34, 4.4, 62.0, 2.8,2020-03-03 04:00:00, -3.0,9
2.9, 2.869, 66.47, 4.4, 66.0, 2.8,2020-03-03 05:00:00, -3.0,9
2.0, 2.021, 66.44, 4.4, 66.0, 1.5,2020-03-03 06:00:00, -3.0,9
-0.4, -0.383, 80.4, 2.2, 80.0, -0.7,2020-03-03 07:00:00, -3.0,9
1.5, 1.467, 73.17, 2.6, 73.0, -0.7,2020-03-03 08:00:00, -3.0,9
4.5, 4.53, 57.32, 4.6, 57.0, -0.7,2020-03-03 09:00:00, -3.0,9
5.4, 5.444, 50.51, 5.4, 51.0, -0.7,2020-03-03 10:00:00, -4.0,9
5.8, 5.768, 47.62, 6.2, 48.0, -0.7,2020-03-03 11:00:00, -4.0,9
6.3, 6.312, 52.07, 6.2, 52.0, -0.7,2020-03-03 12:00:00, -3.0,9
5.7, 5.709, 47.75, 7.3, 48.0, -0.7,2020-03-03 13:00:00, -4.0,9
5.3, 5.313, 52.7, 7.3, 53.0, -0.7,2020-03-03 14:00:00, -4.0,9
4.7, 4.741, 59.2, 7.3, 59.0, -0.7,2020-03-03 15:00:00, -3.0,9
4.2, 4.228, 59.22, 7.3, 59.0, -0.7,2020-03-03 16:00:00, -3.0,9
None, 3.947, 56.96, None, None, None,2020-03-03 17:00:00, None,9
3.0, 3.032, 64.64, 7.3, 65.0, -0.7,2020-03-03 18:00:00, -3.0,9
3.0, 2.987, 67.95, 3.4, 68.0, 2.9,2020-03-03 19:00:00, -2.0,9
3.0, 2.999, 68.38, 3.4, 68.0, 2.7,2020-03-03 20:00:00, -3.0,9
2.9, 2.897, 73.79, 3.4, 74.0, 2.6,2020-03-03 21:00:00, -1.0,9
3.4, 3.35, 66.79, 3.6, 67.0, 2.6,2020-03-03 22:00:00, -2.0,9
