wind_direction,rel_hum,avg_wnd_spd_10m_pst10mts,precipitation,dwpt_temp,wind_speed,air_temp,temperature,avg_wnd_dir_10m_pst10mts,rnfl_amt_pst1hr,rnfl_amt_pst24hrs,relative_humidity,time,snw_dpth,week_of_year
194.0, 95.0, 3.6, 0.2, 3.6, 1.9, 4.3, 3.0, 247.0, 0.2, 2.6, 94.0,2021-05-28 00:00:00, None,22
184.0, 93.0, 4.3, 0.0, 3.2, 2.1, 4.2, 2.3, 239.0, 0.6, 3.2, 95.0,2021-05-28 01:00:00, None,22
160.0, 94.0, 1.9, 0.0, 2.1, 0.0, 3.0, 2.2, 194.0, 0.2, 3.4, 95.0,2021-05-28 02:00:00, None,22
152.0, 95.0, 2.1, 0.0, 1.6, 0.0, 2.3, 1.0, 184.0, 0.0, 3.4, 94.0,2021-05-28 03:00:00, None,22
225.0, 95.0, 0.0, 0.0, 1.5, 6.2, 2.2, 2.5, 160.0, 0.0, 3.4, 96.0,2021-05-28 04:00:00, None,22
239.0, 94.0, 0.0, 0.2, 0.1, 8.7, 1.0, 4.3, 152.0, 0.0, 3.4, 90.0,2021-05-28 05:00:00, None,22
251.0, 96.0, 6.2, 1.0, 1.9, 5.6, 2.5, 4.4, 225.0, 0.0, 3.4, 91.0,2021-05-28 06:00:00, None,22
236.0, 90.0, 8.7, 0.2, 2.8, 6.5, 4.3, 5.8, 239.0, 0.2, 3.6, 90.0,2021-05-28 07:00:00, None,22
241.0, 91.0, 5.6, 0.0, 3.1, 7.1, 4.4, 8.9, 251.0, 1.0, 4.6, 74.0,2021-05-28 08:00:00, None,22
286.0, 90.0, 6.5, 0.2, 4.3, 12.2, 5.8, 9.9, 236.0, 0.2, 4.8, 54.0,2021-05-28 09:00:00, None,22
291.0, 74.0, 7.1, 0.0, 4.5, 11.0, 8.9, 11.8, 241.0, 0.0, 4.8, 45.0,2021-05-28 10:00:00, None,22
290.0, 54.0, 12.2, 0.0, 1.0, 11.4, 9.9, 12.9, 286.0, 0.2, 5.0, 39.0,2021-05-28 11:00:00, None,22
253.0, 45.0, 11.0, 0.0, 0.3, 11.9, 11.8, 13.3, 291.0, 0.0, 4.8, 35.0,2021-05-28 12:00:00, None,22
267.0, 39.0, 11.4, 0.0, -0.7, 10.7, 12.9, 15.0, 290.0, 0.0, 4.8, 28.0,2021-05-28 13:00:00, None,22
285.0, 35.0, 11.9, 0.0, -1.8, 10.2, 13.3, 16.2, 253.0, 0.0, 4.8, 24.0,2021-05-28 14:00:00, None,22
333.0, 28.0, 10.7, 0.0, -3.4, 7.7, 15.0, 15.6, 267.0, 0.0, 4.8, 27.0,2021-05-28 15:00:00, None,22
269.0, 24.0, 10.2, 0.0, -4.4, 8.4, 16.2, 15.3, 285.0, 0.0, 4.8, 29.0,2021-05-28 16:00:00, None,22
340.0, 27.0, 7.7, 0.0, -3.3, 3.2, 15.6, 13.2, 333.0, 0.0, 4.2, 38.0,2021-05-28 17:00:00, None,22
323.0, 29.0, 8.4, 0.0, -2.6, 6.4, 15.3, 12.9, 269.0, 0.0, 4.0, 35.0,2021-05-28 18:00:00, None,22
62.0, 38.0, 3.2, 0.0, -0.8, 1.7, 13.2, 8.6, 340.0, 0.0, 3.8, 70.0,2021-05-28 19:00:00, None,22
111.0, 35.0, 6.4, 0.0, -2.2, 0.0, 12.9, 5.0, 323.0, 0.0, 3.8, 86.0,2021-05-28 20:00:00, None,22
102.0, 70.0, 1.7, 0.0, 3.4, 0.0, 8.6, 2.2, 62.0, 0.0, 3.0, 90.0,2021-05-28 21:00:00, None,22
147.0, 86.0, 0.0, 0.0, 2.9, 2.0, 5.0, 1.2, 111.0, 0.0, 2.6, 93.0,2021-05-28 22:00:00, None,22
143.0, 90.0, 0.0, 0.0, 0.7, 1.7, 2.2, 1.5, 102.0, 0.0, 2.6, 92.0,2021-05-28 23:00:00, None,22
276.0, 93.0, 2.0, 0.0, 0.2, 3.6, 1.2, 0.6, 147.0, 0.0, 2.4, 92.0,2021-05-29 00:00:00, None,22
145.0, 92.0, 1.7, 0.0, 0.3, 1.7, 1.5, 1.0, 143.0, 0.0, 1.8, 93.0,2021-05-29 01:00:00, None,22
105.0, 92.0, 3.6, 0.0, -0.5, 0.0, 0.6, -0.5, 276.0, 0.0, 1.6, 92.0,2021-05-29 02:00:00, None,22
83.0, 93.0, 1.7, 0.0, 0.0, 1.7, 1.0, -2.1, 145.0, 0.0, 1.6, 93.0,2021-05-29 03:00:00, None,22
99.0, 92.0, 0.0, 0.0, -1.6, 1.6, -0.5, -1.5, 105.0, 0.0, 1.6, 94.0,2021-05-29 04:00:00, None,22
2.0, 93.0, 1.7, 0.0, -3.1, 3.4, -2.1, 3.8, 83.0, 0.0, 1.6, 81.0,2021-05-29 05:00:00, None,22
347.0, 94.0, 1.6, 0.0, -2.3, 4.4, -1.5, 10.1, 99.0, 0.0, 1.6, 47.0,2021-05-29 06:00:00, None,22
297.0, 81.0, 3.4, 0.0, 0.8, 3.5, 3.8, 11.3, 2.0, 0.0, 1.4, 42.0,2021-05-29 07:00:00, None,22
123.0, 47.0, 4.4, 0.0, -0.7, 5.2, 10.1, 13.1, 347.0, 0.0, 0.4, 39.0,2021-05-29 08:00:00, None,22
120.0, 42.0, 3.5, 0.0, -1.1, 6.1, 11.3, 14.6, 297.0, 0.0, 0.2, 36.0,2021-05-29 09:00:00, None,22
69.0, 39.0, 5.2, 0.0, -0.5, 7.0, 13.1, 16.0, 123.0, 0.0, 0.2, 31.0,2021-05-29 10:00:00, None,22
133.0, 36.0, 6.1, 0.0, -0.3, 6.6, 14.6, 17.1, 120.0, 0.0, 0.0, 28.0,2021-05-29 11:00:00, None,22
201.0, 31.0, 7.0, 0.0, -1.1, 7.7, 16.0, 18.5, 69.0, 0.0, 0.0, 23.0,2021-05-29 12:00:00, None,22
324.0, 28.0, 6.6, 0.0, -1.5, 6.7, 17.1, 18.9, 133.0, 0.0, 0.0, 26.0,2021-05-29 13:00:00, None,22
56.0, 23.0, 7.7, 0.0, -3.0, 10.3, 18.5, 19.6, 201.0, 0.0, 0.0, 25.0,2021-05-29 14:00:00, None,22
58.0, 26.0, 6.7, 0.0, -1.0, 11.1, 18.9, 19.3, 324.0, 0.0, 0.0, 26.0,2021-05-29 15:00:00, None,22
96.0, 25.0, 10.3, 0.0, -1.0, 7.2, 19.6, 19.7, 56.0, 0.0, 0.0, 23.0,2021-05-29 16:00:00, None,22
69.0, 26.0, 11.1, 0.0, -0.7, 8.9, 19.3, 19.5, 58.0, 0.0, 0.0, 26.0,2021-05-29 17:00:00, None,22
50.0, 23.0, 7.2, 0.0, -2.0, 5.5, 19.7, 16.2, 96.0, 0.0, 0.0, 38.0,2021-05-29 18:00:00, None,22
47.0, 26.0, 8.9, 0.0, -0.5, 2.3, 19.5, 10.0, 69.0, 0.0, 0.0, 67.0,2021-05-29 19:00:00, None,22
69.0, 38.0, 5.5, 0.0, 1.9, 4.3, 16.2, 7.4, 50.0, 0.0, 0.0, 74.0,2021-05-29 20:00:00, None,22
97.0, 67.0, 2.3, 0.0, 4.2, 3.6, 10.0, 6.6, 47.0, 0.0, 0.0, 77.0,2021-05-29 21:00:00, None,22
169.0, 74.0, 4.3, 0.0, 3.1, 3.4, 7.4, 5.4, 69.0, 0.0, 0.0, 81.0,2021-05-29 22:00:00, None,22
146.0, 77.0, 3.6, 0.0, 2.9, 3.3, 6.6, 3.7, 97.0, 0.0, 0.0, 85.0,2021-05-29 23:00:00, None,22
141.0, 81.0, 3.4, 0.0, 2.4, 2.7, 5.4, 2.6, 169.0, 0.0, 0.0, 86.0,2021-05-30 00:00:00, None,22
118.0, 85.0, 3.3, 0.0, 1.4, 2.7, 3.7, 1.4, 146.0, 0.0, 0.0, 89.0,2021-05-30 01:00:00, None,22
117.0, 86.0, 2.7, 0.0, 0.5, 2.5, 2.6, 1.2, 141.0, 0.0, 0.0, 90.0,2021-05-30 02:00:00, None,22
131.0, 89.0, 2.7, 0.0, -0.2, 1.8, 1.4, 1.0, 118.0, 0.0, 0.0, 91.0,2021-05-30 03:00:00, None,22
133.0, 90.0, 2.5, 0.0, -0.3, 2.6, 1.2, 2.1, 117.0, 0.0, 0.0, 91.0,2021-05-30 04:00:00, None,22
127.0, 91.0, 1.8, 0.0, -0.3, 2.8, 1.0, 7.1, 131.0, 0.0, 0.0, 84.0,2021-05-30 05:00:00, None,22
