AirTemp,ONE_DAY_PRECIPITATION,MIN_TEMP,Snow_WE,time,SNOW_ON_THE_GROUND,MAX_TEMP,week_of_year
None, 0.4, 10.8, None,2021-07-09 00:00:00, None, 20.6,28
13.4, None, None, -17.0,2021-07-09 00:05:00, 0.0, None,28
12.9, None, None, -17.0,2021-07-09 00:20:00, 0.0, None,28
12.7, None, None, -17.0,2021-07-09 00:35:00, 0.0, None,28
12.6, None, None, -17.0,2021-07-09 00:50:00, 0.0, None,28
None, None, None, -17.0,2021-07-09 00:57:00, None, None,28
12.8, None, None, -17.0,2021-07-09 01:05:00, 0.0, None,28
13.7, None, None, -17.0,2021-07-09 01:20:00, 0.0, None,28
13.7, None, None, -17.0,2021-07-09 01:35:00, 0.0, None,28
12.9, None, None, -17.0,2021-07-09 01:50:00, 0.0, None,28
12.7, None, None, -17.0,2021-07-09 02:05:00, 0.0, None,28
12.3, None, None, -17.0,2021-07-09 02:20:00, 0.0, None,28
12.4, None, None, -17.0,2021-07-09 02:35:00, 0.0, None,28
12.0, None, None, -17.0,2021-07-09 02:50:00, 0.0, None,28
12.3, None, None, -17.0,2021-07-09 03:05:00, 0.0, None,28
12.4, None, None, -17.0,2021-07-09 03:20:00, 0.0, None,28
12.1, None, None, -17.0,2021-07-09 03:35:00, 0.0, None,28
12.0, None, None, -17.0,2021-07-09 03:50:00, 0.0, None,28
11.2, None, None, -17.0,2021-07-09 04:05:00, 0.0, None,28
10.8, None, None, -17.0,2021-07-09 04:20:00, 0.0, None,28
11.7, None, None, -17.0,2021-07-09 04:35:00, 0.0, None,28
11.5, None, None, -17.0,2021-07-09 04:50:00, 0.0, None,28
11.7, None, None, -17.0,2021-07-09 05:05:00, 0.0, None,28
11.6, None, None, -17.0,2021-07-09 05:20:00, 0.0, None,28
12.4, None, None, -17.0,2021-07-09 05:35:00, 0.0, None,28
12.7, None, None, -17.0,2021-07-09 05:50:00, 0.0, None,28
13.2, None, None, -17.0,2021-07-09 06:05:00, 0.0, None,28
13.4, None, None, -17.0,2021-07-09 06:20:00, 0.0, None,28
13.2, None, None, -17.0,2021-07-09 06:35:00, 0.0, None,28
13.4, None, None, -17.0,2021-07-09 06:50:00, 0.0, None,28
13.9, None, None, -18.0,2021-07-09 07:05:00, 0.0, None,28
14.3, None, None, -18.0,2021-07-09 07:20:00, 0.0, None,28
14.5, None, None, -17.0,2021-07-09 07:35:00, 0.0, None,28
15.0, None, None, -17.0,2021-07-09 07:50:00, 0.0, None,28
15.4, None, None, -17.0,2021-07-09 08:05:00, 0.0, None,28
15.4, None, None, -17.0,2021-07-09 08:20:00, 0.0, None,28
16.0, None, None, -17.0,2021-07-09 08:35:00, 0.0, None,28
16.1, None, None, -16.0,2021-07-09 08:50:00, 0.0, None,28
16.3, None, None, -16.0,2021-07-09 09:05:00, 0.0, None,28
16.5, None, None, -17.0,2021-07-09 09:20:00, 0.0, None,28
16.9, None, None, -17.0,2021-07-09 09:35:00, 0.0, None,28
17.1, None, None, -17.0,2021-07-09 09:50:00, 0.0, None,28
17.3, None, None, -17.0,2021-07-09 10:05:00, 0.0, None,28
17.5, None, None, -17.0,2021-07-09 10:20:00, 0.0, None,28
18.0, None, None, -17.0,2021-07-09 10:35:00, 0.0, None,28
18.7, None, None, -16.0,2021-07-09 10:50:00, 0.0, None,28
18.2, None, None, -16.0,2021-07-09 11:05:00, 0.0, None,28
18.0, None, None, -16.0,2021-07-09 11:20:00, 0.0, None,28
18.9, None, None, -16.0,2021-07-09 11:35:00, 0.0, None,28
19.6, None, None, -16.0,2021-07-09 11:50:00, 0.0, None,28
19.4, None, None, -16.0,2021-07-09 12:05:00, 0.0, None,28
20.2, None, None, -17.0,2021-07-09 12:20:00, 0.0, None,28
20.6, None, None, -16.0,2021-07-09 12:35:00, 0.0, None,28
19.2, None, None, -16.0,2021-07-09 12:50:00, 0.0, None,28
18.8, None, None, -16.0,2021-07-09 13:05:00, 0.0, None,28
19.2, None, None, -16.0,2021-07-09 13:20:00, 0.0, None,28
18.4, None, None, -16.0,2021-07-09 13:35:00, 0.0, None,28
18.6, None, None, -16.0,2021-07-09 13:50:00, 0.0, None,28
