pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,max_air_temp_snc_last_reset,rel_hum,dwpt_temp,air_temp,min_air_temp_snc_last_reset,DEW_POINT,pcpn_amt_pst1hr,snwfl_amt_pst1hr,time,snw_dpth,stn_pres,week_of_year
5.3, 14.13, 96.0, 23.7, 96.0, 14.0, 14.1, 14.2, 14.0, 0.0, 0.0,2021-07-09 00:00:00, -6999.0, 726.0,28
5.3, 13.58, 96.1, 23.7, 96.0, 13.0, 13.6, 13.6, 13.0, 0.0, 0.0,2021-07-09 01:00:00, -6999.0, 726.0,28
5.3, 13.19, 96.1, 23.7, 96.0, 13.0, 13.2, 13.2, 13.0, 0.0, 0.0,2021-07-09 02:00:00, -6999.0, 726.0,28
5.3, 13.16, 95.8, 23.7, 96.0, 13.0, 13.2, 13.0, 13.0, 0.0, 0.0,2021-07-09 03:00:00, -6999.0, 727.0,28
5.3, 12.82, 95.3, 23.7, 95.0, 12.0, 12.8, 12.7, 12.0, 0.0, 0.0,2021-07-09 04:00:00, -6999.0, 727.0,28
5.3, 12.45, 94.6, 23.7, 95.0, 11.0, 12.5, 12.3, 11.0, 0.0, 0.0,2021-07-09 05:00:00, -6999.0, 727.0,28
5.3, 12.31, 94.2, 23.7, 94.0, 11.0, 12.3, 12.2, 11.0, 0.0, 0.0,2021-07-09 06:00:00, -6999.0, 727.0,28
5.3, 13.79, 94.8, 13.7, 95.0, 13.0, 13.8, 12.3, 13.0, 0.0, 0.0,2021-07-09 07:00:00, -6999.0, 728.0,28
5.3, 14.8, 90.7, 15.1, 91.0, 13.0, 14.8, 12.3, 13.0, 0.0, 0.0,2021-07-09 08:00:00, -6999.0, 728.0,28
5.3, 16.49, 80.6, 16.5, 81.0, 13.0, 16.5, 12.3, 13.0, 0.0, 0.0,2021-07-09 09:00:00, -6999.0, 728.0,28
5.3, 18.82, 69.27, 18.8, 69.0, 13.0, 18.8, 12.3, 13.0, 0.0, 0.0,2021-07-09 10:00:00, -6999.0, 728.0,28
5.3, 21.5, 57.17, 21.4, 57.0, 13.0, 21.5, 12.3, 13.0, 0.0, 0.0,2021-07-09 11:00:00, -6999.0, 727.0,28
5.3, 24.27, 49.3, 24.5, 49.0, 13.0, 24.3, 12.3, 13.0, 0.0, 0.0,2021-07-09 12:00:00, -6999.0, 727.0,28
5.3, 26.12, 43.47, 26.5, 43.0, 13.0, 26.1, 12.3, 13.0, 0.0, 0.0,2021-07-09 13:00:00, -6999.0, 727.0,28
5.3, 28.61, 33.68, 28.6, 34.0, 11.0, 28.6, 12.3, 11.0, 0.0, 0.0,2021-07-09 14:00:00, -6999.0, 726.0,28
5.3, 30.67, 28.81, 30.6, 29.0, 10.0, 30.7, 12.3, 10.0, 0.0, 0.0,2021-07-09 15:00:00, -6999.0, 726.0,28
5.3, 31.8, 26.03, 31.8, 26.0, 9.0, 31.8, 12.3, 9.0, 0.0, 0.0,2021-07-09 16:00:00, -6999.0, 725.0,28
5.1, 31.56, 26.91, 32.2, 27.0, 11.0, 31.6, 12.3, 11.0, 0.0, 0.0,2021-07-09 17:00:00, -6999.0, 725.0,28
4.9, 31.48, 28.6, 32.2, 29.0, 11.0, 31.5, 12.3, 11.0, 0.0, 0.0,2021-07-09 18:00:00, -6999.0, 725.0,28
0.3, 25.82, 55.4, 31.7, 55.0, 16.0, 25.8, 25.9, 16.0, 0.0, 0.0,2021-07-09 19:00:00, -6999.0, 725.0,28
0.0, 24.05, 59.01, 31.7, 59.0, 15.0, 24.1, 24.0, 15.0, 0.0, 0.0,2021-07-09 20:00:00, -6999.0, 725.0,28
0.0, 23.49, 56.2, 31.7, 56.0, 14.0, 23.5, 23.4, 14.0, 0.0, 0.0,2021-07-09 21:00:00, -6999.0, 725.0,28
0.0, 21.99, 59.36, 31.7, 59.0, 14.0, 22.0, 21.8, 14.0, 0.0, 0.0,2021-07-09 22:00:00, -6999.0, 725.0,28
0.0, 20.65, 65.89, 31.7, 66.0, 14.0, 20.7, 20.7, 14.0, 0.0, 0.0,2021-07-09 23:00:00, -6999.0, 726.0,28
0.0, 19.71, 71.19, 31.7, 71.0, 14.0, 19.7, 19.8, 14.0, 0.0, 0.0,2021-07-10 00:00:00, -6999.0, 726.0,28
0.0, 18.92, 73.67, 31.7, 74.0, 14.0, 18.9, 19.0, 14.0, 0.0, 0.0,2021-07-10 01:00:00, -6999.0, 726.0,28
0.0, 18.41, 76.47, 31.7, 76.0, 14.0, 18.4, 18.3, 14.0, 0.0, 0.0,2021-07-10 02:00:00, -6999.0, 726.0,28
0.0, 17.44, 80.3, 31.7, 80.0, 14.0, 17.4, 17.4, 14.0, 0.0, 0.0,2021-07-10 03:00:00, -6999.0, 726.0,28
0.0, 17.02, 77.58, 31.7, 78.0, 13.0, 17.0, 16.7, 13.0, 0.0, 0.0,2021-07-10 04:00:00, -6999.0, 726.0,28
0.0, 16.42, 81.4, 31.7, 81.0, 13.0, 16.4, 16.3, 13.0, 0.0, 0.0,2021-07-10 05:00:00, -6999.0, 727.0,28
0.0, 15.88, 80.7, 31.7, 81.0, 13.0, 15.9, 15.9, 13.0, 0.0, 0.0,2021-07-10 06:00:00, -6999.0, 727.0,28
0.0, 16.91, 76.3, 16.8, 76.0, 13.0, 16.9, 15.8, 13.0, 0.0, 0.0,2021-07-10 07:00:00, -6999.0, 727.0,28
0.0, 18.35, 69.06, 18.3, 69.0, 13.0, 18.4, 15.8, 13.0, 0.0, 0.0,2021-07-10 08:00:00, -6999.0, 727.0,28
0.0, 21.5, 57.67, 21.3, 58.0, 13.0, 21.5, 15.8, 13.0, 0.0, 0.0,2021-07-10 09:00:00, -6999.0, 727.0,28
0.0, 25.42, 40.74, 25.5, 41.0, 11.0, 25.4, 15.8, 11.0, 0.0, 0.0,2021-07-10 10:00:00, -6999.0, 727.0,28
0.0, 27.1, 35.45, 27.1, 35.0, 11.0, 27.1, 15.8, 11.0, 0.0, 0.0,2021-07-10 11:00:00, -6999.0, 727.0,28
0.0, 28.25, 31.38, 28.5, 31.0, 10.0, 28.3, 15.8, 10.0, 0.0, 0.0,2021-07-10 12:00:00, -6999.0, 727.0,28
0.0, 29.38, 25.36, 29.6, 25.0, 8.0, 29.4, 15.8, 8.0, 0.0, 0.0,2021-07-10 13:00:00, -6999.0, 727.0,28
0.0, 30.74, 21.87, 30.6, 22.0, 7.0, 30.7, 15.8, 7.0, 0.0, 0.0,2021-07-10 14:00:00, -6999.0, 726.0,28
0.0, 30.95, 19.23, 31.3, 19.0, 5.0, 31.0, 15.8, 5.0, 0.0, 0.0,2021-07-10 15:00:00, -6999.0, 726.0,28
0.0, 31.95, 17.76, 32.1, 18.0, 4.0, 32.0, 15.8, 4.0, 0.0, 0.0,2021-07-10 16:00:00, -6999.0, 726.0,28
0.0, 32.19, 16.78, 32.3, 17.0, 4.0, 32.2, 15.8, 4.0, 0.0, 0.0,2021-07-10 17:00:00, -6999.0, 726.0,28
0.0, 30.82, 17.18, 32.3, 17.0, 3.0, 30.8, 15.8, 3.0, 0.0, 0.0,2021-07-10 18:00:00, -6999.0, 725.0,28
0.0, 28.61, 19.74, 31.0, 20.0, 3.0, 28.6, 28.4, 3.0, 0.0, 0.0,2021-07-10 19:00:00, -6999.0, 725.0,28
None, None, None, 31.0, 38.0, 7.0, 22.0, 22.0, None, 0.0, 0.0,2021-07-10 21:00:00, -6999.0, 726.0,28
None, 20.35, 38.25, 31.0, 38.0, 6.0, 20.4, 20.3, 6.0, 0.0, 0.0,2021-07-10 22:00:00, -6999.0, 726.0,28
None, 18.16, 37.03, 31.0, 37.0, 4.0, 18.2, 18.2, 4.0, 0.0, 0.0,2021-07-10 23:00:00, -6999.0, 726.0,28
None, 16.7, 44.16, 31.0, 44.0, 5.0, 16.7, 16.7, 5.0, 0.0, 0.0,2021-07-11 00:00:00, -6999.0, 727.0,28
None, 15.81, 51.26, 31.0, 51.0, 5.0, 15.8, 15.6, 5.0, 0.0, 0.0,2021-07-11 01:00:00, -6999.0, 727.0,28
None, 14.8, 52.88, 31.0, 53.0, 5.0, 14.8, 14.8, 5.0, 0.0, 0.0,2021-07-11 02:00:00, -6999.0, 727.0,28
None, 14.41, 48.12, 31.0, 48.0, 4.0, 14.4, 14.3, 4.0, 0.0, 0.0,2021-07-11 03:00:00, -6999.0, 727.0,28
None, 13.49, 52.3, 31.0, 52.0, 4.0, 13.5, 13.6, 4.0, 0.0, 0.0,2021-07-11 04:00:00, -6999.0, 727.0,28
None, 12.98, 55.51, 31.0, 56.0, 4.0, 13.0, 13.0, 4.0, 0.0, 0.0,2021-07-11 05:00:00, -6999.0, 727.0,28
None, 12.96, 58.31, 31.0, 58.0, 5.0, 13.0, 12.7, 5.0, 0.0, 0.0,2021-07-11 06:00:00, -6999.0, 728.0,28
None, 13.13, 58.62, 13.3, 59.0, 5.0, 13.1, 13.0, 5.0, 0.0, 0.0,2021-07-11 07:00:00, -6999.0, 728.0,28
None, 14.96, 51.9, 15.1, 52.0, 5.0, 15.0, 13.0, 5.0, 0.0, 0.0,2021-07-11 08:00:00, -6999.0, 728.0,28
None, 18.21, 43.61, 18.2, 44.0, 6.0, 18.2, 13.0, 6.0, 0.0, 0.0,2021-07-11 09:00:00, -6999.0, 728.0,28
