pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,STANDARD_SNOW,PRECIPITATION_NEW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,snwfl_amt_pst1hr,avg_wnd_spd_10m_pst10mts,dwpt_temp,air_temp,min_air_temp_snc_last_reset,pcpn_amt_pst1hr,ATMOSPHERIC_PRESSURE,avg_wnd_dir_10m_pst10mts,max_air_temp_snc_last_reset,rel_hum,MAXIMUM_AIR_TEMPERATURE,time,snw_dpth,HEIGHT_OF_SNOW,stn_pres,week_of_year
None, None, 12.65, None, None, None, None, -1.0, None, -6999.0, 12.7, 12.5, -0.1, None, None, 15.5, -6999.0, None,2021-07-23 00:00:00, 36.0, None, -6999.0,30
None, None, 12.24, None, None, None, None, -6.0, None, -6999.0, 12.2, 12.2, 0.0, None, None, 15.5, -6999.0, None,2021-07-23 01:00:00, 30.0, None, -6999.0,30
None, None, 12.27, None, None, None, None, 4.0, None, -6999.0, 12.3, 12.1, 0.0, None, None, 15.5, -6999.0, None,2021-07-23 02:00:00, 34.0, None, -6999.0,30
None, None, 12.06, None, None, None, None, -4.0, None, -6999.0, 12.1, 11.9, 0.3, None, None, 15.5, -6999.0, None,2021-07-23 03:00:00, 30.0, None, -6999.0,30
None, None, 12.07, None, None, None, None, -10.0, None, -6999.0, 12.1, 11.9, 0.2, None, None, 15.5, -6999.0, None,2021-07-23 04:00:00, 20.0, None, -6999.0,30
None, None, 12.07, None, None, None, None, 4.0, None, -6999.0, 12.1, 11.9, 0.5, None, None, 15.5, -6999.0, None,2021-07-23 05:00:00, 23.0, None, -6999.0,30
None, None, 12.07, None, None, None, None, -4.0, None, -6999.0, 12.1, 11.9, 1.0, None, None, 15.5, -6999.0, None,2021-07-23 06:00:00, 19.0, None, -6999.0,30
None, None, 12.05, None, None, None, None, -7.0, None, -6999.0, 12.1, 12.0, 0.9, None, None, 12.1, -6999.0, None,2021-07-23 07:00:00, 12.0, None, -6999.0,30
None, None, 12.07, None, None, None, None, 0.0, None, -6999.0, 12.1, 12.0, 0.4, None, None, 12.1, -6999.0, None,2021-07-23 08:00:00, 13.0, None, -6999.0,30
None, None, 12.26, None, None, None, None, 5.0, None, -6999.0, 12.3, 12.0, 1.0, None, None, 12.3, -6999.0, None,2021-07-23 09:00:00, 17.0, None, -6999.0,30
None, None, 12.43, None, None, None, None, -2.0, None, -6999.0, 12.4, 12.0, 1.0, None, None, 12.4, -6999.0, None,2021-07-23 10:00:00, 16.0, None, -6999.0,30
None, None, 12.43, None, None, None, None, 2.0, None, -6999.0, 12.4, 12.0, 0.1, None, None, 12.6, -6999.0, None,2021-07-23 11:00:00, 17.0, None, -6999.0,30
None, None, 12.89, None, None, None, None, 1.0, None, -6999.0, 12.9, 12.0, 0.0, None, None, 12.9, -6999.0, None,2021-07-23 12:00:00, 18.0, None, -6999.0,30
None, None, 13.02, None, None, None, None, 1.0, None, -6999.0, 13.0, 12.0, 0.0, None, None, 13.5, -6999.0, None,2021-07-23 13:00:00, 19.0, None, -6999.0,30
None, None, 12.33, None, None, None, None, -2.0, None, -6999.0, 12.3, 12.0, 0.4, None, None, 13.5, -6999.0, None,2021-07-23 14:00:00, 18.0, None, -6999.0,30
None, None, 12.28, None, None, None, None, -1.0, None, -6999.0, 12.3, 12.0, 1.2, None, None, 13.5, -6999.0, None,2021-07-23 15:00:00, 17.0, None, -6999.0,30
None, None, 13.04, None, None, None, None, 0.0, None, -6999.0, 13.0, 12.0, 0.0, None, None, 13.5, -6999.0, None,2021-07-23 16:00:00, 17.0, None, -6999.0,30
None, None, 12.8, None, None, None, None, 2.0, None, -6999.0, 12.8, 12.0, 0.0, None, None, 13.5, -6999.0, None,2021-07-23 17:00:00, 19.0, None, -6999.0,30
None, None, 13.04, None, None, None, None, 3.0, None, -6999.0, 13.0, 12.0, 0.5, None, None, 13.5, -6999.0, None,2021-07-23 18:00:00, 22.0, None, -6999.0,30
None, None, 12.83, None, None, None, None, 0.0, None, -6999.0, 12.8, 12.3, 0.0, None, None, 13.2, -6999.0, None,2021-07-23 19:00:00, 22.0, None, -6999.0,30
None, None, 12.27, None, None, None, None, -3.0, None, -6999.0, 12.3, 12.2, 1.1, None, None, 13.2, -6999.0, None,2021-07-23 20:00:00, 19.0, None, -6999.0,30
None, None, 13.2, None, None, None, None, 0.0, None, -6999.0, 13.2, 12.2, 0.0, None, None, 13.2, -6999.0, None,2021-07-23 21:00:00, 19.0, None, -6999.0,30
None, None, 12.89, None, None, None, None, -3.0, None, -6999.0, 12.9, 12.1, 0.0, None, None, 13.2, -6999.0, None,2021-07-23 22:00:00, 16.0, None, -6999.0,30
