WDIR_VECT,TEMP_MEAN,WSPD_SCLR,time,avg_air_temp_pst1hr,week_of_year
336.1, None, None,2021-08-13 00:00:00, None,33
344.9, None, None,2021-08-13 01:00:00, None,33
341.7, None, None,2021-08-13 02:00:00, None,33
356.1, None, None,2021-08-13 03:00:00, None,33
341.3, None, None,2021-08-13 04:00:00, None,33
359.0, None, None,2021-08-13 05:00:00, None,33
3.5, None, None,2021-08-13 06:00:00, None,33
17.0, None, None,2021-08-13 07:00:00, None,33
21.5, None, None,2021-08-13 08:00:00, None,33
26.5, None, None,2021-08-13 09:00:00, None,33
64.8, None, None,2021-08-13 10:00:00, None,33
190.1, None, None,2021-08-13 11:00:00, None,33
187.1, None, None,2021-08-13 12:00:00, None,33
172.8, None, None,2021-08-13 13:00:00, None,33
162.5, None, None,2021-08-13 14:00:00, None,33
177.4, None, None,2021-08-13 15:00:00, None,33
191.3, None, None,2021-08-13 16:00:00, None,33
187.4, None, None,2021-08-13 17:00:00, None,33
186.4, None, None,2021-08-13 18:00:00, None,33
190.7, None, None,2021-08-13 19:00:00, None,33
190.8, None, None,2021-08-13 20:00:00, None,33
189.8, None, None,2021-08-13 21:00:00, None,33
187.8, None, None,2021-08-13 22:00:00, None,33
176.5, None, None,2021-08-13 23:00:00, None,33
179.1, None, None,2021-08-14 00:00:00, None,33
171.2, None, None,2021-08-14 01:00:00, None,33
187.2, None, None,2021-08-14 02:00:00, None,33
195.4, None, None,2021-08-14 03:00:00, None,33
195.9, None, None,2021-08-14 04:00:00, None,33
191.5, None, None,2021-08-14 05:00:00, None,33
196.1, None, None,2021-08-14 06:00:00, None,33
199.2, None, None,2021-08-14 07:00:00, None,33
202.2, None, None,2021-08-14 08:00:00, None,33
204.8, None, None,2021-08-14 09:00:00, None,33
204.5, None, None,2021-08-14 10:00:00, None,33
189.1, None, None,2021-08-14 11:00:00, None,33
191.8, None, None,2021-08-14 12:00:00, None,33
187.5, None, None,2021-08-14 13:00:00, None,33
199.5, None, None,2021-08-14 14:00:00, None,33
198.3, None, None,2021-08-14 15:00:00, None,33
191.7, None, None,2021-08-14 16:00:00, None,33
196.1, None, None,2021-08-14 17:00:00, None,33
198.8, None, None,2021-08-14 18:00:00, None,33
198.7, None, None,2021-08-14 19:00:00, None,33
200.8, None, None,2021-08-14 20:00:00, None,33
203.2, None, None,2021-08-14 21:00:00, None,33
198.8, None, None,2021-08-14 22:00:00, None,33
206.9, None, None,2021-08-14 23:00:00, None,33
201.3, None, None,2021-08-15 00:00:00, None,33
213.0, None, None,2021-08-15 01:00:00, None,33
207.1, None, None,2021-08-15 02:00:00, None,33
200.0, None, None,2021-08-15 03:00:00, None,33
212.6, None, None,2021-08-15 04:00:00, None,33
223.6, None, None,2021-08-15 05:00:00, None,33
222.0, None, None,2021-08-15 06:00:00, None,33
205.0, None, None,2021-08-15 07:00:00, None,33
202.6, None, None,2021-08-15 08:00:00, None,33
195.8, None, None,2021-08-15 09:00:00, None,33
197.9, None, None,2021-08-15 10:00:00, None,33
195.1, None, None,2021-08-15 11:00:00, None,33
210.6, None, None,2021-08-15 12:00:00, None,33
212.5, None, None,2021-08-15 13:00:00, None,33
210.5, None, None,2021-08-15 14:00:00, None,33
211.4, None, None,2021-08-15 15:00:00, None,33
196.6, None, None,2021-08-15 16:00:00, None,33
197.0, None, None,2021-08-15 17:00:00, None,33
203.4, None, None,2021-08-15 18:00:00, None,33
206.6, None, None,2021-08-15 19:00:00, None,33
204.1, None, None,2021-08-15 20:00:00, None,33
211.7, None, None,2021-08-15 21:00:00, None,33
214.2, None, None,2021-08-15 22:00:00, None,33
214.4, None, None,2021-08-15 23:00:00, None,33
294.0, None, None,2021-08-16 00:00:00, None,33
329.1, None, None,2021-08-16 01:00:00, None,33
271.9, None, None,2021-08-16 02:00:00, None,33
319.3, None, None,2021-08-16 03:00:00, None,33
349.0, None, None,2021-08-16 04:00:00, None,33
349.2, None, None,2021-08-16 05:00:00, None,33
359.0, None, None,2021-08-16 06:00:00, None,33
13.3, None, None,2021-08-16 07:00:00, None,33
36.3, None, None,2021-08-16 08:00:00, None,33
14.8, None, None,2021-08-16 09:00:00, None,33
30.8, None, None,2021-08-16 10:00:00, None,33
43.7, None, None,2021-08-16 11:00:00, None,33
286.7, None, None,2021-08-16 12:00:00, None,33
101.2, None, None,2021-08-16 13:00:00, None,33
185.1, None, None,2021-08-16 14:00:00, None,33
187.9, None, None,2021-08-16 15:00:00, None,33
190.1, None, None,2021-08-16 16:00:00, None,33
189.5, None, None,2021-08-16 17:00:00, None,33
197.2, None, None,2021-08-16 18:00:00, None,33
246.0, None, None,2021-08-16 19:00:00, None,33
306.0, None, None,2021-08-16 20:00:00, None,33
305.8, None, None,2021-08-16 21:00:00, None,33
309.2, None, None,2021-08-16 22:00:00, None,33
325.1, None, None,2021-08-16 23:00:00, None,33
342.5, None, None,2021-08-17 00:00:00, None,33
333.6, None, None,2021-08-17 01:00:00, None,33
342.5, None, None,2021-08-17 02:00:00, None,33
2.5, None, None,2021-08-17 03:00:00, None,33
342.3, None, None,2021-08-17 04:00:00, None,33
353.6, None, None,2021-08-17 05:00:00, None,33
347.2, None, None,2021-08-17 06:00:00, None,33
3.7, None, None,2021-08-17 07:00:00, None,33
348.1, None, None,2021-08-17 08:00:00, None,33
9.9, None, None,2021-08-17 09:00:00, None,33
9.4, None, None,2021-08-17 10:00:00, None,33
45.8, None, None,2021-08-17 11:00:00, None,33
183.8, None, None,2021-08-17 12:00:00, None,33
180.2, None, None,2021-08-17 13:00:00, None,33
176.9, None, None,2021-08-17 14:00:00, None,33
182.2, None, None,2021-08-17 15:00:00, None,33
179.4, None, None,2021-08-17 16:00:00, None,33
183.6, None, None,2021-08-17 17:00:00, None,33
190.1, None, None,2021-08-17 18:00:00, None,33
188.3, None, None,2021-08-17 19:00:00, None,33
188.4, None, None,2021-08-17 20:00:00, None,33
191.2, None, None,2021-08-17 21:00:00, None,33
186.3, None, None,2021-08-17 22:00:00, None,33
182.9, None, None,2021-08-17 23:00:00, None,33
184.2, None, None,2021-08-18 00:00:00, None,33
192.8, None, None,2021-08-18 01:00:00, None,33
206.3, None, None,2021-08-18 02:00:00, None,33
202.9, None, None,2021-08-18 03:00:00, None,33
209.5, None, None,2021-08-18 04:00:00, None,33
204.0, None, None,2021-08-18 05:00:00, None,33
190.2, None, None,2021-08-18 06:00:00, None,33
198.2, None, None,2021-08-18 07:00:00, None,33
182.8, None, None,2021-08-18 08:00:00, None,33
187.8, None, None,2021-08-18 09:00:00, None,33
187.1, None, None,2021-08-18 10:00:00, None,33
187.5, None, None,2021-08-18 11:00:00, None,33
192.1, None, None,2021-08-18 12:00:00, None,33
189.8, None, None,2021-08-18 13:00:00, None,33
195.7, None, None,2021-08-18 14:00:00, None,33
202.6, None, None,2021-08-18 15:00:00, None,33
206.2, None, None,2021-08-18 16:00:00, None,33
206.3, None, None,2021-08-18 17:00:00, None,33
198.0, None, None,2021-08-18 18:00:00, None,33
199.2, None, None,2021-08-18 19:00:00, None,33
196.5, None, None,2021-08-18 20:00:00, None,33
190.5, None, None,2021-08-18 21:00:00, None,33
184.5, None, None,2021-08-18 22:00:00, None,33
188.6, None, None,2021-08-18 23:00:00, None,33
195.9, None, None,2021-08-19 00:00:00, None,33
192.6, None, None,2021-08-19 01:00:00, None,33
191.9, None, None,2021-08-19 02:00:00, None,33
195.7, None, None,2021-08-19 03:00:00, None,33
187.8, None, None,2021-08-19 04:00:00, None,33
193.3, None, None,2021-08-19 05:00:00, None,33
190.4, None, None,2021-08-19 06:00:00, None,33
193.8, None, None,2021-08-19 07:00:00, None,33
187.5, None, None,2021-08-19 08:00:00, None,33
180.4, None, None,2021-08-19 09:00:00, None,33
169.5, None, None,2021-08-19 10:00:00, None,33
180.4, None, None,2021-08-19 11:00:00, None,33
181.3, None, None,2021-08-19 12:00:00, None,33
185.9, None, None,2021-08-19 13:00:00, None,33
195.4, None, None,2021-08-19 14:00:00, None,33
191.2, None, None,2021-08-19 15:00:00, None,33
191.5, None, None,2021-08-19 16:00:00, None,33
199.4, None, None,2021-08-19 17:00:00, None,33
197.3, None, None,2021-08-19 18:00:00, None,33
197.7, None, None,2021-08-19 19:00:00, None,33
190.0, None, None,2021-08-19 20:00:00, None,33
179.7, None, None,2021-08-19 21:00:00, None,33
175.4, None, None,2021-08-19 22:00:00, None,33
182.4, None, None,2021-08-19 23:00:00, None,33
