time,TEMP_MEAN,HUMIDITY,week_of_year
2021-08-20 00:00:00, None,91.6,34
2021-08-20 01:00:00, None,88.7,34
2021-08-20 02:00:00, None,97.7,34
2021-08-20 03:00:00, None,96.7,34
2021-08-20 04:00:00, None,96.9,34
2021-08-20 05:00:00, None,94.5,34
2021-08-20 06:00:00, None,92.1,34
2021-08-20 07:00:00, None,82.6,34
2021-08-20 08:00:00, None,78.6,34
2021-08-20 09:00:00, None,64.7,34
2021-08-20 10:00:00, None,52.3,34
2021-08-20 11:00:00, None,50.9,34
2021-08-20 12:00:00, None,48.1,34
2021-08-20 13:00:00, None,43.8,34
2021-08-20 14:00:00, None,45.0,34
2021-08-20 15:00:00, None,41.1,34
2021-08-20 16:00:00, None,38.7,34
2021-08-20 17:00:00, None,44.7,34
2021-08-20 18:00:00, None,49.1,34
2021-08-20 19:00:00, None,56.9,34
2021-08-20 20:00:00, None,57.2,34
2021-08-20 21:00:00, None,70.0,34
2021-08-20 22:00:00, None,62.4,34
2021-08-20 23:00:00, None,74.1,34
2021-08-21 00:00:00, None,80.2,34
2021-08-21 01:00:00, None,84.5,34
2021-08-21 02:00:00, None,84.3,34
2021-08-21 03:00:00, None,87.1,34
2021-08-21 04:00:00, None,90.1,34
2021-08-21 05:00:00, None,85.4,34
2021-08-21 06:00:00, None,77.5,34
2021-08-21 07:00:00, None,71.0,34
2021-08-21 08:00:00, None,64.2,34
2021-08-21 09:00:00, None,61.0,34
2021-08-21 10:00:00, None,69.4,34
2021-08-21 11:00:00, None,77.6,34
2021-08-21 12:00:00, None,83.0,34
2021-08-21 13:00:00, None,79.1,34
2021-08-21 14:00:00, None,92.6,34
2021-08-21 15:00:00, None,94.2,34
2021-08-21 16:00:00, None,91.3,34
2021-08-21 17:00:00, None,87.5,34
2021-08-21 18:00:00, None,91.3,34
2021-08-21 19:00:00, None,95.8,34
2021-08-21 20:00:00, None,97.8,34
2021-08-21 21:00:00, None,97.2,34
2021-08-21 22:00:00, None,98.0,34
2021-08-21 23:00:00, None,98.3,34
2021-08-22 00:00:00, None,97.5,34
2021-08-22 01:00:00, None,96.3,34
2021-08-22 02:00:00, None,97.4,34
2021-08-22 03:00:00, None,97.3,34
2021-08-22 04:00:00, None,96.7,34
2021-08-22 05:00:00, None,95.9,34
2021-08-22 06:00:00, None,95.7,34
2021-08-22 07:00:00, None,92.2,34
2021-08-22 08:00:00, None,91.7,34
2021-08-22 09:00:00, None,89.9,34
2021-08-22 10:00:00, None,75.1,34
2021-08-22 11:00:00, None,67.7,34
2021-08-22 12:00:00, None,61.0,34
2021-08-22 13:00:00, None,59.4,34
2021-08-22 14:00:00, None,67.2,34
2021-08-22 15:00:00, None,63.1,34
2021-08-22 16:00:00, None,53.1,34
2021-08-22 17:00:00, None,52.5,34
2021-08-22 18:00:00, None,52.9,34
2021-08-22 19:00:00, None,75.5,34
2021-08-22 20:00:00, None,86.8,34
2021-08-22 21:00:00, None,92.0,34
2021-08-22 22:00:00, None,94.7,34
2021-08-22 23:00:00, None,92.0,34
2021-08-23 00:00:00, None,96.9,34
2021-08-23 01:00:00, None,95.4,34
2021-08-23 02:00:00, None,97.2,34
2021-08-23 03:00:00, None,97.0,34
2021-08-23 04:00:00, None,98.0,34
2021-08-23 05:00:00, None,98.2,34
2021-08-23 06:00:00, None,97.9,34
2021-08-23 07:00:00, None,97.3,34
2021-08-23 08:00:00, None,87.2,34
2021-08-23 09:00:00, None,78.7,34
2021-08-23 10:00:00, None,68.5,34
2021-08-23 11:00:00, None,57.2,34
2021-08-23 12:00:00, None,51.7,34
2021-08-23 13:00:00, None,45.4,34
