pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,time,max_air_temp_snc_last_reset,MINIMUM_AIR_TEMPERATURE,dwpt_temp,air_temp,min_air_temp_snc_last_reset,pcpn_amt_pst1hr,snwfl_amt_pst1hr,rel_hum,MAXIMUM_AIR_TEMPERATURE,PRECIPITATION_NEW,snw_dpth,HEIGHT_OF_SNOW,week_of_year
None, None, 11.72, 98.6,2021-08-27 00:00:00, 14.3, None, 12.0, 11.7, 11.6, 0.0, None, 99.0, None, None, None, None,35
None, None, 11.62, 98.7,2021-08-27 01:00:00, 14.3, None, 12.0, 11.6, 11.5, 0.0, None, 99.0, None, None, None, None,35
None, None, 11.51, 98.7,2021-08-27 02:00:00, 14.3, None, 11.0, 11.5, 11.5, 0.0, None, 99.0, None, None, None, None,35
None, None, 11.33, 98.7,2021-08-27 03:00:00, 14.3, None, 11.0, 11.3, 11.3, 0.0, None, 99.0, None, None, None, None,35
None, None, 11.3, 98.7,2021-08-27 04:00:00, 14.3, None, 11.0, 11.3, 11.2, 0.0, None, 99.0, None, None, None, None,35
None, None, 11.03, 98.7,2021-08-27 05:00:00, 14.3, None, 11.0, 11.0, 11.0, None, None, 99.0, None, None, None, None,35
None, None, 10.97, 98.8,2021-08-27 06:00:00, 14.3, None, 11.0, 11.0, 10.8, 0.0, None, 99.0, None, None, None, None,35
None, None, 10.89, 98.8,2021-08-27 07:00:00, 11.3, None, 11.0, 10.9, 10.8, 0.0, None, 99.0, None, None, None, None,35
None, None, 11.12, 98.8,2021-08-27 08:00:00, 11.3, None, 11.0, 11.1, 10.8, 0.0, None, 99.0, None, None, None, None,35
None, None, 11.9, 96.0,2021-08-27 09:00:00, 11.9, None, 11.0, 11.9, 10.8, 0.1, None, 96.0, None, None, None, None,35
None, None, 12.98, 95.4,2021-08-27 10:00:00, 13.4, None, 12.0, 13.0, 10.8, -0.1, None, 95.0, None, None, None, None,35
None, None, 13.72, 88.2,2021-08-27 11:00:00, 13.9, None, 12.0, 13.7, 10.8, 0.0, None, 88.0, None, None, None, None,35
None, None, 14.06, 89.8,2021-08-27 12:00:00, 14.1, None, 12.0, 14.1, 10.8, 0.2, None, 90.0, None, None, None, None,35
None, None, 14.58, 90.2,2021-08-27 13:00:00, 15.2, None, 13.0, 14.6, 10.8, 0.1, None, 90.0, None, None, None, None,35
None, None, 15.52, 85.9,2021-08-27 14:00:00, 16.3, None, 13.0, 15.5, 10.8, 0.3, None, 86.0, None, None, None, None,35
