air_temp,min_air_temp_snc_last_reset,snwfl_amt_pst1hr,max_air_temp_snc_last_reset,rel_hum,time,snw_dpth,dwpt_temp,week_of_year
11.1,11.1, None,14.1,51.0,2021-09-10 00:00:00, None,1.0,37
10.1,10.0, None,14.1,54.0,2021-09-10 01:00:00, None,1.0,37
9.7,9.4, None,14.1,55.0,2021-09-10 02:00:00, None,1.0,37
10.1,9.4, None,14.1,55.0,2021-09-10 03:00:00, None,1.0,37
9.2,9.0, None,14.1,58.0,2021-09-10 04:00:00, None,1.0,37
9.4,9.0, None,14.1,58.0,2021-09-10 05:00:00, None,1.0,37
9.1,9.0, None,14.1,59.0,2021-09-10 06:00:00, None,2.0,37
9.7,8.8, None,9.7,58.0,2021-09-10 07:00:00, None,2.0,37
10.5,8.8, None,10.5,57.0,2021-09-10 08:00:00, None,2.0,37
12.0,8.8, None,12.1,52.0,2021-09-10 09:00:00, None,3.0,37
13.3,8.8, None,13.2,52.0,2021-09-10 10:00:00, None,4.0,37
16.4,8.8, None,16.2,42.0,2021-09-10 11:00:00, None,4.0,37
16.6,8.8, None,17.1,47.0,2021-09-10 12:00:00, None,5.0,37
16.0,8.8, None,17.3,45.0,2021-09-10 13:00:00, None,4.0,37
16.6,8.8, None,17.3,41.0,2021-09-10 14:00:00, None,4.0,37
14.0,8.8, None,17.3,48.0,2021-09-10 15:00:00, None,3.0,37
13.6,8.8, None,17.3,46.0,2021-09-10 16:00:00, None,2.0,37
13.2,8.8, None,17.3,49.0,2021-09-10 17:00:00, None,2.0,37
12.1,8.8, None,17.3,57.0,2021-09-10 18:00:00, None,4.0,37
9.2,9.2, None,12.1,74.0,2021-09-10 19:00:00, None,5.0,37
7.8,7.2, None,12.1,83.0,2021-09-10 20:00:00, None,5.0,37
6.8,6.8, None,12.1,94.0,2021-09-10 21:00:00, None,6.0,37
6.1,6.0, None,12.1,100.0,2021-09-10 22:00:00, None,6.0,37
6.2,5.9, None,12.1,99.0,2021-09-10 23:00:00, None,6.0,37
6.1,5.9, None,12.1,100.0,2021-09-11 00:00:00, None,6.0,37
