pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,max_air_temp_snc_last_reset,rel_hum,dwpt_temp,air_temp,min_air_temp_snc_last_reset,mslp,pcpn_amt_pst1hr,DEW_POINT,ATMOSPHERIC_PRESSURE,snwfl_amt_pst1hr,time,snw_dpth,stn_pres,week_of_year
0.0, 8.87, 82.7, 22.5, 83.0, 6.0, 8.9, 9.0, 1015.1, 0.0, 6.0, 885.0, None,2021-09-10 00:00:00, None, 885.0,37
0.0, 8.54, 80.7, 22.5, 81.0, 5.0, 8.5, 8.4, 1016.1, 0.0, 5.0, 886.0, None,2021-09-10 01:00:00, None, 886.0,37
0.0, 7.301, 86.9, 22.5, 87.0, 5.0, 7.3, 7.3, 1016.1, 0.0, 5.0, 886.0, None,2021-09-10 02:00:00, None, 886.0,37
0.0, 6.49, 89.8, 22.5, 90.0, 5.0, 6.5, 6.5, 1016.1, 0.0, 5.0, 886.0, None,2021-09-10 03:00:00, None, 886.0,37
0.0, 6.005, 90.4, 22.5, 90.0, 5.0, 6.0, 5.9, 1017.4, 0.0, 5.0, 887.0, None,2021-09-10 04:00:00, None, 887.0,37
0.0, 5.121, 92.4, 22.5, 92.0, 4.0, 5.1, 5.2, 1017.6, 0.0, 4.0, 887.0, None,2021-09-10 05:00:00, None, 887.0,37
0.0, 4.683, 93.8, 22.5, 94.0, 4.0, 4.7, 4.7, 1017.8, 0.0, 4.0, 887.0, None,2021-09-10 06:00:00, None, 887.0,37
0.0, 4.627, 94.5, 4.7, 95.0, 4.0, 4.6, 4.4, 1018.4, 0.0, 4.0, 887.0, None,2021-09-10 07:00:00, None, 887.0,37
0.0, 5.622, 92.1, 5.6, 92.0, 5.0, 5.6, 4.4, 1019.9, 0.0, 5.0, 888.0, None,2021-09-10 08:00:00, None, 888.0,37
0.0, 10.67, 70.49, 10.6, 70.0, 5.0, 10.7, 4.4, 1019.5, 0.0, 5.0, 888.0, None,2021-09-10 09:00:00, None, 888.0,37
0.0, 15.17, 52.37, 15.1, 52.0, 5.0, 15.2, 4.4, 1017.9, 0.0, 5.0, 887.0, None,2021-09-10 10:00:00, None, 887.0,37
0.0, 18.24, 52.18, 18.3, 52.0, 8.0, 18.2, 4.4, 1017.7, 0.0, 8.0, 887.0, None,2021-09-10 11:00:00, None, 887.0,37
0.0, 19.8, 45.93, 19.7, 46.0, 8.0, 19.8, 4.4, 1015.3, 0.0, 8.0, 885.0, None,2021-09-10 12:00:00, None, 885.0,37
0.0, 21.04, 42.5, 21.1, 43.0, 8.0, 21.0, 4.4, 1015.2, 0.0, 8.0, 885.0, None,2021-09-10 13:00:00, None, 885.0,37
0.0, 22.36, 38.81, 22.6, 39.0, 8.0, 22.4, 4.4, 1015.2, 0.0, 8.0, 885.0, None,2021-09-10 14:00:00, None, 885.0,37
0.0, 22.07, 38.47, 23.0, 38.0, 7.0, 22.1, 4.4, 1014.2, 0.0, 7.0, 884.0, None,2021-09-10 15:00:00, None, 884.0,37
0.0, 20.84, 42.78, 23.0, 43.0, 8.0, 20.8, 4.4, 1013.3, 0.0, 8.0, 883.0, None,2021-09-10 16:00:00, None, 883.0,37
0.0, 19.69, 46.75, 23.0, 47.0, 8.0, 19.7, 4.4, 1014.7, 0.0, 8.0, 884.0, None,2021-09-10 17:00:00, None, 884.0,37
0.0, 18.38, 55.28, 23.0, 55.0, 9.0, 18.4, 4.4, 1015.0, 0.0, 9.0, 884.0, None,2021-09-10 18:00:00, None, 884.0,37
0.0, 15.57, 81.2, 18.4, 81.0, 12.0, 15.6, 15.7, 1016.5, 0.1, 12.0, 885.0, None,2021-09-10 19:00:00, None, 885.0,37
0.5, 13.91, 91.8, 18.4, 92.0, 12.0, 13.9, 14.1, 1017.8, 0.5, 12.0, 886.0, None,2021-09-10 20:00:00, None, 886.0,37
1.3, 13.35, 95.8, 18.4, 96.0, 13.0, 13.4, 13.3, 1017.1, 0.8, 13.0, 886.0, None,2021-09-10 21:00:00, None, 886.0,37
2.7, 12.88, 97.3, 18.4, 97.0, 12.0, 12.9, 12.9, 1016.6, 1.4, 12.0, 886.0, None,2021-09-10 22:00:00, None, 886.0,37
3.7, 12.5, 97.2, 18.4, 97.0, 12.0, 12.5, 12.5, 1016.2, 1.0, 12.0, 886.0, None,2021-09-10 23:00:00, None, 886.0,37
5.0, 12.33, 97.7, 18.4, 98.0, 12.0, 12.3, 12.3, 1016.0, 1.3, 12.0, 886.0, None,2021-09-11 00:00:00, None, 886.0,37
7.0, 12.15, 98.0, 18.4, 98.0, 12.0, 12.2, 12.2, 1015.8, 2.0, 12.0, 886.0, None,2021-09-11 01:00:00, None, 886.0,37
7.3, 12.04, 98.3, 18.4, 98.0, 12.0, 12.0, 11.9, 1015.7, 0.3, 12.0, 886.0, None,2021-09-11 02:00:00, None, 886.0,37
7.3, 11.84, 98.4, 18.4, 98.0, 12.0, 11.8, 11.8, 1015.7, 0.0, 12.0, 886.0, None,2021-09-11 03:00:00, None, 886.0,37
7.3, 11.77, 98.3, 18.4, 98.0, 11.0, 11.8, 11.8, 1015.9, 0.0, 11.0, 886.0, None,2021-09-11 04:00:00, None, 886.0,37
7.3, 11.48, 98.5, 18.4, 99.0, 11.0, 11.5, 11.5, 1016.1, 0.0, 11.0, 886.0, None,2021-09-11 05:00:00, None, 886.0,37
7.6, 11.49, 98.6, 18.4, 99.0, 11.0, 11.5, 11.4, 1016.3, 0.3, 11.0, 886.0, None,2021-09-11 06:00:00, None, 886.0,37
