pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,max_air_temp_snc_last_reset,max_wnd_spd_10m_pst1hr,WIND_DIRECTION_STD_DEVIATION1,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,avg_wnd_spd_10m_pst10mts,air_temp,min_air_temp_snc_last_reset,DEW_POINT,pcpn_amt_pst1hr,avg_wnd_dir_10m_pst10mts,snwfl_amt_pst1hr,rel_hum,time,snw_dpth,week_of_year
0.0, 4.73, 75.62, 6.9, None, 17.76, 10.46, 115.7, 1.0, None, 4.7, 4.3, 1.0, 0.0, None, 0.0, 76.0,2021-11-26 00:00:00, None,48
0.0, 4.537, 77.47, 6.9, None, 46.74, 2.756, 141.9, 1.0, None, 4.5, 4.3, 1.0, 0.0, None, 0.0, 77.0,2021-11-26 01:00:00, None,48
0.0, 5.382, 73.69, 6.9, None, 34.24, 3.373, 122.9, 1.0, None, 5.4, 4.3, 1.0, 0.0, None, 0.0, 74.0,2021-11-26 02:00:00, None,48
0.0, 6.007, 69.97, 6.9, None, 25.98, 5.626, 119.2, 1.0, None, 6.0, 4.3, 1.0, 0.0, None, 0.0, 70.0,2021-11-26 03:00:00, None,48
0.0, 5.345, 75.51, 6.9, None, 19.29, 7.181, 119.6, 1.0, None, 5.3, 4.3, 1.0, 0.0, None, 0.0, 76.0,2021-11-26 04:00:00, None,48
0.0, 4.344, 81.1, 6.9, None, 17.26, 9.18, 122.6, 1.0, None, 4.3, 4.3, 1.0, 0.1, None, 0.0, 81.0,2021-11-26 05:00:00, None,48
0.0, 4.015, 81.4, 6.9, None, 21.41, 6.335, 124.2, 1.0, None, 4.0, 4.0, 1.0, 0.0, None, 0.0, 81.0,2021-11-26 06:00:00, None,48
0.0, 2.774, 85.2, 4.4, None, 27.0, 7.968, 113.1, 1.0, None, 2.8, 2.8, 1.0, 0.0, None, 0.0, 85.0,2021-11-26 07:00:00, None,48
0.0, 3.514, 82.9, 4.4, None, 26.34, 3.659, 137.3, 1.0, None, 3.5, 2.3, 1.0, 0.0, None, 0.0, 83.0,2021-11-26 08:00:00, None,48
0.0, 4.62, 77.79, 4.6, None, 18.26, 5.837, 116.7, 1.0, None, 4.6, 2.3, 1.0, 0.0, None, 0.0, 78.0,2021-11-26 09:00:00, None,48
0.0, 5.978, 63.51, 6.1, None, 39.83, 5.2, 113.8, 0.0, None, 6.0, 2.3, 0.0, 0.0, None, 0.0, 64.0,2021-11-26 10:00:00, None,48
0.0, 6.192, 60.72, 6.4, None, 50.98, 6.253, 100.2, -1.0, None, 6.2, 2.3, -1.0, 0.0, None, 0.0, 61.0,2021-11-26 11:00:00, None,48
0.0, 6.538, 53.46, 6.6, None, 70.04, 5.482, 61.59, -2.0, None, 6.5, 2.3, -2.0, 0.0, None, 0.0, 53.0,2021-11-26 12:00:00, None,48
0.0, 6.021, 54.56, 6.6, None, 67.22, 7.178, 294.8, -2.0, None, 6.0, 2.3, -2.0, 0.0, None, 0.0, 55.0,2021-11-26 13:00:00, None,48
0.0, 5.802, 51.01, 6.6, None, 63.34, 6.632, 337.3, -3.0, None, 5.8, 2.3, -3.0, 0.0, None, 0.0, 51.0,2021-11-26 14:00:00, None,48
0.0, 4.8, 54.88, 6.6, None, 73.4, 4.899, 122.5, -4.0, None, 4.8, 2.3, -4.0, 0.0, None, 0.0, 55.0,2021-11-26 15:00:00, None,48
0.0, 3.788, 56.57, 6.6, None, 49.46, 3.611, 144.8, -4.0, None, 3.8, 2.3, -4.0, 0.0, None, 0.0, 57.0,2021-11-26 16:00:00, None,48
0.0, 3.442, 60.17, 6.6, None, 63.5, 4.946, 125.2, -4.0, None, 3.4, 2.3, -4.0, 0.0, None, 0.0, 60.0,2021-11-26 17:00:00, None,48
0.0, 2.245, 62.7, 6.6, None, 54.25, 3.578, 113.3, -4.0, None, 2.2, 2.1, -4.0, 0.0, None, 0.0, 63.0,2021-11-26 18:00:00, None,48
0.0, 2.321, 62.74, 2.5, None, 21.61, 7.091, 118.3, -4.0, None, 2.3, 1.6, -4.0, 0.0, None, 0.0, 63.0,2021-11-26 19:00:00, None,48
0.0, 1.975, 65.97, 2.5, None, 14.8, 7.194, 114.1, -4.0, None, 2.0, 1.5, -4.0, 0.0, None, 0.0, 66.0,2021-11-26 20:00:00, None,48
0.0, 1.732, 65.64, 2.5, None, 33.63, 4.388, 132.9, -4.0, None, 1.7, 1.5, -4.0, 0.0, None, 0.0, 66.0,2021-11-26 21:00:00, None,48
0.0, 2.178, 64.49, 2.5, None, 21.55, 3.097, 147.3, -3.0, None, 2.2, 1.5, -3.0, 0.0, None, 0.0, 64.0,2021-11-26 22:00:00, None,48
0.0, 0.173, 74.82, 2.5, None, 36.35, 2.558, 141.2, -4.0, None, 0.2, 0.1, -4.0, 0.0, None, 0.0, 75.0,2021-11-26 23:00:00, None,48
0.0, 1.685, 67.75, 2.5, None, 26.08, 1.777, 198.6, -4.0, None, 1.7, -0.1, -4.0, 0.0, None, 0.0, 68.0,2021-11-27 00:00:00, None,48
0.0, 2.028, 66.34, 2.5, None, 59.46, 1.108, 192.9, -3.0, None, 2.0, -0.1, -3.0, 0.0, None, 0.0, 66.0,2021-11-27 01:00:00, None,48
0.0, 2.066, 67.28, 3.0, None, 31.32, 7.177, 114.7, -4.0, None, 2.1, -0.1, -4.0, 0.0, None, 0.0, 67.0,2021-11-27 02:00:00, None,48
0.0, 1.398, 70.73, 3.0, None, 35.73, 5.347, 115.5, -3.0, None, 1.4, -0.1, -3.0, 0.0, None, 0.0, 71.0,2021-11-27 03:00:00, None,48
0.0, 1.617, 72.01, 3.0, None, 46.99, 1.945, 169.6, -3.0, None, 1.6, -0.1, -3.0, 0.0, None, 0.0, 72.0,2021-11-27 04:00:00, None,48
0.0, 2.015, 67.93, 3.0, None, 46.16, 2.165, 199.8, -3.0, None, 2.0, -0.1, -3.0, 0.0, None, 0.0, 68.0,2021-11-27 05:00:00, None,48
0.0, 2.544, 67.33, 3.0, None, 35.24, 3.556, 232.3, -3.0, None, 2.5, -0.1, -3.0, 0.0, None, 0.0, 67.0,2021-11-27 06:00:00, None,48
0.0, 1.454, 72.83, 2.5, None, 55.13, 3.567, 236.6, -3.0, None, 1.5, 1.5, -3.0, 0.0, None, 0.0, 73.0,2021-11-27 07:00:00, None,48
0.0, 0.849, 74.81, 2.5, None, 70.51, 1.84, 173.0, -3.0, None, 0.8, 0.9, -3.0, 0.0, None, 0.0, 75.0,2021-11-27 08:00:00, None,48
0.0, 1.748, 71.45, 2.5, None, 49.34, 4.081, 253.5, -3.0, None, 1.7, 0.9, -3.0, 0.0, None, 0.0, 71.0,2021-11-27 09:00:00, None,48
0.0, 2.723, 66.68, 2.9, None, 35.39, 6.003, 242.1, -3.0, None, 2.7, 0.9, -3.0, 0.0, None, 0.0, 67.0,2021-11-27 10:00:00, None,48
0.0, 3.351, 64.99, 3.3, None, 33.4, 4.432, 237.2, -2.0, None, 3.4, 0.9, -2.0, 0.0, None, 0.0, 65.0,2021-11-27 11:00:00, None,48
0.0, 4.361, 62.85, 4.7, None, 30.16, 4.482, 245.6, -2.0, None, 4.4, 0.9, -2.0, 0.0, None, 0.0, 63.0,2021-11-27 12:00:00, None,48
0.0, 4.649, 64.14, 4.7, None, 35.0, 4.015, 253.9, -2.0, None, 4.6, 0.9, -2.0, 0.0, None, 0.0, 64.0,2021-11-27 13:00:00, None,48
0.0, 5.074, 64.61, 5.5, None, 71.22, 2.027, 232.2, -1.0, None, 5.1, 0.9, -1.0, 0.0, None, 0.0, 65.0,2021-11-27 14:00:00, None,48
0.0, 5.094, 67.31, 5.5, None, 34.09, 4.963, 232.8, 0.0, None, 5.1, 0.9, 0.0, 0.0, None, 0.0, 67.0,2021-11-27 15:00:00, None,48
0.0, 5.218, 69.03, 5.7, None, 44.45, 2.973, 226.8, 0.0, None, 5.2, 0.9, 0.0, 0.0, None, 0.0, 69.0,2021-11-27 16:00:00, None,48
0.0, 5.055, 72.33, 5.7, None, 41.62, 4.036, 239.4, 0.0, None, 5.1, 0.9, 0.0, 0.0, None, 0.0, 72.0,2021-11-27 17:00:00, None,48
0.0, 4.113, 75.88, 5.7, None, 44.29, 4.429, 230.8, 0.0, None, 4.1, 0.9, 0.0, 0.0, None, 0.0, 76.0,2021-11-27 18:00:00, None,48
0.0, 3.504, 82.9, 4.3, None, 42.39, 5.018, 234.6, 1.0, None, 3.5, 3.5, 1.0, 0.1, None, 0.0, 83.0,2021-11-27 19:00:00, None,48
0.2, 3.136, 89.5, 4.3, None, 54.51, 2.085, 133.1, 2.0, None, 3.1, 2.9, 2.0, 0.2, None, 0.0, 90.0,2021-11-27 20:00:00, None,48
0.4, 3.514, 91.6, 4.3, None, 28.63, 4.313, 239.3, 2.0, None, 3.5, 2.9, 2.0, 0.2, None, 0.0, 92.0,2021-11-27 21:00:00, None,48
0.7, 3.836, 93.1, 4.3, None, 37.22, 4.29, 230.2, 3.0, None, 3.8, 2.9, 3.0, 0.3, None, 0.0, 93.0,2021-11-27 22:00:00, None,48
0.9, 4.886, 91.1, 5.0, None, 58.73, 4.156, 166.7, 4.0, None, 4.9, 2.9, 4.0, 0.2, None, 0.0, 91.0,2021-11-27 23:00:00, None,48
0.9, 5.478, 91.1, 5.5, None, 39.79, 5.051, 125.9, 4.0, None, 5.5, 2.9, 4.0, 0.1, None, 0.0, 91.0,2021-11-28 00:00:00, None,48
0.9, 5.053, 93.3, 6.9, None, 52.29, 6.375, 132.1, 4.0, None, 5.1, 2.9, 4.0, 0.1, None, 0.0, 93.0,2021-11-28 01:00:00, None,48
1.1, 5.172, 95.2, 6.9, None, 64.56, 2.389, 197.5, 5.0, None, 5.2, 2.9, 5.0, 0.2, None, 0.0, 95.0,2021-11-28 02:00:00, None,48
