wind_speed,time,avg_wnd_dir_10m_pst10mts,wind_direction,rel_hum,relative_humidity,rnfl_amt_pst24hrs,rnfl_amt_pst1hr,avg_wnd_spd_10m_pst10mts,precipitation,week_of_year
0.0,2021-02-05 00:00:00, None, 178.0, None, 0.0, None, None, None, 0.0,6
0.0,2021-02-05 01:00:00, None, 178.0, None, 0.0, None, None, None, 0.0,6
0.0,2021-02-05 02:00:00, None, 179.0, None, 0.0, None, None, None, 0.0,6
0.0,2021-02-05 03:00:00, None, 186.0, None, 0.0, None, None, None, 0.0,6
0.0,2021-02-05 04:00:00, None, 185.0, None, 0.0, None, None, None, 0.0,6
0.0,2021-02-05 05:00:00, None, 183.0, None, 0.0, None, None, None, 0.0,6
0.0,2021-02-05 06:00:00, None, 180.0, None, 0.0, None, None, None, 0.0,6
0.0,2021-02-05 07:00:00, None, 195.0, None, 0.0, None, None, None, 0.0,6
1.9,2021-02-05 08:00:00, None, 186.0, None, 0.0, None, None, None, 0.0,6
1.9,2021-02-05 09:00:00, None, 189.0, None, 0.0, None, None, None, 0.0,6
1.9,2021-02-05 10:00:00, None, 200.0, None, 0.0, None, None, None, 0.0,6
2.0,2021-02-05 11:00:00, 200.0, 188.0, 0.0, 0.0, 0.0, 0.0, 1.9, 0.0,6
2.1,2021-02-05 12:00:00, 188.0, 206.0, 0.0, 0.0, 0.0, 0.0, 2.0, 0.0,6
2.0,2021-02-05 13:00:00, None, 203.0, None, 0.0, None, None, None, 0.0,6
1.8,2021-02-05 14:00:00, 203.0, 197.0, 0.0, 0.0, 0.0, 0.0, 2.0, 0.0,6
1.8,2021-02-05 15:00:00, 197.0, 177.0, 0.0, 0.0, 0.0, 0.0, 1.8, 0.0,6
1.9,2021-02-05 16:00:00, 177.0, 179.0, 0.0, 0.0, 0.0, 0.0, 1.8, 0.0,6
1.8,2021-02-05 17:00:00, 179.0, 178.0, 0.0, 0.0, 0.0, 0.0, 1.9, 0.0,6
None,2021-02-05 18:00:00, 178.0, None, 0.0, None, 0.0, 0.0, 1.8, None,6
0.0,2021-02-07 17:00:00, None, 189.0, None, 0.0, None, None, None, 0.0,6
0.0,2021-02-07 18:00:00, None, 179.0, None, 0.0, None, None, None, 0.0,6
0.0,2021-02-07 19:00:00, None, 180.0, None, 0.0, None, None, None, 0.0,6
0.0,2021-02-07 20:00:00, None, 180.0, None, 0.0, None, None, None, 0.0,6
0.0,2021-02-07 21:00:00, None, 171.0, None, 0.0, None, None, None, 0.0,6
0.0,2021-02-07 22:00:00, None, 171.0, None, 0.0, None, None, None, 0.0,6
0.0,2021-02-07 23:00:00, None, 178.0, None, 0.0, None, None, None, 0.0,6
0.0,2021-02-08 00:00:00, None, 182.0, None, 0.0, None, None, None, 0.0,6
0.0,2021-02-08 01:00:00, None, 182.0, None, 0.0, None, None, None, 0.0,6
0.0,2021-02-08 02:00:00, None, 182.0, None, 0.0, None, None, None, 0.0,6
0.0,2021-02-08 03:00:00, None, 183.0, None, 0.0, None, None, None, 0.0,6
0.0,2021-02-08 04:00:00, None, 191.0, None, 0.0, None, None, None, 0.0,6
0.0,2021-02-08 05:00:00, None, 191.0, None, 0.0, None, None, None, 0.0,6
0.0,2021-02-08 06:00:00, None, 191.0, None, 0.0, None, None, None, 0.0,6
0.0,2021-02-08 07:00:00, None, 191.0, None, 0.0, None, None, None, 0.0,6
0.0,2021-02-08 08:00:00, None, 191.0, None, 0.0, None, None, None, 0.0,6
0.0,2021-02-08 09:00:00, None, 191.0, None, 0.0, None, None, None, 0.0,6
0.0,2021-02-08 10:00:00, None, 191.0, None, 0.0, None, None, None, 0.0,6
0.0,2021-02-08 11:00:00, None, 190.0, None, 0.0, None, None, None, 0.0,6
0.0,2021-02-08 12:00:00, None, 188.0, None, 0.0, None, None, None, 0.0,6
0.0,2021-02-08 13:00:00, None, 177.0, None, 0.0, None, None, None, 0.0,6
None,2021-02-08 14:00:00, 177.0, None, 0.0, None, 0.0, 0.0, 0.0, None,6
