pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,max_air_temp_snc_last_reset,max_wnd_spd_10m_pst1hr,WIND_DIRECTION_STD_DEVIATION1,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,avg_wnd_spd_10m_pst10mts,air_temp,min_air_temp_snc_last_reset,mslp,pcpn_amt_pst1hr,DEW_POINT,ATMOSPHERIC_PRESSURE,avg_wnd_dir_10m_pst10mts,snwfl_amt_pst1hr,rel_hum,time,snw_dpth,stn_pres,week_of_year
0.0, -29.18, 76.23, -20.2, 1.6, 75.7, 0.046, 227.7, -32.0, 0.0, -29.2, -29.4, 1040.1, 0.0, -32.0, 946.0, 228.0, 0.0, 76.0,2021-02-12 00:00:00, -6999.0, 946.0,7
0.0, -30.06, 75.07, -20.2, 2.6, 41.69, 0.31, 192.5, -33.0, 0.3, -30.1, -30.2, 1040.1, 0.0, -33.0, 946.0, 193.0, 0.0, 75.0,2021-02-12 01:00:00, -6999.0, 946.0,7
0.0, -30.37, 75.38, -20.2, 3.0, 46.86, 0.223, 184.5, -33.0, 0.2, -30.4, -30.6, 1038.8, 0.0, -33.0, 945.0, 185.0, 0.0, 75.0,2021-02-12 02:00:00, -6999.0, 945.0,7
0.0, -30.71, 75.45, -20.2, 4.1, 53.98, 0.416, 162.0, -33.0, 0.4, -30.7, -31.1, 1038.8, 0.0, -33.0, 945.0, 162.0, 0.0, 75.0,2021-02-12 03:00:00, -6999.0, 945.0,7
0.0, -31.39, 73.65, -20.2, 3.4, 50.8, 0.208, 165.0, -34.0, 0.2, -31.4, -31.9, 1037.8, 0.0, -34.0, 944.0, 165.0, 0.0, 74.0,2021-02-12 04:00:00, -6999.0, 944.0,7
0.0, -31.45, 73.73, -20.2, 2.4, 28.36, 0.355, 163.4, -34.0, 0.4, -31.5, -31.9, 1037.9, 0.0, -34.0, 944.0, 163.0, 0.0, 74.0,2021-02-12 05:00:00, -6999.0, 944.0,7
0.0, -31.89, 73.59, -20.2, 4.9, 63.98, 0.347, 26.15, -35.0, 0.3, -31.9, -31.9, 1038.2, 0.0, -35.0, 944.0, 26.0, 0.0, 74.0,2021-02-12 06:00:00, -6999.0, 944.0,7
0.0, -31.56, 73.59, -30.5, 3.0, 77.56, 0.315, 302.5, -34.0, 0.3, -31.6, -32.2, 1037.5, 0.0, -34.0, 943.0, 303.0, 0.0, 74.0,2021-02-12 07:00:00, -6999.0, 943.0,7
0.0, -31.98, 73.84, -30.5, 4.2, 74.39, 0.537, 146.2, -35.0, 0.5, -32.0, -32.3, 1037.8, 0.0, -35.0, 943.0, 146.0, 0.0, 74.0,2021-02-12 08:00:00, -6999.0, 943.0,7
0.0, -28.47, 73.51, -28.4, 2.9, 58.54, 0.461, 144.3, -31.0, 0.5, -28.5, -32.3, 1037.5, 0.0, -31.0, 943.0, 144.0, 0.0, 74.0,2021-02-12 09:00:00, -6999.0, 943.0,7
