pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,max_air_temp_snc_last_reset,rel_hum,dwpt_temp,air_temp,min_air_temp_snc_last_reset,DEW_POINT,pcpn_amt_pst1hr,snwfl_amt_pst1hr,time,snw_dpth,week_of_year
0.0, -4.996, 58.58, -4.7, 59.0, -11.0, -5.0, -7.0, -11.0, 0.1, 0.0,2021-02-19 00:00:00, -6999.0,8
0.0, -4.99, 59.96, -4.7, 60.0, -11.0, -5.0, -7.0, -11.0, 0.0, 0.0,2021-02-19 01:00:00, -6999.0,8
0.0, -5.097, 61.48, -4.7, 61.0, -11.0, -5.1, -7.0, -11.0, 0.1, 0.0,2021-02-19 02:00:00, -6999.0,8
0.0, -5.576, 65.45, -4.7, 65.0, -10.0, -5.6, -7.0, -10.0, 0.0, 0.0,2021-02-19 03:00:00, -6999.0,8
0.0, -6.418, 67.38, -4.7, 67.0, -11.0, -6.4, -7.0, -11.0, 0.0, 0.0,2021-02-19 04:00:00, -6999.0,8
0.0, -7.326, 71.29, -4.7, 71.0, -11.0, -7.3, -7.5, -11.0, 0.0, 0.0,2021-02-19 05:00:00, -6999.0,8
0.0, -4.829, 61.44, -4.7, 61.0, -10.0, -4.8, -7.8, -10.0, 0.0, 0.0,2021-02-19 06:00:00, -6999.0,8
0.0, -5.666, 67.12, -4.7, 67.0, -10.0, -5.7, -6.0, -10.0, 0.0, 0.0,2021-02-19 07:00:00, -6999.0,8
0.0, -4.646, 67.4, -4.7, 67.0, -9.0, -4.6, -7.2, -9.0, 0.0, 0.0,2021-02-19 08:00:00, -6999.0,8
0.0, -3.774, 62.18, -3.8, 62.0, -9.0, -3.8, -7.2, -9.0, 0.0, 0.0,2021-02-19 09:00:00, -6999.0,8
0.0, -3.191, 60.6, -3.2, 61.0, -9.0, -3.2, -7.2, -9.0, 0.0, 0.0,2021-02-19 10:00:00, -6999.0,8
0.0, -1.574, 54.97, -1.7, 55.0, -9.0, -1.6, -7.2, -9.0, 0.0, 0.0,2021-02-19 11:00:00, -6999.0,8
0.0, -0.809, 49.38, -0.5, 49.0, -9.0, -0.8, -7.2, -9.0, 0.0, 0.0,2021-02-19 12:00:00, -6999.0,8
0.0, -0.643, 48.97, -0.5, 49.0, -9.0, -0.6, -7.2, -9.0, 0.0, 0.0,2021-02-19 13:00:00, -6999.0,8
0.0, -0.078, 47.15, -0.1, 47.0, -9.0, -0.1, -7.2, -9.0, 0.0, 0.0,2021-02-19 14:00:00, -6999.0,8
0.0, -0.595, 49.4, 0.4, 49.0, -9.0, -0.6, -7.2, -9.0, 0.0, 0.0,2021-02-19 15:00:00, -6999.0,8
0.0, -0.214, 47.51, 0.4, 48.0, -9.0, -0.2, -7.2, -9.0, 0.0, 0.0,2021-02-19 16:00:00, -6999.0,8
0.0, -0.543, 47.55, 0.4, 48.0, -9.0, -0.5, -7.2, -9.0, 0.0, 0.0,2021-02-19 17:00:00, -6999.0,8
0.0, -0.921, 47.82, 0.4, 48.0, -10.0, -0.9, -7.2, -10.0, 0.0, 0.0,2021-02-19 18:00:00, -6999.0,8
0.0, -1.782, 53.01, -0.8, 53.0, -9.0, -1.8, -1.8, -9.0, 0.0, 0.0,2021-02-19 19:00:00, -6999.0,8
0.0, -2.042, 54.81, -0.8, 55.0, -9.0, -2.0, -2.1, -9.0, 0.0, 0.0,2021-02-19 20:00:00, -6999.0,8
0.0, -2.433, 58.23, -0.8, 58.0, -9.0, -2.4, -2.5, -9.0, 0.0, 0.0,2021-02-19 21:00:00, -6999.0,8
0.0, -4.538, 64.8, -0.8, 65.0, -9.0, -4.5, -4.5, -9.0, 0.0, 0.0,2021-02-19 22:00:00, -6999.0,8
0.0, -5.985, 68.51, -0.8, 69.0, -10.0, -6.0, -6.2, -10.0, 0.0, 0.0,2021-02-19 23:00:00, -6999.0,8
0.0, -8.55, 72.33, -0.8, 72.0, -12.0, -8.6, -8.6, -12.0, 0.0, 0.0,2021-02-20 00:00:00, -6999.0,8
0.0, -9.6, 75.59, -0.8, 76.0, -13.0, -9.6, -9.9, -13.0, 0.0, 0.0,2021-02-20 01:00:00, -6999.0,8
0.0, -10.96, 78.51, -0.8, 79.0, -14.0, -11.0, -10.9, -14.0, 0.0, 0.0,2021-02-20 02:00:00, -6999.0,8
0.0, -12.02, 81.1, -0.8, 81.0, -14.0, -12.0, -12.3, -14.0, 0.0, 0.0,2021-02-20 03:00:00, -6999.0,8
0.0, -9.33, 80.6, -0.8, 81.0, -12.0, -9.3, -12.5, -12.0, 0.0, 0.0,2021-02-20 04:00:00, -6999.0,8
0.0, -8.82, 78.5, -0.8, 79.0, -11.0, -8.8, -12.5, -11.0, 0.0, 0.0,2021-02-20 05:00:00, -6999.0,8
0.0, -3.807, 68.26, -0.8, 68.0, -8.0, -3.8, -12.5, -8.0, 0.0, 0.0,2021-02-20 06:00:00, -6999.0,8
0.0, -4.574, 66.13, -3.8, 66.0, -9.0, -4.6, -5.4, -9.0, 0.0, 0.0,2021-02-20 07:00:00, -6999.0,8
0.0, -3.479, 60.78, -3.5, 61.0, -9.0, -3.5, -5.4, -9.0, 0.0, 0.0,2021-02-20 08:00:00, -6999.0,8
0.0, -2.163, 54.65, -1.8, 55.0, -9.0, -2.2, -5.4, -9.0, 0.0, 0.0,2021-02-20 09:00:00, -6999.0,8
0.0, -1.491, 51.44, -1.4, 51.0, -9.0, -1.5, -5.4, -9.0, 0.0, 0.0,2021-02-20 10:00:00, -6999.0,8
0.0, -1.225, 50.0, -1.0, 50.0, -9.0, -1.2, -5.4, -9.0, 0.0, 0.0,2021-02-20 11:00:00, -6999.0,8
0.0, -0.83, 41.57, -0.2, 42.0, -11.0, -0.8, -5.4, -11.0, 0.0, 0.0,2021-02-20 12:00:00, -6999.0,8
0.0, -0.57, 42.23, -0.2, 42.0, -11.0, -0.6, -5.4, -11.0, 0.0, 0.0,2021-02-20 13:00:00, -6999.0,8
0.0, 0.484, 34.99, 0.5, 35.0, -13.0, 0.5, -5.4, -13.0, 0.0, 0.0,2021-02-20 14:00:00, -6999.0,8
0.0, -0.254, 45.05, 0.7, 45.0, -10.0, -0.3, -5.4, -10.0, 0.0, 0.0,2021-02-20 15:00:00, -6999.0,8
0.0, -0.392, 45.91, 0.7, 46.0, -9.0, -0.4, -5.4, -9.0, 0.0, 0.0,2021-02-20 16:00:00, -6999.0,8
0.0, -0.74, 39.24, 0.7, 39.0, -12.0, -0.7, -5.4, -12.0, 0.0, 0.0,2021-02-20 17:00:00, -6999.0,8
0.0, -1.124, 46.18, 0.7, 46.0, -10.0, -1.1, -5.4, -10.0, 0.0, 0.0,2021-02-20 18:00:00, -6999.0,8
0.0, -1.496, 48.76, -1.0, 49.0, -10.0, -1.5, -1.5, -10.0, 0.0, 0.0,2021-02-20 19:00:00, -6999.0,8
0.0, -1.646, 50.9, -1.0, 51.0, -10.0, -1.6, -1.7, -10.0, 0.0, 0.0,2021-02-20 20:00:00, -6999.0,8
