station_observations
wind_speed, temperature, wind_direction, relative_humidity, time, precipitation
24.1, 0.3, 130.0, 79.0, 2022-01-01 00:00:00, 0.0
20.5, 1.1, 140.0, 83.0, 2022-01-01 01:00:00, 0.0
29.5, 2.5, 150.0, 74.0, 2022-01-01 02:00:00, 0.0
27.7, 2.8, 160.0, 75.0, 2022-01-01 03:00:00, 0.2
37.1, 3.1, 170.0, 74.0, 2022-01-01 04:00:00, 0.0
38.9, 3.5, 170.0, 74.0, 2022-01-01 05:00:00, 2.5
29.5, 3.8, 170.0, 73.0, 2022-01-01 06:00:00, 5.0
38.9, 4.0, 170.0, 71.0, 2022-01-01 07:00:00, 6.0
37.1, 4.5, 170.0, 68.0, 2022-01-01 08:00:00, 6.0
35.3, 5.2, 160.0, 68.0, 2022-01-01 09:00:00, 2.8
42.5, 5.0, 170.0, 68.0, 2022-01-01 10:00:00, 0.8
31.7, 4.4, 170.0, 73.0, 2022-01-01 11:00:00, 0.8
42.5, 2.8, 170.0, 90.0, 2022-01-01 12:00:00, 5.6
25.9, 2.6, 170.0, 93.0, 2022-01-01 13:00:00, 4.2
31.7, 2.4, 160.0, 94.0, 2022-01-01 14:00:00, 4.0
27.7, 2.3, 170.0, 94.0, 2022-01-01 15:00:00, 3.0
25.9, 2.5, 170.0, 94.0, 2022-01-01 16:00:00, 3.0
14.8, 2.6, 170.0, 96.0, 2022-01-01 17:00:00, 2.8
16.6, 3.0, 190.0, 95.0, 2022-01-01 18:00:00, 2.2
24.1, 2.2, 190.0, 94.0, 2022-01-01 19:00:00, 5.0
20.5, 1.9, 180.0, 97.0, 2022-01-01 20:00:00, 2.5
13.0, 2.5, 180.0, 97.0, 2022-01-01 21:00:00, 0.2
11.2, 2.7, 180.0, 96.0, 2022-01-01 22:00:00, 0.0
7.6, 2.8, 190.0, 93.0, 2022-01-01 23:00:00, 1.2
7.6, 2.9, 170.0, 94.0, 2022-01-02 00:00:00, 0.5
18.4, 3.2, 190.0, 92.0, 2022-01-02 01:00:00, 1.8
14.8, 3.3, 170.0, 94.0, 2022-01-02 02:00:00, 0.5
25.9, 3.1, 170.0, 93.0, 2022-01-02 03:00:00, 1.5
14.8, 3.2, 170.0, 93.0, 2022-01-02 04:00:00, 0.5
20.5, 3.2, 160.0, 91.0, 2022-01-02 05:00:00, 0.5
24.1, 3.5, 150.0, 88.0, 2022-01-02 06:00:00, 0.8
16.6, 3.7, 170.0, 85.0, 2022-01-02 07:00:00, 0.5
22.3, 4.3, 160.0, 76.0, 2022-01-02 08:00:00, 0.2
13.0, 3.6, 140.0, 81.0, 2022-01-02 09:00:00, 0.0
11.2, 3.8, 120.0, 84.0, 2022-01-02 10:00:00, 0.0
11.2, 4.5, 120.0, 75.0, 2022-01-02 11:00:00, 0.0
13.0, 5.3, 130.0, 67.0, 2022-01-02 12:00:00, 0.0
11.2, 5.3, 120.0, 66.0, 2022-01-02 13:00:00, 0.0
11.2, 4.5, 140.0, 70.0, 2022-01-02 14:00:00, 0.0
11.2, 4.3, 150.0, 73.0, 2022-01-02 15:00:00, 0.0
3.6, 3.1, 105.0, 86.0, 2022-01-02 16:00:00, 0.2
9.4, 2.6, 120.0, 90.0, 2022-01-02 17:00:00, 0.0
9.4, 2.5, 150.0, 92.0, 2022-01-02 18:00:00, 0.0
14.8, 3.0, 140.0, 85.0, 2022-01-02 19:00:00, 0.0
7.6, 2.7, 130.0, 88.0, 2022-01-02 20:00:00, 0.0
14.8, 1.8, 160.0, 94.0, 2022-01-02 21:00:00, 2.0
9.4, 0.3, 170.0, 97.0, 2022-01-02 22:00:00, 2.0
9.4, 0.2, 150.0, 98.0, 2022-01-02 23:00:00, 0.5
7.6, 0.2, 130.0, 99.0, 2022-01-03 00:00:00, 0.2
11.2, 0.4, 120.0, 99.0, 2022-01-03 01:00:00, 0.2
5.4, 0.6, 140.0, 98.0, 2022-01-03 02:00:00, 0.2
5.4, 0.6, 160.0, 99.0, 2022-01-03 03:00:00, 0.2
5.4, 0.3, 301.0, 99.0, 2022-01-03 04:00:00, 0.0
0.0, 0.0, 0.0, 99.0, 2022-01-03 05:00:00, 0.5
7.6, 0.4, 130.0, 99.0, 2022-01-03 06:00:00, 0.0
7.6, 0.3, 130.0, 95.0, 2022-01-03 07:00:00, 0.0
7.6, -0.2, 140.0, 87.0, 2022-01-03 08:00:00, 0.0
14.8, -0.4, 100.0, 73.0, 2022-01-03 09:00:00, 0.0
13.0, -1.3, 120.0, 72.0, 2022-01-03 10:00:00, 0.0
9.4, -1.7, 80.0, 71.0, 2022-01-03 11:00:00, 0.0
9.4, -1.5, 90.0, 64.0, 2022-01-03 12:00:00, 0.0
7.6, -2.7, 80.0, 64.0, 2022-01-03 13:00:00, 0.0
13.0, -3.2, 100.0, 64.0, 2022-01-03 14:00:00, 0.0
14.8, -4.2, 110.0, 64.0, 2022-01-03 15:00:00, 0.0
14.8, -5.5, 110.0, 79.0, 2022-01-03 16:00:00, 0.0
9.4, -5.5, 100.0, 77.0, 2022-01-03 17:00:00, 0.0
13.0, -5.5, 110.0, 76.0, 2022-01-03 18:00:00, 0.0
9.4, -5.1, 110.0, 74.0, 2022-01-03 19:00:00, 0.0
13.0, -5.3, 100.0, 69.0, 2022-01-03 20:00:00, 0.0
7.6, -5.9, 110.0, 70.0, 2022-01-03 21:00:00, 0.0
5.4, -6.2, 100.0, 67.0, 2022-01-03 22:00:00, 0.0
5.4, -6.4, 60.0, 65.0, 2022-01-03 23:00:00, 0.0
11.2, -6.3, 60.0, 62.0, 2022-01-04 00:00:00, 0.0
11.2, -6.2, 90.0, 59.0, 2022-01-04 01:00:00, 0.0
7.6, -6.2, 60.0, 59.0, 2022-01-04 02:00:00, 0.0
16.6, -5.5, 70.0, 59.0, 2022-01-04 03:00:00, 0.0
16.6, -5.7, 60.0, 64.0, 2022-01-04 04:00:00, 0.0
5.4, -6.1, 90.0, 66.0, 2022-01-04 05:00:00, 0.0
7.6, -5.7, 90.0, 63.0, 2022-01-04 06:00:00, 0.0
16.6, -6.1, 130.0, 65.0, 2022-01-04 07:00:00, 0.0
13.0, -6.2, 140.0, 69.0, 2022-01-04 08:00:00, 0.0
16.6, -6.2, 130.0, 68.0, 2022-01-04 09:00:00, 0.0
11.2, -6.0, 130.0, 74.0, 2022-01-04 10:00:00, 0.0
16.6, -5.4, 130.0, 67.0, 2022-01-04 11:00:00, 0.0
13.0, -5.6, 120.0, 67.0, 2022-01-04 12:00:00, 0.0
13.0, -5.0, 130.0, 61.0, 2022-01-04 13:00:00, 0.0
13.0, -5.6, 110.0, 62.0, 2022-01-04 14:00:00, 0.0
13.0, -6.0, 120.0, 65.0, 2022-01-04 15:00:00, 0.0
11.2, -6.5, 130.0, 68.0, 2022-01-04 16:00:00, 0.0
11.2, -6.7, 130.0, 69.0, 2022-01-04 17:00:00, 0.0
11.2, -6.8, 130.0, 68.0, 2022-01-04 18:00:00, 0.0
9.4, -7.0, 120.0, 71.0, 2022-01-04 19:00:00, 0.0
11.2, -7.0, 120.0, 70.0, 2022-01-04 20:00:00, 0.0
9.4, -7.1, 120.0, 71.0, 2022-01-04 21:00:00, 0.0
9.4, -7.0, 120.0, 69.0, 2022-01-04 22:00:00, 0.0
11.2, -7.2, 120.0, 68.0, 2022-01-04 23:00:00, 0.0
9.4, -7.2, 120.0, 68.0, 2022-01-05 00:00:00, 0.0
11.2, -7.3, 110.0, 68.0, 2022-01-05 01:00:00, 0.0
9.4, -7.4, 120.0, 68.0, 2022-01-05 02:00:00, 0.0
