TempC,time,RH,week_of_year
-4.834,2022-03-05 00:00:00,98.3,10
-4.621,2022-03-05 01:00:00,98.3,10
-3.508,2022-03-05 02:00:00,98.7,10
-4.56,2022-03-05 03:00:00,98.3,10
-4.773,2022-03-05 04:00:00,98.2,10
-5.511,2022-03-05 05:00:00,97.9,10
-6.452,2022-03-05 06:00:00,97.5,10
-5.698,2022-03-05 07:00:00,97.6,10
-3.657,2022-03-05 08:00:00,98.0,10
-1.986,2022-03-05 09:00:00,94.0,10
-0.676,2022-03-05 10:00:00,82.0,10
0.495,2022-03-05 11:00:00,74.2,10
1.398,2022-03-05 12:00:00,69.4,10
3.827,2022-03-05 13:00:00,59.8,10
4.636,2022-03-05 14:00:00,57.1,10
4.115,2022-03-05 15:00:00,51.6,10
2.717,2022-03-05 16:00:00,51.9,10
0.55,2022-03-05 17:00:00,57.5,10
-3.508,2022-03-05 18:00:00,78.0,10
-4.834,2022-03-05 19:00:00,88.4,10
-5.542,2022-03-05 20:00:00,91.9,10
-5.295,2022-03-05 21:00:00,92.4,10
-5.698,2022-03-05 22:00:00,92.9,10
-6.515,2022-03-05 23:00:00,93.2,10
-8.331,2022-03-06 00:00:00,94.7,10
-7.219,2022-03-06 01:00:00,96.0,10
-6.898,2022-03-06 02:00:00,95.3,10
-7.155,2022-03-06 03:00:00,94.8,10
-7.543,2022-03-06 04:00:00,94.1,10
-8.597,2022-03-06 05:00:00,94.0,10
-7.284,2022-03-06 06:00:00,94.7,10
-7.122,2022-03-06 07:00:00,93.5,10
-3.687,2022-03-06 08:00:00,89.7,10
-1.699,2022-03-06 09:00:00,78.7,10
-0.423,2022-03-06 10:00:00,71.0,10
1.859,2022-03-06 11:00:00,64.0,10
2.557,2022-03-06 12:00:00,61.0,10
4.141,2022-03-06 13:00:00,58.5,10
5.924,2022-03-06 14:00:00,54.3,10
6.458,2022-03-06 15:00:00,52.3,10
4.662,2022-03-06 16:00:00,55.8,10
2.93,2022-03-06 17:00:00,63.2,10
0.88,2022-03-06 18:00:00,77.5,10
2.77,2022-03-06 19:00:00,80.6,10
4.298,2022-03-06 20:00:00,58.4,10
5.076,2022-03-06 21:00:00,51.6,10
5.847,2022-03-06 22:00:00,55.0,10
6.382,2022-03-06 23:00:00,46.7,10
6.23,2022-03-07 00:00:00,43.1,10
5.693,2022-03-07 01:00:00,42.6,10
4.921,2022-03-07 02:00:00,43.9,10
3.406,2022-03-07 03:00:00,47.5,10
2.262,2022-03-07 04:00:00,54.2,10
1.643,2022-03-07 05:00:00,64.3,10
-0.986,2022-03-07 06:00:00,69.1,10
-1.67,2022-03-07 07:00:00,84.4,10
3.142,2022-03-07 08:00:00,78.2,10
4.037,2022-03-07 09:00:00,63.2,10
4.011,2022-03-07 10:00:00,52.3,10
3.854,2022-03-07 11:00:00,48.8,10
2.983,2022-03-07 12:00:00,45.6,10
3.985,2022-03-07 13:00:00,43.4,10
3.38,2022-03-07 14:00:00,41.3,10
3.301,2022-03-07 15:00:00,42.3,10
