pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,STANDARD_SNOW,time,max_air_temp_snc_last_reset,MINIMUM_AIR_TEMPERATURE,dwpt_temp,air_temp,min_air_temp_snc_last_reset,pcpn_amt_pst1hr,snwfl_amt_pst1hr,rel_hum,MAXIMUM_AIR_TEMPERATURE,PRECIPITATION_NEW,snw_dpth,HEIGHT_OF_SNOW,week_of_year
None, None, -4.971, 87.5, None,2022-03-05 00:00:00, -1.6, None, -6.0, -5.0, -5.5, 0.0, 0.0, 88.0, None, None, 168.0, 168.2,10
None, None, -5.145, 87.8, None,2022-03-05 01:00:00, -1.6, None, -7.0, -5.1, -5.5, 0.0, 0.0, 88.0, None, None, 168.0, 168.2,10
None, None, -5.382, 89.5, None,2022-03-05 02:00:00, -1.6, None, -7.0, -5.4, -5.5, 0.0, 0.0, 90.0, None, None, 168.0, 168.2,10
None, None, -4.88, 90.3, None,2022-03-05 03:00:00, -1.6, None, -6.0, -4.9, -5.5, 0.0, 0.0, 90.0, None, None, 168.0, 168.2,10
None, None, -4.592, 92.0, None,2022-03-05 04:00:00, -1.6, None, -6.0, -4.6, -5.5, 0.0, 0.0, 92.0, None, None, 168.0, 168.2,10
None, None, -4.448, 94.0, None,2022-03-05 05:00:00, -1.6, None, -5.0, -4.4, -5.5, 0.3, 1.0, 94.0, None, None, 169.0, 168.5,10
None, None, -4.341, 94.1, None,2022-03-05 06:00:00, -1.6, None, -5.0, -4.3, -5.5, 0.5, 2.0, 94.0, None, None, 170.0, 169.8,10
None, None, -4.536, 94.1, None,2022-03-05 07:00:00, -4.3, None, -5.0, -4.5, -4.5, 0.4, 0.0, 94.0, None, None, 170.0, 169.5,10
None, None, -4.431, 93.2, None,2022-03-05 08:00:00, -4.3, None, -5.0, -4.4, -4.5, 0.2, 0.0, 93.0, None, None, 170.0, 169.5,10
None, None, -3.949, 92.2, None,2022-03-05 09:00:00, -3.9, None, -5.0, -3.9, -4.5, 0.2, 1.0, 92.0, None, None, 170.0, 170.2,10
None, None, -2.915, 88.4, None,2022-03-05 10:00:00, -3.0, None, -5.0, -2.9, -4.5, 0.1, 0.0, 88.0, None, None, 170.0, 169.8,10
None, None, -2.083, 85.3, None,2022-03-05 11:00:00, -2.0, None, -4.0, -2.1, -4.5, -0.2, 0.0, 85.0, None, None, 170.0, 169.8,10
None, None, -0.651, 80.1, None,2022-03-05 12:00:00, -0.5, None, -3.0, -0.7, -4.5, -0.2, 0.0, 80.0, None, None, 170.0, 169.8,10
None, None, 0.466, 76.88, None,2022-03-05 13:00:00, 0.6, None, -3.0, 0.5, -4.5, -0.1, 0.0, 77.0, None, None, 170.0, 169.7,10
None, None, 0.95, 76.19, None,2022-03-05 14:00:00, 1.1, None, -3.0, 1.0, -4.5, -0.1, 0.0, 76.0, None, None, 170.0, 169.8,10
None, None, 1.829, 72.18, None,2022-03-05 15:00:00, 1.8, None, -3.0, 1.8, -4.5, 0.0, 0.0, 72.0, None, None, 170.0, 169.6,10
None, None, 1.773, 79.13, None,2022-03-05 16:00:00, 2.1, None, -1.0, 1.8, -4.5, 0.1, 0.0, 79.0, None, None, 169.0, 169.3,10
None, None, 1.161, 85.7, None,2022-03-05 17:00:00, 2.1, None, -1.0, 1.2, -4.5, 0.0, 0.0, 86.0, None, None, 169.0, 169.2,10
None, None, -0.203, 92.2, None,2022-03-05 18:00:00, 2.1, None, -1.0, -0.2, -4.5, 0.1, 0.0, 92.0, None, None, 169.0, 169.3,10
None, None, -0.794, 94.7, None,2022-03-05 19:00:00, -0.1, None, -1.0, -0.8, -0.8, 0.1, 0.0, 95.0, None, None, 169.0, 169.2,10
None, None, -1.127, 94.5, None,2022-03-05 20:00:00, -0.1, None, -2.0, -1.1, -1.2, 0.1, 0.0, 95.0, None, None, 169.0, 169.2,10
None, None, -1.533, 95.6, None,2022-03-05 21:00:00, -0.1, None, -2.0, -1.5, -1.6, 0.1, 0.0, 96.0, None, None, 169.0, 169.2,10
None, None, -2.075, 97.3, None,2022-03-05 22:00:00, -0.1, None, -2.0, -2.1, -2.2, 0.0, 0.0, 97.0, None, None, 169.0, 169.2,10
None, None, -2.947, 95.8, None,2022-03-05 23:00:00, -0.1, None, -3.0, -2.9, -3.0, 0.1, 0.0, 96.0, None, None, 169.0, 169.1,10
None, None, -3.115, 95.8, None,2022-03-06 00:00:00, -0.1, None, -4.0, -3.1, -3.4, 0.1, 0.0, 96.0, None, None, 169.0, 169.1,10
None, None, -3.34, 95.7, None,2022-03-06 01:00:00, -0.1, None, -4.0, -3.3, -3.8, 0.0, 0.0, 96.0, None, None, 169.0, 169.1,10
None, None, -2.291, 97.9, None,2022-03-06 02:00:00, -0.1, None, -3.0, -2.3, -3.8, 0.0, 0.0, 98.0, None, None, 169.0, 169.1,10
None, None, -2.167, 97.7, None,2022-03-06 03:00:00, -0.1, None, -2.0, -2.2, -3.8, -0.1, 0.0, 98.0, None, None, 169.0, 169.1,10
None, None, -1.836, 95.3, None,2022-03-06 04:00:00, -0.1, None, -3.0, -1.8, -3.8, 0.0, 0.0, 95.0, None, None, 169.0, 169.1,10
None, None, -2.285, 95.7, None,2022-03-06 06:00:00, -0.1, None, -3.0, -2.3, -3.8, 0.1, 0.0, 96.0, None, None, 169.0, 169.1,10
None, None, -2.37, 96.3, None,2022-03-06 07:00:00, -2.2, None, -3.0, -2.4, -2.5, 0.1, 0.0, 96.0, None, None, 169.0, 168.8,10
None, None, -2.36, 96.4, None,2022-03-06 08:00:00, -2.2, None, -3.0, -2.4, -2.5, 0.1, 0.0, 96.0, None, None, 169.0, 168.5,10
None, None, -1.853, 95.9, None,2022-03-06 09:00:00, -1.8, None, -2.0, -1.9, -2.5, 0.1, 1.0, 96.0, None, None, 169.0, 169.3,10
None, None, -0.321, 93.9, None,2022-03-06 10:00:00, -0.4, None, -1.0, -0.3, -2.5, -0.1, 0.0, 94.0, None, None, 169.0, 169.3,10
None, None, 0.874, 89.3, None,2022-03-06 11:00:00, 0.8, None, -1.0, 0.9, -2.5, 0.0, 0.0, 89.0, None, None, 169.0, 168.9,10
None, None, 1.323, 86.6, None,2022-03-06 12:00:00, 1.3, None, -1.0, 1.3, -2.5, 0.0, 1.0, 87.0, None, None, 170.0, 169.5,10
None, None, 1.925, 85.5, None,2022-03-06 13:00:00, 1.9, None, 0.0, 1.9, -2.5, 0.0, 0.0, 86.0, None, None, 170.0, 169.5,10
None, None, 2.656, 82.8, None,2022-03-06 14:00:00, 2.7, None, 0.0, 2.7, -2.5, 0.0, 0.0, 83.0, None, None, 169.0, 169.1,10
None, None, 2.463, 91.3, None,2022-03-06 15:00:00, 3.1, None, 1.0, 2.5, -2.5, 0.1, 0.0, 91.0, None, None, 169.0, 168.7,10
None, None, 2.737, 89.2, None,2022-03-06 16:00:00, 3.4, None, 1.0, 2.7, -2.5, 0.0, 0.0, 89.0, None, None, 169.0, 168.8,10
None, None, 2.121, 91.4, None,2022-03-06 17:00:00, 3.4, None, 1.0, 2.1, -2.5, 0.0, 0.0, 91.0, None, None, 169.0, 168.7,10
None, None, 1.944, 87.1, None,2022-03-06 18:00:00, 3.4, None, 0.0, 1.9, -2.5, 0.1, 0.0, 87.0, None, None, 169.0, 168.5,10
None, None, 1.05, 90.9, None,2022-03-06 19:00:00, 2.7, None, 0.0, 1.1, 1.2, 0.2, 0.0, 91.0, None, None, 169.0, 168.5,10
None, None, 2.216, 79.93, None,2022-03-06 20:00:00, 3.0, None, -1.0, 2.2, 1.0, 0.0, 0.0, 80.0, None, None, 169.0, 168.5,10
None, None, 1.773, 83.7, None,2022-03-06 21:00:00, 3.2, None, -1.0, 1.8, 1.0, 0.0, 0.0, 84.0, None, None, 168.0, 168.4,10
None, None, 1.24, 82.6, None,2022-03-06 22:00:00, 3.2, None, -1.0, 1.2, 1.0, 0.0, 0.0, 83.0, None, None, 169.0, 168.5,10
None, None, 0.136, 87.5, None,2022-03-06 23:00:00, 3.2, None, -2.0, 0.1, 0.2, 0.1, 0.0, 88.0, None, None, 169.0, 168.5,10
None, None, 0.124, 80.4, None,2022-03-07 00:00:00, 3.2, None, -3.0, 0.1, -0.3, 0.1, 0.0, 80.0, None, None, 168.0, 168.4,10
None, None, -0.66, 88.4, None,2022-03-07 01:00:00, 3.2, None, -2.0, -0.7, -0.7, 0.1, 0.0, 88.0, None, None, 168.0, 168.3,10
None, None, -1.996, 93.3, None,2022-03-07 02:00:00, 3.2, None, -3.0, -2.0, -2.0, 0.1, 0.0, 93.0, None, None, 168.0, 168.2,10
None, None, -1.716, 92.9, None,2022-03-07 03:00:00, 3.2, None, -2.0, -1.7, -2.0, 0.1, 0.0, 93.0, None, None, 168.0, 168.0,10
None, None, -1.661, 93.8, None,2022-03-07 04:00:00, 3.2, None, -2.0, -1.7, -2.0, 0.0, 0.0, 94.0, None, None, 168.0, 168.1,10
None, None, -1.305, 89.0, None,2022-03-07 05:00:00, 3.2, None, -3.0, -1.3, -2.0, 0.1, 0.0, 89.0, None, None, 168.0, 168.1,10
None, None, -1.105, 86.4, None,2022-03-07 06:00:00, 3.2, None, -3.0, -1.1, -2.0, 0.0, 0.0, 86.0, None, None, 168.0, 168.1,10
None, None, -1.424, 85.0, None,2022-03-07 07:00:00, -0.9, None, -3.0, -1.4, -1.5, 0.0, 0.0, 85.0, None, None, 168.0, 168.1,10
None, None, -2.694, 89.0, None,2022-03-07 08:00:00, -0.9, None, -4.0, -2.7, -2.8, 0.0, 0.0, 89.0, None, None, 168.0, 168.0,10
None, None, -0.345, 70.01, None,2022-03-07 09:00:00, -0.2, None, -4.0, -0.3, -2.8, -0.2, 0.0, 70.0, None, None, 168.0, 168.1,10
None, None, -0.073, 62.88, None,2022-03-07 10:00:00, 0.0, None, -6.0, -0.1, -2.8, -0.3, 0.0, 63.0, None, None, 168.0, 168.1,10
None, None, 1.311, 53.31, None,2022-03-07 11:00:00, 1.7, None, -7.0, 1.3, -2.8, -0.5, 0.0, 53.0, None, None, 168.0, 168.0,10
None, None, 2.21, 45.82, None,2022-03-07 12:00:00, 2.6, None, -8.0, 2.2, -2.8, -0.4, 0.0, 46.0, None, None, 168.0, 168.0,10
None, None, 2.247, 50.4, None,2022-03-07 13:00:00, 2.6, None, -8.0, 2.2, -2.8, 0.1, 0.0, 50.0, None, None, 168.0, 167.9,10
None, None, 1.889, 50.57, None,2022-03-07 14:00:00, 2.6, None, -7.0, 1.9, -2.8, 0.2, 0.0, 51.0, None, None, 168.0, 167.9,10
None, None, -0.32, 64.73, None,2022-03-07 15:00:00, 2.6, None, -5.0, -0.3, -2.8, 0.2, 0.0, 65.0, None, None, 168.0, 168.0,10
None, None, -0.885, 64.11, None,2022-03-07 16:00:00, 2.6, None, -6.0, -0.9, -2.8, 0.2, 0.0, 64.0, None, None, 168.0, 168.0,10
None, None, -1.348, 61.76, None,2022-03-07 17:00:00, 2.6, None, -7.0, -1.3, -2.8, 0.1, 0.0, 62.0, None, None, 168.0, 168.0,10
None, None, -2.407, 64.76, None,2022-03-07 18:00:00, 2.6, None, -7.0, -2.4, -2.8, 0.1, 0.0, 65.0, None, None, 168.0, 167.9,10
None, None, -3.614, 66.98, None,2022-03-07 19:00:00, -2.3, None, -8.0, -3.6, -3.7, 0.1, 0.0, 67.0, None, None, 168.0, 167.9,10
None, None, -4.689, 68.07, None,2022-03-07 20:00:00, -2.3, None, -9.0, -4.7, -4.6, 0.1, 0.0, 68.0, None, None, 168.0, 167.7,10
None, None, -5.863, 71.32, None,2022-03-07 21:00:00, -2.3, None, -10.0, -5.9, -6.0, 0.1, 0.0, 71.0, None, None, 168.0, 167.9,10
None, None, -7.115, 75.5, None,2022-03-07 22:00:00, -2.3, None, -10.0, -7.1, -7.1, 0.1, 0.0, 76.0, None, None, 167.0, 167.4,10
None, None, -8.03, 79.96, None,2022-03-07 23:00:00, -2.3, None, -10.0, -8.0, -8.0, 0.0, 0.0, 80.0, None, None, 168.0, 167.5,10
None, None, -8.59, 81.8, None,2022-03-08 00:00:00, -2.3, None, -11.0, -8.6, -8.8, 0.1, 0.0, 82.0, None, None, 168.0, 167.5,10
None, None, -9.78, 84.0, None,2022-03-08 01:00:00, -2.3, None, -12.0, -9.8, -9.7, 0.0, 0.0, 84.0, None, None, 167.0, 167.4,10
None, None, -10.72, 86.6, None,2022-03-08 02:00:00, -2.3, None, -12.0, -10.7, -10.9, 0.1, 0.0, 87.0, None, None, 167.0, 167.4,10
None, None, -11.56, 85.6, None,2022-03-08 03:00:00, -2.3, None, -13.0, -11.6, -11.7, 0.0, 0.0, 86.0, None, None, 167.0, 167.4,10
None, None, -12.15, 86.7, None,2022-03-08 04:00:00, -2.3, None, -14.0, -12.2, -12.4, 0.1, 0.0, 87.0, None, None, 167.0, 167.3,10
None, None, -12.5, 90.3, None,2022-03-08 05:00:00, -2.3, None, -13.0, -12.5, -12.8, 0.1, 0.0, 90.0, None, None, 167.0, 167.3,10
None, None, -12.79, 87.0, None,2022-03-08 06:00:00, -2.3, None, -14.0, -12.8, -13.3, 0.0, 0.0, 87.0, None, None, 167.0, 167.2,10
None, None, -12.81, 86.5, None,2022-03-08 07:00:00, -12.2, None, -14.0, -12.8, -13.1, 0.0, 0.0, 87.0, None, None, 167.0, 167.3,10
None, None, -11.54, 81.6, None,2022-03-08 08:00:00, -11.1, None, -14.0, -11.5, -13.1, 0.0, 0.0, 82.0, None, None, 167.0, 167.2,10
None, None, -7.298, 65.72, None,2022-03-08 09:00:00, -7.3, None, -12.0, -7.3, -13.1, -0.1, 1.0, 66.0, None, None, 168.0, 167.5,10
None, None, -5.827, 59.15, None,2022-03-08 10:00:00, -5.7, None, -12.0, -5.8, -13.1, -0.6, 0.0, 59.0, None, None, 168.0, 167.5,10
None, None, -3.925, 53.59, None,2022-03-08 11:00:00, -3.8, None, -11.0, -3.9, -13.1, -0.6, 0.0, 54.0, None, None, 168.0, 167.5,10
None, None, -2.256, 48.55, None,2022-03-08 12:00:00, -2.2, None, -11.0, -2.3, -13.1, -0.3, 0.0, 49.0, None, None, 167.0, 167.4,10
None, None, -0.963, 43.28, None,2022-03-08 13:00:00, -0.9, None, -11.0, -1.0, -13.1, -0.2, 0.0, 43.0, None, None, 167.0, 167.4,10
None, None, -1.224, 49.28, None,2022-03-08 14:00:00, -0.5, None, -10.0, -1.2, -13.1, 0.0, 0.0, 49.0, None, None, 167.0, 167.3,10
None, None, -2.887, 57.35, None,2022-03-08 15:00:00, -0.5, None, -10.0, -2.9, -13.1, 0.3, 0.0, 57.0, None, None, 167.0, 167.4,10
None, None, -3.574, 62.31, None,2022-03-08 16:00:00, -0.5, None, -9.0, -3.6, -13.1, 0.4, 0.0, 62.0, None, None, 167.0, 167.4,10
None, None, -4.194, 62.48, None,2022-03-08 17:00:00, -0.5, None, -10.0, -4.2, -13.1, 0.3, 0.0, 62.0, None, None, 167.0, 167.4,10
None, None, -5.299, 62.36, None,2022-03-08 18:00:00, -0.5, None, -10.0, -5.3, -13.1, 0.2, 0.0, 62.0, None, None, 167.0, 167.2,10
None, None, -6.339, 59.37, None,2022-03-08 19:00:00, -5.2, None, -12.0, -6.3, -6.5, 0.1, 0.0, 59.0, None, None, 167.0, 167.3,10
None, None, -7.406, 61.73, None,2022-03-08 20:00:00, -5.2, None, -13.0, -7.4, -7.7, 0.1, 0.0, 62.0, None, None, 167.0, 167.3,10
None, None, -9.26, 71.83, None,2022-03-08 21:00:00, -5.2, None, -13.0, -9.3, -9.3, 0.1, 0.0, 72.0, None, None, 167.0, 167.2,10
None, None, -10.45, 77.09, None,2022-03-08 22:00:00, -5.2, None, -13.0, -10.5, -10.6, 0.1, 0.0, 77.0, None, None, 167.0, 167.0,10
None, None, -11.83, 81.3, None,2022-03-08 23:00:00, -5.2, None, -14.0, -11.8, -11.9, 0.1, 0.0, 81.0, None, None, 167.0, 167.0,10
None, None, -13.04, 82.7, None,2022-03-09 00:00:00, -5.2, None, -15.0, -13.0, -13.2, 0.1, 0.0, 83.0, None, None, 167.0, 167.1,10
None, None, -14.07, 84.7, None,2022-03-09 01:00:00, -5.2, None, -16.0, -14.1, -14.1, 0.0, 0.0, 85.0, None, None, 167.0, 166.8,10
None, None, -14.84, 86.2, None,2022-03-09 02:00:00, -5.2, None, -17.0, -14.8, -15.0, 0.0, 0.0, 86.0, None, None, 167.0, 167.0,10
