pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE1,max_air_temp_snc_last_reset,rel_hum,max_wnd_spd_10m_pst1hr,avg_wnd_spd_10m_pst10mts,dwpt_temp,air_temp,min_air_temp_snc_last_reset,pcpn_amt_pst1hr,avg_wnd_dir_10m_pst10mts,snwfl_amt_pst1hr,time,snw_dpth,HEIGHT_OF_SNOW,stn_pres,week_of_year
None, 0.971, 5.0, None, None, None, None, 1.0, 0.1, 0.0, None, 0.0,2022-03-19 00:00:00, 19.0, 19.07, None,12
None, 0.384, 5.0, None, None, None, None, 0.4, 0.0, 0.0, None, 0.0,2022-03-19 01:00:00, 19.0, 18.95, None,12
None, 0.128, 5.0, None, None, None, None, 0.1, -0.6, 0.0, None, 0.0,2022-03-19 02:00:00, 19.0, 18.92, None,12
None, -0.223, 5.0, None, None, None, None, -0.2, -0.7, -0.1, None, 0.0,2022-03-19 03:00:00, 19.0, 18.94, None,12
None, -0.687, 5.0, None, None, None, None, -0.7, -0.8, 0.0, None, 0.0,2022-03-19 04:00:00, 19.0, 18.93, None,12
None, -0.497, 5.0, None, None, None, None, -0.5, -0.9, -0.2, None, 0.0,2022-03-19 05:00:00, 19.0, 18.91, None,12
None, -0.932, 5.0, None, None, None, None, -0.9, -1.3, 0.1, None, 0.0,2022-03-19 06:00:00, 19.0, 18.92, None,12
None, -1.103, -0.6, None, None, None, None, -1.1, -1.2, 0.0, None, 0.0,2022-03-19 07:00:00, 19.0, 18.85, None,12
None, -0.857, -0.6, None, None, None, None, -0.9, -1.3, -0.1, None, 0.0,2022-03-19 08:00:00, 19.0, 18.93, None,12
None, 0.194, 0.2, None, None, None, None, 0.2, -1.3, 0.0, None, 0.0,2022-03-19 09:00:00, 19.0, 18.89, None,12
None, 1.862, 1.9, None, None, None, None, 1.9, -1.3, -0.1, None, 0.0,2022-03-19 10:00:00, 19.0, 18.9, None,12
None, 4.07, 4.1, None, None, None, None, 4.1, -1.3, 0.0, None, 0.0,2022-03-19 11:00:00, 19.0, 19.16, None,12
None, 5.531, 5.6, None, None, None, None, 5.5, -1.3, -0.1, None, 0.0,2022-03-19 12:00:00, 19.0, 19.01, None,12
None, 5.894, 5.9, None, None, None, None, 5.9, -1.3, 0.0, None, -2.0,2022-03-19 13:00:00, 17.0, 17.41, None,12
None, 6.067, 6.3, None, None, None, None, 6.1, -1.3, 0.0, None, 1.0,2022-03-19 14:00:00, 19.0, 18.81, None,12
None, 5.885, 6.7, None, None, None, None, 5.9, -1.3, 0.0, None, 0.0,2022-03-19 15:00:00, 18.0, 18.42, None,12
