pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,max_air_temp_snc_last_reset,rel_hum,WIND_DIRECTION_STD_DEVIATION1,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,air_temp,min_air_temp_snc_last_reset,mslp,pcpn_amt_pst1hr,DEW_POINT,ATMOSPHERIC_PRESSURE,snwfl_amt_pst1hr,time,stn_pres,week_of_year
0.0, 2.999, 56.5, 6.8, 57.0, 48.17, 5.535, 163.3, -5.0, 3.0, 2.7, 1013.0, 0.0, -5.0, 891.0, 0.0,2022-04-02 00:00:00, 891.0,14
0.0, 2.794, 57.32, 6.8, 57.0, 61.15, 4.414, 112.7, -4.0, 2.8, 2.1, 1012.8, 0.0, -4.0, 891.0, 0.0,2022-04-02 01:00:00, 891.0,14
0.0, 2.845, 56.64, 6.8, 57.0, 36.94, 5.412, 262.2, -5.0, 2.8, 1.9, 1012.4, 0.0, -5.0, 891.0, 0.0,2022-04-02 02:00:00, 891.0,14
0.0, 2.676, 59.24, 6.8, 59.0, 25.7, 7.978, 211.4, -4.0, 2.7, 1.9, 1012.3, 0.0, -4.0, 891.0, 0.0,2022-04-02 03:00:00, 891.0,14
0.0, 1.98, 63.15, 6.8, 63.0, 27.2, 7.948, 201.0, -4.0, 2.0, 1.9, 1012.4, 0.0, -4.0, 891.0, 0.0,2022-04-02 04:00:00, 891.0,14
0.0, 1.654, 65.06, 6.8, 65.0, 21.95, 6.831, 223.5, -4.0, 1.7, 1.6, 1012.4, 0.0, -4.0, 891.0, 0.0,2022-04-02 05:00:00, 891.0,14
0.0, 1.632, 66.89, 6.8, 67.0, 14.71, 10.11, 257.9, -4.0, 1.6, 1.2, 1013.5, 0.0, -4.0, 892.0, 0.0,2022-04-02 06:00:00, 892.0,14
0.0, 0.576, 67.9, 1.6, 68.0, 40.35, 4.716, 302.2, -5.0, 0.6, 0.5, 1013.8, 0.0, -5.0, 892.0, 0.0,2022-04-02 07:00:00, 892.0,14
0.0, 1.306, 65.29, 1.6, 65.0, 20.19, 3.562, 320.1, -4.0, 1.3, 0.5, 1015.0, 0.0, -4.0, 893.0, 0.0,2022-04-02 08:00:00, 893.0,14
0.3, -0.419, 96.4, 1.6, 96.0, 28.71, 8.0, 342.9, -1.0, -0.4, -0.4, 1016.5, 0.3, -1.0, 894.0, 0.0,2022-04-02 09:00:00, 894.0,14
0.5, 0.455, 100.0, 1.6, 100.0, 55.29, 6.41, 31.92, 0.0, 0.5, -0.6, 1016.4, 0.2, 0.0, 894.0, 0.0,2022-04-02 10:00:00, 894.0,14
0.5, 1.333, 89.2, 1.9, 89.0, 31.31, 4.22, 101.7, 0.0, 1.3, -0.6, 1016.3, 0.0, 0.0, 894.0, 0.0,2022-04-02 11:00:00, 894.0,14
0.5, 3.722, 68.02, 4.2, 68.0, 40.68, 5.007, 85.3, -2.0, 3.7, -0.6, 1016.0, 0.0, -2.0, 894.0, 0.0,2022-04-02 12:00:00, 894.0,14
0.5, 5.192, 55.31, 6.1, 55.0, 48.27, 6.04, 116.5, -3.0, 5.2, -0.6, 1015.8, 0.0, -3.0, 894.0, 0.0,2022-04-02 13:00:00, 894.0,14
0.5, 7.383, 34.03, 7.8, 34.0, 55.34, 8.98, 137.1, -7.0, 7.4, -0.6, 1015.5, 0.0, -7.0, 894.0, 0.0,2022-04-02 14:00:00, 894.0,14
0.5, 7.96, 29.65, 8.2, 30.0, 25.64, 17.78, 226.2, -9.0, 8.0, -0.6, 1015.5, 0.0, -9.0, 894.0, 0.0,2022-04-02 15:00:00, 894.0,14
0.5, 7.712, 29.44, 8.2, 29.0, 26.06, 19.6, 220.7, -9.0, 7.7, -0.6, 1015.6, 0.0, -9.0, 894.0, 0.0,2022-04-02 16:00:00, 894.0,14
0.5, 6.997, 32.41, 8.2, 32.0, 22.59, 18.69, 224.4, -9.0, 7.0, -0.6, 1015.7, 0.0, -9.0, 894.0, 0.0,2022-04-02 17:00:00, 894.0,14
0.5, 5.995, 35.74, 8.2, 36.0, 20.44, 16.94, 231.5, -8.0, 6.0, -0.6, 1015.9, 0.0, -8.0, 894.0, 0.0,2022-04-02 18:00:00, 894.0,14
0.5, 5.686, 38.39, 6.0, 38.0, 32.15, 8.79, 191.1, -7.0, 5.7, 5.6, 1016.1, 0.0, -7.0, 894.0, 0.0,2022-04-02 19:00:00, 894.0,14
0.5, 4.713, 47.0, 6.0, 47.0, 19.47, 13.62, 180.3, -6.0, 4.7, 4.8, 1016.1, 0.0, -6.0, 894.0, 0.0,2022-04-02 20:00:00, 894.0,14
0.5, 4.047, 50.98, 6.0, 51.0, 17.65, 15.95, 173.2, -5.0, 4.0, 4.0, 1016.5, 0.0, -5.0, 894.0, 0.0,2022-04-02 21:00:00, 894.0,14
0.5, 3.697, 50.3, 6.0, 50.0, 16.38, 17.5, 183.0, -6.0, 3.7, 3.7, 1016.4, 0.0, -6.0, 894.0, 0.0,2022-04-02 22:00:00, 894.0,14
0.5, 2.884, 54.9, 6.0, 55.0, 22.58, 11.37, 161.4, -5.0, 2.9, 2.8, 1016.4, 0.0, -5.0, 894.0, 0.0,2022-04-02 23:00:00, 894.0,14
0.5, 2.535, 59.4, 6.0, 59.0, 26.53, 10.57, 180.3, -5.0, 2.5, 2.4, 1015.0, 0.0, -5.0, 893.0, 0.0,2022-04-03 00:00:00, 893.0,14
0.5, 2.322, 61.3, 6.0, 61.0, 20.13, 18.51, 163.4, -4.0, 2.3, 2.4, 1013.6, 0.0, -4.0, 892.0, 0.0,2022-04-03 01:00:00, 892.0,14
0.5, 2.25, 62.62, 6.0, 63.0, 22.91, 16.88, 160.5, -4.0, 2.3, 2.2, 1013.3, 0.0, -4.0, 892.0, 0.0,2022-04-03 02:00:00, 892.0,14
0.5, 2.181, 63.91, 6.0, 64.0, 24.47, 16.7, 158.3, -4.0, 2.2, 2.2, 1012.1, 0.0, -4.0, 891.0, 0.0,2022-04-03 03:00:00, 891.0,14
0.5, 2.17, 65.66, 6.0, 66.0, 22.77, 16.82, 163.1, -3.0, 2.2, 2.0, 1012.2, 0.0, -3.0, 891.0, 0.0,2022-04-03 04:00:00, 891.0,14
0.5, 1.964, 65.02, 6.0, 65.0, 21.69, 18.68, 171.9, -4.0, 2.0, 2.0, 1011.2, 0.0, -4.0, 890.0, 0.0,2022-04-03 05:00:00, 890.0,14
0.5, 1.812, 64.19, 6.0, 64.0, 21.44, 15.48, 181.4, -4.0, 1.8, 1.8, 1010.2, 0.0, -4.0, 889.0, 0.0,2022-04-03 06:00:00, 889.0,14
0.5, 1.586, 64.99, 1.9, 65.0, 23.95, 16.78, 173.4, -4.0, 1.6, 1.4, 1009.1, 0.0, -4.0, 888.0, 0.0,2022-04-03 07:00:00, 888.0,14
0.5, 1.578, 64.14, 1.9, 64.0, 20.9, 19.57, 162.8, -4.0, 1.6, 1.4, 1008.1, 0.0, -4.0, 887.0, 0.0,2022-04-03 08:00:00, 887.0,14
0.2, 3.513, 55.14, 3.7, 55.0, 19.61, 25.41, 162.3, -5.0, 3.5, 1.4, 1008.0, 0.0, -5.0, 887.0, 0.0,2022-04-03 09:00:00, 887.0,14
0.0, 5.353, 49.37, 5.2, 49.0, 19.21, 29.4, 164.0, -4.0, 5.4, 1.4, 1006.6, 0.0, -4.0, 886.0, 0.0,2022-04-03 10:00:00, 886.0,14
0.0, 5.648, 45.75, 6.1, 46.0, 20.97, 28.32, 158.6, -5.0, 5.6, 1.4, 1004.4, 0.0, -5.0, 884.0, 0.0,2022-04-03 11:00:00, 884.0,14
0.0, 7.108, 43.77, 7.3, 44.0, 21.7, 26.54, 158.7, -5.0, 7.1, 1.4, 1004.3, 0.0, -5.0, 884.0, 0.0,2022-04-03 12:00:00, 884.0,14
0.0, 6.939, 42.79, 7.8, 43.0, 20.15, 30.06, 161.1, -5.0, 6.9, 1.4, 1003.2, 0.0, -5.0, 883.0, 0.0,2022-04-03 13:00:00, 883.0,14
0.0, 7.277, 41.64, 8.5, 42.0, 21.03, 27.04, 163.1, -5.0, 7.3, 1.4, 1002.0, 0.0, -5.0, 882.0, 0.0,2022-04-03 14:00:00, 882.0,14
