AirTemp,ONE_DAY_PRECIPITATION,MIN_TEMP,Snow_WE,time,SNOW_ON_THE_GROUND,MAX_TEMP,week_of_year
1.4, 0.0, -1.7, 254.0,2022-04-23 00:00:00, 70.0, 13.8,17
1.5, None, None, 254.0,2022-04-23 00:15:00, 70.0, None,17
1.5, None, None, 254.0,2022-04-23 00:30:00, 70.0, None,17
1.2, None, None, 254.0,2022-04-23 00:45:00, 70.0, None,17
1.1, None, None, 254.0,2022-04-23 01:00:00, 70.0, None,17
0.8, None, None, 254.0,2022-04-23 01:15:00, 70.0, None,17
0.6, None, None, 254.0,2022-04-23 01:30:00, 70.0, None,17
0.2, None, None, 253.0,2022-04-23 01:45:00, 70.0, None,17
-0.3, None, None, 253.0,2022-04-23 02:00:00, 70.0, None,17
-0.6, None, None, 253.0,2022-04-23 02:15:00, 70.0, None,17
-0.9, None, None, 253.0,2022-04-23 02:30:00, 69.0, None,17
-1.3, None, None, 253.0,2022-04-23 02:45:00, 69.0, None,17
-1.3, None, None, 253.0,2022-04-23 03:00:00, 69.0, None,17
-1.6, None, None, 253.0,2022-04-23 03:15:00, 69.0, None,17
-1.6, None, None, 253.0,2022-04-23 03:30:00, 69.0, None,17
-1.2, None, None, 253.0,2022-04-23 03:45:00, 69.0, None,17
-1.1, None, None, 253.0,2022-04-23 04:00:00, 69.0, None,17
-1.4, None, None, 252.0,2022-04-23 04:15:00, 69.0, None,17
-1.7, None, None, 252.0,2022-04-23 04:30:00, 69.0, None,17
-1.7, None, None, 252.0,2022-04-23 04:45:00, 69.0, None,17
-1.5, None, None, 252.0,2022-04-23 05:00:00, 69.0, None,17
-1.6, None, None, 252.0,2022-04-23 05:15:00, 69.0, None,17
-1.2, None, None, 252.0,2022-04-23 05:30:00, 69.0, None,17
-0.9, None, None, 252.0,2022-04-23 05:45:00, 69.0, None,17
-0.5, None, None, 252.0,2022-04-23 06:00:00, 69.0, None,17
-0.2, None, None, 252.0,2022-04-23 06:15:00, 69.0, None,17
0.3, None, None, 252.0,2022-04-23 06:30:00, 69.0, None,17
0.9, None, None, 252.0,2022-04-23 06:45:00, 69.0, None,17
1.4, None, None, 252.0,2022-04-23 07:00:00, 69.0, None,17
1.9, None, None, 252.0,2022-04-23 07:15:00, 69.0, None,17
2.9, None, None, 252.0,2022-04-23 07:30:00, 69.0, None,17
4.1, None, None, 252.0,2022-04-23 07:45:00, 69.0, None,17
5.2, None, None, 252.0,2022-04-23 08:00:00, 69.0, None,17
6.1, None, None, 252.0,2022-04-23 08:15:00, 69.0, None,17
6.9, None, None, 252.0,2022-04-23 08:30:00, 69.0, None,17
7.5, None, None, 252.0,2022-04-23 08:45:00, 69.0, None,17
7.9, None, None, 252.0,2022-04-23 09:00:00, 69.0, None,17
8.2, None, None, 252.0,2022-04-23 09:15:00, 69.0, None,17
8.8, None, None, 252.0,2022-04-23 09:30:00, 69.0, None,17
9.6, None, None, 252.0,2022-04-23 09:45:00, 69.0, None,17
10.0, None, None, 251.0,2022-04-23 10:00:00, 69.0, None,17
9.6, None, None, 251.0,2022-04-23 10:15:00, 69.0, None,17
11.2, None, None, 251.0,2022-04-23 10:30:00, 69.0, None,17
11.8, None, None, 251.0,2022-04-23 10:45:00, 69.0, None,17
12.3, None, None, 251.0,2022-04-23 11:00:00, 69.0, None,17
12.9, None, None, 251.0,2022-04-23 11:15:00, 69.0, None,17
12.7, None, None, 251.0,2022-04-23 11:30:00, 69.0, None,17
12.3, None, None, 251.0,2022-04-23 11:45:00, 69.0, None,17
13.3, None, None, 251.0,2022-04-23 12:00:00, 69.0, None,17
13.0, None, None, 251.0,2022-04-23 12:15:00, 69.0, None,17
11.8, None, None, 251.0,2022-04-23 12:30:00, 69.0, None,17
12.1, None, None, 251.0,2022-04-23 12:45:00, 69.0, None,17
12.0, None, None, 251.0,2022-04-23 13:00:00, 69.0, None,17
12.3, None, None, 251.0,2022-04-23 13:15:00, 69.0, None,17
12.3, None, None, 251.0,2022-04-23 13:30:00, 68.0, None,17
12.8, None, None, 250.0,2022-04-23 13:45:00, 68.0, None,17
13.8, None, None, 250.0,2022-04-23 14:00:00, 68.0, None,17
13.2, None, None, 250.0,2022-04-23 14:15:00, 68.0, None,17
11.9, None, None, 249.0,2022-04-23 14:30:00, 68.0, None,17
12.5, None, None, 249.0,2022-04-23 14:45:00, 69.0, None,17
12.1, None, None, 249.0,2022-04-23 15:00:00, 69.0, None,17
11.8, None, None, 249.0,2022-04-23 15:15:00, 69.0, None,17
12.4, None, None, 249.0,2022-04-23 15:30:00, 68.0, None,17
12.5, None, None, 249.0,2022-04-23 15:45:00, 68.0, None,17
12.2, None, None, 248.0,2022-04-23 16:00:00, 68.0, None,17
11.5, None, None, 248.0,2022-04-23 16:15:00, 68.0, None,17
11.1, None, None, 248.0,2022-04-23 16:30:00, 68.0, None,17
12.1, None, None, 247.0,2022-04-23 16:45:00, 68.0, None,17
12.3, None, None, 247.0,2022-04-23 17:00:00, 68.0, None,17
11.2, None, None, 247.0,2022-04-23 17:15:00, 68.0, None,17
10.7, None, None, 246.0,2022-04-23 17:30:00, 68.0, None,17
10.0, None, None, 246.0,2022-04-23 17:45:00, 68.0, None,17
9.1, None, None, 246.0,2022-04-23 18:00:00, 68.0, None,17
8.3, None, None, 246.0,2022-04-23 18:15:00, 68.0, None,17
7.9, None, None, 245.0,2022-04-23 18:30:00, 68.0, None,17
7.5, None, None, 245.0,2022-04-23 18:45:00, 68.0, None,17
6.8, None, None, 245.0,2022-04-23 19:00:00, 68.0, None,17
6.1, None, None, 245.0,2022-04-23 19:15:00, 68.0, None,17
5.7, None, None, 245.0,2022-04-23 19:30:00, 68.0, None,17
5.5, None, None, 245.0,2022-04-23 19:45:00, 68.0, None,17
5.3, None, None, 244.0,2022-04-23 20:00:00, 68.0, None,17
5.3, None, None, 244.0,2022-04-23 20:15:00, 68.0, None,17
5.2, None, None, 244.0,2022-04-23 20:30:00, 68.0, None,17
5.0, None, None, 244.0,2022-04-23 20:45:00, 68.0, None,17
4.5, None, None, 244.0,2022-04-23 21:00:00, 68.0, None,17
4.0, None, None, 243.0,2022-04-23 21:15:00, 68.0, None,17
