RELATIVE_HUMIDITY1,STANDARD_SNOW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,min_air_temp_snc_last_reset,DEW_POINT,ATMOSPHERIC_PRESSURE,avg_wnd_dir_10m_pst10mts,ACTUAL_WIND_DIRECTION,MAXIMUM_AIR_TEMPERATURE,snw_dpth,MAXIMUM_MEASURED_WIND_SPEED1,HEIGHT_OF_SNOW,CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,PRECIPITATION_NEW,max_air_temp_snc_last_reset,PRECIP_DETECTOR_RATIO,ACTUAL_WIND_SPEED,WIND_DIRECTION_STD_DEVIATION1,avg_wnd_spd_10m_pst10mts,air_temp,pcpn_amt_pst1hr,snwfl_amt_pst1hr,rel_hum,time,stn_pres,week_of_year
21.65, None, None, None, 6.81, 269.2, -21.0, -4.1, -21.0, None, None, None, None, None, None, None, None, -4.002, None, 1.0, None, None, 16.22, None, -4.0, 0.0, None, 22.0,2022-04-23 00:00:00, None,17
21.72, None, None, None, 7.67, 263.3, -21.0, -4.4, -21.0, None, None, None, None, None, None, None, None, -4.244, None, 1.0, None, None, 14.81, None, -4.2, 0.0, None, 22.0,2022-04-23 01:00:00, None,17
21.7, None, None, None, 7.12, 252.1, -21.0, -4.4, -21.0, None, None, None, None, None, None, None, None, -4.156, None, 1.0, None, None, 21.28, None, -4.2, 0.0, None, 22.0,2022-04-23 02:00:00, None,17
21.93, None, None, None, 7.6, 245.6, -22.0, -5.0, -22.0, None, None, None, None, None, None, None, None, -4.921, None, 1.0, None, None, 20.5, None, -4.9, 0.0, None, 22.0,2022-04-23 03:00:00, None,17
21.84, None, None, None, 6.262, 263.0, -21.0, -5.2, -21.0, None, None, None, None, None, None, None, None, -4.649, None, 1.0, None, None, 20.92, None, -4.6, 0.0, None, 22.0,2022-04-23 04:00:00, None,17
21.94, None, None, None, 6.516, 257.1, -22.0, -5.2, -22.0, None, None, None, None, None, None, None, None, -4.95, None, 1.0, None, None, 16.39, None, -5.0, 0.0, None, 22.0,2022-04-23 05:00:00, None,17
21.8, None, None, None, 6.271, 252.9, -21.0, -5.2, -21.0, None, None, None, None, None, None, None, None, -4.495, None, 1.0, None, None, 17.89, None, -4.5, 0.0, None, 22.0,2022-04-23 06:00:00, None,17
21.56, None, None, None, 4.089, 274.6, -21.0, -4.5, -21.0, None, None, None, None, None, None, None, None, -3.713, None, -3.7, None, None, 20.29, None, -3.7, 0.0, None, 22.0,2022-04-23 07:00:00, None,17
21.41, None, None, None, 1.168, 247.3, -20.0, -4.5, -20.0, None, None, None, None, None, None, None, None, -3.194, None, -2.0, None, None, 49.68, None, -3.2, 0.0, None, 21.0,2022-04-23 08:00:00, None,17
21.02, None, None, None, 0.68, 307.8, -19.0, -4.5, -19.0, None, None, None, None, None, None, None, None, -1.892, None, -1.4, None, None, 36.94, None, -1.9, 0.0, None, 21.0,2022-04-23 09:00:00, None,17
