air_temp,min_air_temp_snc_last_reset,mslp,avg_wnd_dir_10m_pst10mts,max_air_temp_snc_last_reset,rel_hum,max_wnd_spd_10m_pst1hr,time,avg_wnd_spd_10m_pst10mts,dwpt_temp,stn_pres,week_of_year
9.4,9.4, 998.2, None,11.5,50.0, None,2022-05-14 00:00:00, None,0.0, 991.0,20
9.4,9.3, 998.2, None,11.5,51.0, None,2022-05-14 01:00:00, None,0.0, 991.0,20
8.1,8.1, 997.2, None,11.5,66.0, None,2022-05-14 02:00:00, None,2.0, 990.0,20
7.5,7.5, 998.2, None,11.5,71.0, None,2022-05-14 03:00:00, None,3.0, 991.0,20
7.0,7.0, 997.2, None,11.5,77.0, None,2022-05-14 04:00:00, None,3.0, 990.0,20
7.1,7.0, 997.2, None,11.5,73.0, None,2022-05-14 05:00:00, None,3.0, 990.0,20
7.1,7.0, 996.2, None,11.5,73.0, None,2022-05-14 06:00:00, None,2.0, 989.0,20
7.2,7.1, 996.2, None,7.4,71.0, None,2022-05-14 07:00:00, None,2.0, 989.0,20
7.4,7.1, 996.2, None,7.6,73.0, None,2022-05-14 08:00:00, None,3.0, 989.0,20
7.8,7.1, 997.2, None,7.8,73.0, None,2022-05-14 09:00:00, None,3.0, 990.0,20
8.0,7.1, 997.2, None,8.0,73.0, None,2022-05-14 10:00:00, None,3.0, 990.0,20
8.4,7.1, 997.2, None,8.4,78.0, None,2022-05-14 11:00:00, None,5.0, 990.0,20
9.3,7.1, 997.2, None,9.3,75.0, None,2022-05-14 12:00:00, None,5.0, 990.0,20
10.0,7.1, 998.2, None,10.0,75.0, None,2022-05-14 13:00:00, None,6.0, 991.0,20
10.4,7.1, 998.2, None,10.4,72.0, None,2022-05-14 14:00:00, None,6.0, 991.0,20
10.9,7.1, 998.2, None,10.9,72.0, None,2022-05-14 15:00:00, None,6.0, 991.0,20
11.8,7.1, 998.2, None,12.0,69.0, None,2022-05-14 16:00:00, None,6.0, 991.0,20
12.6,7.1, 998.2, None,12.6,66.0, None,2022-05-14 17:00:00, None,7.0, 991.0,20
13.2,7.1, 999.2, None,13.2,66.0, None,2022-05-14 18:00:00, None,7.0, 992.0,20
13.5,13.1, 998.2, None,13.5,64.0, None,2022-05-14 19:00:00, None,7.0, 991.0,20
13.2,13.1, 998.2, None,13.6,71.0, None,2022-05-14 20:00:00, None,8.0, 991.0,20
12.9,13.0, 998.2, None,13.6,71.0, None,2022-05-14 21:00:00, None,8.0, 991.0,20
12.5,12.5, 999.2, None,13.6,73.0, None,2022-05-14 22:00:00, None,8.0, 992.0,20
11.9,11.9, 999.2, None,13.6,75.0, None,2022-05-14 23:00:00, None,8.0, 992.0,20
11.7,11.6, 999.2, None,13.6,74.0, None,2022-05-15 00:00:00, None,7.0, 992.0,20
12.5,11.6, 999.2, None,13.6,65.0, None,2022-05-15 01:00:00, None,6.0, 992.0,20
12.3,11.6, 999.2, None,13.6,66.0, None,2022-05-15 02:00:00, None,6.0, 992.0,20
12.1,11.6, 999.2, None,13.6,66.0, None,2022-05-15 03:00:00, None,6.0, 992.0,20
11.0,11.0, 998.2, None,13.6,76.0, None,2022-05-15 04:00:00, None,7.0, 991.0,20
11.2,10.8, 998.1, None,13.6,74.0, None,2022-05-15 05:00:00, None,7.0, 991.0,20
11.9,10.8, 997.1, None,13.6,69.0, None,2022-05-15 06:00:00, None,6.0, 990.0,20
10.4,10.3, 998.1, None,11.9,80.0, None,2022-05-15 07:00:00, None,7.0, 991.0,20
10.2,10.2, 997.1, None,11.9,81.0, None,2022-05-15 08:00:00, None,7.0, 990.0,20
