CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,STANDARD_SNOW,PRECIPITATION_NEW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,WIND_DIRECTION_STD_DEVIATION1,snwfl_amt_pst1hr,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,avg_wnd_spd_10m_pst10mts,air_temp,min_air_temp_snc_last_reset,DEW_POINT,avg_wnd_dir_10m_pst10mts,max_air_temp_snc_last_reset,rel_hum,MAXIMUM_AIR_TEMPERATURE,time,snw_dpth,HEIGHT_OF_SNOW,week_of_year
None, 19.13, None, None, None, None, None, 17.53, -1.0, 5.675, 225.2, None, None, 19.1, 10.3, None, None, 20.2, None, None,2022-07-21 14:00:00, -13.0, None,29
None, 20.45, None, None, None, None, None, 16.86, -1.0, 5.249, 224.1, None, None, 20.5, 10.3, None, None, 20.6, None, None,2022-07-21 15:00:00, -14.0, None,29
None, 20.53, None, None, None, None, None, 14.63, 1.0, 5.697, 225.6, None, None, 20.5, 10.3, None, None, 20.6, None, None,2022-07-21 16:00:00, -13.0, None,29
None, 19.89, None, None, None, None, None, 21.51, None, 5.508, 226.3, None, None, 19.9, 10.3, None, None, 20.6, None, None,2022-07-21 17:00:00, None, None,29
None, 18.77, None, None, None, None, None, 27.53, None, 4.592, 233.9, None, None, 18.8, 10.3, None, None, 20.6, None, None,2022-07-21 18:00:00, None, None,29
None, 16.46, None, None, None, None, None, 22.49, None, 4.596, 227.5, None, None, 16.5, 15.8, None, None, 18.9, None, None,2022-07-21 19:00:00, None, None,29
None, 13.64, None, None, None, None, None, 17.87, None, 3.871, 225.3, None, None, 13.6, 13.7, None, None, 18.9, None, None,2022-07-21 20:00:00, None, None,29
None, 12.66, None, None, None, None, None, 14.31, None, 4.429, 221.4, None, None, 12.7, 12.6, None, None, 18.9, None, None,2022-07-21 21:00:00, None, None,29
None, 11.61, None, None, None, None, None, 13.89, None, 5.025, 220.6, None, None, 11.6, 11.7, None, None, 18.9, None, None,2022-07-21 22:00:00, None, None,29
None, 11.35, None, None, None, None, None, 18.01, None, 4.274, 223.3, None, None, 11.4, 11.1, None, None, 18.9, None, None,2022-07-21 23:00:00, None, None,29
None, 10.48, None, None, None, None, None, 13.96, None, 4.18, 222.5, None, None, 10.5, 10.4, None, None, 18.9, None, None,2022-07-22 00:00:00, None, None,29
None, 10.38, None, None, None, None, None, 14.92, None, 3.891, 225.1, None, None, 10.4, 10.4, None, None, 18.9, None, None,2022-07-22 01:00:00, None, None,29
None, 9.91, None, None, None, None, None, 16.57, None, 3.511, 224.7, None, None, 9.9, 9.9, None, None, 18.9, None, None,2022-07-22 02:00:00, None, None,29
None, 9.52, None, None, None, None, None, 15.46, None, 4.016, 224.5, None, None, 9.5, 9.6, None, None, 18.9, None, None,2022-07-22 03:00:00, None, None,29
None, 9.07, None, None, None, None, None, 16.71, None, 2.886, 227.7, None, None, 9.1, 9.0, None, None, 18.9, None, None,2022-07-22 04:00:00, None, None,29
None, 9.7, None, None, None, None, None, 15.02, None, 3.008, 226.9, None, None, 9.7, 9.0, None, None, 18.9, None, None,2022-07-22 05:00:00, None, None,29
None, 9.76, None, None, None, None, None, 12.29, None, 2.794, 226.1, None, None, 9.8, 9.0, None, None, 18.9, None, None,2022-07-22 06:00:00, None, None,29
None, 9.77, None, None, None, None, None, 9.77, None, 2.504, 226.3, None, None, 9.8, 9.7, None, None, 9.8, None, None,2022-07-22 07:00:00, None, None,29
None, 9.93, None, None, None, None, None, 12.66, None, 1.239, 228.6, None, None, 9.9, 9.7, None, None, 10.0, None, None,2022-07-22 08:00:00, None, None,29
None, 10.11, None, None, None, None, None, 14.5, None, 1.58, 226.3, None, None, 10.1, 9.7, None, None, 10.1, None, None,2022-07-22 09:00:00, None, None,29
None, 10.23, None, None, None, None, None, 12.68, None, 2.017, 229.6, None, None, 10.2, 9.7, None, None, 10.4, None, None,2022-07-22 10:00:00, None, None,29
None, 11.69, None, None, None, None, None, 18.02, None, 2.038, 229.9, None, None, 11.7, 9.7, None, None, 12.7, None, None,2022-07-22 11:00:00, None, None,29
None, 12.96, None, None, None, None, None, 34.43, None, 1.898, 233.2, None, None, 13.0, 9.7, None, None, 13.0, None, None,2022-07-22 12:00:00, None, None,29
None, 14.59, None, None, None, None, None, 16.04, None, 3.382, 226.5, None, None, 14.6, 9.7, None, None, 14.5, None, None,2022-07-22 13:00:00, None, None,29
None, 14.21, None, None, None, None, None, 17.74, None, 4.175, 221.6, None, None, 14.2, 9.7, None, None, 16.1, None, None,2022-07-22 14:00:00, None, None,29
None, 16.72, None, None, None, None, None, 17.96, None, 4.505, 225.6, None, None, 16.7, 9.7, None, None, 17.2, None, None,2022-07-22 15:00:00, None, None,29
None, 17.77, None, None, None, None, None, 21.21, None, 4.154, 229.6, None, None, 17.8, 9.7, None, None, 18.0, None, None,2022-07-22 16:00:00, None, None,29
None, 17.78, None, None, None, None, None, 25.35, None, 3.716, 233.0, None, None, 17.8, 9.7, None, None, 18.2, None, None,2022-07-22 17:00:00, None, None,29
None, 16.3, None, None, None, None, None, 21.64, None, 4.38, 226.9, None, None, 16.3, 9.7, None, None, 18.2, None, None,2022-07-22 18:00:00, None, None,29
None, 14.86, None, None, None, None, None, 20.99, None, 3.355, 228.1, None, None, 14.9, 14.8, None, None, 16.6, None, None,2022-07-22 19:00:00, None, None,29
None, 12.89, None, None, None, None, None, 25.07, None, 2.775, 230.2, None, None, 12.9, 12.9, None, None, 16.6, None, None,2022-07-22 20:00:00, None, None,29
None, 10.1, None, None, None, None, None, 31.29, None, 2.609, 224.3, None, None, 10.1, 10.1, None, None, 16.6, None, None,2022-07-22 21:00:00, None, None,29
None, 9.01, None, None, None, None, None, 13.97, None, 3.396, 221.1, None, None, 9.0, 9.1, None, None, 16.6, None, None,2022-07-22 22:00:00, None, None,29
None, 9.11, None, None, None, None, None, 20.32, None, 3.118, 220.9, None, None, 9.1, 8.9, None, None, 16.6, None, None,2022-07-22 23:00:00, None, None,29
