pcpn_amt_pst24hrs,air_temp,min_air_temp_snc_last_reset,mslp,pcpn_amt_pst1hr,snwfl_amt_pst1hr,max_air_temp_snc_last_reset,rel_hum,time,dwpt_temp,stn_pres,week_of_year
None,16.1,15.6, 1015.2, 0.0, 0.0,25.0,80.0,2022-08-13 00:00:00,12.0, 924.0,33
None,18.8,15.6, 1014.8, 0.0, 0.0,25.0,66.0,2022-08-13 01:00:00,12.0, 924.0,33
None,17.6,15.6, 1015.8, 0.0, 0.0,25.0,68.0,2022-08-13 02:00:00,12.0, 925.0,33
None,16.4,15.6, 1015.8, 0.0, 0.0,25.0,69.0,2022-08-13 03:00:00,11.0, 925.0,33
None,16.0,15.6, 1014.9, 0.0, 0.0,25.0,76.0,2022-08-13 04:00:00,12.0, 924.0,33
None,15.1,14.8, 1015.1, 0.0, 0.0,25.0,73.0,2022-08-13 05:00:00,10.0, 924.0,33
None,14.9,14.7, 1016.7, 0.0, 0.0,25.0,75.0,2022-08-13 06:00:00,10.0, 925.0,33
None,14.7,14.7, 1016.8, 0.0, 0.0,15.0,81.0,2022-08-13 07:00:00,11.0, 925.0,33
None,17.2,14.7, 1016.7, 0.0, 0.0,17.1,70.0,2022-08-13 08:00:00,11.0, 925.0,33
None,20.1,14.7, 1016.5, 0.0, 0.0,20.0,55.0,2022-08-13 09:00:00,11.0, 925.0,33
None,22.4,14.7, 1016.8, 0.0, 0.0,22.4,48.0,2022-08-13 10:00:00,11.0, 925.0,33
None,24.1,14.7, 1015.5, 0.0, 0.0,24.3,43.0,2022-08-13 11:00:00,10.0, 924.0,33
None,25.3,14.7, 1015.4, 0.0, 0.0,26.0,41.0,2022-08-13 12:00:00,11.0, 924.0,33
None,27.7,14.7, 1013.8, 0.0, 0.0,27.9,35.0,2022-08-13 13:00:00,10.0, 923.0,33
None,26.6,14.7, 1012.9, 0.0, 0.0,28.4,43.0,2022-08-13 14:00:00,13.0, 922.0,33
None,25.4,14.7, 1014.3, 0.0, 0.0,28.4,42.0,2022-08-13 15:00:00,12.0, 923.0,33
None,25.5,14.7, 1013.2, 0.0, 0.0,28.4,43.0,2022-08-13 16:00:00,12.0, 922.0,33
None,28.0,14.7, 1011.9, 0.0, 0.0,28.4,30.0,2022-08-13 17:00:00,9.0, 921.0,33
None,27.9,14.7, 1013.1, 0.0, 0.0,29.4,37.0,2022-08-13 18:00:00,12.0, 922.0,33
None,28.2,27.8, 1013.1, 0.0, 0.0,28.7,27.0,2022-08-13 19:00:00,7.0, 922.0,33
None,25.8,25.6, 1014.2, 0.0, 0.0,28.7,30.0,2022-08-13 20:00:00,7.0, 923.0,33
None,22.5,22.0, 1015.3, 0.0, 0.0,28.7,40.0,2022-08-13 21:00:00,8.0, 924.0,33
None,21.7,21.2, 1015.2, 0.0, 0.0,28.7,39.0,2022-08-13 22:00:00,7.0, 924.0,33
None,18.7,18.8, 1015.3, 0.0, 0.0,28.7,58.0,2022-08-13 23:00:00,10.0, 924.0,33
None,17.4,17.4, 1015.3, 0.0, 0.0,28.7,64.0,2022-08-14 00:00:00,11.0, 924.0,33
None,16.4,16.5, 1016.3, 0.0, 0.0,28.7,62.0,2022-08-14 01:00:00,9.0, 925.0,33
None,15.7,15.6, 1017.5, 0.0, 0.0,28.7,55.0,2022-08-14 02:00:00,7.0, 926.0,33
None,14.8,14.9, 1017.7, 0.0, 0.0,28.7,68.0,2022-08-14 03:00:00,9.0, 926.0,33
None,14.0,14.0, 1017.8, 0.0, 0.0,28.7,59.0,2022-08-14 04:00:00,6.0, 926.0,33
None,13.8,13.4, 1018.7, 0.0, 0.0,28.7,61.0,2022-08-14 05:00:00,6.0, 927.0,33
None,13.2,13.1, 1018.7, 0.0, 0.0,28.7,64.0,2022-08-14 06:00:00,7.0, 927.0,33
None,12.8,11.8, 1019.8, 0.0, 0.0,13.3,67.0,2022-08-14 07:00:00,7.0, 928.0,33
None,16.9,11.8, 1019.7, 0.0, 0.0,16.7,57.0,2022-08-14 08:00:00,8.0, 928.0,33
None,17.9,11.8, 1019.9, 0.0, 0.0,17.9,55.0,2022-08-14 09:00:00,9.0, 928.0,33
None,20.4,11.8, 1018.6, 0.0, 0.0,20.2,45.0,2022-08-14 10:00:00,8.0, 927.0,33
None,22.2,11.8, 1018.8, 0.0, 0.0,22.3,39.0,2022-08-14 11:00:00,7.0, 927.0,33
None,24.6,11.8, 1018.6, 0.0, 0.0,24.5,33.0,2022-08-14 12:00:00,7.0, 927.0,33
None,26.1,11.8, 1017.5, 0.0, 0.0,26.3,32.0,2022-08-14 13:00:00,8.0, 926.0,33
None,28.2,11.8, 1017.4, 0.0, 0.0,28.0,29.0,2022-08-14 14:00:00,7.0, 926.0,33
None,29.8,11.8, 1016.2, 0.0, 0.0,29.7,25.0,2022-08-14 15:00:00,7.0, 925.0,33
None,28.4,11.8, 1016.4, 0.0, 0.0,30.0,27.0,2022-08-14 16:00:00,7.0, 925.0,33
None,27.2,11.8, 1015.4, 0.0, 0.0,30.0,29.0,2022-08-14 17:00:00,8.0, 924.0,33
None,27.0,11.8, 1016.6, 0.0, 0.0,30.0,28.0,2022-08-14 18:00:00,7.0, 925.0,33
None,26.3,26.3, 1016.7, 0.0, 0.0,27.4,28.0,2022-08-14 19:00:00,6.0, 925.0,33
None,24.9,24.9, 1015.4, 0.0, 0.0,27.4,31.0,2022-08-14 20:00:00,7.0, 924.0,33
None,22.3,22.2, 1017.7, 0.0, 0.0,27.4,39.0,2022-08-14 21:00:00,7.0, 926.0,33
None,20.3,20.4, 1017.7, 0.0, 0.0,27.4,52.0,2022-08-14 22:00:00,11.0, 926.0,33
None,18.9,18.8, 1017.6, 0.0, 0.0,27.4,47.0,2022-08-14 23:00:00,7.0, 926.0,33
None,17.8,17.5, 1017.5, 0.0, 0.0,27.4,51.0,2022-08-15 00:00:00,8.0, 926.0,33
None,16.5,16.6, 1017.5, 0.0, 0.0,27.4,54.0,2022-08-15 01:00:00,7.0, 926.0,33
None,15.5,15.5, 1017.4, 0.0, 0.0,27.4,59.0,2022-08-15 02:00:00,8.0, 926.0,33
None,14.9,14.9, 1018.4, 0.0, 0.0,27.4,60.0,2022-08-15 03:00:00,7.0, 927.0,33
None,14.0,13.8, 1018.6, 0.0, 0.0,27.4,65.0,2022-08-15 04:00:00,8.0, 927.0,33
None,13.4,13.4, 1019.9, 0.0, 0.0,27.4,68.0,2022-08-15 05:00:00,8.0, 928.0,33
None,12.7,12.7, 1018.9, 0.0, 0.0,27.4,71.0,2022-08-15 06:00:00,8.0, 927.0,33
None,13.3,12.6, 1021.1, 0.0, 0.0,13.2,73.0,2022-08-15 07:00:00,8.0, 929.0,33
None,15.3,12.6, 1021.0, 0.0, 0.0,15.6,71.0,2022-08-15 08:00:00,10.0, 929.0,33
None,17.0,12.6, 1020.0, 0.0, 0.0,16.9,56.0,2022-08-15 09:00:00,8.0, 928.0,33
None,20.4,12.6, 1019.9, 0.0, 0.0,20.3,52.0,2022-08-15 10:00:00,10.0, 928.0,33
None,22.4,12.6, 1018.7, 0.0, 0.0,22.2,44.0,2022-08-15 11:00:00,9.0, 927.0,33
None,23.6,12.6, 1018.7, 0.0, 0.0,24.1,38.0,2022-08-15 12:00:00,8.0, 927.0,33
None,27.1,12.6, 1018.5, 0.0, 0.0,27.2,31.0,2022-08-15 13:00:00,9.0, 927.0,33
None,28.1,12.6, 1017.4, 0.0, 0.0,28.6,30.0,2022-08-15 14:00:00,9.0, 926.0,33
None,29.9,12.6, 1016.2, None, None,29.9,28.0,2022-08-15 15:00:00,9.0, 925.0,33
None,30.9,12.6, 1015.1, 0.0, 0.0,31.2,22.0,2022-08-15 16:00:00,7.0, 924.0,33
None,28.3,12.6, 1015.4, 0.0, 0.0,31.2,34.0,2022-08-15 17:00:00,10.0, 924.0,33
None,27.8,12.6, 1015.5, 0.0, 0.0,31.2,31.0,2022-08-15 18:00:00,9.0, 924.0,33
None,26.1,26.2, 1015.6, 0.0, 0.0,28.2,49.0,2022-08-15 19:00:00,14.0, 924.0,33
None,24.3,24.3, 1015.6, 0.0, 0.0,28.2,40.0,2022-08-15 20:00:00,10.0, 924.0,33
None,21.8,21.8, 1016.8, 0.0, 0.0,28.2,41.0,2022-08-15 21:00:00,8.0, 925.0,33
None,20.3,20.4, 1015.5, 0.0, 0.0,28.2,46.0,2022-08-15 22:00:00,8.0, 924.0,33
None,18.7,18.7, 1016.5, 0.0, 0.0,28.2,48.0,2022-08-15 23:00:00,8.0, 925.0,33
None,17.9,17.8, 1016.5, 0.0, 0.0,28.2,51.0,2022-08-16 00:00:00,8.0, 925.0,33
None,16.6,16.6, 1017.4, 0.0, 0.0,28.2,56.0,2022-08-16 01:00:00,8.0, 926.0,33
None,15.8,15.8, 1017.4, 0.0, 0.0,28.2,60.0,2022-08-16 02:00:00,8.0, 926.0,33
None,15.1,15.1, 1017.3, 0.0, 0.0,28.2,62.0,2022-08-16 03:00:00,8.0, 926.0,33
None,14.3,14.3, 1017.3, 0.0, 0.0,28.2,68.0,2022-08-16 04:00:00,8.0, 926.0,33
None,20.7,12.9, 1017.6, 0.0, 0.0,20.7,49.0,2022-08-16 10:00:00,10.0, 926.0,33
