WDIR_VECT,time,HUMIDITY,week_of_year
61.4,2022-09-17 00:00:00,83.4,38
35.6,2022-09-17 01:00:00,86.7,38
51.9,2022-09-17 02:00:00,87.4,38
251.4,2022-09-17 03:00:00,88.5,38
231.6,2022-09-17 04:00:00,89.1,38
167.1,2022-09-17 05:00:00,88.4,38
43.7,2022-09-17 06:00:00,86.3,38
63.7,2022-09-17 07:00:00,80.9,38
31.5,2022-09-17 08:00:00,71.2,38
329.8,2022-09-17 09:00:00,64.4,38
288.0,2022-09-17 10:00:00,55.7,38
302.3,2022-09-17 11:00:00,59.2,38
288.8,2022-09-17 12:00:00,58.8,38
301.8,2022-09-17 13:00:00,65.8,38
308.5,2022-09-17 14:00:00,64.2,38
312.3,2022-09-17 15:00:00,65.2,38
305.3,2022-09-17 16:00:00,63.7,38
299.5,2022-09-17 17:00:00,66.4,38
301.5,2022-09-17 18:00:00,66.7,38
290.8,2022-09-17 19:00:00,65.9,38
293.2,2022-09-17 20:00:00,75.3,38
192.9,2022-09-17 21:00:00,80.0,38
202.4,2022-09-17 22:00:00,81.5,38
187.3,2022-09-17 23:00:00,80.7,38
197.4,2022-09-18 00:00:00,84.1,38
193.2,2022-09-18 01:00:00,85.7,38
199.4,2022-09-18 02:00:00,85.4,38
193.6,2022-09-18 03:00:00,86.3,38
184.6,2022-09-18 04:00:00,87.2,38
200.8,2022-09-18 05:00:00,87.0,38
197.8,2022-09-18 06:00:00,87.5,38
185.3,2022-09-18 07:00:00,82.8,38
248.3,2022-09-18 08:00:00,58.2,38
251.9,2022-09-18 09:00:00,48.7,38
273.5,2022-09-18 10:00:00,47.6,38
307.5,2022-09-18 11:00:00,51.0,38
310.5,2022-09-18 12:00:00,47.0,38
315.2,2022-09-18 13:00:00,41.2,38
313.8,2022-09-18 14:00:00,32.4,38
326.1,2022-09-18 15:00:00,27.6,38
326.4,2022-09-18 16:00:00,24.6,38
300.2,2022-09-18 17:00:00,24.3,38
304.8,2022-09-18 18:00:00,28.8,38
310.2,2022-09-18 19:00:00,48.3,38
348.5,2022-09-18 20:00:00,52.7,38
187.9,2022-09-18 21:00:00,60.6,38
183.1,2022-09-18 22:00:00,64.2,38
201.3,2022-09-18 23:00:00,70.6,38
0.0,2022-09-19 00:00:00,72.8,38
182.7,2022-09-19 01:00:00,76.1,38
179.5,2022-09-19 02:00:00,81.0,38
199.3,2022-09-19 03:00:00,82.6,38
189.2,2022-09-19 04:00:00,86.8,38
0.0,2022-09-19 05:00:00,85.7,38
187.7,2022-09-19 06:00:00,85.1,38
30.3,2022-09-19 07:00:00,80.7,38
6.3,2022-09-19 08:00:00,64.4,38
286.4,2022-09-19 09:00:00,48.4,38
304.6,2022-09-19 10:00:00,44.7,38
316.2,2022-09-19 11:00:00,64.5,38
322.7,2022-09-19 12:00:00,44.8,38
308.8,2022-09-19 13:00:00,39.8,38
325.3,2022-09-19 14:00:00,34.8,38
317.8,2022-09-19 15:00:00,34.5,38
323.7,2022-09-19 16:00:00,29.7,38
338.5,2022-09-19 17:00:00,42.5,38
354.5,2022-09-19 18:00:00,53.1,38
18.1,2022-09-19 19:00:00,62.9,38
183.0,2022-09-19 20:00:00,62.4,38
160.1,2022-09-19 21:00:00,66.4,38
3.9,2022-09-19 22:00:00,64.4,38
197.4,2022-09-19 23:00:00,71.2,38
189.5,2022-09-20 00:00:00,73.9,38
207.3,2022-09-20 01:00:00,76.7,38
205.7,2022-09-20 02:00:00,79.4,38
183.1,2022-09-20 03:00:00,79.5,38
191.2,2022-09-20 04:00:00,79.4,38
183.1,2022-09-20 05:00:00,77.5,38
178.4,2022-09-20 06:00:00,70.7,38
180.0,2022-09-20 07:00:00,64.9,38
115.3,2022-09-20 08:00:00,44.7,38
4.9,2022-09-20 09:00:00,29.9,38
347.4,2022-09-20 10:00:00,30.2,38
336.6,2022-09-20 11:00:00,34.2,38
298.1,2022-09-20 12:00:00,39.4,38
307.5,2022-09-20 13:00:00,28.0,38
299.7,2022-09-20 14:00:00,22.5,38
310.6,2022-09-20 15:00:00,24.1,38
304.3,2022-09-20 16:00:00,26.5,38
294.6,2022-09-20 17:00:00,24.1,38
293.2,2022-09-20 18:00:00,23.8,38
317.1,2022-09-20 19:00:00,34.9,38
139.8,2022-09-20 20:00:00,41.2,38
136.0,2022-09-20 21:00:00,43.9,38
187.2,2022-09-20 22:00:00,52.0,38
183.2,2022-09-20 23:00:00,59.4,38
189.0,2022-09-21 00:00:00,62.6,38
186.8,2022-09-21 01:00:00,65.6,38
185.3,2022-09-21 02:00:00,68.5,38
189.1,2022-09-21 03:00:00,67.7,38
180.5,2022-09-21 04:00:00,73.7,38
184.1,2022-09-21 05:00:00,72.3,38
171.5,2022-09-21 06:00:00,73.2,38
148.5,2022-09-21 07:00:00,68.1,38
83.8,2022-09-21 08:00:00,54.5,38
142.9,2022-09-21 09:00:00,36.3,38
318.4,2022-09-21 10:00:00,33.4,38
314.0,2022-09-21 11:00:00,37.2,38
304.2,2022-09-21 12:00:00,28.3,38
298.0,2022-09-21 13:00:00,26.9,38
297.2,2022-09-21 14:00:00,19.2,38
224.3,2022-09-21 15:00:00,22.1,38
261.8,2022-09-21 16:00:00,38.1,38
1.3,2022-09-21 17:00:00,36.7,38
298.3,2022-09-21 18:00:00,40.7,38
15.4,2022-09-21 19:00:00,52.8,38
180.2,2022-09-21 20:00:00,61.0,38
95.8,2022-09-21 21:00:00,67.8,38
173.7,2022-09-21 22:00:00,71.9,38
199.3,2022-09-21 23:00:00,72.1,38
183.4,2022-09-22 00:00:00,74.5,38
188.0,2022-09-22 01:00:00,75.6,38
190.3,2022-09-22 02:00:00,76.6,38
179.6,2022-09-22 03:00:00,73.9,38
155.0,2022-09-22 04:00:00,72.3,38
99.3,2022-09-22 05:00:00,68.5,38
88.7,2022-09-22 06:00:00,73.6,38
106.4,2022-09-22 07:00:00,69.3,38
105.1,2022-09-22 08:00:00,72.9,38
105.1,2022-09-22 09:00:00,70.2,38
125.3,2022-09-22 10:00:00,67.0,38
158.9,2022-09-22 11:00:00,62.8,38
169.9,2022-09-22 12:00:00,56.7,38
175.4,2022-09-22 13:00:00,52.9,38
155.4,2022-09-22 14:00:00,51.6,38
174.5,2022-09-22 15:00:00,53.4,38
176.4,2022-09-22 16:00:00,53.3,38
171.2,2022-09-22 17:00:00,56.0,38
159.3,2022-09-22 18:00:00,61.8,38
120.8,2022-09-22 19:00:00,67.3,38
79.0,2022-09-22 20:00:00,69.5,38
79.7,2022-09-22 21:00:00,71.8,38
106.3,2022-09-22 22:00:00,77.2,38
86.5,2022-09-22 23:00:00,75.8,38
114.7,2022-09-23 00:00:00,72.3,38
114.6,2022-09-23 01:00:00,69.4,38
153.2,2022-09-23 02:00:00,66.3,38
147.4,2022-09-23 03:00:00,68.5,38
140.1,2022-09-23 04:00:00,68.8,38
55.1,2022-09-23 05:00:00,70.7,38
143.0,2022-09-23 06:00:00,80.7,38
122.3,2022-09-23 07:00:00,78.8,38
148.4,2022-09-23 08:00:00,74.8,38
152.2,2022-09-23 09:00:00,72.7,38
163.6,2022-09-23 10:00:00,71.4,38
141.5,2022-09-23 11:00:00,71.4,38
116.3,2022-09-23 12:00:00,74.9,38
65.9,2022-09-23 13:00:00,83.0,38
47.6,2022-09-23 14:00:00,83.3,38
52.8,2022-09-23 15:00:00,80.3,38
69.7,2022-09-23 16:00:00,79.8,38
64.9,2022-09-23 17:00:00,76.7,38
65.0,2022-09-23 18:00:00,83.0,38
48.0,2022-09-23 19:00:00,86.1,38
63.5,2022-09-23 20:00:00,88.5,38
76.9,2022-09-23 21:00:00,87.8,38
66.5,2022-09-23 22:00:00,87.2,38
67.6,2022-09-23 23:00:00,88.5,38
