RELATIVE_HUMIDITY1,STANDARD_SNOW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,min_air_temp_snc_last_reset,DEW_POINT,ATMOSPHERIC_PRESSURE,avg_wnd_dir_10m_pst10mts,ACTUAL_WIND_DIRECTION,MAXIMUM_AIR_TEMPERATURE,snw_dpth,MAXIMUM_MEASURED_WIND_SPEED1,HEIGHT_OF_SNOW,CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,PRECIPITATION_NEW,max_air_temp_snc_last_reset,rel_hum,ACTUAL_WIND_SPEED,WIND_DIRECTION_STD_DEVIATION1,avg_wnd_spd_10m_pst10mts,air_temp,pcpn_amt_pst1hr,snwfl_amt_pst1hr,time,stn_pres,week_of_year
None, None, None, None, None, None, None, 11.1, None, None, None, None, None, None, None, None, None, 11.11, None, 12.8, None, None, None, None, 11.1, None, None,2022-10-01 00:00:00, None,40
None, None, None, None, None, None, None, 10.7, None, None, None, None, None, None, None, None, None, 10.68, None, 12.8, None, None, None, None, 10.7, None, None,2022-10-01 01:00:00, None,40
None, None, None, None, None, None, None, 10.4, None, None, None, None, None, None, None, None, None, 10.42, None, 12.8, None, None, None, None, 10.4, None, None,2022-10-01 02:00:00, None,40
None, None, None, None, None, None, None, 10.3, None, None, None, None, None, None, None, None, None, 10.25, None, 12.8, None, None, None, None, 10.3, None, None,2022-10-01 03:00:00, None,40
None, None, None, None, None, None, None, 10.0, None, None, None, None, None, None, None, None, None, 10.1, None, 12.8, None, None, None, None, 10.1, None, None,2022-10-01 04:00:00, None,40
None, None, None, None, None, None, None, 10.0, None, None, None, None, None, None, None, None, None, 10.04, None, 12.8, None, None, None, None, 10.0, None, None,2022-10-01 05:00:00, None,40
None, None, None, None, None, None, None, 9.7, None, None, None, None, None, None, None, None, None, 9.67, None, 12.8, None, None, None, None, 9.7, None, None,2022-10-01 06:00:00, None,40
None, None, None, None, None, None, None, 9.3, None, None, None, None, None, None, None, None, None, 9.23, None, 10.0, None, None, None, None, 9.2, None, None,2022-10-01 07:00:00, None,40
None, None, None, None, None, None, None, 9.2, None, None, None, None, None, None, None, None, None, 9.65, None, 10.2, None, None, None, None, 9.7, None, None,2022-10-01 08:00:00, None,40
None, None, None, None, None, None, None, 9.2, None, None, None, None, None, None, None, None, None, 9.93, None, 10.3, None, None, None, None, 9.9, None, None,2022-10-01 09:00:00, None,40
None, None, None, None, None, None, None, 9.2, None, None, None, None, None, None, None, None, None, 10.57, None, 10.6, None, None, None, None, 10.6, None, None,2022-10-01 10:00:00, None,40
None, None, None, None, None, None, None, 9.2, None, None, None, None, None, None, None, None, None, 11.04, None, 11.5, None, None, None, None, 11.0, None, None,2022-10-01 11:00:00, None,40
None, None, None, None, None, None, None, 9.2, None, None, None, None, None, None, None, None, None, 10.99, None, 11.5, None, None, None, None, 11.0, None, None,2022-10-01 12:00:00, None,40
None, None, None, None, None, None, None, 9.2, None, None, None, None, None, None, None, None, None, 10.78, None, 11.5, None, None, None, None, 10.8, None, None,2022-10-01 13:00:00, None,40
None, None, None, None, None, None, None, 9.2, None, None, None, None, None, None, None, None, None, 10.8, None, 11.5, None, None, None, None, 10.8, None, None,2022-10-01 14:00:00, None,40
None, None, None, None, None, None, None, 9.2, None, None, None, None, None, None, None, None, None, 10.85, None, 11.5, None, None, None, None, 10.9, None, None,2022-10-01 15:00:00, None,40
None, None, None, None, None, None, None, 9.2, None, None, None, None, None, None, None, None, None, 10.72, None, 11.5, None, None, None, None, 10.7, None, None,2022-10-01 16:00:00, None,40
None, None, None, None, None, None, None, 9.2, None, None, None, None, None, None, None, None, None, 11.07, None, 11.5, None, None, None, None, 11.1, None, None,2022-10-01 17:00:00, None,40
None, None, None, None, None, None, None, 9.2, None, None, None, None, None, None, None, None, None, 11.04, None, 11.5, None, None, None, None, 11.0, None, None,2022-10-01 18:00:00, None,40
None, None, None, None, None, None, None, 10.9, None, None, None, None, None, None, None, None, None, 11.09, None, 11.1, None, None, None, None, 11.1, None, None,2022-10-01 19:00:00, None,40
None, None, None, None, None, None, None, 10.8, None, None, None, None, None, None, None, None, None, 10.84, None, 11.2, None, None, None, None, 10.8, None, None,2022-10-01 20:00:00, None,40
None, None, None, None, None, None, None, 10.7, None, None, None, None, None, None, None, None, None, 10.66, None, 11.2, None, None, None, None, 10.7, None, None,2022-10-01 21:00:00, None,40
None, None, None, None, None, None, None, 10.6, None, None, None, None, None, None, None, None, None, 10.58, None, 11.2, None, None, None, None, 10.6, None, None,2022-10-01 22:00:00, None,40
None, None, None, None, None, None, None, 10.5, None, None, None, None, None, None, None, None, None, 10.49, None, 11.2, None, None, None, None, 10.5, None, None,2022-10-01 23:00:00, None,40
None, None, None, None, None, None, None, 10.1, None, None, None, None, None, None, None, None, None, 10.02, None, 11.2, None, None, None, None, 10.0, None, None,2022-10-02 00:00:00, None,40
None, None, None, None, None, None, None, 9.9, None, None, None, None, None, None, None, None, None, 9.97, None, 11.2, None, None, None, None, 10.0, None, None,2022-10-02 01:00:00, None,40
None, None, None, None, None, None, None, 9.7, None, None, None, None, None, None, None, None, None, 9.83, None, 11.2, None, None, None, None, 9.8, None, None,2022-10-02 02:00:00, None,40
None, None, None, None, None, None, None, 9.3, None, None, None, None, None, None, None, None, None, 9.42, None, 11.2, None, None, None, None, 9.4, None, None,2022-10-02 03:00:00, None,40
None, None, None, None, None, None, None, 8.8, None, None, None, None, None, None, None, None, None, 8.94, None, 11.2, None, None, None, None, 8.9, None, None,2022-10-02 04:00:00, None,40
None, None, None, None, None, None, None, 8.7, None, None, None, None, None, None, None, None, None, 8.93, None, 11.2, None, None, None, None, 8.9, None, None,2022-10-02 05:00:00, None,40
None, None, None, None, None, None, None, 8.7, None, None, None, None, None, None, None, None, None, 9.07, None, 11.2, None, None, None, None, 9.1, None, None,2022-10-02 06:00:00, None,40
None, None, None, None, None, None, None, 8.7, None, None, None, None, None, None, None, None, None, 8.74, None, 9.1, None, None, None, None, 8.7, None, None,2022-10-02 07:00:00, None,40
None, None, None, None, None, None, None, 8.6, None, None, None, None, None, None, None, None, None, 9.1, None, 9.1, None, None, None, None, 9.1, None, None,2022-10-02 08:00:00, None,40
None, None, None, None, None, None, None, 8.6, None, None, None, None, None, None, None, None, None, 9.37, None, 9.4, None, None, None, None, 9.4, None, None,2022-10-02 09:00:00, None,40
None, None, None, None, None, None, None, 8.6, None, None, None, None, None, None, None, None, None, 9.73, None, 10.1, None, None, None, None, 9.7, None, None,2022-10-02 10:00:00, None,40
None, None, None, None, None, None, None, 8.6, None, None, None, None, None, None, None, None, None, 11.2, None, 11.3, None, None, None, None, 11.2, None, None,2022-10-02 11:00:00, None,40
