TempC,SolarRadiationWm,RH,WindSpeedms,Pressurembar,Rainmm,GustSpeedms,time,WindDirection,DewPtC,week_of_year
6.914,0.6,91.6,0.0,923.55, 0.0,0.0,2022-10-08 00:00:00,176.9,5.648,41
6.737,0.6,92.7,0.0,923.55, 0.0,0.0,2022-10-08 01:00:00,176.9,5.644,41
6.255,0.6,93.7,0.0,923.65, 0.0,0.0,2022-10-08 02:00:00,176.9,5.32,41
5.796,0.6,94.7,0.0,923.65, 0.0,0.0,2022-10-08 03:00:00,176.9,5.016,41
5.514,0.6,95.2,0.0,923.75, 0.0,0.0,2022-10-08 04:00:00,176.9,4.811,41
5.05,0.6,95.4,0.0,923.55, 0.0,0.0,2022-10-08 05:00:00,176.9,4.379,41
4.818,0.6,95.7,0.0,923.45, 0.0,0.0,2022-10-08 06:00:00,176.9,4.193,41
5.102,19.4,96.1,0.0,923.45, 0.0,0.0,2022-10-08 07:00:00,176.9,4.535,41
6.56,35.6,96.3,0.0,923.55, 0.0,0.0,2022-10-08 08:00:00,176.9,6.019,41
7.519,305.6,93.6,0.0,923.75, 0.0,0.0,2022-10-08 09:00:00,176.9,6.561,41
12.63,399.4,84.8,0.0,923.45, 0.0,0.0,2022-10-08 10:00:00,181.1,10.153,41
14.266,216.9,75.4,0.0,923.05, 0.0,0.5,2022-10-08 11:00:00,226.0,9.991,41
12.243,173.1,77.9,0.0,922.65, 0.0,2.01,2022-10-08 12:00:00,254.1,8.513,41
12.147,38.1,83.7,0.0,921.85, 0.0,1.01,2022-10-08 13:00:00,258.3,9.484,41
13.882,53.1,79.5,0.0,921.15, 0.0,3.02,2022-10-08 14:00:00,263.9,10.411,41
13.233,25.6,75.3,0.0,920.65, 0.0,3.02,2022-10-08 15:00:00,262.5,8.971,41
13.978,31.9,66.6,0.0,920.55, 0.0,4.53,2022-10-08 16:00:00,263.9,7.875,41
15.318,11.9,67.5,0.0,920.55, 0.0,3.52,2022-10-08 17:00:00,261.1,9.352,41
12.437,0.6,67.9,0.0,920.85, 0.0,3.02,2022-10-08 18:00:00,266.7,6.687,41
11.127,0.6,77.5,0.0,921.05, 0.0,2.52,2022-10-08 19:00:00,245.7,7.354,41
10.173,0.6,81.7,0.0,921.15, 0.0,2.01,2022-10-08 20:00:00,244.3,7.195,41
9.608,0.6,82.8,0.0,921.35, 0.0,2.01,2022-10-08 21:00:00,258.3,6.838,41
8.568,0.6,87.0,0.0,921.45, 0.0,1.01,2022-10-08 22:00:00,230.2,6.536,41
7.67,0.6,89.1,0.0,921.45, 0.0,0.5,2022-10-08 23:00:00,249.9,5.996,41
6.914,0.6,90.5,0.0,921.55, 0.0,0.5,2022-10-09 00:00:00,221.8,5.474,41
6.484,0.6,91.9,0.0,921.65, 0.0,0.0,2022-10-09 01:00:00,207.8,5.269,41
5.745,0.6,93.7,0.0,921.75, 0.0,0.0,2022-10-09 02:00:00,195.1,4.813,41
4.921,0.6,94.4,0.0,921.65, 0.0,0.0,2022-10-09 03:00:00,195.1,4.1,41
4.766,0.6,95.3,0.0,921.55, 0.0,0.0,2022-10-09 04:00:00,195.1,4.081,41
4.454,0.6,95.5,0.0,921.65, 0.0,0.0,2022-10-09 05:00:00,195.1,3.8,41
4.376,0.6,95.9,0.0,921.75, 0.0,0.0,2022-10-09 06:00:00,195.1,3.782,41
4.532,21.9,96.2,0.0,921.85, 0.0,0.0,2022-10-09 07:00:00,195.1,3.982,41
5.898,31.9,96.5,0.0,922.05, 0.0,0.0,2022-10-09 08:00:00,195.1,5.389,41
6.965,306.9,94.0,0.0,922.15, 0.0,0.0,2022-10-09 09:00:00,195.1,6.072,41
12.461,396.9,85.1,0.0,921.85, 0.0,0.5,2022-10-09 10:00:00,168.5,10.04,41
12.292,283.1,76.2,0.0,921.15, 0.0,0.5,2022-10-09 11:00:00,165.7,8.236,41
11.127,129.4,78.3,0.0,920.15, 0.0,2.52,2022-10-09 12:00:00,148.8,7.504,41
12.001,48.1,81.5,0.0,919.15, 0.0,1.51,2022-10-09 13:00:00,147.4,8.946,41
10.858,58.1,84.4,0.0,918.35, 0.0,1.01,2022-10-09 14:00:00,150.2,8.344,41
9.829,28.1,85.2,0.0,917.65, 0.0,0.5,2022-10-09 15:00:00,154.4,7.472,41
10.051,20.6,81.2,0.0,917.15, 0.0,0.5,2022-10-09 16:00:00,182.5,6.987,41
9.558,6.9,78.4,0.0,916.85, 0.0,1.01,2022-10-09 17:00:00,188.1,5.996,41
8.643,0.6,77.5,0.0,916.55, 0.0,1.01,2022-10-09 18:00:00,185.3,4.94,41
8.27,0.6,77.5,0.0,916.15, 0.0,1.01,2022-10-09 19:00:00,175.5,4.578,41
7.72,0.6,79.4,0.0,915.85, 0.0,1.01,2022-10-09 20:00:00,175.5,4.389,41
8.17,0.6,84.8,0.0,915.15, 0.0,1.51,2022-10-09 21:00:00,172.7,5.774,41
6.535,0.6,87.1,0.0,914.45, 0.0,1.01,2022-10-09 22:00:00,153.0,4.55,41
6.102,0.6,90.2,0.0,913.55, 0.0,1.01,2022-10-09 23:00:00,147.4,4.622,41
5.693,0.6,91.8,0.0,912.25, 0.0,1.01,2022-10-10 00:00:00,150.2,4.469,41
7.594,0.6,88.5,0.0,911.25, 0.0,3.02,2022-10-10 01:00:00,123.5,5.823,41
6.509,0.6,87.3,0.0,910.35, 0.0,4.03,2022-10-10 02:00:00,129.2,4.557,41
8.045,0.6,88.4,0.0,909.55, 0.0,3.52,2022-10-10 03:00:00,158.6,6.252,41
9.015,0.6,83.1,0.0,908.65, 0.0,3.02,2022-10-10 04:00:00,132.0,6.31,41
8.394,0.6,83.2,0.0,907.85, 0.0,3.52,2022-10-10 05:00:00,122.1,5.718,41
7.845,0.6,87.3,0.0,907.35, 0.0,2.01,2022-10-10 06:00:00,108.1,5.874,41
7.845,5.6,92.5,0.0,906.85, 0.2,0.5,2022-10-10 07:00:00,117.9,6.713,41
8.866,28.1,95.6,0.0,906.15, 1.0,1.01,2022-10-10 08:00:00,167.1,8.211,41
8.245,55.6,95.4,0.0,905.85, 0.8,1.51,2022-10-10 09:00:00,289.2,7.561,41
10.198,163.1,93.2,0.0,904.75, 0.2,2.52,2022-10-10 10:00:00,112.3,9.159,41
10.247,138.1,92.5,0.0,904.75, 0.0,3.52,2022-10-10 11:00:00,289.2,9.096,41
9.829,105.6,94.0,0.0,904.45, 0.6,1.51,2022-10-10 12:00:00,221.8,8.92,41
9.015,126.9,95.1,0.0,904.55, 2.0,3.52,2022-10-10 13:00:00,206.4,8.282,41
9.657,128.1,92.1,0.0,904.55, 0.2,2.01,2022-10-10 14:00:00,216.2,8.447,41
9.829,56.9,92.3,0.0,904.95, 0.0,6.04,2022-10-10 15:00:00,279.4,8.649,41
8.618,16.9,73.0,2.01,906.35, 0.0,10.57,2022-10-10 16:00:00,283.6,4.061,41
8.519,4.4,58.7,2.01,907.45, 0.0,8.05,2022-10-10 17:00:00,287.8,0.903,41
7.87,0.6,55.4,1.01,908.45, 0.0,7.05,2022-10-10 18:00:00,286.4,-0.503,41
7.845,0.6,56.5,0.5,909.45, 0.0,5.03,2022-10-10 19:00:00,280.8,-0.256,41
7.67,0.6,55.2,0.5,909.95, 0.0,5.03,2022-10-10 20:00:00,276.6,-0.739,41
6.255,0.6,57.6,0.5,910.65, 0.0,4.53,2022-10-10 21:00:00,273.8,-1.484,41
4.766,0.6,72.2,0.0,911.25, 0.0,2.01,2022-10-10 22:00:00,245.7,0.192,41
4.298,0.6,71.7,0.0,911.35, 0.0,2.52,2022-10-10 23:00:00,265.3,-0.355,41
3.775,0.6,70.4,0.0,911.85, 0.0,3.02,2022-10-11 00:00:00,256.9,-1.109,41
5.154,0.6,72.1,0.0,912.35, 0.0,3.02,2022-10-11 01:00:00,251.3,0.547,41
4.818,0.6,66.8,0.0,912.65, 0.0,4.03,2022-10-11 02:00:00,268.1,-0.825,41
2.77,0.6,76.2,0.0,912.95, 0.0,2.01,2022-10-11 03:00:00,244.3,-0.999,41
3.932,0.6,76.7,0.0,913.55, 0.0,2.52,2022-10-11 04:00:00,272.4,0.218,41
4.376,0.6,71.5,0.0,914.05, 0.0,2.52,2022-10-11 05:00:00,273.8,-0.318,41
4.168,0.6,70.7,0.0,914.45, 0.0,2.52,2022-10-11 06:00:00,268.1,-0.672,41
5.024,18.1,70.1,0.0,915.15, 0.0,3.02,2022-10-11 07:00:00,278.0,0.033,41
5.128,28.1,67.8,0.0,915.35, 0.0,3.52,2022-10-11 08:00:00,293.4,-0.325,41
4.61,64.4,74.3,0.0,915.95, 0.0,1.51,2022-10-11 09:00:00,299.0,0.437,41
4.376,79.4,76.6,0.0,916.75, 0.0,0.0,2022-10-11 10:00:00,310.3,0.631,41
5.616,129.4,77.8,0.0,916.95, 0.0,1.01,2022-10-11 11:00:00,301.8,2.053,41
6.484,136.9,78.0,0.0,916.75, 0.0,2.01,2022-10-11 12:00:00,283.6,2.933,41
7.242,123.1,74.4,0.0,916.55, 0.0,3.02,2022-10-11 13:00:00,286.4,3.001,41
7.745,123.1,70.7,0.0,916.15, 0.0,2.01,2022-10-11 14:00:00,283.6,2.767,41
7.268,30.6,71.5,0.0,916.35, 0.0,1.51,2022-10-11 15:00:00,293.4,2.467,41
5.076,26.9,82.9,0.0,916.55, 0.0,0.5,2022-10-11 16:00:00,252.7,2.416,41
5.102,5.6,85.3,0.0,916.85, 0.0,0.5,2022-10-11 17:00:00,186.7,2.843,41
4.662,0.6,86.1,0.0,917.05, 0.0,0.5,2022-10-11 18:00:00,213.4,2.542,41
4.869,0.6,86.0,0.0,917.65, 0.0,0.5,2022-10-11 19:00:00,216.2,2.729,41
5.076,0.6,87.0,0.0,918.05, 0.0,0.5,2022-10-11 20:00:00,193.7,3.096,41
5.128,0.6,87.4,0.0,918.65, 0.0,0.0,2022-10-11 21:00:00,207.8,3.212,41
4.037,0.6,88.0,0.0,918.95, 0.0,0.0,2022-10-11 22:00:00,221.8,2.232,41
3.274,0.6,90.0,0.0,919.55, 0.0,0.0,2022-10-11 23:00:00,221.8,1.793,41
2.717,0.6,91.9,0.0,919.95, 0.0,0.0,2022-10-12 00:00:00,221.8,1.533,41
2.155,0.6,93.3,0.0,920.15, 0.0,0.0,2022-10-12 01:00:00,221.8,1.186,41
2.074,0.6,93.9,0.0,920.55, 0.0,0.0,2022-10-12 02:00:00,221.8,1.194,41
2.557,0.6,94.3,0.0,920.85, 0.0,0.0,2022-10-12 03:00:00,220.4,1.734,41
2.557,0.6,94.4,0.0,921.75, 0.0,0.0,2022-10-12 04:00:00,193.7,1.749,41
2.956,0.6,94.3,0.0,922.05, 0.0,0.0,2022-10-12 05:00:00,192.3,2.131,41
1.832,0.6,94.0,0.0,922.45, 0.0,0.0,2022-10-12 06:00:00,189.5,0.968,41
1.099,13.1,95.2,0.0,922.95, 0.0,0.0,2022-10-12 07:00:00,189.5,0.414,41
2.128,25.6,95.7,0.0,923.55, 0.0,0.0,2022-10-12 08:00:00,189.5,1.512,41
4.089,295.6,93.7,0.0,923.85, 0.0,0.0,2022-10-12 09:00:00,189.5,3.167,41
8.693,385.6,85.7,0.0,924.05, 0.0,0.0,2022-10-12 10:00:00,240.1,6.441,41
8.419,145.6,78.3,0.0,924.25, 0.0,2.01,2022-10-12 11:00:00,217.6,4.87,41
8.916,35.6,76.6,0.0,923.85, 0.0,2.01,2022-10-12 12:00:00,271.0,5.038,41
8.27,23.1,74.0,0.0,923.55, 0.0,2.52,2022-10-12 13:00:00,256.9,3.919,41
7.116,20.6,79.9,0.0,923.65, 0.0,2.52,2022-10-12 14:00:00,237.3,3.889,41
7.167,16.9,83.1,0.0,923.65, 0.0,1.51,2022-10-12 15:00:00,227.4,4.499,41
6.914,14.4,83.3,0.0,923.75, 0.0,1.51,2022-10-12 16:00:00,214.8,4.285,41
7.419,4.4,81.8,0.0,924.25, 0.0,2.01,2022-10-12 17:00:00,233.1,4.52,41
6.051,0.6,83.4,0.0,924.45, 0.0,2.52,2022-10-12 18:00:00,219.0,3.456,41
6.026,0.6,86.2,0.0,924.45, 0.0,0.5,2022-10-12 19:00:00,181.1,3.901,41
5.488,0.6,87.8,0.0,924.65, 0.0,0.5,2022-10-12 20:00:00,183.9,3.632,41
4.428,0.6,89.1,0.0,924.55, 0.0,1.01,2022-10-12 21:00:00,181.1,2.793,41
3.985,0.6,90.9,0.0,924.65, 0.0,0.0,2022-10-12 22:00:00,181.1,2.636,41
3.406,0.6,92.2,0.0,924.75, 0.0,0.5,2022-10-12 23:00:00,171.3,2.262,41
3.036,0.6,93.4,0.0,924.55, 0.0,1.51,2022-10-13 00:00:00,167.1,2.076,41
2.717,0.6,94.0,0.0,924.45, 0.0,1.01,2022-10-13 01:00:00,161.5,1.848,41
3.274,0.6,93.1,0.0,924.65, 0.0,2.01,2022-10-13 02:00:00,137.6,2.267,41
2.823,0.6,92.6,0.0,924.45, 0.0,2.01,2022-10-13 03:00:00,146.0,1.744,41
2.209,0.6,93.6,0.0,924.15, 0.0,2.01,2022-10-13 04:00:00,150.2,1.284,41
2.047,0.6,94.6,0.0,923.65, 0.0,4.03,2022-10-13 05:00:00,136.2,1.271,41
1.643,0.6,95.2,0.0,923.45, 0.0,2.01,2022-10-13 06:00:00,71.6,0.956,41
1.643,51.9,95.4,0.0,923.45, 0.0,2.52,2022-10-13 07:00:00,344.0,0.985,41
2.877,81.9,95.0,0.0,923.35, 0.0,1.51,2022-10-13 08:00:00,123.5,2.156,41
4.869,159.4,93.7,0.0,923.35, 0.0,1.01,2022-10-13 09:00:00,115.1,3.943,41
7.116,336.9,90.5,0.0,922.75, 0.0,1.51,2022-10-13 10:00:00,98.3,5.674,41
9.213,226.9,83.4,0.0,922.15, 0.0,1.51,2022-10-13 11:00:00,124.9,6.556,41
9.163,149.4,81.5,0.0,921.35, 0.0,2.01,2022-10-13 12:00:00,108.1,6.173,41
10.492,175.6,79.7,0.0,920.95, 0.0,2.01,2022-10-13 13:00:00,99.7,7.145,41
9.854,33.1,78.1,0.0,920.25, 0.0,2.52,2022-10-13 14:00:00,129.2,6.229,41
9.657,44.4,79.2,0.0,919.15, 0.0,3.02,2022-10-13 15:00:00,147.4,6.24,41
9.78,26.9,84.5,0.0,918.35, 0.0,2.01,2022-10-13 16:00:00,150.2,7.303,41
8.767,3.1,86.5,0.0,917.85, 0.0,1.51,2022-10-13 17:00:00,151.6,6.648,41
8.693,0.6,85.9,0.0,917.55, 0.0,2.52,2022-10-13 18:00:00,158.6,6.474,41
7.242,0.6,89.1,0.0,917.35, 0.0,0.5,2022-10-13 19:00:00,168.5,5.573,41
6.737,0.6,91.1,0.0,917.15, 0.0,0.0,2022-10-13 20:00:00,178.3,5.394,41
5.924,0.6,91.9,0.0,916.85, 0.0,0.0,2022-10-13 21:00:00,176.9,4.713,41
5.975,0.6,93.3,0.0,916.75, 0.0,0.5,2022-10-13 22:00:00,174.1,4.981,41
5.719,0.6,93.4,0.0,916.55, 0.0,0.5,2022-10-13 23:00:00,143.2,4.742,41
6.712,0.6,93.2,0.0,916.35, 0.0,1.51,2022-10-14 00:00:00,154.4,5.697,41
6.763,0.6,90.7,0.0,916.05, 0.0,1.51,2022-10-14 01:00:00,112.3,5.356,41
6.914,0.6,92.1,0.0,916.05, 0.0,1.51,2022-10-14 02:00:00,91.3,5.726,41
