RELATIVE_HUMIDITY1,STANDARD_SNOW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,min_air_temp_snc_last_reset,DEW_POINT,avg_wnd_dir_10m_pst10mts,ACTUAL_WIND_DIRECTION,MAXIMUM_AIR_TEMPERATURE,snw_dpth,MAXIMUM_MEASURED_WIND_SPEED1,HEIGHT_OF_SNOW,pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,PRECIPITATION_NEW,max_air_temp_snc_last_reset,rel_hum,ACTUAL_WIND_SPEED,WIND_DIRECTION_STD_DEVIATION1,avg_wnd_spd_10m_pst10mts,air_temp,pcpn_amt_pst1hr,snwfl_amt_pst1hr,time,stn_pres,week_of_year
37.58, None, None, None, 14.43, 107.6, -20.0, -9.3, -20.0, None, None, None, None, None, None, 11.5, None, -9.06, None, -8.9, 38.0, None, 19.04, None, -9.1, 0.0, None,2022-12-10 00:00:00, None,50
38.04, None, None, None, 16.76, 110.8, -19.0, -9.3, -19.0, None, None, None, None, None, None, 10.6, None, -8.94, None, -8.9, 38.0, None, 17.78, None, -8.9, 0.0, None,2022-12-10 01:00:00, None,50
39.41, None, None, None, 19.96, 101.0, -19.0, -9.3, -19.0, None, None, None, None, None, None, 10.0, None, -8.6, None, -8.6, 39.0, None, 15.27, None, -8.6, 0.1, None,2022-12-10 02:00:00, None,50
40.42, None, None, None, 22.47, 99.6, -18.0, -9.3, -18.0, None, None, None, None, None, None, 8.7, None, -8.27, None, -8.3, 40.0, None, 13.91, None, -8.3, 0.0, None,2022-12-10 03:00:00, None,50
41.23, None, None, None, 22.8, 101.7, -18.0, -9.3, -18.0, None, None, None, None, None, None, 7.4, None, -8.06, None, -8.0, 41.0, None, 12.22, None, -8.1, 0.2, None,2022-12-10 04:00:00, None,50
41.28, None, None, None, 16.23, 106.8, -18.0, -9.3, -18.0, None, None, None, None, None, None, 7.6, None, -7.9, None, -7.8, 41.0, None, 17.03, None, -7.9, 0.2, None,2022-12-10 05:00:00, None,50
41.91, None, None, None, 15.5, 108.0, -17.0, -9.3, -17.0, None, None, None, None, None, None, 7.6, None, -7.83, None, -7.8, 42.0, None, 19.2, None, -7.8, 0.4, None,2022-12-10 06:00:00, None,50
41.02, None, None, None, 11.92, 116.8, -18.0, -8.0, -18.0, None, None, None, None, None, None, 7.3, None, -7.99, None, -7.8, 41.0, None, 21.86, None, -8.0, 0.3, None,2022-12-10 07:00:00, None,50
41.56, None, None, None, 11.04, 120.7, -18.0, -8.0, -18.0, None, None, None, None, None, None, 6.9, None, -8.0, None, -7.8, 42.0, None, 24.46, None, -8.0, 0.1, None,2022-12-10 08:00:00, None,50
42.89, None, None, None, 12.1, 116.9, -17.0, -8.0, -17.0, None, None, None, None, None, None, 6.5, None, -7.53, None, -7.5, 43.0, None, 18.63, None, -7.5, 0.0, None,2022-12-10 09:00:00, None,50
