pcpn_amt_pst24hrs,cum_pcpn_amt,ONE_DAY_SNOW,air_temp_2,air_temp_1,snw_dpth,MAX_TEMP,ONE_DAY_PRECIPITATION,pcpn_amt_pst1hr,snw_dpth_wtr_equiv,MIN_TEMP,time,SNOW_ON_THE_GROUND,week_of_year
10.0,1036.0, None, -0.9, -0.9, 203.0, None, None, None,765.0, None,2022-02-05 00:00:00, None,6
10.0,1037.0, None, -1.0, -1.0, 204.0, None, None, 1.0,765.0, None,2022-02-05 01:00:00, None,6
10.0,1038.0, None, -0.7, -0.7, 204.0, None, None, 1.0,765.0, None,2022-02-05 02:00:00, None,6
10.0,1038.0, None, -0.9, -0.9, 203.0, None, None, 0.0,765.0, None,2022-02-05 03:00:00, None,6
12.0,1038.0, None, -1.3, -1.3, 203.0, None, None, 0.0,765.0, None,2022-02-05 04:00:00, None,6
11.0,1038.0, None, -1.3, -1.3, 203.0, None, None, 0.0,767.0, None,2022-02-05 05:00:00, None,6
10.0,1038.0, None, -1.1, -1.1, 203.0, None, None, 0.0,766.0, None,2022-02-05 06:00:00, None,6
10.0,1038.0, None, -0.3, -0.3, 202.0, None, None, 0.0,766.0, None,2022-02-05 07:00:00, None,6
9.0,1037.0, None, -0.9, -0.9, 202.0, None, None, None,766.0, None,2022-02-05 08:00:00, None,6
11.0,1039.0, None, -0.1, -0.1, 203.0, None, None, 2.0,766.0, None,2022-02-05 09:00:00, None,6
10.0,1038.0, None, 0.6, 0.6, 202.0, None, None, None,767.0, None,2022-02-05 10:00:00, None,6
10.0,1039.0, None, 1.8, 1.8, 202.0, None, None, 1.0,767.0, None,2022-02-05 11:00:00, None,6
9.0,1040.0, None, 1.0, 1.0, 201.0, None, None, 1.0,767.0, None,2022-02-05 12:00:00, None,6
7.0,1040.0, None, 1.2, 1.2, 201.0, None, None, 0.0,768.0, None,2022-02-05 13:00:00, None,6
7.0,1040.0, None, 1.1, 1.1, 201.0, None, None, 0.0,768.0, None,2022-02-05 14:00:00, None,6
7.0,1040.0, None, 0.5, 0.5, 201.0, None, None, 0.0,769.0, None,2022-02-05 15:00:00, None,6
6.0,1040.0, None, 0.7, 0.7, 201.0, None, None, 0.0,770.0, None,2022-02-05 16:00:00, None,6
6.0,1040.0, None, 0.4, 0.4, 201.0, None, None, 0.0,772.0, None,2022-02-05 17:00:00, None,6
7.0,1040.0, None, -0.4, -0.4, 201.0, None, None, 0.0,773.0, None,2022-02-05 18:00:00, None,6
9.0,1040.0, None, 0.0, 0.0, 201.0, None, None, 0.0,774.0, None,2022-02-05 19:00:00, None,6
5.0,1040.0, None, 0.2, 0.2, 200.0, None, None, 0.0,776.0, None,2022-02-05 20:00:00, None,6
4.0,1040.0, None, 0.6, 0.6, 201.0, None, None, 0.0,776.0, None,2022-02-05 21:00:00, None,6
3.0,1039.0, None, 1.2, 1.2, 200.0, None, None, None,776.0, None,2022-02-05 22:00:00, None,6
2.0,1039.0, None, 1.5, 1.5, 200.0, None, None, 0.0,780.0, None,2022-02-05 23:00:00, None,6
3.0,1039.0, None, 1.7, 1.7, 200.0, None, None, 0.0,780.0, None,2022-02-06 00:00:00, None,6
2.0,1039.0, None, 1.8, 1.8, 200.0, None, None, 0.0,779.0, None,2022-02-06 01:00:00, None,6
1.0,1039.0, None, 0.5, 0.5, 200.0, None, None, 0.0,778.0, None,2022-02-06 02:00:00, None,6
