pcpn_amt_pst24hrs,SWE,cum_pcpn_amt,ONE_DAY_SNOW,air_temp_2,air_temp_1,snw_dpth,MAX_TEMP,ONE_DAY_PRECIPITATION,pcpn_amt_pst1hr,snw_dpth_wtr_equiv,MIN_TEMP,time,SNOW_ON_THE_GROUND,week_of_year
0.0, None,118.0, None, None,7.2,131.0, None, None, 0.0,555.0, None,2023-04-30 00:00:00, None,18
0.0, None,118.0, None, None,7.8,131.0, None, None, 0.0,554.0, None,2023-04-30 01:00:00, None,18
0.0, None,118.0, None, None,7.5,131.0, None, None, 0.0,553.0, None,2023-04-30 02:00:00, None,18
0.0, None,118.0, None, None,9.1,131.0, None, None, 0.0,552.0, None,2023-04-30 03:00:00, None,18
0.0, None,118.0, None, None,9.5,131.0, None, None, 0.0,552.0, None,2023-04-30 04:00:00, None,18
0.0, None,118.0, None, None,8.5,130.0, None, None, 0.0,551.0, None,2023-04-30 05:00:00, None,18
1.0, None,119.0, None, None,7.1,131.0, None, None, 1.0,551.0, None,2023-04-30 06:00:00, None,18
0.0, None,118.0, None, None,9.2,131.0, None, None, None,550.0, None,2023-04-30 07:00:00, None,18
0.0, None,118.0, None, None,12.1,130.0, None, None, 0.0,550.0, None,2023-04-30 08:00:00, None,18
0.0, None,118.0, None, None,12.8,131.0, None, None, 0.0,549.0, None,2023-04-30 09:00:00, None,18
1.0, None,119.0, None, None,12.3,130.0, None, None, 1.0,549.0, None,2023-04-30 10:00:00, None,18
0.0, None,118.0, None, None,10.9,130.0, None, None, None,548.0, None,2023-04-30 11:00:00, None,18
0.0, None,118.0, None, None,14.1,128.0, None, None, 0.0,548.0, None,2023-04-30 12:00:00, None,18
None, None,118.0, None, None,13.6,128.0, None, None, 0.0,548.0, None,2023-04-30 13:00:00, None,18
None, None,118.0, None, None,11.7,127.0, None, None, 0.0,548.0, None,2023-04-30 14:00:00, None,18
0.0, None,118.0, None, None,9.4,127.0, None, None, 0.0,547.0, None,2023-04-30 15:00:00, None,18
0.0, None,118.0, None, None,11.8,125.0, None, None, 0.0,545.0, None,2023-04-30 16:00:00, None,18
0.0, None,118.0, None, None,10.9,125.0, None, None, 0.0,543.0, None,2023-04-30 17:00:00, None,18
0.0, None,118.0, None, None,8.7,125.0, None, None, 0.0,541.0, None,2023-04-30 18:00:00, None,18
None, None,118.0, None, None,6.9,125.0, None, None, 0.0,539.0, None,2023-04-30 19:00:00, None,18
0.0, None,118.0, None, None,3.9,126.0, None, None, 0.0,538.0, None,2023-04-30 20:00:00, None,18
0.0, None,118.0, None, None,2.7,126.0, None, None, 0.0,536.0, None,2023-04-30 21:00:00, None,18
0.0, None,118.0, None, None,2.3,126.0, None, None, 0.0,535.0, None,2023-04-30 22:00:00, None,18
0.0, None,118.0, None, None,2.1,126.0, None, None, 0.0,534.0, None,2023-04-30 23:00:00, None,18
0.0, None,118.0, None, None,1.7,125.0, None, None, 0.0,533.0, None,2023-05-01 00:00:00, None,18
1.0, None,119.0, None, None,1.4,125.0, None, None, 1.0,532.0, None,2023-05-01 01:00:00, None,18
1.0, None,119.0, None, None,1.4,125.0, None, None, 0.0,532.0, None,2023-05-01 02:00:00, None,18
1.0, None,119.0, None, None,1.8,125.0, None, None, 0.0,532.0, None,2023-05-01 03:00:00, None,18
1.0, None,119.0, None, None,1.4,125.0, None, None, 0.0,531.0, None,2023-05-01 04:00:00, None,18
