pcpn_amt_pst24hrs,SWE,cum_pcpn_amt,ONE_DAY_SNOW,air_temp_2,air_temp_1,snw_dpth,MAX_TEMP,ONE_DAY_PRECIPITATION,pcpn_amt_pst1hr,snw_dpth_wtr_equiv,time,MIN_TEMP,week_of_year
None, None,58.0, None,-6.9,-6.8, None, None, None, None,142.0,2023-01-08 15:00:00, None,2
None, None,58.0, None,-14.4,-14.1, None, None, None, None,142.0,2023-01-08 23:00:00, None,2
None, None,58.0, None,-14.8,-14.4, None, None, None, 0.0,142.0,2023-01-09 00:00:00, None,2
None, None,58.0, None,-18.0,-18.0, None, None, None, None,140.0,2023-01-09 11:00:00, None,2
None, None,58.0, None,-13.1,-12.8, None, None, None, None,142.0,2023-01-10 02:00:00, None,2
None, None,58.0, None,-12.5,-12.6, None, None, None, None,141.0,2023-01-10 07:00:00, None,2
0.0, None,58.0, None,-9.6,-9.8, None, None, None, None,142.0,2023-01-10 11:00:00, None,2
None, None,58.0, None,-9.1,-9.1, None, None, None, None,142.0,2023-01-10 19:00:00, None,2
0.0, None,58.0, None,-7.8,-7.9, None, None, None, None,143.0,2023-01-11 02:00:00, None,2
None, None,61.0, None,-9.5,-9.1, None, None, None, None,146.0,2023-01-11 23:00:00, None,2
None, None,61.0, None,-15.6,-15.2, None, None, None, None,144.0,2023-01-12 07:00:00, None,2
1.0, None,62.0, None,-8.1,-8.3, None, None, None, None,145.0,2023-01-12 23:00:00, None,2
None, None,63.0, None,-7.7,-7.7, None, None, None, None,146.0,2023-01-13 03:00:00, None,2
None, None,62.0, None,-8.6,-8.5, None, None, None, None,146.0,2023-01-13 19:00:00, None,2
None, None,62.0, None,-6.9,-6.9, None, None, None, None,146.0,2023-01-14 02:00:00, None,2
0.0, None,63.0, None,-6.6,-6.7, None, None, None, 1.0,146.0,2023-01-14 03:00:00, None,2
None, None,62.0, None,-6.7,-6.7, None, None, None, None,146.0,2023-01-14 04:00:00, None,2
None, None,62.0, None,-3.1,-3.1, None, None, None, None,147.0,2023-01-14 17:00:00, None,2
0.0, None,62.0, None,-4.1,-4.1, None, None, None, None,147.0,2023-01-14 19:00:00, None,2
