AirTemp,ONE_DAY_PRECIPITATION,Snow_WE,time,MIN_TEMP,MAX_TEMP,week_of_year
4.3, 3.1, 859.9,2023-05-14 00:00:00, 3.4, 19.5,20
4.1, None, 859.9,2023-05-14 00:15:00, None, None,20
4.4, None, 856.5,2023-05-14 00:30:00, None, None,20
4.2, None, 856.5,2023-05-14 00:45:00, None, None,20
4.3, None, 859.9,2023-05-14 01:00:00, None, None,20
4.5, None, 858.8,2023-05-14 01:15:00, None, None,20
4.0, None, 858.8,2023-05-14 01:30:00, None, None,20
4.3, None, 855.5,2023-05-14 01:45:00, None, None,20
4.0, None, 855.5,2023-05-14 02:00:00, None, None,20
3.9, None, 855.5,2023-05-14 02:15:00, None, None,20
4.3, None, 858.8,2023-05-14 02:30:00, None, None,20
3.8, None, 858.8,2023-05-14 02:45:00, None, None,20
3.7, None, 855.5,2023-05-14 03:00:00, None, None,20
4.3, None, 858.8,2023-05-14 03:15:00, None, None,20
3.4, None, 858.8,2023-05-14 03:30:00, None, None,20
4.1, None, 858.8,2023-05-14 03:45:00, None, None,20
3.7, None, 858.8,2023-05-14 04:00:00, None, None,20
4.1, None, 855.5,2023-05-14 04:15:00, None, None,20
4.0, None, 855.5,2023-05-14 04:30:00, None, None,20
3.5, None, 858.8,2023-05-14 04:45:00, None, None,20
4.2, None, 858.8,2023-05-14 05:00:00, None, None,20
4.6, None, 858.8,2023-05-14 05:15:00, None, None,20
6.1, None, 857.8,2023-05-14 05:30:00, None, None,20
6.2, None, 854.5,2023-05-14 05:45:00, None, None,20
7.9, None, 854.5,2023-05-14 06:00:00, None, None,20
9.7, None, 857.8,2023-05-14 06:15:00, None, None,20
10.8, None, 856.8,2023-05-14 06:30:00, None, None,20
12.0, None, 856.8,2023-05-14 06:45:00, None, None,20
13.9, None, 853.4,2023-05-14 07:00:00, None, None,20
15.5, None, 856.8,2023-05-14 07:15:00, None, None,20
16.2, None, 853.4,2023-05-14 07:30:00, None, None,20
16.7, None, 856.8,2023-05-14 07:45:00, None, None,20
16.6, None, 853.4,2023-05-14 08:00:00, None, None,20
16.6, None, 853.4,2023-05-14 08:15:00, None, None,20
17.1, None, 853.4,2023-05-14 08:30:00, None, None,20
17.9, None, 856.8,2023-05-14 08:45:00, None, None,20
16.7, None, 853.4,2023-05-14 09:00:00, None, None,20
17.2, None, 856.8,2023-05-14 09:15:00, None, None,20
17.5, None, 856.8,2023-05-14 09:30:00, None, None,20
17.8, None, 856.8,2023-05-14 09:45:00, None, None,20
