pcpn_amt_pst24hrs,ONE_DAY_PRECIPITATION,pcpn_amt_pst1hr,snw_dpth_wtr_equiv,cum_pcpn_amt,ONE_DAY_SNOW,time,air_temp_1,MIN_TEMP,snw_dpth,MAX_TEMP,week_of_year
4.0, None, 0.0,110.0,234.0, None,2023-05-28 00:00:00, None, None, None, None,22
4.0, None, 0.0,109.0,234.0, None,2023-05-28 01:00:00, None, None, None, None,22
4.0, None, 0.0,108.0,234.0, None,2023-05-28 02:00:00, None, None, None, None,22
3.0, None, 0.0,107.0,234.0, None,2023-05-28 03:00:00, None, None, None, None,22
4.0, None, 0.0,106.0,234.0, None,2023-05-28 04:00:00, None, None, None, None,22
3.0, None, 0.0,105.0,234.0, None,2023-05-28 05:00:00, None, None, None, None,22
3.0, None, 0.0,105.0,234.0, None,2023-05-28 06:00:00, None, None, None, None,22
4.0, None, 1.0,105.0,235.0, None,2023-05-28 07:00:00, None, None, None, None,22
4.0, None, 0.0,104.0,235.0, None,2023-05-28 08:00:00, None, None, None, None,22
4.0, None, 0.0,103.0,235.0, None,2023-05-28 09:00:00, None, None, None, None,22
4.0, None, 0.0,102.0,235.0, None,2023-05-28 10:00:00, None, None, None, None,22
4.0, None, 0.0,101.0,235.0, None,2023-05-28 11:00:00, None, None, None, None,22
5.0, None, 1.0,98.0,236.0, None,2023-05-28 12:00:00, None, None, None, None,22
5.0, None, None,94.0,234.0, None,2023-05-28 13:00:00, None, None, None, None,22
6.0, None, 1.0,90.0,235.0, None,2023-05-28 14:00:00, None, None, None, None,22
5.0, None, 0.0,87.0,235.0, None,2023-05-28 15:00:00, None, None, None, None,22
5.0, None, None,85.0,234.0, None,2023-05-28 16:00:00, None, None, None, None,22
1.0, None, 0.0,83.0,234.0, None,2023-05-28 17:00:00, None, None, None, None,22
1.0, None, 0.0,82.0,234.0, None,2023-05-28 18:00:00, None, None, None, None,22
0.0, None, 0.0,81.0,234.0, None,2023-05-28 19:00:00, None, None, None, None,22
1.0, None, 0.0,79.0,234.0, None,2023-05-28 20:00:00, None, None, None, None,22
0.0, None, 0.0,78.0,234.0, None,2023-05-28 21:00:00, None, None, None, None,22
0.0, None, 0.0,77.0,234.0, None,2023-05-28 22:00:00, None, None, None, None,22
0.0, None, 0.0,76.0,234.0, None,2023-05-28 23:00:00, None, None, None, None,22
1.0, None, 1.0,76.0,235.0, None,2023-05-29 00:00:00, None, None, None, None,22
0.0, None, None,75.0,234.0, None,2023-05-29 01:00:00, None, None, None, None,22
0.0, None, 0.0,74.0,234.0, None,2023-05-29 02:00:00, None, None, None, None,22
1.0, None, 1.0,73.0,235.0, None,2023-05-29 03:00:00, None, None, None, None,22
