AirTemp,ONE_DAY_PRECIPITATION,time,MIN_TEMP,MAX_TEMP,week_of_year
12.2, 0.3,2023-06-11 00:00:00, 12.0, 22.5,24
12.0, None,2023-06-11 01:00:00, None, None,24
12.0, None,2023-06-11 02:00:00, None, None,24
12.0, None,2023-06-11 03:00:00, None, None,24
12.0, None,2023-06-11 04:00:00, None, None,24
12.2, None,2023-06-11 05:00:00, None, None,24
12.4, None,2023-06-11 06:00:00, None, None,24
13.0, None,2023-06-11 07:00:00, None, None,24
14.3, None,2023-06-11 08:00:00, None, None,24
16.0, None,2023-06-11 09:00:00, None, None,24
17.2, None,2023-06-11 10:00:00, None, None,24
19.8, None,2023-06-11 11:00:00, None, None,24
21.5, None,2023-06-11 12:00:00, None, None,24
22.5, None,2023-06-11 13:00:00, None, None,24
22.5, None,2023-06-11 14:00:00, None, None,24
21.5, None,2023-06-11 15:00:00, None, None,24
20.2, None,2023-06-11 16:00:00, None, None,24
20.0, None,2023-06-11 17:00:00, None, None,24
18.1, None,2023-06-11 18:00:00, None, None,24
16.8, None,2023-06-11 19:00:00, None, None,24
15.6, None,2023-06-11 20:00:00, None, None,24
14.7, None,2023-06-11 21:00:00, None, None,24
13.7, None,2023-06-11 22:00:00, None, None,24
12.8, None,2023-06-11 23:00:00, None, None,24
12.1, 0.6,2023-06-12 00:00:00, 9.3, 26.8,24
11.5, None,2023-06-12 01:00:00, None, None,24
10.7, None,2023-06-12 02:00:00, None, None,24
10.2, None,2023-06-12 03:00:00, None, None,24
9.8, None,2023-06-12 04:00:00, None, None,24
9.3, None,2023-06-12 05:00:00, None, None,24
9.6, None,2023-06-12 06:00:00, None, None,24
11.1, None,2023-06-12 07:00:00, None, None,24
13.4, None,2023-06-12 08:00:00, None, None,24
16.4, None,2023-06-12 09:00:00, None, None,24
20.1, None,2023-06-12 10:00:00, None, None,24
23.5, None,2023-06-12 11:00:00, None, None,24
25.9, None,2023-06-12 12:00:00, None, None,24
26.6, None,2023-06-12 13:00:00, None, None,24
26.8, None,2023-06-12 14:00:00, None, None,24
25.1, None,2023-06-12 15:00:00, None, None,24
23.9, None,2023-06-12 16:00:00, None, None,24
22.6, None,2023-06-12 17:00:00, None, None,24
20.0, None,2023-06-12 18:00:00, None, None,24
18.1, None,2023-06-12 19:00:00, None, None,24
16.7, None,2023-06-12 20:00:00, None, None,24
15.4, None,2023-06-12 21:00:00, None, None,24
