pcpn_amt_pst24hrs,SWE,cum_pcpn_amt,ONE_DAY_SNOW,air_temp_2,air_temp_1,snw_dpth,MAX_TEMP,ONE_DAY_PRECIPITATION,pcpn_amt_pst1hr,snw_dpth_wtr_equiv,MIN_TEMP,time,SNOW_ON_THE_GROUND,week_of_year
0.0, None,539.0, None,10.4,10.4,-11.0, None, None, 0.0,1.0, None,2023-07-23 00:00:00, None,30
0.0, None,539.0, None,9.4,9.4,-11.0, None, None, 0.0,1.0, None,2023-07-23 01:00:00, None,30
0.0, None,539.0, None,9.2,9.2,-10.0, None, None, 0.0,0.0, None,2023-07-23 02:00:00, None,30
0.0, None,539.0, None,8.2,7.9,-10.0, None, None, 0.0,0.0, None,2023-07-23 03:00:00, None,30
0.0, None,539.0, None,7.0,6.8,-11.0, None, None, 0.0,0.0, None,2023-07-23 04:00:00, None,30
1.0, None,540.0, None,6.6,6.5,-12.0, None, None, 1.0,-1.0, None,2023-07-23 05:00:00, None,30
1.0, None,540.0, None,6.7,6.3,-11.0, None, None, 0.0,-1.0, None,2023-07-23 06:00:00, None,30
0.0, None,539.0, None,8.8,8.9,-10.0, None, None, None,-1.0, None,2023-07-23 07:00:00, None,30
0.0, None,539.0, None,12.6,11.7,-11.0, None, None, 0.0,0.0, None,2023-07-23 08:00:00, None,30
1.0, None,539.0, None,12.6,11.5,-10.0, None, None, 0.0,0.0, None,2023-07-23 09:00:00, None,30
1.0, None,539.0, None,12.9,12.1,-10.0, None, None, 0.0,1.0, None,2023-07-23 10:00:00, None,30
0.0, None,538.0, None,14.9,13.5,-11.0, None, None, None,1.0, None,2023-07-23 11:00:00, None,30
1.0, None,538.0, None,15.8,14.6,-11.0, None, None, 0.0,2.0, None,2023-07-23 12:00:00, None,30
1.0, None,538.0, None,16.7,15.3,-11.0, None, None, 0.0,3.0, None,2023-07-23 13:00:00, None,30
1.0, None,538.0, None,16.3,15.5,-11.0, None, None, 0.0,3.0, None,2023-07-23 14:00:00, None,30
1.0, None,538.0, None,15.5,14.9,-10.0, None, None, 0.0,3.0, None,2023-07-23 15:00:00, None,30
1.0, None,538.0, None,15.3,14.8,-9.0, None, None, 0.0,3.0, None,2023-07-23 16:00:00, None,30
1.0, None,538.0, None,14.3,13.9,-11.0, None, None, 0.0,3.0, None,2023-07-23 17:00:00, None,30
2.0, None,538.0, None,16.2,15.1,-11.0, None, None, 0.0,3.0, None,2023-07-23 18:00:00, None,30
2.0, None,538.0, None,15.4,14.9,-11.0, None, None, 0.0,3.0, None,2023-07-23 19:00:00, None,30
0.0, None,538.0, None,14.3,14.0,-11.0, None, None, 0.0,3.0, None,2023-07-23 20:00:00, None,30
0.0, None,538.0, None,12.5,12.3,-11.0, None, None, 0.0,2.0, None,2023-07-23 21:00:00, None,30
1.0, None,539.0, None,11.7,11.8,-11.0, None, None, 1.0,2.0, None,2023-07-23 22:00:00, None,30
None, None,538.0, None,12.7,12.8,-11.0, None, None, None,1.0, None,2023-07-23 23:00:00, None,30
0.0, None,539.0, None,12.4,12.6,-9.0, None, None, 1.0,1.0, None,2023-07-24 00:00:00, None,30
0.0, None,539.0, None,11.8,11.7,-11.0, None, None, 0.0,1.0, None,2023-07-24 01:00:00, None,30
0.0, None,539.0, None,10.9,10.6,-11.0, None, None, 0.0,1.0, None,2023-07-24 02:00:00, None,30
0.0, None,539.0, None,11.5,11.4,-11.0, None, None, 0.0,1.0, None,2023-07-24 03:00:00, None,30
0.0, None,539.0, None,10.4,10.2,-11.0, None, None, 0.0,1.0, None,2023-07-24 04:00:00, None,30
None, None,539.0, None,10.1,10.3,-9.0, None, None, 0.0,1.0, None,2023-07-24 05:00:00, None,30
None, None,539.0, None,10.6,10.4,-11.0, None, None, 0.0,1.0, None,2023-07-24 06:00:00, None,30
0.0, None,539.0, None,10.3,10.8,-10.0, None, None, 0.0,1.0, None,2023-07-24 07:00:00, None,30
1.0, None,540.0, None,9.6,9.5,-10.0, None, None, 1.0,1.0, None,2023-07-24 08:00:00, None,30
2.0, None,541.0, None,9.4,9.5,-11.0, None, None, 1.0,1.0, None,2023-07-24 09:00:00, None,30
1.0, None,540.0, None,9.7,9.5,-11.0, None, None, None,1.0, None,2023-07-24 10:00:00, None,30
3.0, None,541.0, None,8.7,8.6,-11.0, None, None, 1.0,1.0, None,2023-07-24 11:00:00, None,30
3.0, None,541.0, None,9.9,9.7,-11.0, None, None, 0.0,1.0, None,2023-07-24 12:00:00, None,30
3.0, None,541.0, None,10.9,10.5,-10.0, None, None, 0.0,1.0, None,2023-07-24 13:00:00, None,30
3.0, None,541.0, None,10.6,10.3,-10.0, None, None, 0.0,1.0, None,2023-07-24 14:00:00, None,30
3.0, None,541.0, None,12.2,11.8,-10.0, None, None, 0.0,1.0, None,2023-07-24 15:00:00, None,30
4.0, None,542.0, None,12.5,11.8,-10.0, None, None, 1.0,1.0, None,2023-07-24 16:00:00, None,30
3.0, None,541.0, None,15.7,14.3,-12.0, None, None, None,1.0, None,2023-07-24 17:00:00, None,30
2.0, None,540.0, None,14.9,13.6,520.0, None, None, None,2.0, None,2023-07-24 18:00:00, None,30
2.0, None,540.0, None,14.7,13.0,-10.0, None, None, 0.0,2.0, None,2023-07-24 19:00:00, None,30
3.0, None,541.0, None,11.7,11.4,-10.0, None, None, 1.0,2.0, None,2023-07-24 20:00:00, None,30
3.0, None,541.0, None,10.6,10.5,-10.0, None, None, 0.0,1.0, None,2023-07-24 21:00:00, None,30
5.0, None,544.0, None,7.7,7.3,520.0, None, None, 3.0,1.0, None,2023-07-24 22:00:00, None,30
13.0, None,551.0, None,7.4,7.4,520.0, None, None, 7.0,0.0, None,2023-07-24 23:00:00, None,30
12.0, None,551.0, None,7.4,7.4,520.0, None, None, 0.0,0.0, None,2023-07-25 00:00:00, None,30
12.0, None,551.0, None,6.8,6.8,520.0, None, None, 0.0,0.0, None,2023-07-25 01:00:00, None,30
12.0, None,551.0, None,6.8,6.8,520.0, None, None, 0.0,-1.0, None,2023-07-25 02:00:00, None,30
12.0, None,551.0, None,6.5,6.5,520.0, None, None, 0.0,-1.0, None,2023-07-25 03:00:00, None,30
13.0, None,552.0, None,6.1,6.1,520.0, None, None, 1.0,-1.0, None,2023-07-25 04:00:00, None,30
13.0, None,552.0, None,5.6,5.6,520.0, None, None, 0.0,-1.0, None,2023-07-25 05:00:00, None,30
13.0, None,552.0, None,5.0,4.9,520.0, None, None, 0.0,-1.0, None,2023-07-25 06:00:00, None,30
13.0, None,552.0, None,4.5,4.3,520.0, None, None, 0.0,-1.0, None,2023-07-25 07:00:00, None,30
12.0, None,552.0, None,6.0,5.4,520.0, None, None, 0.0,-1.0, None,2023-07-25 08:00:00, None,30
11.0, None,552.0, None,7.2,6.5,-11.0, None, None, 0.0,-1.0, None,2023-07-25 09:00:00, None,30
12.0, None,552.0, None,6.1,5.9,520.0, None, None, 0.0,-1.0, None,2023-07-25 10:00:00, None,30
11.0, None,552.0, None,7.4,6.8,-10.0, None, None, 0.0,-1.0, None,2023-07-25 11:00:00, None,30
11.0, None,552.0, None,7.1,7.3,-11.0, None, None, 0.0,-1.0, None,2023-07-25 12:00:00, None,30
10.0, None,551.0, None,8.5,7.9,-11.0, None, None, None,0.0, None,2023-07-25 13:00:00, None,30
10.0, None,551.0, None,11.7,11.2,-11.0, None, None, 0.0,0.0, None,2023-07-25 14:00:00, None,30
14.0, None,555.0, None,4.2,3.8,-14.0, None, None, 4.0,1.0, None,2023-07-25 15:00:00, None,30
13.0, None,555.0, None,7.8,7.5,-11.0, None, None, 0.0,-1.0, None,2023-07-25 16:00:00, None,30
14.0, None,555.0, None,7.1,6.6,-11.0, None, None, 0.0,-1.0, None,2023-07-25 17:00:00, None,30
15.0, None,555.0, None,5.7,5.5,520.0, None, None, 0.0,-1.0, None,2023-07-25 18:00:00, None,30
17.0, None,557.0, None,6.4,6.5,-13.0, None, None, 2.0,-1.0, None,2023-07-25 19:00:00, None,30
17.0, None,558.0, None,6.0,5.5,-12.0, None, None, 1.0,-1.0, None,2023-07-25 20:00:00, None,30
17.0, None,558.0, None,4.7,4.6,520.0, None, None, 0.0,-1.0, None,2023-07-25 21:00:00, None,30
14.0, None,558.0, None,4.8,4.8,520.0, None, None, 0.0,-2.0, None,2023-07-25 22:00:00, None,30
7.0, None,558.0, None,4.8,4.8,520.0, None, None, 0.0,-2.0, None,2023-07-25 23:00:00, None,30
7.0, None,558.0, None,4.8,4.8,520.0, None, None, 0.0,-2.0, None,2023-07-26 00:00:00, None,30
7.0, None,558.0, None,4.8,4.8,520.0, None, None, 0.0,-2.0, None,2023-07-26 01:00:00, None,30
