pcpn_amt_pst24hrs,cum_pcpn_amt,ONE_DAY_SNOW,air_temp_2,air_temp_1,snw_dpth,MAX_TEMP,ONE_DAY_PRECIPITATION,pcpn_amt_pst1hr,snw_dpth_wtr_equiv,MIN_TEMP,time,SNOW_ON_THE_GROUND,week_of_year
0.0, 485.0, None, -0.3,0.2, 99.0, None, None, 0.0, 59.0, None,2023-11-19 00:00:00, None,47
0.0, 485.0, None, 0.0,0.1, 99.0, None, None, 0.0, 59.0, None,2023-11-19 01:00:00, None,47
0.0, 485.0, None, 0.4,0.8, 98.0, None, None, 0.0, 59.0, None,2023-11-19 02:00:00, None,47
0.0, 485.0, None, -0.2,0.2, 99.0, None, None, 0.0, 59.0, None,2023-11-19 03:00:00, None,47
0.0, 485.0, None, 0.7,0.9, 58.0, None, None, 0.0, 59.0, None,2023-11-19 04:00:00, None,47
0.0, 485.0, None, 0.8,0.5, 59.0, None, None, 0.0, 59.0, None,2023-11-19 05:00:00, None,47
0.0, 485.0, None, 1.2,1.3, 58.0, None, None, 0.0, 59.0, None,2023-11-19 06:00:00, None,47
0.0, 485.0, None, 2.0,2.1, 57.0, None, None, 0.0, 59.0, None,2023-11-19 07:00:00, None,47
0.0, 485.0, None, 1.3,1.3, 58.0, None, None, 0.0, 59.0, None,2023-11-19 08:00:00, None,47
None, 484.0, None, 2.7,2.8, 54.0, None, None, None, 59.0, None,2023-11-19 09:00:00, None,47
0.0, 485.0, None, 1.7,1.6, 57.0, None, None, 1.0, 59.0, None,2023-11-19 10:00:00, None,47
1.0, 485.0, None, 1.1,1.0, 58.0, None, None, 0.0, 59.0, None,2023-11-19 11:00:00, None,47
1.0, 485.0, None, 1.7,1.2, 58.0, None, None, 0.0, 59.0, None,2023-11-19 12:00:00, None,47
1.0, 485.0, None, 0.4,0.4, 99.0, None, None, 0.0, 59.0, None,2023-11-19 13:00:00, None,47
2.0, 486.0, None, -0.2,-0.7, 100.0, None, None, 1.0, 59.0, None,2023-11-19 14:00:00, None,47
2.0, 487.0, None, -1.2,-2.4, 102.0, None, None, 1.0, 59.0, None,2023-11-19 15:00:00, None,47
2.0, 487.0, None, -2.8,-2.7, 102.0, None, None, 0.0, 59.0, None,2023-11-19 16:00:00, None,47
2.0, 487.0, None, -3.8,-3.6, 103.0, None, None, 0.0, 60.0, None,2023-11-19 17:00:00, None,47
2.0, 487.0, None, -4.4,-4.0, 103.0, None, None, 0.0, 60.0, None,2023-11-19 18:00:00, None,47
3.0, 488.0, None, -5.5,-5.4, 104.0, None, None, 1.0, 60.0, None,2023-11-19 19:00:00, None,47
